,elastic/elasticsearch,typesense/typesense,meilisearch/meilisearch
2022-07-22,28,2,0.0
2022-07-23,1,0,0.0
2022-07-24,0,1,0.0
2022-07-25,29,1,0.0
2022-07-26,30,2,0.0
2022-07-27,26,1,0.0
2022-07-28,17,1,5.0
2022-07-29,17,0,0.0
2022-07-30,1,0,0.0
2022-07-31,1,0,0.0
2022-08-01,27,1,0.0
2022-08-02,24,4,2.0
2022-08-03,31,1,1.0
2022-08-04,25,4,2.0
2022-08-05,3,3,0.0
2022-08-06,0,0,0.0
2022-08-07,1,2,0.0
2022-08-08,20,2,1.0
2022-08-09,17,1,0.0
2022-08-10,10,2,18.0
2022-08-11,16,0,3.0
2022-08-12,13,0,3.0
2022-08-13,2,1,0.0
2022-08-14,0,0,0.0
2022-08-15,15,0,0.0
2022-08-16,16,3,3.0
2022-08-17,32,2,52.0
2022-08-18,15,2,16.0
2022-08-19,0,1,1.0
2022-08-20,0,0,0.0
2022-08-21,0,0,0.0
2022-08-22,20,0,20.0
2022-08-23,16,0,13.0
2022-08-24,14,1,8.0
2022-08-25,11,2,0.0
2022-08-26,21,0,0.0
2022-08-27,1,2,1.0
2022-08-28,0,0,0.0
2022-08-29,15,2,3.0
2022-08-30,19,2,1.0
2022-08-31,12,2,5.0
2022-09-01,22,2,8.0
2022-09-02,3,2,3.0
2022-09-03,0,2,2.0
2022-09-04,0,0,3.0
2022-09-05,7,1,2.0
2022-09-06,17,2,2.0
2022-09-07,37,1,15.0
2022-09-08,34,2,3.0
2022-09-09,23,2,1.0
2022-09-10,1,1,0.0
2022-09-11,0,3,0.0
2022-09-12,25,1,1.0
2022-09-13,22,1,4.0
2022-09-14,16,1,4.0
2022-09-15,22,3,0.0
2022-09-16,1,1,0.0
2022-09-17,0,2,0.0
2022-09-18,0,0,0.0
2022-09-19,18,0,1.0
2022-09-20,28,2,0.0
2022-09-21,18,3,6.0
2022-09-22,15,2,4.0
2022-09-23,13,0,0.0
2022-09-24,1,0,0.0
2022-09-25,1,1,0.0
