,facebook/react-native,NativeScript/NativeScript,flutter/flutter
2019-04-30,28,0,17
2019-05-01,11,2,23
2019-05-02,5,0,22
2019-05-03,23,6,17
2019-05-04,2,0,9
2019-05-05,0,0,0
2019-05-06,6,3,16
2019-05-07,23,11,8
2019-05-08,20,9,9
2019-05-09,25,10,13
2019-05-10,11,6,20
2019-05-11,1,1,2
2019-05-12,1,0,3
2019-05-13,15,2,13
2019-05-14,11,2,19
2019-05-15,15,4,14
2019-05-16,21,1,13
2019-05-17,5,2,10
2019-05-18,4,0,3
2019-05-19,0,0,2
2019-05-20,27,1,20
2019-05-21,13,6,22
2019-05-22,27,9,8
2019-05-23,11,1,8
2019-05-24,27,0,9
2019-05-25,2,0,3
2019-05-26,1,0,2
2019-05-27,1,0,2
2019-05-28,12,0,13
2019-05-29,8,0,15
2019-05-30,20,0,31
2019-05-31,29,3,14
2019-06-01,6,0,8
2019-06-02,3,0,1
2019-06-03,11,5,25
2019-06-04,15,2,23
2019-06-05,10,3,14
2019-06-06,18,4,23
2019-06-07,20,2,19
2019-06-08,1,0,13
2019-06-09,3,0,6
2019-06-10,15,1,19
2019-06-11,15,0,18
2019-06-12,14,1,15
2019-06-13,18,1,16
2019-06-14,8,0,16
2019-06-15,3,0,7
2019-06-16,0,0,4
2019-06-17,6,2,5
2019-06-18,12,2,16
2019-06-19,12,0,23
2019-06-20,12,1,19
2019-06-21,31,5,11
2019-06-22,2,0,7
2019-06-23,3,0,4
2019-06-24,24,3,9
2019-06-25,7,8,13
2019-06-26,24,8,14
2019-06-27,18,6,17
2019-06-28,13,9,26
2019-06-29,3,0,0
2019-06-30,0,0,0
2019-07-01,16,1,8
2019-07-02,17,0,5
2019-07-03,5,5,13
2019-07-04,17,2,2
2019-07-05,4,0,1
2019-07-06,1,0,0
2019-07-07,1,0,0
2019-07-08,16,2,17
2019-07-09,7,5,16
2019-07-10,14,11,13
2019-07-11,18,1,15
2019-07-12,9,0,16
2019-07-13,8,0,5
2019-07-14,0,0,0
2019-07-15,14,1,7
2019-07-16,6,13,13
2019-07-17,29,11,27
2019-07-18,23,4,14
2019-07-19,16,5,23
2019-07-20,4,1,3
2019-07-21,0,0,6
2019-07-22,8,4,19
2019-07-23,9,0,16
2019-07-24,25,1,17
2019-07-25,14,4,11
2019-07-26,9,4,15
2019-07-27,1,0,9
2019-07-28,0,2,2
2019-07-29,13,1,11
2019-07-30,6,2,16
2019-07-31,14,3,15
2019-08-01,10,4,19
2019-08-02,25,9,19
2019-08-03,1,0,5
2019-08-04,0,0,3
2019-08-05,9,2,8
2019-08-06,5,0,25
2019-08-07,7,6,19
2019-08-08,19,2,18
2019-08-09,8,0,22
2019-08-10,0,0,5
2019-08-11,1,0,0
2019-08-12,16,2,13
2019-08-13,9,2,6
2019-08-14,20,5,23
2019-08-15,18,5,30
2019-08-16,4,1,28
2019-08-17,0,0,5
2019-08-18,0,2,3
2019-08-19,16,5,14
2019-08-20,3,4,32
2019-08-21,10,2,20
2019-08-22,10,4,19
2019-08-23,10,3,16
2019-08-24,1,0,3
2019-08-25,0,0,2
2019-08-26,2,1,14
2019-08-27,6,0,17
2019-08-28,6,4,31
2019-08-29,7,3,15
2019-08-30,8,2,15
2019-08-31,19,0,10
2019-09-01,0,0,0
2019-09-02,5,0,13
2019-09-03,13,0,25
2019-09-04,14,1,5
2019-09-05,12,0,21
2019-09-06,20,0,17
2019-09-07,7,0,5
2019-09-08,1,0,0
2019-09-09,9,0,2
2019-09-10,13,5,21
2019-09-11,12,1,21
2019-09-12,12,3,19
2019-09-13,7,3,16
2019-09-14,6,0,10
2019-09-15,0,0,0
2019-09-16,0,0,27
2019-09-17,11,2,12
2019-09-18,12,1,20
2019-09-19,14,3,20
2019-09-20,14,0,13
2019-09-21,4,0,0
2019-09-22,1,0,0
2019-09-23,23,0,4
2019-09-24,4,1,25
2019-09-25,15,1,21
2019-09-26,10,0,27
2019-09-27,5,1,23
2019-09-28,3,1,7
2019-09-29,0,0,4
2019-09-30,26,1,18
2019-10-01,12,2,14
2019-10-02,9,6,23
2019-10-03,15,1,9
2019-10-04,6,3,28
2019-10-05,2,0,5
2019-10-06,0,0,2
2019-10-07,10,2,13
2019-10-08,15,5,14
2019-10-09,21,3,23
2019-10-10,13,6,35
2019-10-11,33,0,19
2019-10-12,7,0,0
2019-10-13,0,0,1
2019-10-14,9,2,16
2019-10-15,18,6,26
2019-10-16,19,6,11
2019-10-17,6,2,15
2019-10-18,8,0,24
2019-10-19,8,0,0
2019-10-20,0,0,0
2019-10-21,19,2,13
2019-10-22,29,4,11
2019-10-23,13,3,12
2019-10-24,4,2,28
2019-10-25,19,1,12
2019-10-26,1,0,9
2019-10-27,0,0,0
2019-10-28,16,2,29
2019-10-29,6,4,24
2019-10-30,10,0,20
2019-10-31,19,1,19
2019-11-01,30,1,19
2019-11-02,6,0,2
2019-11-03,9,0,0
2019-11-04,25,0,5
2019-11-05,25,0,30
2019-11-06,27,4,23
2019-11-07,14,5,19
2019-11-08,12,1,18
2019-11-09,8,0,12
2019-11-10,1,0,2
2019-11-11,13,1,10
2019-11-12,13,2,9
2019-11-13,18,0,12
2019-11-14,9,4,20
2019-11-15,17,0,17
2019-11-16,13,0,7
2019-11-17,2,0,3
2019-11-18,10,1,13
2019-11-19,16,2,24
2019-11-20,9,4,21
2019-11-21,16,7,22
2019-11-22,17,1,23
2019-11-23,10,0,9
2019-11-24,0,0,1
2019-11-25,0,0,13
2019-11-26,0,4,20
2019-11-27,25,1,21
2019-11-28,1,1,7
2019-11-29,0,2,1
2019-11-30,2,0,1
2019-12-01,1,0,0
2019-12-02,12,1,8
2019-12-03,8,5,23
2019-12-04,11,3,27
2019-12-05,16,3,19
2019-12-06,12,2,15
2019-12-07,6,0,1
2019-12-08,2,0,0
2019-12-09,7,2,13
2019-12-10,11,1,20
2019-12-11,13,0,6
2019-12-12,18,1,12
2019-12-13,3,5,16
2019-12-14,8,0,0
2019-12-15,0,0,0
2019-12-16,7,2,12
2019-12-17,10,2,16
2019-12-18,19,0,21
2019-12-19,16,0,19
2019-12-20,11,2,7
2019-12-21,2,0,7
2019-12-22,0,0,0
2019-12-23,5,0,5
2019-12-24,7,0,2
2019-12-25,0,0,0
2019-12-26,0,0,8
2019-12-27,4,0,5
2019-12-28,1,0,3
2019-12-29,0,0,1
2019-12-30,1,0,3
2019-12-31,1,0,1
2020-01-01,0,0,0
2020-01-02,4,0,6
2020-01-03,5,1,14
2020-01-04,0,0,1
2020-01-05,1,0,0
2020-01-06,6,1,14
2020-01-07,11,0,13
2020-01-08,3,2,28
2020-01-09,1,1,11
2020-01-10,0,2,18
2020-01-11,0,0,6
2020-01-12,0,0,0
2020-01-13,4,0,11
2020-01-14,24,2,18
2020-01-15,9,1,12
2020-01-16,6,3,26
2020-01-17,2,0,22
2020-01-18,7,0,2
2020-01-19,2,0,0
2020-01-20,13,0,0
2020-01-21,6,1,9
2020-01-22,8,1,26
2020-01-23,14,1,5
2020-01-24,5,0,18
2020-01-25,2,0,15
2020-01-26,0,0,3
2020-01-27,12,2,12
2020-01-28,18,1,28
2020-01-29,17,0,24
2020-01-30,11,3,19
2020-01-31,11,3,23
2020-02-01,7,0,5
2020-02-02,0,0,0
2020-02-03,12,1,8
2020-02-04,10,0,21
2020-02-05,10,7,17
2020-02-06,10,2,27
2020-02-07,7,0,24
2020-02-08,3,0,5
2020-02-09,0,0,0
2020-02-10,13,1,18
2020-02-11,7,0,14
2020-02-12,9,0,22
2020-02-13,16,2,27
2020-02-14,9,0,13
2020-02-15,1,0,4
2020-02-16,0,0,0
2020-02-17,2,3,1
2020-02-18,15,0,13
2020-02-19,14,0,10
2020-02-20,12,0,18
2020-02-21,16,6,10
2020-02-22,3,0,0
2020-02-23,0,1,5
2020-02-24,7,1,11
2020-02-25,12,4,15
2020-02-26,10,2,21
2020-02-27,35,7,22
2020-02-28,11,0,27
2020-02-29,4,0,6
2020-03-01,2,0,0
2020-03-02,9,0,7
2020-03-03,9,0,15
2020-03-04,19,0,17
2020-03-05,10,1,22
2020-03-06,8,4,25
2020-03-07,3,2,3
2020-03-08,0,0,6
2020-03-09,20,6,10
2020-03-10,14,7,23
2020-03-11,9,1,15
2020-03-12,10,0,16
2020-03-13,0,2,23
2020-03-14,9,0,10
2020-03-15,0,0,7
2020-03-16,13,3,13
2020-03-17,8,1,12
2020-03-18,5,1,25
2020-03-19,3,2,22
2020-03-20,9,2,22
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,8,1,7
2020-03-24,10,1,16
2020-03-25,10,0,31
2020-03-26,13,4,11
2020-03-27,2,0,16
2020-03-28,8,0,5
2020-03-29,0,1,3
2020-03-30,14,1,12
2020-03-31,11,0,19
2020-04-01,13,2,17
2020-04-02,11,3,17
2020-04-03,18,4,21
2020-04-04,8,0,5
2020-04-05,0,0,9
2020-04-06,5,1,16
2020-04-07,9,1,21
2020-04-08,8,0,20
2020-04-09,10,0,19
2020-04-10,4,2,27
2020-04-11,2,0,9
2020-04-12,0,0,4
2020-04-13,0,0,15
2020-04-14,8,2,9
2020-04-15,7,0,12
2020-04-16,14,0,26
2020-04-17,9,0,12
2020-04-18,7,0,7
2020-04-19,3,0,1
2020-04-20,13,1,21
2020-04-21,8,0,11
2020-04-22,12,0,30
2020-04-23,14,0,17
2020-04-24,5,0,8
2020-04-25,3,0,7
2020-04-26,1,0,1
2020-04-27,13,0,22
2020-04-28,9,0,17
2020-04-29,13,0,20
2020-04-30,7,0,3
2020-05-01,11,0,11
2020-05-02,4,0,8
2020-05-03,3,0,6
2020-05-04,9,0,12
2020-05-05,9,0,21
2020-05-06,13,0,13
2020-05-07,9,0,7
2020-05-08,16,1,33
2020-05-09,1,0,1
