,storybookjs/storybook,histoire-dev/histoire,tajo/ladle
2022-01-21,8,1,0
2022-01-22,2,3,0
2022-01-23,2,0,2
2022-01-24,26,0,0
2022-01-25,26,0,2
2022-01-26,26,0,2
2022-01-27,12,0,0
2022-01-28,46,0,0
2022-01-29,24,0,0
2022-01-30,0,6,0
2022-01-31,38,0,0
2022-02-01,34,1,0
2022-02-02,23,1,0
2022-02-03,7,8,0
2022-02-04,32,9,0
2022-02-05,1,8,0
2022-02-06,1,2,0
2022-02-07,16,4,0
2022-02-08,9,3,0
2022-02-09,8,3,0
2022-02-10,12,0,0
2022-02-11,19,0,0
2022-02-12,2,4,0
2022-02-13,2,3,0
2022-02-14,5,4,0
2022-02-15,7,14,0
2022-02-16,3,6,0
2022-02-17,26,29,0
2022-02-18,7,6,0
2022-02-19,7,0,0
2022-02-20,0,0,0
2022-02-21,9,0,0
2022-02-22,15,8,0
2022-02-23,23,4,0
2022-02-24,14,0,0
2022-02-25,12,4,0
2022-02-26,0,0,0
2022-02-27,1,0,0
2022-02-28,20,0,0
2022-03-01,17,0,4
2022-03-02,6,0,2
2022-03-03,1,0,6
2022-03-04,0,0,0
2022-03-05,8,0,0
2022-03-06,4,9,0
2022-03-07,11,7,0
2022-03-08,11,2,0
2022-03-09,24,4,2
2022-03-10,6,8,0
2022-03-11,6,0,0
2022-03-12,26,0,0
2022-03-13,12,0,2
2022-03-14,22,0,0
2022-03-15,10,20,4
2022-03-16,15,19,5
2022-03-17,22,10,0
2022-03-18,53,0,2
2022-03-19,5,0,0
2022-03-20,5,16,0
2022-03-21,18,0,0
2022-03-22,20,3,0
2022-03-23,19,0,0
2022-03-24,2,2,0
2022-03-25,22,0,1
2022-03-26,1,0,0
2022-03-27,0,0,0
2022-03-28,26,0,0
2022-03-29,23,0,9
2022-03-30,15,0,2
2022-03-31,56,0,2
2022-04-01,36,0,0
2022-04-02,7,0,0
2022-04-03,13,0,0
2022-04-04,29,16,0
2022-04-05,42,0,0
2022-04-06,71,0,0
2022-04-07,47,0,0
2022-04-08,30,0,0
2022-04-09,8,13,0
2022-04-10,0,4,0
2022-04-11,18,0,2
2022-04-12,13,0,0
2022-04-13,24,0,0
2022-04-14,37,0,0
2022-04-15,14,0,0
2022-04-16,15,0,0
2022-04-17,10,0,0
2022-04-18,24,0,2
2022-04-19,21,11,2
2022-04-20,12,8,2
2022-04-21,32,10,0
2022-04-22,43,17,0
2022-04-23,19,3,0
2022-04-24,14,21,0
2022-04-25,22,0,0
2022-04-26,26,0,2
2022-04-27,20,0,0
2022-04-28,33,0,6
2022-04-29,23,0,2
2022-04-30,3,0,0
2022-05-01,2,11,0
2022-05-02,20,9,0
2022-05-03,31,1,10
2022-05-04,38,0,0
2022-05-05,14,0,2
2022-05-06,15,12,0
2022-05-07,4,0,0
2022-05-08,11,10,0
2022-05-09,74,30,0
2022-05-10,28,0,0
2022-05-11,27,2,11
2022-05-12,29,0,0
2022-05-13,9,0,0
2022-05-14,2,0,0
2022-05-15,2,0,0
2022-05-16,15,0,0
2022-05-17,21,0,1
2022-05-18,14,0,0
2022-05-19,18,0,0
2022-05-20,6,0,0
2022-05-21,9,0,0
2022-05-22,0,0,0
2022-05-23,20,0,0
2022-05-24,9,0,1
2022-05-25,16,0,3
2022-05-26,17,0,0
2022-05-27,22,0,0
2022-05-28,3,0,1
2022-05-29,8,0,0
2022-05-30,15,15,0
2022-05-31,45,20,0
2022-06-01,6,11,0
2022-06-02,14,19,0
2022-06-03,10,23,0
2022-06-04,0,7,0
2022-06-05,0,8,0
2022-06-06,46,9,0
2022-06-07,28,3,0
2022-06-08,20,7,0
2022-06-09,14,9,3
2022-06-10,21,1,3
2022-06-11,2,0,0
2022-06-12,8,0,7
2022-06-13,8,0,1
2022-06-14,30,1,1
2022-06-15,31,0,0
2022-06-16,22,0,0
2022-06-17,65,0,0
2022-06-18,10,0,0
2022-06-19,15,1,0
2022-06-20,33,3,0
2022-06-21,56,2,3
2022-06-22,28,9,0
2022-06-23,32,0,2
2022-06-24,17,0,5
2022-06-25,1,0,0
2022-06-26,0,0,0
2022-06-27,20,0,0
2022-06-28,25,0,1
2022-06-29,84,0,0
2022-06-30,44,0,0
2022-07-01,30,0,0
2022-07-02,22,0,0
2022-07-03,3,0,0
2022-07-04,29,0,0
2022-07-05,25,1,0
2022-07-06,54,3,0
2022-07-07,46,1,0
2022-07-08,29,1,0
2022-07-09,9,0,3
2022-07-10,11,0,10
2022-07-11,16,0,2
2022-07-12,21,0,0
2022-07-13,2,0,2
2022-07-14,10,1,0
2022-07-15,11,0,0
2022-07-16,4,0,0
2022-07-17,0,0,0
2022-07-18,15,0,2
2022-07-19,23,12,6
2022-07-20,3,5,1
2022-07-21,26,14,1
2022-07-22,17,10,0
2022-07-23,19,0,0
2022-07-24,2,0,0
2022-07-25,27,0,0
2022-07-26,37,0,0
