,ohmyzsh/ohmyzsh,Bash-it/bash-it,sorin-ionescu/prezto
2018-10-02,17,2,0
2018-10-03,17,2,0
2018-10-04,18,0,0
2018-10-05,9,0,0
2018-10-06,2,1,0
2018-10-07,7,0,0
2018-10-08,7,0,0
2018-10-09,3,0,0
2018-10-10,0,0,0
2018-10-11,1,0,2
2018-10-12,4,0,3
2018-10-13,2,0,0
2018-10-14,7,0,0
2018-10-15,0,3,0
2018-10-16,0,1,0
2018-10-17,9,2,0
2018-10-18,1,1,4
2018-10-19,7,0,0
2018-10-20,1,0,0
2018-10-21,0,0,0
2018-10-22,0,0,0
2018-10-23,1,0,0
2018-10-24,4,0,0
2018-10-25,2,2,0
2018-10-26,5,3,0
2018-10-27,2,1,0
2018-10-28,21,0,0
2018-10-29,1,4,0
2018-10-30,1,1,0
2018-10-31,0,11,0
2018-11-01,5,3,0
2018-11-02,1,3,0
2018-11-03,1,0,0
2018-11-04,0,0,0
2018-11-05,0,0,0
2018-11-06,0,0,0
2018-11-07,0,0,0
2018-11-08,0,0,1
2018-11-09,0,1,0
2018-11-10,0,0,0
2018-11-11,0,1,0
2018-11-12,0,2,0
2018-11-13,1,2,0
2018-11-14,0,1,0
2018-11-15,0,2,0
2018-11-16,4,2,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,0,1,0
2018-11-20,0,3,0
2018-11-21,0,0,0
2018-11-22,0,0,0
2018-11-23,0,3,0
2018-11-24,0,2,0
2018-11-25,0,0,0
2018-11-26,1,1,0
2018-11-27,2,1,0
2018-11-28,1,1,0
2018-11-29,0,0,0
2018-11-30,0,1,1
2018-12-01,0,0,0
2018-12-02,0,3,0
2018-12-03,0,4,0
2018-12-04,0,8,0
2018-12-05,0,3,0
2018-12-06,0,11,1
2018-12-07,0,1,0
2018-12-08,0,0,0
2018-12-09,0,0,0
2018-12-10,0,2,0
2018-12-11,0,1,5
2018-12-12,0,1,1
2018-12-13,0,0,6
2018-12-14,0,0,2
2018-12-15,0,0,2
2018-12-16,0,0,0
2018-12-17,0,0,1
2018-12-18,0,2,1
2018-12-19,0,0,0
2018-12-20,2,0,0
2018-12-21,0,0,0
2018-12-22,0,1,0
2018-12-23,0,0,0
2018-12-24,0,0,0
2018-12-25,0,0,0
2018-12-26,0,0,0
2018-12-27,0,0,0
2018-12-28,0,1,0
2018-12-29,0,2,0
2018-12-30,0,0,0
2018-12-31,8,0,0
2019-01-01,0,0,0
2019-01-02,1,1,0
2019-01-03,0,1,1
2019-01-04,0,0,0
2019-01-05,0,0,0
2019-01-06,0,3,0
2019-01-07,2,2,0
2019-01-08,0,1,4
2019-01-09,1,1,0
2019-01-10,0,0,0
2019-01-11,0,0,0
2019-01-12,0,0,0
2019-01-13,0,0,0
2019-01-14,2,1,0
2019-01-15,2,0,0
2019-01-16,0,3,0
2019-01-17,0,0,0
2019-01-18,0,0,0
2019-01-19,1,0,0
2019-01-20,4,0,0
2019-01-21,3,3,0
2019-01-22,1,3,0
2019-01-23,0,2,0
2019-01-24,0,0,0
2019-01-25,1,1,0
2019-01-26,0,0,0
2019-01-27,0,0,0
2019-01-28,0,1,0
2019-01-29,1,0,0
2019-01-30,2,0,0
2019-01-31,1,0,0
2019-02-01,0,0,0
2019-02-02,0,1,0
2019-02-03,0,0,0
2019-02-04,0,2,0
2019-02-05,1,1,0
2019-02-06,1,0,0
2019-02-07,0,0,0
2019-02-08,1,0,0
2019-02-09,0,0,0
2019-02-10,0,0,0
2019-02-11,0,0,0
2019-02-12,1,0,1
2019-02-13,8,0,0
2019-02-14,0,0,0
2019-02-15,1,0,0
2019-02-16,0,0,0
2019-02-17,20,0,0
2019-02-18,0,0,0
2019-02-19,0,0,1
2019-02-20,1,0,0
2019-02-21,0,0,0
2019-02-22,0,1,0
2019-02-23,1,0,0
2019-02-24,0,1,0
2019-02-25,5,3,0
2019-02-26,2,1,0
2019-02-27,0,0,0
2019-02-28,0,0,0
2019-03-01,0,0,0
2019-03-02,0,0,0
2019-03-03,1,0,0
2019-03-04,0,0,0
2019-03-05,0,0,1
2019-03-06,0,0,0
2019-03-07,0,0,0
2019-03-08,0,1,0
2019-03-09,0,0,0
2019-03-10,3,1,0
2019-03-11,0,0,0
2019-03-12,0,0,0
2019-03-13,0,1,0
2019-03-14,0,4,0
2019-03-15,0,0,0
2019-03-16,0,0,0
2019-03-17,0,0,0
