,bitcoin/bitcoin,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj
2019-05-19,3,0.0,7
2019-05-20,9,0.0,1
2019-05-21,3,0.0,1
2019-05-22,8,0.0,0
2019-05-23,10,0.0,0
2019-05-24,4,1.0,3
2019-05-25,5,0.7,2
2019-05-26,1,-0.40499999999999997,0
2019-05-27,1,-0.1644999999999999,0
2019-05-28,16,-0.09966249999999996,0
2019-05-29,20,-0.06988275,0
2019-05-30,2,-0.05300111249999999,1
2019-05-31,1,-0.04223813625,0
2019-06-01,0,-0.03483399051562505,1
2019-06-02,5,-0.02946012999843757,0
2019-06-03,8,1.9864165867671875,0
2019-06-04,3,1.4,1
2019-06-05,9,-0.8099999999999999,0
2019-06-06,15,-0.3289999999999998,0
2019-06-07,14,-0.19932499999999992,0
2019-06-08,3,-0.1397655,0
2019-06-09,0,-0.10600222499999998,0
2019-06-10,1,-0.0844762725,0
2019-06-11,5,-0.0696679810312501,0
2019-06-12,2,-0.05892025999687514,1
2019-06-13,11,-0.027166826465625047,0
2019-06-14,10,0.0,0
2019-06-15,0,0.0,0
2019-06-16,4,3.0,0
2019-06-17,8,-0.9000000000000001,1
2019-06-18,14,-0.3149999999999998,0
2019-06-19,12,-0.1784999999999999,1
2019-06-20,13,-0.1204875,1
2019-06-21,9,-0.08916074999999998,0
2019-06-22,1,-0.06984258749999998,0
2019-06-23,2,-0.05687182125000001,4
2019-06-24,4,-0.04763015029687513,0
2019-06-25,8,-0.04075023969843757,0
2019-06-26,10,0.0,0
2019-06-27,4,0.0,0
2019-06-28,3,0.0,0
2019-06-29,8,0.0,0
2019-06-30,3,0.0,0
2019-07-01,5,0.0,0
2019-07-02,15,0.0,0
2019-07-03,15,0.0,1
2019-07-04,4,0.0,0
2019-07-05,7,0.0,4
2019-07-06,2,0.0,0
2019-07-07,4,0.0,1
2019-07-08,28,0.0,0
2019-07-09,19,0.0,0
2019-07-10,10,0.0,1
2019-07-11,4,0.0,0
2019-07-12,9,0.0,0
2019-07-13,0,0.0,0
2019-07-14,0,0.0,0
2019-07-15,5,0.0,3
2019-07-16,8,0.0,0
2019-07-17,8,0.0,0
2019-07-18,12,0.0,0
2019-07-19,11,2.0,0
2019-07-20,0,-0.6000000000000001,3
2019-07-21,1,-0.20999999999999985,0
2019-07-22,7,-0.11899999999999994,0
2019-07-23,8,-0.080325,0
2019-07-24,25,-0.05944049999999999,0
2019-07-25,7,0.953438275,0
2019-07-26,6,0.6620854525,4
2019-07-27,18,-0.43675343353125007,0
2019-07-28,4,-0.19166682646562494,0
2019-07-29,15,-0.09966249999999996,0
2019-07-30,16,6.93011725,0
2019-07-31,15,-2.1530011125000006,0
2019-08-01,12,-0.7772381362499994,0
2019-08-02,11,-0.45133399051562484,0
2019-08-03,1,-0.31059762999843754,0
2019-08-04,1,-0.2216251632328125,0
2019-08-05,6,0.8370339625000001,0
2019-08-06,8,-0.43270091625000007,0
2019-08-07,3,-0.21613701735937524,0
2019-08-08,2,-0.15458389262968764,1
2019-08-09,8,1.9598375,2
2019-08-10,1,-0.6297202500000001,0
2019-08-11,6,-0.23328086249999985,0
2019-08-12,5,-0.13795727374999994,0
2019-08-13,6,-0.09620171676562504,0
2019-08-14,31,-0.07302391323281252,0
2019-08-15,20,3.953438275,0
2019-08-16,23,3.7620854525,0
2019-08-17,1,-1.95175343353125,0
2019-08-18,4,1.2098331735343755,0
2019-08-19,20,-0.058149999999999924,0
2019-08-20,8,-0.8296934999999999,0
2019-08-21,6,-0.4657246999999998,0
2019-08-22,7,-0.33205840749999993,0
2019-08-23,12,-0.2578962358125002,0
2019-08-24,11,-0.20999921175937533,0
2019-08-25,5,-0.12911247616406263,0
2019-08-26,9,-0.05071070728125009,0
2019-08-27,9,-0.04304354323125009,1
2019-08-28,11,-0.013583413232812524,0
2019-08-29,21,0.0,0
2019-08-30,9,6.0,0
2019-08-31,5,-1.8000000000000003,3
2019-09-01,1,-0.6299999999999996,0
2019-09-02,4,10.643,0
2019-09-03,13,-1.5409750000000009,0
2019-09-04,11,0.06667850000000075,0
2019-09-05,14,9.395814825,0
2019-09-06,8,-4.184531142500001,0
2019-09-07,5,-1.7765080505937494,0
2019-09-08,10,-1.1318554668968748,0
2019-09-09,9,-0.75631973625,0
2019-09-10,10,-0.5860429069218756,0
2019-09-11,5,-0.47517501409218776,3
2019-09-12,8,-0.26745027124687515,0
2019-09-13,7,-0.20181071088750055,0
2019-09-14,4,-0.14941754556093775,0
2019-09-15,4,0.0,0
2019-09-16,16,0.0,0
2019-09-17,13,0.0,0
2019-09-18,13,0.0,1
2019-09-19,16,0.0,0
2019-09-20,9,0.0,0
2019-09-21,4,1.0,0
2019-09-22,5,-0.30000000000000004,0
2019-09-23,7,0.895,0
2019-09-24,7,-0.35950000000000004,0
2019-09-25,11,0.8548375000000001,0
2019-09-26,12,-0.38922025000000005,0
2019-09-27,4,2.8315566375000003,0
2019-09-28,2,-1.0081775237500001,0
2019-09-29,1,-0.39432007926562485,0
2019-09-30,26,0.7592390630171876,0
2019-10-01,23,-0.4596450792656251,3
2019-10-02,27,-0.22670143698281242,0
2019-10-03,11,-0.14521930426562502,0
2019-10-04,7,-0.11061773448281254,0
2019-10-05,1,-0.07735040029687512,0
2019-10-06,3,-0.06403110219843756,0
2019-10-07,6,-0.018957273750000003,0
2019-10-08,19,-0.015876716765625045,1
2019-10-09,25,-0.013583413232812524,0
2019-10-10,20,0.0,0
2019-10-11,7,1.0,0
2019-10-12,4,-0.30000000000000004,0
2019-10-13,6,0.895,1
2019-10-14,16,-0.35950000000000004,0
2019-10-15,20,-0.14516249999999992,0
2019-10-16,10,0.91077975,0
2019-10-17,11,-0.36344336250000003,0
2019-10-18,17,-0.15367752374999993,0
2019-10-19,1,-0.09865757926562502,0
2019-10-20,4,0.9272968130171875,0
2019-10-21,18,1.6544030332343749,3
2019-10-22,7,-0.7418642757328126,4
2019-10-23,15,-0.28845727374999985,0
2019-10-24,26,-0.17503921676562498,0
2019-10-25,17,-0.12362866323281252,0
2019-10-26,11,1.9172786375,0
2019-10-27,1,-0.6655189987500001,0
2019-10-28,21,6.736208735734375,0
2019-10-29,20,4.735663153235937,0
2019-10-30,32,1.0575081735343748,0
2019-10-31,10,-2.4109404999999993,0
2019-11-01,19,2.8358007750000005,0
2019-11-02,23,-1.9650937975,0
2019-11-03,6,-0.9834112210312497,0
2019-11-04,29,-0.6797147802156249,0
2019-11-05,41,-0.4976113836093753,0
2019-11-06,25,-0.400931004989063,2
2019-11-07,17,4.748285790307812,0
2019-11-08,17,-1.6301627479312504,0
2019-11-09,3,-0.5885068670624999,0
2019-11-10,8,-0.35183365293124996,5
2019-11-11,11,-0.20081249999999998,0
2019-11-12,18,-0.14860125,0
2019-11-13,16,-0.11640431249999998,0
2019-11-14,7,-0.09478636875000002,0
2019-11-15,11,0.9206164161718747,0
2019-11-16,3,-0.36791706616406267,0
2019-11-17,3,-0.10499999999999993,0
2019-11-18,26,-0.05949999999999997,0
2019-11-19,19,-0.0401625,0
2019-11-20,16,-0.029720249999999997,4
2019-11-21,18,-0.023280862499999996,1
2019-11-22,18,-0.018957273750000003,0
2019-11-23,9,-0.015876716765625045,0
2019-11-24,14,-0.013583413232812524,0
2019-11-25,14,0.0,0
2019-11-26,13,0.0,5
2019-11-27,3,0.0,0
2019-11-28,3,10.0,0
2019-11-29,3,-3.0000000000000004,1
2019-11-30,2,-1.0499999999999994,0
2019-12-01,3,-0.5949999999999998,0
2019-12-02,6,-0.40162499999999995,0
2019-12-03,9,-0.2972025,0
2019-12-04,10,-0.23280862499999996,0
2019-12-05,15,-0.18957273750000003,0
2019-12-06,27,-0.15876716765625046,0
2019-12-07,4,-0.13583413232812525,0
2019-12-08,4,0.0,3
2019-12-09,19,0.0,0
2019-12-10,18,0.0,0
2019-12-11,13,0.0,0
2019-12-12,15,0.0,0
2019-12-13,12,0.0,0
2019-12-14,1,0.0,1
2019-12-15,8,0.0,0
2019-12-16,19,0.0,0
2019-12-17,13,0.0,0
2019-12-18,7,0.0,0
2019-12-19,7,0.0,0
2019-12-20,2,0.0,0
2019-12-21,0,0.0,0
2019-12-22,1,0.0,0
2019-12-23,3,0.0,0
2019-12-24,0,0.0,0
2019-12-25,1,0.0,0
2019-12-26,1,0.0,0
2019-12-27,2,0.0,0
2019-12-28,4,0.0,0
2019-12-29,2,0.0,0
2019-12-30,3,0.0,0
2019-12-31,4,0.0,0
2020-01-01,0,0.0,0
2020-01-02,13,0.0,0
2020-01-03,19,0.0,0
2020-01-04,7,0.0,0
2020-01-05,4,0.0,0
2020-01-06,5,0.0,0
2020-01-07,12,0.0,0
2020-01-08,13,0.0,0
2020-01-09,7,0.0,0
2020-01-10,4,0.0,0
2020-01-11,3,0.0,0
2020-01-12,1,0.0,1
2020-01-13,8,0.0,0
2020-01-14,13,0.0,0
2020-01-15,9,0.0,0
2020-01-16,12,0.0,0
2020-01-17,8,0.0,0
2020-01-18,3,0.0,0
2020-01-19,2,0.0,0
2020-01-20,4,0.0,0
2020-01-21,1,0.0,0
2020-01-22,16,0.0,0
2020-01-23,26,0.0,4
2020-01-24,2,0.0,0
2020-01-25,3,0.0,0
2020-01-26,3,0.0,0
2020-01-27,10,0.0,0
2020-01-28,18,0.0,0
2020-01-29,12,0.0,0
2020-01-30,18,0.0,1
2020-01-31,14,0.0,0
2020-02-01,4,0.0,0
2020-02-02,2,0.0,0
2020-02-03,8,0.0,0
2020-02-04,6,0.0,0
2020-02-05,12,0.0,0
2020-02-06,8,0.0,0
2020-02-07,4,0.0,0
2020-02-08,0,0.0,0
2020-02-09,7,0.0,0
2020-02-10,19,0.0,0
2020-02-11,11,0.0,0
2020-02-12,11,0.0,0
2020-02-13,12,0.0,0
2020-02-14,5,0.0,0
2020-02-15,2,0.0,0
2020-02-16,6,0.0,3
2020-02-17,6,0.0,0
2020-02-18,4,0.0,0
2020-02-19,11,0.0,0
2020-02-20,3,0.0,0
2020-02-21,9,0.0,0
2020-02-22,2,0.0,0
2020-02-23,0,0.0,0
2020-02-24,1,0.0,0
2020-02-25,13,0.0,0
2020-02-26,4,0.0,0
2020-02-27,6,0.0,4
2020-02-28,23,0.0,3
2020-02-29,2,0.0,2
2020-03-01,2,0.0,0
2020-03-02,15,0.0,0
2020-03-03,2,0.0,0
2020-03-04,17,0.0,9
2020-03-05,18,0.0,2
2020-03-06,13,0.0,1
2020-03-07,21,0.0,4
2020-03-08,4,0.0,1
2020-03-09,26,0.0,0
2020-03-10,16,0.0,0
2020-03-11,43,0.0,2
2020-03-12,9,0.0,1
2020-03-13,6,0.0,5
2020-03-14,4,0.0,0
2020-03-15,9,0.0,0
2020-03-16,14,0.0,0
2020-03-17,19,0.0,0
2020-03-18,11,0.0,0
2020-03-19,13,0.0,1
2020-03-20,1,0.0,0
2020-03-21,7,0.0,0
2020-03-22,8,0.0,0
2020-03-23,7,0.0,0
2020-03-24,15,0.0,0
2020-03-25,13,0.0,0
2020-03-26,19,0.0,0
2020-03-27,23,0.0,0
2020-03-28,6,0.0,0
2020-03-29,9,0.0,0
2020-03-30,13,0.0,0
2020-03-31,26,0.0,0
2020-04-01,10,0.0,0
2020-04-02,36,0.0,0
2020-04-03,16,0.0,0
2020-04-04,11,0.0,0
2020-04-05,7,0.0,0
2020-04-06,34,0.0,0
2020-04-07,10,0.0,0
2020-04-08,30,0.0,1
2020-04-09,10,0.0,0
2020-04-10,21,0.0,0
2020-04-11,9,0.0,0
2020-04-12,16,0.0,0
2020-04-13,17,0.0,1
2020-04-14,11,0.0,0
2020-04-15,28,0.0,0
2020-04-16,22,0.0,2
2020-04-17,23,0.0,0
2020-04-18,4,0.0,0
2020-04-19,12,0.0,0
2020-04-20,11,0.0,0
2020-04-21,15,0.0,0
2020-04-22,18,0.0,1
2020-04-23,61,0.0,2
2020-04-24,14,0.0,0
2020-04-25,9,0.0,2
2020-04-26,14,0.0,1
2020-04-27,12,0.0,0
2020-04-28,20,0.0,0
2020-04-29,22,0.0,0
2020-04-30,26,0.0,0
2020-05-01,24,0.0,0
2020-05-02,3,0.0,0
2020-05-03,6,0.0,2
2020-05-04,15,0.0,0
2020-05-05,26,0.0,0
2020-05-06,11,0.0,0
2020-05-07,17,0.0,0
2020-05-08,14,0.0,0
2020-05-09,5,0.0,1
2020-05-10,10,1.0,0
2020-05-11,8,-0.30000000000000004,0
2020-05-12,24,0.895,4
2020-05-13,21,-0.35950000000000004,0
2020-05-14,15,-0.14516249999999992,0
2020-05-15,9,-0.08922024999999997,0
2020-05-16,3,-0.06344336249999999,0
2020-05-17,6,-0.04867752375,2
2020-05-18,13,-0.03915757926562504,0
2020-05-19,24,-0.032540686982812525,0
2020-05-20,10,-0.015876716765625045,0
2020-05-21,27,-0.013583413232812524,0
2020-05-22,14,0.0,0
2020-05-23,11,0.0,0
2020-05-24,3,0.0,0
2020-05-25,22,0.0,0
2020-05-26,17,0.0,0
2020-05-27,14,0.0,0
2020-05-28,25,0.0,2
2020-05-29,25,0.0,0
2020-05-30,18,0.0,0
2020-05-31,11,0.0,1
2020-06-01,10,0.0,0
2020-06-02,21,0.0,0
2020-06-03,12,0.0,0
2020-06-04,17,0.0,0
2020-06-05,17,0.0,0
2020-06-06,7,0.0,0
2020-06-07,8,0.0,0
2020-06-08,26,0.0,0
2020-06-09,13,0.0,0
2020-06-10,20,0.0,0
2020-06-11,12,0.0,0
2020-06-12,6,0.0,0
2020-06-13,12,0.0,0
2020-06-14,6,0.0,0
2020-06-15,15,0.0,0
2020-06-16,23,0.0,0
2020-06-17,17,0.0,0
2020-06-18,12,0.0,0
2020-06-19,45,0.0,0
2020-06-20,6,0.0,0
2020-06-21,26,0.0,0
2020-06-22,22,0.0,0
2020-06-23,10,0.0,0
2020-06-24,20,0.0,0
2020-06-25,21,0.0,0
2020-06-26,6,0.0,0
2020-06-27,9,0.0,0
2020-06-28,2,0.0,1
2020-06-29,21,0.0,0
2020-06-30,5,0.0,2
2020-07-01,23,0.0,0
2020-07-02,8,0.0,1
2020-07-03,9,0.0,0
2020-07-04,7,0.0,0
2020-07-05,7,0.0,0
2020-07-06,3,0.0,0
2020-07-07,3,0.0,0
2020-07-08,11,0.0,0
2020-07-09,29,0.0,0
2020-07-10,11,0.0,0
2020-07-11,25,0.0,0
2020-07-12,6,0.0,0
2020-07-13,14,0.0,0
2020-07-14,22,0.0,0
2020-07-15,27,0.0,0
2020-07-16,14,0.0,0
2020-07-17,4,0.0,0
2020-07-18,9,0.0,0
2020-07-19,17,0.0,0
2020-07-20,1,0.0,0
2020-07-21,13,0.0,0
2020-07-22,13,0.0,0
2020-07-23,8,0.0,0
2020-07-24,7,0.0,0
2020-07-25,4,0.0,0
2020-07-26,6,0.0,0
2020-07-27,7,0.0,0
2020-07-28,11,0.0,0
2020-07-29,14,0.0,0
2020-07-30,28,0.0,0
2020-07-31,13,0.0,0
2020-08-01,2,0.0,0
2020-08-02,11,0.0,0
2020-08-03,6,0.0,0
2020-08-04,10,0.0,0
2020-08-05,8,0.0,0
2020-08-06,10,0.0,0
2020-08-07,4,0.0,0
2020-08-08,25,0.0,0
2020-08-09,7,0.0,0
2020-08-10,5,0.0,0
2020-08-11,5,0.0,0
2020-08-12,23,0.0,0
2020-08-13,13,0.0,0
2020-08-14,17,0.0,0
2020-08-15,14,0.0,0
2020-08-16,9,0.0,0
2020-08-17,7,0.0,0
2020-08-18,17,0.0,0
2020-08-19,6,0.0,1
2020-08-20,6,0.0,0
2020-08-21,10,0.0,0
2020-08-22,1,0.0,0
2020-08-23,3,0.0,0
2020-08-24,17,0.0,0
2020-08-25,26,0.0,6
2020-08-26,30,0.0,1
2020-08-27,15,0.0,0
2020-08-28,17,0.0,0
2020-08-29,15,0.0,0
2020-08-30,6,0.0,0
2020-08-31,29,0.0,3
2020-09-01,14,0.0,2
2020-09-02,14,0.0,0
2020-09-03,32,0.0,0
2020-09-04,12,0.0,0
2020-09-05,12,0.0,0
2020-09-06,8,0.0,0
2020-09-07,38,0.0,10
2020-09-08,5,0.0,1
2020-09-09,10,0.0,0
2020-09-10,12,0.0,0
2020-09-11,6,0.0,0
2020-09-12,2,0.0,0
2020-09-13,2,0.0,0
2020-09-14,12,0.0,0
2020-09-15,10,0.0,0
2020-09-16,5,0.0,0
2020-09-17,6,0.0,0
2020-09-18,11,0.0,0
2020-09-19,7,0.0,0
2020-09-20,3,0.0,3
2020-09-21,9,0.0,0
2020-09-22,19,0.0,1
2020-09-23,16,0.0,0
2020-09-24,9,0.0,0
2020-09-25,3,0.0,0
2020-09-26,6,0.0,0
2020-09-27,2,0.0,0
2020-09-28,15,0.0,0
2020-09-29,23,0.0,0
2020-09-30,17,0.0,0
2020-10-01,12,0.0,0
2020-10-02,18,0.0,0
2020-10-03,9,0.0,1
2020-10-04,5,0.0,0
2020-10-05,5,0.0,0
2020-10-06,8,0.0,1
2020-10-07,2,0.0,1
2020-10-08,14,0.0,0
2020-10-09,24,0.0,0
2020-10-10,0,0.0,1
2020-10-11,5,0.0,2
2020-10-12,19,0.0,0
2020-10-13,22,0.0,0
2020-10-14,48,0.0,0
2020-10-15,21,0.0,0
2020-10-16,15,0.0,4
2020-10-17,4,0.0,0
2020-10-18,3,0.0,0
2020-10-19,14,0.0,0
2020-10-20,8,0.0,0
2020-10-21,11,0.0,0
2020-10-22,9,0.0,0
2020-10-23,8,0.0,0
2020-10-24,3,0.0,1
2020-10-25,8,0.0,0
2020-10-26,7,0.0,0
2020-10-27,17,0.0,0
2020-10-28,18,0.0,0
2020-10-29,10,0.0,0
2020-10-30,4,0.0,0
2020-10-31,2,0.0,0
2020-11-01,26,0.0,0
2020-11-02,16,0.0,0
2020-11-03,14,0.0,0
2020-11-04,21,0.0,0
2020-11-05,14,0.0,0
2020-11-06,9,0.0,0
2020-11-07,3,0.0,0
2020-11-08,0,0.0,0
2020-11-09,21,0.0,0
2020-11-10,6,0.0,0
2020-11-11,19,0.0,0
2020-11-12,19,0.0,0
2020-11-13,4,0.0,0
2020-11-14,11,0.0,0
2020-11-15,5,0.0,0
2020-11-16,8,0.0,0
2020-11-17,7,0.0,0
2020-11-18,24,0.0,0
2020-11-19,31,0.0,0
2020-11-20,14,0.0,0
2020-11-21,2,0.0,0
2020-11-22,3,0.0,0
2020-11-23,29,0.0,0
2020-11-24,21,0.0,0
2020-11-25,16,0.0,0
2020-11-26,14,0.0,0
2020-11-27,6,0.0,0
2020-11-28,4,0.0,0
2020-11-29,0,15.0,0
2020-11-30,20,-4.500000000000001,0
2020-12-01,13,-1.5749999999999988,0
2020-12-02,13,-0.8924999999999995,0
2020-12-03,16,-0.6024375,0
2020-12-04,25,0.5541962500000001,0
2020-12-05,2,-0.6492129375,0
2020-12-06,7,-0.38935910625,1
2020-12-07,30,-0.29765075148437564,0
2020-12-08,12,-0.24391369849218783,0
2020-12-09,14,-0.029720249999999997,0
2020-12-10,29,-0.023280862499999996,0
2020-12-11,6,-0.018957273750000003,0
2020-12-12,3,-0.015876716765625045,0
2020-12-13,7,-0.013583413232812524,0
2020-12-14,14,0.0,0
2020-12-15,15,0.0,0
2020-12-16,31,0.0,0
2020-12-17,28,0.0,0
2020-12-18,8,0.0,0
2020-12-19,4,0.0,0
2020-12-20,10,0.0,0
2020-12-21,22,0.0,0
2020-12-22,10,0.0,0
2020-12-23,3,0.0,0
2020-12-24,8,0.0,0
2020-12-25,6,0.0,0
