,meilisearch/meilisearch,elastic/elasticsearch,typesense/typesense
2018-04-22,1.0,0,0.0
2018-04-23,0.0,2,1.0
2018-04-24,0.0,8,0.8
2018-04-25,0.0,16,0.72
2018-04-26,0.0,31,-0.32800000000000007
2018-04-27,0.0,23,-0.16160000000000013
2018-04-28,0.0,3,-0.10713600000000006
2018-04-29,0.0,1,-0.07956480000000003
2018-04-30,0.0,15,0.93710848
2018-05-01,0.0,40,-0.25174323199999993
2018-05-02,0.0,37,-0.12378378239999999
2018-05-03,0.0,19,-0.07485706239999994
2018-05-04,0.0,21,1.9539306496
2018-05-05,2.0,3,0.5744640000000001
2018-05-06,0.0,5,-0.3804288000000001
2018-05-07,0.0,19,-0.19292672000000016
2018-05-08,0.0,33,2.870412288
2018-05-09,0.0,21,-0.6971413503999999
2018-05-10,0.0,22,-0.30639360000000027
2018-05-11,0.0,15,-0.19828224000000014
2018-05-12,8.0,3,0.853497856
2018-05-13,0.0,3,1.6840655872
2018-05-14,0.0,29,0.4462442496000001
2018-05-15,0.0,29,-0.45878016000000016
2018-05-16,0.0,40,-0.252763136
2018-05-17,0.0,24,-0.1781440512
2018-05-18,0.0,20,-0.10510080000000005
2018-05-19,0.0,3,-0.08332032000000004
2018-05-20,0.0,2,-0.06866995199999998
2018-05-21,0.0,12,-0.05817149439999986
2018-05-22,0.0,32,1.9606735872
2018-05-23,0.0,28,-0.4124693503999999
2018-05-24,0.0,20,1.8399999999999999
2018-05-25,0.0,17,-0.496
2018-05-26,0.0,3,-0.22720000000000018
2018-05-27,0.0,1,-0.1470720000000001
2018-05-28,0.0,7,-0.10805760000000005
2018-05-29,0.0,17,0.91507456
2018-05-30,0.0,34,-0.2696330239999999
2018-05-31,0.0,24,-0.13879214080000002
2018-06-01,0.0,25,-0.07677542399999991
2018-06-02,0.0,5,-0.05853870079999994
2018-06-03,0.0,1,-0.025536000000000014
2018-06-04,0.0,38,0.9795712
2018-06-05,0.0,30,-0.21692671999999996
2018-06-06,0.0,28,-0.09438771200000001
2018-06-07,0.0,28,-0.060469350399999997
2018-06-08,0.0,17,0.9664
2018-06-09,0.0,6,0.774464
2018-06-10,0.0,2,-0.30042880000000005
2018-06-11,0.0,18,-0.14492672000000012
2018-06-12,0.0,30,-0.09598771199999999
2018-06-13,0.0,37,-0.07160535039999999
2018-06-14,0.0,22,-0.04596480000000003
2018-06-15,0.0,36,-0.03735552000000002
2018-06-16,0.0,2,-0.03131443199999995
2018-06-17,0.0,2,-0.026857062399999902
2018-06-18,0.0,18,-0.012469350399999964
2018-06-19,0.0,20,0.0
2018-06-20,0.0,21,0.0
2018-06-21,0.0,20,0.0
2018-06-22,0.0,19,0.0
2018-06-23,0.0,5,0.0
2018-06-24,1.0,3,0.0
2018-06-25,0.0,18,0.0
2018-06-26,0.0,16,0.0
2018-06-27,0.0,14,0.0
2018-06-28,0.0,27,0.0
2018-06-29,0.0,22,0.0
2018-06-30,0.0,1,0.0
2018-07-01,0.0,3,0.0
2018-07-02,0.0,10,0.0
2018-07-03,0.0,20,0.0
2018-07-04,0.0,11,0.0
2018-07-05,0.0,20,0.0
2018-07-06,0.0,18,0.0
2018-07-07,0.0,2,0.0
2018-07-08,0.0,3,0.0
2018-07-09,0.0,14,0.0
2018-07-10,0.0,16,0.0
2018-07-11,0.0,21,0.0
2018-07-12,0.0,23,0.0
2018-07-13,0.0,30,0.0
2018-07-14,0.0,3,0.0
2018-07-15,0.0,0,0.0
2018-07-16,0.0,28,0.0
2018-07-17,0.0,25,0.0
2018-07-18,0.0,23,0.0
2018-07-19,0.0,15,0.0
2018-07-20,0.0,30,0.0
2018-07-21,0.0,4,0.0
2018-07-22,0.0,2,0.0
2018-07-23,0.0,21,0.0
2018-07-24,0.0,23,0.0
2018-07-25,0.0,26,0.0
2018-07-26,0.0,24,0.0
2018-07-27,0.0,15,0.0
2018-07-28,0.0,5,0.0
2018-07-29,0.0,0,0.0
2018-07-30,0.0,19,3.0
2018-07-31,0.0,28,-0.5999999999999999
2018-08-01,0.0,24,-0.2400000000000002
