,django/django,rails/rails,pallets/flask
2022-04-06,4.0,11,0
2022-04-07,3.0,2,0
2022-04-08,0.0,4,7
2022-04-09,0.0,0,0
2022-04-10,0.0,0,0
2022-04-11,7.0,11,1
2022-04-12,5.0,5,0
2022-04-13,8.0,9,2
2022-04-14,7.0,10,0
2022-04-15,2.0,1,0
2022-04-16,1.0,0,0
2022-04-17,0.0,2,0
2022-04-18,4.0,5,0
2022-04-19,5.0,0,0
2022-04-20,9.0,0,0
2022-04-21,4.0,4,0
2022-04-22,3.0,7,0
2022-04-23,0.0,3,0
2022-04-24,0.0,3,8
2022-04-25,1.0,6,2
2022-04-26,4.0,9,0
2022-04-27,2.0,1,0
2022-04-28,7.0,4,7
2022-04-29,5.0,8,0
2022-04-30,0.0,1,0
2022-05-01,0.0,1,0
2022-05-02,4.0,8,4
2022-05-03,6.0,11,4
2022-05-04,6.0,4,2
2022-05-05,2.0,7,0
2022-05-06,3.0,4,0
2022-05-07,0.0,2,0
2022-05-08,0.0,3,0
2022-05-09,1.0,13,0
2022-05-10,3.0,6,5
2022-05-11,2.0,18,2
2022-05-12,5.0,4,3
2022-05-13,3.0,7,0
2022-05-14,0.0,13,3
2022-05-15,0.0,5,2
2022-05-16,5.0,11,0
2022-05-17,15.0,5,0
2022-05-18,3.0,16,0
2022-05-19,4.0,15,0
2022-05-20,3.0,19,0
2022-05-21,3.0,5,0
2022-05-22,0.0,9,0
2022-05-23,2.0,6,16
2022-05-24,1.0,6,0
2022-05-25,4.0,9,0
2022-05-26,4.0,15,0
2022-05-27,0.0,2,0
2022-05-28,0.0,7,0
2022-05-29,0.0,8,0
2022-05-30,0.0,13,0
2022-05-31,5.0,17,2
2022-06-01,10.0,7,5
2022-06-02,3.0,8,0
2022-06-03,6.0,14,0
2022-06-04,0.0,3,0
2022-06-05,0.0,2,6
2022-06-06,0.0,13,11
2022-06-07,0.0,9,0
2022-06-08,1.0,6,1
2022-06-09,1.0,9,2
2022-06-10,0.0,10,0
2022-06-11,0.0,0,3
2022-06-12,0.0,5,5
2022-06-13,4.0,17,1
2022-06-14,1.0,19,0
2022-06-15,0.0,11,3
2022-06-16,4.0,11,0
2022-06-17,5.0,11,7
2022-06-18,1.0,7,3
2022-06-19,0.0,0,0
2022-06-20,3.0,18,0
2022-06-21,2.0,11,0
2022-06-22,1.0,9,0
2022-06-23,3.0,19,2
2022-06-24,2.0,7,0
2022-06-25,0.0,7,0
2022-06-26,0.0,4,0
2022-06-27,5.0,5,0
2022-06-28,9.0,10,4
2022-06-29,0.0,10,0
2022-06-30,1.0,4,2
2022-07-01,2.0,4,7
2022-07-02,1.0,1,0
2022-07-03,0.0,2,6
2022-07-04,4.0,8,2
2022-07-05,3.0,11,1
2022-07-06,4.0,16,3
2022-07-07,2.0,4,0
2022-07-08,3.0,6,11
2022-07-09,1.0,5,2
2022-07-10,0.0,7,2
2022-07-11,3.0,9,2
2022-07-12,2.0,10,0
2022-07-13,1.0,18,10
2022-07-14,1.0,2,2
2022-07-15,0.0,3,0
2022-07-16,1.0,1,0
2022-07-17,1.0,0,0
2022-07-18,2.0,6,0
2022-07-19,1.0,21,0
2022-07-20,1.0,3,0
2022-07-21,2.0,5,0
2022-07-22,1.0,2,0
2022-07-23,4.0,3,0
2022-07-24,0.0,6,0
2022-07-25,6.0,8,5
2022-07-26,6.0,22,0
2022-07-27,11.0,9,0
2022-07-28,1.0,14,0
2022-07-29,1.0,20,0
2022-07-30,1.0,6,0
2022-07-31,2.0,7,0
2022-08-01,2.0,14,9
2022-08-02,4.0,16,7
2022-08-03,11.0,30,6
