,nestjs/nest,fastify/fastify,koajs/koa
2021-01-08,2,1,0
2021-01-09,2,0,0
2021-01-10,1,0,0
2021-01-11,7,0,0
2021-01-12,10,2,0
2021-01-13,16,2,0
2021-01-14,10,1,0
2021-01-15,12,4,0
2021-01-16,1,0,0
2021-01-17,7,2,0
2021-01-18,3,1,1
2021-01-19,8,0,0
2021-01-20,7,1,0
2021-01-21,10,0,0
2021-01-22,14,1,0
2021-01-23,0,0,0
2021-01-24,0,0,0
2021-01-25,24,3,0
2021-01-26,18,0,0
2021-01-27,33,0,0
2021-01-28,11,2,0
2021-01-29,12,0,0
2021-01-30,5,2,0
2021-01-31,1,0,0
2021-02-01,31,2,0
2021-02-02,20,3,0
2021-02-03,26,0,0
2021-02-04,17,1,0
2021-02-05,17,3,0
2021-02-06,8,0,0
2021-02-07,1,1,0
2021-02-08,21,1,0
2021-02-09,14,0,0
2021-02-10,23,4,0
2021-02-11,14,1,0
2021-02-12,14,1,0
2021-02-13,1,2,0
2021-02-14,3,0,0
2021-02-15,21,0,0
2021-02-16,6,2,0
2021-02-17,5,1,0
2021-02-18,12,0,0
2021-02-19,9,1,0
2021-02-20,1,2,0
2021-02-21,5,2,0
2021-02-22,10,0,0
2021-02-23,11,6,0
2021-02-24,28,1,0
2021-02-25,17,0,0
2021-02-26,8,2,0
2021-02-27,3,0,0
2021-02-28,6,0,0
2021-03-01,6,0,0
2021-03-02,8,2,0
2021-03-03,6,0,0
2021-03-04,4,1,0
2021-03-05,7,3,0
2021-03-06,2,0,0
2021-03-07,3,1,0
2021-03-08,17,10,0
2021-03-09,15,3,0
2021-03-10,7,1,0
2021-03-11,11,2,0
2021-03-12,24,0,0
2021-03-13,0,0,0
2021-03-14,3,2,0
2021-03-15,10,0,0
2021-03-16,10,2,0
2021-03-17,7,1,0
2021-03-18,7,1,0
2021-03-19,7,0,0
2021-03-20,0,1,0
2021-03-21,4,0,0
2021-03-22,22,3,0
2021-03-23,11,3,0
2021-03-24,1,1,0
2021-03-25,4,1,0
2021-03-26,9,4,0
2021-03-27,1,1,0
2021-03-28,1,0,0
2021-03-29,13,0,0
2021-03-30,2,1,0
2021-03-31,12,4,0
2021-04-01,10,0,0
2021-04-02,0,0,0
2021-04-03,0,2,0
2021-04-04,0,0,0
2021-04-05,0,1,0
2021-04-06,10,1,0
2021-04-07,13,2,0
2021-04-08,13,2,0
2021-04-09,7,0,0
2021-04-10,1,0,0
2021-04-11,0,0,0
2021-04-12,7,1,0
2021-04-13,7,2,0
2021-04-14,6,1,0
2021-04-15,9,0,0
2021-04-16,6,0,0
2021-04-17,1,2,0
2021-04-18,4,1,0
2021-04-19,11,0,0
2021-04-20,10,1,0
2021-04-21,10,3,0
2021-04-22,14,7,0
2021-04-23,4,2,0
2021-04-24,1,0,0
2021-04-25,0,1,0
2021-04-26,5,0,0
2021-04-27,16,2,0
2021-04-28,3,2,0
2021-04-29,10,1,0
2021-04-30,3,2,0
2021-05-01,0,1,0
2021-05-02,0,2,0
2021-05-03,6,1,0
2021-05-04,7,0,0
2021-05-05,5,0,0
2021-05-06,9,0,0
2021-05-07,9,1,0
2021-05-08,3,0,0
2021-05-09,0,0,0
2021-05-10,1,0,0
2021-05-11,18,0,0
2021-05-12,13,2,0
2021-05-13,10,3,0
2021-05-14,8,1,0
2021-05-15,1,1,0
2021-05-16,0,2,0
2021-05-17,13,1,0
2021-05-18,6,1,0
2021-05-19,0,0,0
2021-05-20,0,0,0
2021-05-21,1,2,1
2021-05-22,3,1,0
2021-05-23,0,1,0
2021-05-24,1,2,0
2021-05-25,1,3,0
2021-05-26,0,2,0
2021-05-27,1,1,0
2021-05-28,0,1,0
2021-05-29,0,4,0
2021-05-30,0,0,0
2021-05-31,0,2,0
2021-06-01,0,0,0
2021-06-02,0,0,0
2021-06-03,0,1,0
2021-06-04,2,1,0
2021-06-05,1,3,0
2021-06-06,0,0,0
2021-06-07,3,1,0
2021-06-08,0,0,0
2021-06-09,0,1,0
2021-06-10,2,1,0
2021-06-11,2,1,0
2021-06-12,0,0,0
2021-06-13,0,0,0
2021-06-14,0,1,0
2021-06-15,0,0,0
2021-06-16,1,1,0
2021-06-17,6,2,0
2021-06-18,1,2,0
2021-06-19,0,1,0
2021-06-20,0,0,0
2021-06-21,0,2,0
2021-06-22,0,1,0
2021-06-23,0,3,0
2021-06-24,0,0,0
2021-06-25,17,1,0
2021-06-26,0,1,0
2021-06-27,0,1,0
2021-06-28,58,0,0
2021-06-29,56,6,0
2021-06-30,29,2,0
2021-07-01,10,0,0
2021-07-02,5,0,0
2021-07-03,1,1,0
2021-07-04,1,0,0
2021-07-05,20,1,0
2021-07-06,12,0,0
2021-07-07,29,1,0
2021-07-08,31,0,0
2021-07-09,27,4,0
2021-07-10,4,0,0
2021-07-11,0,0,0
2021-07-12,24,1,0
2021-07-13,11,0,0
2021-07-14,12,0,0
2021-07-15,4,2,0
2021-07-16,12,3,0
2021-07-17,1,1,0
2021-07-18,1,0,0
2021-07-19,2,3,0
2021-07-20,17,0,0
2021-07-21,3,5,0
2021-07-22,18,0,0
2021-07-23,5,0,0
2021-07-24,3,2,0
2021-07-25,1,0,0
2021-07-26,2,2,0
2021-07-27,22,0,0
2021-07-28,21,2,0
2021-07-29,13,0,0
2021-07-30,1,0,0
2021-07-31,2,0,0
2021-08-01,2,2,0
2021-08-02,17,1,0
2021-08-03,12,5,0
2021-08-04,6,1,0
2021-08-05,9,0,0
2021-08-06,11,0,0
2021-08-07,0,1,0
2021-08-08,3,0,0
2021-08-09,15,2,0
2021-08-10,12,2,0
2021-08-11,10,3,0
2021-08-12,5,0,0
2021-08-13,6,2,0
2021-08-14,1,0,0
2021-08-15,1,1,0
2021-08-16,7,1,0
2021-08-17,12,1,0
2021-08-18,7,1,22
2021-08-19,6,1,0
2021-08-20,8,4,0
2021-08-21,4,1,0
2021-08-22,0,2,1
2021-08-23,11,3,0
2021-08-24,9,1,0
2021-08-25,17,0,1
2021-08-26,7,0,0
2021-08-27,4,1,0
2021-08-28,2,0,0
2021-08-29,2,0,0
2021-08-30,6,0,0
2021-08-31,1,1,0
2021-09-01,5,0,0
2021-09-02,0,0,0
2021-09-03,3,1,0
2021-09-04,2,2,0
2021-09-05,5,2,0
2021-09-06,2,3,0
2021-09-07,6,3,0
2021-09-08,0,1,0
2021-09-09,2,0,0
2021-09-10,0,1,0
2021-09-11,0,0,0
2021-09-12,0,1,0
2021-09-13,0,4,0
2021-09-14,1,1,0
2021-09-15,0,0,0
2021-09-16,1,2,0
2021-09-17,0,6,0
2021-09-18,0,0,0
2021-09-19,0,1,0
2021-09-20,1,1,0
2021-09-21,2,0,0
2021-09-22,1,4,0
2021-09-23,0,4,0
2021-09-24,21,0,1
2021-09-25,0,0,0
2021-09-26,7,0,0
2021-09-27,24,0,0
2021-09-28,19,1,0
2021-09-29,17,1,0
2021-09-30,23,3,0
2021-10-01,17,0,0
2021-10-02,10,0,0
2021-10-03,4,0,0
2021-10-04,12,2,0
2021-10-05,16,0,0
2021-10-06,27,0,0
2021-10-07,23,0,0
2021-10-08,4,0,0
2021-10-09,20,0,0
2021-10-10,1,0,0
2021-10-11,16,0,0
2021-10-12,8,0,0
2021-10-13,48,2,0
2021-10-14,15,1,0
2021-10-15,12,1,0
2021-10-16,4,1,0
2021-10-17,1,0,0
2021-10-18,21,1,0
2021-10-19,13,1,0
2021-10-20,19,2,0
2021-10-21,28,0,0
2021-10-22,23,0,0
2021-10-23,2,0,0
2021-10-24,1,1,0
2021-10-25,19,1,0
2021-10-26,12,0,0
2021-10-27,7,0,0
2021-10-28,4,1,0
