,moment/moment,date-fns/date-fns,moment/luxon
2015-11-30,0,0,1.0
2015-12-01,10,0,-0.3999999999999999
2015-12-02,0,0,-0.12
2015-12-03,0,0,-0.064
2015-12-04,0,0,-0.04160000000000005
2015-12-05,0,0,-0.029952000000000017
2015-12-06,0,0,-0.022963200000000007
2015-12-07,0,0,2.98162944
2015-12-08,0,0,-1.2151557119999998
2015-12-09,62,0,-0.3727981568
2015-12-10,0,0,-0.192
2015-12-11,0,0,-0.12480000000000013
2015-12-12,0,0,-0.08985600000000005
2015-12-13,0,0,-0.06888960000000002
2015-12-14,0,0,-0.05511167999999998
2015-12-15,1,0,-0.04546713599999998
2015-12-16,0,0,-0.03839447039999999
2015-12-17,0,0,0.0
2015-12-18,1,0,0.0
2015-12-19,0,0,0.0
2015-12-20,0,0,0.0
2015-12-21,0,0,0.0
2015-12-22,0,0,0.0
2015-12-23,1,0,0.0
2015-12-24,0,0,0.0
2015-12-25,1,11,0.0
2015-12-26,0,9,0.0
2015-12-27,0,0,0.0
2015-12-28,0,0,0.0
2015-12-29,4,0,0.0
2015-12-30,0,0,0.0
2015-12-31,11,0,0.0
2016-01-01,0,8,0.0
2016-01-02,2,0,0.0
2016-01-03,0,11,0.0
2016-01-04,0,0,0.0
2016-01-05,0,0,0.0
2016-01-06,0,0,0.0
2016-01-07,0,0,0.0
2016-01-08,0,0,0.0
2016-01-09,24,0,0.0
2016-01-10,0,0,0.0
2016-01-11,0,0,0.0
2016-01-12,0,0,0.0
2016-01-13,0,0,0.0
2016-01-14,0,0,0.0
2016-01-15,0,0,0.0
2016-01-16,1,0,0.0
2016-01-17,0,0,0.0
2016-01-18,0,0,0.0
2016-01-19,0,0,0.0
2016-01-20,0,0,0.0
2016-01-21,0,0,0.0
2016-01-22,0,0,0.0
2016-01-23,0,0,0.0
2016-01-24,0,0,0.0
2016-01-25,0,0,0.0
2016-01-26,0,0,0.0
2016-01-27,0,0,0.0
2016-01-28,0,0,0.0
2016-01-29,0,0,0.0
2016-01-30,0,0,0.0
2016-01-31,0,0,0.0
2016-02-01,0,0,0.0
2016-02-02,1,0,0.0
2016-02-03,4,0,0.0
2016-02-04,0,0,0.0
2016-02-05,0,1,0.0
2016-02-06,0,0,0.0
2016-02-07,0,0,0.0
2016-02-08,0,0,0.0
2016-02-09,0,0,0.0
2016-02-10,0,0,0.0
2016-02-11,0,0,0.0
2016-02-12,0,0,0.0
2016-02-13,0,0,0.0
2016-02-14,0,2,0.0
2016-02-15,0,0,0.0
2016-02-16,0,0,0.0
2016-02-17,0,0,0.0
2016-02-18,0,0,0.0
2016-02-19,1,0,0.0
2016-02-20,0,0,0.0
2016-02-21,1,0,0.0
2016-02-22,0,0,0.0
2016-02-23,0,0,0.0
2016-02-24,0,0,0.0
2016-02-25,0,0,0.0
2016-02-26,0,0,0.0
2016-02-27,0,0,0.0
2016-02-28,0,0,0.0
2016-02-29,0,0,0.0
2016-03-01,0,3,0.0
2016-03-02,0,0,0.0
2016-03-03,0,0,0.0
2016-03-04,0,0,0.0
2016-03-05,0,0,0.0
2016-03-06,54,0,0.0
2016-03-07,4,0,0.0
2016-03-08,0,0,0.0
2016-03-09,0,3,0.0
2016-03-10,0,1,0.0
2016-03-11,0,3,0.0
2016-03-12,0,0,0.0
2016-03-13,0,0,0.0
2016-03-14,0,0,0.0
2016-03-15,0,0,0.0
2016-03-16,0,1,0.0
2016-03-17,0,0,0.0
2016-03-18,1,0,0.0
2016-03-19,0,0,0.0
2016-03-20,0,0,0.0
2016-03-21,0,0,0.0
2016-03-22,0,0,0.0
2016-03-23,0,0,0.0
2016-03-24,18,0,0.0
2016-03-25,0,0,0.0
2016-03-26,0,0,0.0
2016-03-27,0,0,0.0
2016-03-28,0,0,0.0
2016-03-29,0,0,0.0
2016-03-30,0,0,0.0
2016-03-31,1,0,0.0
2016-04-01,0,0,0.0
2016-04-02,0,0,0.0
2016-04-03,0,0,0.0
2016-04-04,0,0,1.0
2016-04-05,1,0,2.6
2016-04-06,1,0,-1.3199999999999998
2016-04-07,0,0,-0.424
2016-04-08,0,0,-0.23360000000000006
2016-04-09,0,0,-0.15475200000000014
2016-04-10,0,0,13.8871808
2016-04-11,0,0,-5.687260159999998
2016-04-12,0,0,-1.7502673919999998
2016-04-13,0,0,-0.9542652927999999
2016-04-14,0,0,-0.6207944704000007
2016-04-15,0,0,-0.41932800000000026
2016-04-16,64,0,-0.32148480000000007
2016-04-17,0,0,-0.25718783999999995
2016-04-18,8,0,-0.2121799679999999
2016-04-19,0,0,-0.17917419519999994
2016-04-20,0,0,0.0
2016-04-21,0,0,0.0
2016-04-22,0,0,0.0
2016-04-23,0,0,0.0
2016-04-24,0,1,0.0
2016-04-25,0,14,0.0
2016-04-26,0,2,0.0
2016-04-27,0,7,0.0
2016-04-28,0,2,0.0
2016-04-29,0,0,0.0
2016-04-30,0,0,0.0
2016-05-01,0,0,0.0
2016-05-02,0,0,0.0
2016-05-03,0,0,0.0
2016-05-04,0,1,0.0
2016-05-05,0,0,0.0
2016-05-06,0,3,0.0
2016-05-07,0,0,0.0
2016-05-08,0,2,0.0
2016-05-09,0,1,0.0
2016-05-10,0,1,0.0
2016-05-11,0,0,0.0
2016-05-12,0,0,0.0
2016-05-13,0,0,0.0
2016-05-14,0,0,0.0
2016-05-15,0,0,0.0
2016-05-16,0,0,0.0
2016-05-17,0,9,0.0
2016-05-18,0,5,0.0
2016-05-19,0,17,0.0
2016-05-20,0,0,0.0
2016-05-21,0,0,0.0
2016-05-22,0,0,0.0
2016-05-23,0,3,0.0
2016-05-24,0,1,0.0
2016-05-25,0,2,0.0
2016-05-26,0,2,0.0
2016-05-27,0,0,0.0
2016-05-28,0,0,0.0
2016-05-29,0,0,0.0
2016-05-30,0,0,0.0
2016-05-31,0,3,0.0
2016-06-01,0,0,0.0
2016-06-02,0,0,0.0
2016-06-03,0,0,0.0
2016-06-04,0,0,0.0
2016-06-05,0,0,0.0
2016-06-06,0,0,0.0
2016-06-07,2,2,0.0
2016-06-08,0,1,0.0
2016-06-09,0,0,0.0
2016-06-10,0,0,0.0
2016-06-11,0,0,0.0
2016-06-12,1,0,0.0
2016-06-13,0,0,0.0
2016-06-14,55,0,0.0
2016-06-15,13,0,0.0
2016-06-16,0,0,0.0
2016-06-17,0,0,0.0
2016-06-18,0,0,0.0
2016-06-19,0,0,0.0
2016-06-20,11,0,0.0
2016-06-21,0,0,7.0
2016-06-22,0,0,-2.7999999999999994
2016-06-23,0,0,-0.84
2016-06-24,1,0,-0.448
2016-06-25,0,0,-0.29120000000000035
2016-06-26,2,0,-0.20966400000000013
2016-06-27,0,0,-0.16074240000000004
2016-06-28,0,0,-0.12859391999999997
2016-06-29,0,0,-0.10608998399999996
2016-06-30,0,0,-0.08958709759999997
2016-07-01,0,0,0.0
2016-07-02,4,0,0.0
2016-07-03,0,0,0.0
2016-07-04,12,0,0.0
2016-07-05,0,0,0.0
2016-07-06,0,0,0.0
2016-07-07,0,0,0.0
2016-07-08,0,0,0.0
2016-07-09,0,0,0.0
2016-07-10,0,0,0.0
2016-07-11,0,0,0.0
2016-07-12,0,0,0.0
2016-07-13,0,0,0.0
2016-07-14,0,0,0.0
2016-07-15,0,0,0.0
2016-07-16,0,0,0.0
2016-07-17,0,0,0.0
2016-07-18,0,0,1.0
2016-07-19,0,0,-0.3999999999999999
2016-07-20,0,0,-0.12
2016-07-21,0,0,-0.064
2016-07-22,0,0,-0.04160000000000005
2016-07-23,0,0,-0.029952000000000017
2016-07-24,0,0,-0.022963200000000007
2016-07-25,0,0,-0.018370559999999994
2016-07-26,0,0,-0.015155711999999993
2016-07-27,0,0,-0.012798156799999997
2016-07-28,0,0,0.0
2016-07-29,0,0,0.0
2016-07-30,0,0,0.0
2016-07-31,0,0,0.0
2016-08-01,0,0,0.0
2016-08-02,0,0,0.0
2016-08-03,0,0,1.0
2016-08-04,0,0,13.6
2016-08-05,0,0,-3.719999999999999
2016-08-06,0,0,-1.5439999999999996
2016-08-07,0,0,-1.5776
2016-08-08,0,0,-0.8603520000000007
2016-08-09,0,0,-0.5894912000000003
2016-08-10,0,0,-0.4413593600000001
2016-08-11,0,0,-0.348221952
2016-08-12,0,0,-0.2846824447999999
2016-08-13,0,0,-0.2278561791999999
2016-08-14,0,0,-0.040752025599999984
2016-08-15,0,0,-0.012798156799999997
2016-08-16,0,0,1.0
2016-08-17,0,0,-0.3999999999999999
2016-08-18,0,0,0.88
2016-08-19,0,0,-0.4639999999999999
2016-08-20,0,0,-0.16160000000000005
2016-08-21,0,0,2.906048
2016-08-22,0,0,-1.2645631999999998
2016-08-23,0,0,-0.40832256
2016-08-24,0,0,-0.230118912
2016-08-25,0,0,-0.15596871680000013
2016-08-26,0,0,-0.10501171200000003
2016-08-27,1,0,-0.08168775680000002
2016-08-28,0,0,-0.05511167999999998
2016-08-29,1,0,-0.04546713599999998
2016-08-30,0,0,-0.03839447039999999
2016-08-31,4,0,0.0
2016-09-01,26,0,0.0
2016-09-02,0,1,0.0
2016-09-03,30,0,0.0
2016-09-04,2,0,0.0
2016-09-05,0,0,0.0
2016-09-06,0,0,0.0
2016-09-07,16,2,0.0
2016-09-08,0,0,0.0
2016-09-09,0,0,0.0
2016-09-10,0,0,0.0
2016-09-11,0,0,0.0
2016-09-12,7,0,0.0
2016-09-13,3,0,0.0
2016-09-14,1,0,0.0
2016-09-15,0,0,0.0
2016-09-16,0,0,0.0
2016-09-17,0,0,2.0
2016-09-18,0,0,-0.7999999999999998
2016-09-19,0,0,-0.24
2016-09-20,0,0,-0.128
2016-09-21,5,0,-0.0832000000000001
2016-09-22,0,0,-0.059904000000000034
2016-09-23,0,0,-0.04592640000000001
2016-09-24,0,0,-0.03674111999999999
2016-09-25,0,0,1.969688576
2016-09-26,0,0,5.1744036864
2016-09-27,0,0,-2.6399999999999997
2016-09-28,0,0,-0.848
2016-09-29,0,0,-0.4672000000000001
2016-09-30,0,0,-0.3095040000000003
2016-10-01,0,0,-0.2256384000000001
2016-10-02,0,0,-0.17452032000000003
2016-10-03,0,0,-0.14053478399999994
2016-10-04,0,0,-0.11653058559999994
2016-10-05,0,0,-0.07678894079999998
2016-10-06,0,1,0.0
2016-10-07,0,1,0.0
2016-10-08,0,0,0.0
2016-10-09,0,4,0.0
2016-10-10,0,0,0.0
2016-10-11,0,21,0.0
2016-10-12,0,8,0.0
2016-10-13,0,5,0.0
2016-10-14,1,0,0.0
2016-10-15,0,4,0.0
2016-10-16,0,3,0.0
2016-10-17,0,0,0.0
2016-10-18,0,0,0.0
2016-10-19,0,0,0.0
2016-10-20,1,9,0.0
2016-10-21,0,0,0.0
2016-10-22,0,0,0.0
2016-10-23,0,6,0.0
2016-10-24,9,3,0.0
2016-10-25,0,5,0.0
2016-10-26,0,1,0.0
2016-10-27,0,0,0.0
2016-10-28,0,0,0.0
2016-10-29,0,0,0.0
2016-10-30,0,0,0.0
2016-10-31,1,0,0.0
2016-11-01,2,3,0.0
2016-11-02,0,0,0.0
2016-11-03,0,0,0.0
2016-11-04,0,0,0.0
2016-11-05,0,0,1.0
2016-11-06,53,0,-0.3999999999999999
