,dropwizard/dropwizard,apache/tomee,spring-projects/spring-boot
2020-12-21,0,1,26
2020-12-22,0,0,19
2020-12-23,0,5,17
2020-12-24,0,0,2
2020-12-25,0,0,0
2020-12-26,3,0,0
2020-12-27,3,0,0
2020-12-28,1,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,1,0,0
2021-01-01,1,0,4
2021-01-02,2,0,0
2021-01-03,0,0,4
2021-01-04,1,1,7
2021-01-05,0,1,17
2021-01-06,1,0,23
2021-01-07,0,0,27
2021-01-08,0,1,13
2021-01-09,6,5,0
2021-01-10,0,0,1
2021-01-11,1,3,39
2021-01-12,1,2,64
2021-01-13,0,5,21
2021-01-14,0,3,37
2021-01-15,0,1,26
2021-01-16,0,1,0
2021-01-17,0,0,3
2021-01-18,2,3,20
2021-01-19,0,0,10
2021-01-20,0,1,54
2021-01-21,0,0,22
2021-01-22,0,4,13
2021-01-23,0,1,1
2021-01-24,2,1,0
2021-01-25,1,6,0
2021-01-26,1,0,13
2021-01-27,0,0,12
2021-01-28,1,2,19
2021-01-29,0,0,21
2021-01-30,0,0,4
2021-01-31,0,1,9
2021-02-01,4,3,6
2021-02-02,0,5,18
2021-02-03,0,0,2
2021-02-04,0,0,10
2021-02-05,0,1,3
2021-02-06,4,0,0
2021-02-07,1,0,0
2021-02-08,0,0,0
2021-02-09,0,0,28
2021-02-10,0,0,36
2021-02-11,0,0,13
2021-02-12,1,2,74
2021-02-13,0,0,0
2021-02-14,0,0,6
2021-02-15,0,0,31
2021-02-16,0,0,38
2021-02-17,0,0,54
2021-02-18,0,0,38
2021-02-19,0,0,8
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,0,0,13
2021-02-23,0,1,5
2021-02-24,1,0,9
2021-02-25,0,0,29
2021-02-26,0,0,13
2021-02-27,4,2,6
2021-02-28,2,0,0
2021-03-01,0,1,19
2021-03-02,0,1,0
2021-03-03,0,0,13
2021-03-04,0,5,12
2021-03-05,0,2,35
2021-03-06,0,0,7
2021-03-07,4,0,0
2021-03-08,0,8,6
2021-03-09,1,3,17
2021-03-10,0,0,23
2021-03-11,1,2,21
2021-03-12,0,6,4
2021-03-13,0,3,4
2021-03-14,1,2,3
2021-03-15,0,1,31
2021-03-16,0,2,70
2021-03-17,5,0,43
2021-03-18,1,1,16
2021-03-19,0,0,9
2021-03-20,1,1,0
2021-03-21,2,0,0
2021-03-22,0,1,8
2021-03-23,0,3,22
2021-03-24,0,1,23
2021-03-25,0,2,3
2021-03-26,0,2,8
2021-03-27,0,1,4
2021-03-28,0,3,0
2021-03-29,0,0,20
2021-03-30,0,0,20
2021-03-31,0,0,8
2021-04-01,0,0,20
2021-04-02,0,4,0
2021-04-03,1,13,0
2021-04-04,0,1,4
2021-04-05,1,3,4
2021-04-06,0,2,20
2021-04-07,0,8,25
2021-04-08,0,2,24
2021-04-09,0,0,78
2021-04-10,2,1,11
2021-04-11,0,0,1
2021-04-12,0,1,37
2021-04-13,0,2,65
2021-04-14,0,1,54
2021-04-15,0,0,33
2021-04-16,0,2,10
2021-04-17,0,2,0
2021-04-18,0,4,0
2021-04-19,0,1,17
2021-04-20,0,6,22
2021-04-21,0,7,8
2021-04-22,0,7,16
2021-04-23,0,0,1
2021-04-24,2,2,3
2021-04-25,4,3,1
2021-04-26,0,6,7
2021-04-27,0,3,23
2021-04-28,0,1,28
2021-04-29,0,2,23
2021-04-30,1,6,26
2021-05-01,0,2,3
2021-05-02,0,5,0
2021-05-03,0,14,2
2021-05-04,1,0,16
2021-05-05,1,0,3
2021-05-06,1,0,10
2021-05-07,0,0,13
2021-05-08,0,0,0
2021-05-09,0,0,0
2021-05-10,1,1,20
2021-05-11,0,1,30
2021-05-12,0,3,21
2021-05-13,0,0,8
