,NativeScript/NativeScript,flutter/flutter,ionic-team/ionic-framework
2019-05-16,1,13,0
2019-05-17,2,10,1
2019-05-18,0,3,0
2019-05-19,0,2,0
2019-05-20,1,20,4
2019-05-21,6,22,8
2019-05-22,9,8,12
2019-05-23,1,8,2
2019-05-24,0,9,4
2019-05-25,0,3,0
2019-05-26,0,2,1
2019-05-27,0,2,0
2019-05-28,0,13,0
2019-05-29,0,15,5
2019-05-30,0,31,1
2019-05-31,3,14,1
2019-06-01,0,8,0
2019-06-02,0,1,0
2019-06-03,5,25,7
2019-06-04,2,23,0
2019-06-05,3,14,0
2019-06-06,4,23,0
2019-06-07,2,19,0
2019-06-08,0,13,0
2019-06-09,0,6,0
2019-06-10,1,19,7
2019-06-11,0,18,18
2019-06-12,1,15,10
2019-06-13,1,16,1
2019-06-14,0,16,0
2019-06-15,0,7,0
2019-06-16,0,4,0
2019-06-17,2,5,0
2019-06-18,2,16,0
2019-06-19,0,23,1
2019-06-20,1,19,1
2019-06-21,5,11,4
2019-06-22,0,7,0
2019-06-23,0,4,1
2019-06-24,3,9,1
2019-06-25,8,13,3
2019-06-26,8,14,5
2019-06-27,6,17,5
2019-06-28,9,26,5
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,1,8,6
2019-07-02,0,5,5
2019-07-03,5,13,3
2019-07-04,2,2,0
2019-07-05,0,1,3
2019-07-06,0,0,1
2019-07-07,0,0,0
2019-07-08,2,17,2
2019-07-09,5,16,7
2019-07-10,11,13,8
2019-07-11,1,15,1
2019-07-12,0,16,3
2019-07-13,0,5,0
2019-07-14,0,0,0
2019-07-15,1,7,1
2019-07-16,13,13,0
2019-07-17,11,27,3
2019-07-18,4,14,3
2019-07-19,5,23,1
2019-07-20,1,3,0
2019-07-21,0,6,0
2019-07-22,4,19,5
2019-07-23,0,16,6
2019-07-24,1,17,10
2019-07-25,4,11,6
2019-07-26,4,15,4
2019-07-27,0,9,0
2019-07-28,2,2,0
2019-07-29,1,11,1
2019-07-30,2,16,4
2019-07-31,3,15,1
2019-08-01,4,19,0
2019-08-02,9,19,1
2019-08-03,0,5,0
2019-08-04,0,3,0
2019-08-05,2,8,1
2019-08-06,0,25,9
2019-08-07,6,19,13
2019-08-08,2,18,9
2019-08-09,0,22,0
2019-08-10,0,5,0
2019-08-11,0,0,0
2019-08-12,2,13,2
2019-08-13,2,6,4
2019-08-14,5,23,0
2019-08-15,5,30,1
2019-08-16,1,28,2
2019-08-17,0,5,0
2019-08-18,2,3,0
2019-08-19,5,14,1
2019-08-20,4,32,4
2019-08-21,2,20,6
2019-08-22,4,19,3
2019-08-23,3,16,6
2019-08-24,0,3,0
2019-08-25,0,2,0
2019-08-26,1,14,4
2019-08-27,0,17,11
2019-08-28,4,31,3
2019-08-29,3,15,2
2019-08-30,2,15,3
2019-08-31,0,10,0
2019-09-01,0,0,0
2019-09-02,0,13,0
2019-09-03,0,25,2
2019-09-04,1,5,5
2019-09-05,0,21,4
2019-09-06,0,17,0
