,scikit-learn/scikit-learn,statsmodels/statsmodels,mlpack/mlpack
2022-05-05,6,0,1
2022-05-06,7,1,0
2022-05-07,1,0,0
2022-05-08,0,2,0
2022-05-09,4,3,6
2022-05-10,5,0,23
2022-05-11,2,0,6
2022-05-12,12,3,0
2022-05-13,8,0,0
2022-05-14,5,0,1
2022-05-15,0,0,3
2022-05-16,7,0,12
2022-05-17,4,1,3
2022-05-18,6,2,0
2022-05-19,8,0,1
2022-05-20,5,0,0
2022-05-21,2,0,0
2022-05-22,0,0,0
2022-05-23,5,0,1
2022-05-24,6,0,2
2022-05-25,10,0,4
2022-05-26,2,0,0
2022-05-27,1,0,5
2022-05-28,1,0,9
2022-05-29,0,0,3
2022-05-30,7,10,0
2022-05-31,5,1,1
2022-06-01,8,16,0
2022-06-02,3,0,0
2022-06-03,4,0,2
2022-06-04,2,1,2
2022-06-05,1,1,3
2022-06-06,4,1,0
2022-06-07,7,0,2
2022-06-08,1,1,1
2022-06-09,7,0,9
2022-06-10,0,0,9
2022-06-11,0,1,7
2022-06-12,0,1,0
2022-06-13,3,0,7
2022-06-14,6,5,2
2022-06-15,6,1,1
2022-06-16,10,0,4
2022-06-17,8,0,3
2022-06-18,0,0,2
2022-06-19,0,3,1
2022-06-20,14,4,13
2022-06-21,9,24,7
2022-06-22,11,2,1
2022-06-23,7,0,9
2022-06-24,15,0,4
2022-06-25,0,0,1
2022-06-26,0,0,2
2022-06-27,7,0,12
2022-06-28,17,0,3
2022-06-29,16,3,0
2022-06-30,11,0,1
2022-07-01,1,2,1
2022-07-02,0,0,1
2022-07-03,0,0,3
2022-07-04,3,0,1
2022-07-05,0,0,0
2022-07-06,11,1,0
2022-07-07,9,4,3
2022-07-08,2,1,6
2022-07-09,0,0,9
2022-07-10,0,0,0
2022-07-11,0,0,4
2022-07-12,2,0,8
2022-07-13,0,3,1
2022-07-14,0,0,0
2022-07-15,1,1,0
2022-07-16,11,0,0
2022-07-17,3,0,0
2022-07-18,1,0,0
2022-07-19,17,1,1
2022-07-20,9,2,4
2022-07-21,13,1,0
2022-07-22,7,2,9
2022-07-23,1,0,2
2022-07-24,0,0,1
2022-07-25,12,0,0
2022-07-26,7,0,3
2022-07-27,11,0,0
2022-07-28,9,0,0
2022-07-29,5,0,3
2022-07-30,0,0,13
2022-07-31,1,0,18
2022-08-01,4,3,4
2022-08-02,2,2,7
2022-08-03,4,0,0
2022-08-04,2,0,0
2022-08-05,12,0,0
2022-08-06,0,0,1
2022-08-07,1,0,0
2022-08-08,2,0,0
2022-08-09,2,0,0
2022-08-10,5,3,3
2022-08-11,4,9,2
2022-08-12,4,0,6
2022-08-13,2,0,2
2022-08-14,0,2,2
2022-08-15,1,1,14
2022-08-16,3,4,4
2022-08-17,2,0,4
2022-08-18,1,0,14
2022-08-19,1,0,2
2022-08-20,0,0,5
2022-08-21,0,0,0
2022-08-22,2,2,0
2022-08-23,1,1,0
2022-08-24,8,0,0
2022-08-25,6,0,0
2022-08-26,5,1,3
2022-08-27,0,1,0
2022-08-28,0,0,0
2022-08-29,11,0,1
2022-08-30,12,0,0
2022-08-31,11,0,1
2022-09-01,4,0,2
2022-09-02,21,0,9
2022-09-03,6,0,2
2022-09-04,3,0,4
2022-09-05,14,0,0
2022-09-06,7,0,0
2022-09-07,10,0,0
2022-09-08,4,1,1
2022-09-09,12,2,2
2022-09-10,3,0,5
2022-09-11,0,0,3
2022-09-12,8,1,0
2022-09-13,3,0,0
2022-09-14,1,0,0
2022-09-15,4,0,7
2022-09-16,10,0,0
2022-09-17,1,0,0
2022-09-18,1,0,0
2022-09-19,6,2,0
2022-09-20,6,0,0
2022-09-21,4,0,6
2022-09-22,4,1,5
2022-09-23,4,0,1
2022-09-24,2,0,1
2022-09-25,6,0,0
2022-09-26,10,3,1
2022-09-27,7,0,0
2022-09-28,5,0,2
2022-09-29,1,0,0
2022-09-30,6,0,1
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,4,0,0
2022-10-04,1,0,0
2022-10-05,0,0,1
2022-10-06,6,1,1
2022-10-07,9,0,1
2022-10-08,0,1,0
2022-10-09,0,1,1
2022-10-10,5,8,0
2022-10-11,2,10,0
2022-10-12,5,0,0
2022-10-13,16,0,0
2022-10-14,8,0,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,3,0,2
2022-10-18,4,0,2
2022-10-19,3,0,3
2022-10-20,2,1,4
2022-10-21,0,0,1
2022-10-22,0,0,1
2022-10-23,4,1,1
2022-10-24,5,5,2
2022-10-25,5,5,6
2022-10-26,5,5,1
2022-10-27,2,2,1
2022-10-28,9,0,0
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,2,4,1
2022-11-01,3,3,1
2022-11-02,4,9,0
2022-11-03,19,0,5
2022-11-04,8,1,3
2022-11-05,1,0,0
2022-11-06,0,1,0
2022-11-07,2,0,2
2022-11-08,1,1,0
2022-11-09,0,2,0
2022-11-10,5,1,0
2022-11-11,1,1,6
2022-11-12,5,1,0
2022-11-13,4,1,0
2022-11-14,3,0,6
2022-11-15,17,0,0
2022-11-16,9,0,4
2022-11-17,10,0,2
2022-11-18,11,0,3
2022-11-19,0,0,2
2022-11-20,1,0,0
2022-11-21,2,1,4
2022-11-22,9,0,0
2022-11-23,4,0,1
2022-11-24,8,0,0
2022-11-25,14,0,0
2022-11-26,0,3,0
2022-11-27,0,2,0
2022-11-28,9,2,1
2022-11-29,6,5,0
2022-11-30,8,8,0
2022-12-01,5,3,8
2022-12-02,8,0,6
2022-12-03,1,1,4
2022-12-04,0,1,0
2022-12-05,2,8,2
2022-12-06,6,7,4
2022-12-07,5,2,1
2022-12-08,3,12,1
2022-12-09,5,6,0
2022-12-10,0,1,0
2022-12-11,0,0,0
2022-12-12,2,0,0
2022-12-13,6,0,0
2022-12-14,3,0,0
2022-12-15,5,0,0
2022-12-16,1,0,0
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,4,1,0
2022-12-20,0,0,0
2022-12-21,0,0,0
2022-12-22,5,0,0
2022-12-23,0,2,1
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,7,3,0
2022-12-28,12,0,0
2022-12-29,3,0,5
2022-12-30,0,0,0
2022-12-31,4,0,0
2023-01-01,0,0,1
2023-01-02,4,0,0
2023-01-03,8,1,0
2023-01-04,3,0,0
2023-01-05,6,0,3
2023-01-06,3,9,0
2023-01-07,0,0,0
2023-01-08,0,3,0
2023-01-09,5,8,3
2023-01-10,2,5,2
2023-01-11,12,0,3
2023-01-12,10,0,4
2023-01-13,11,0,1
2023-01-14,6,0,0
2023-01-15,0,0,0
2023-01-16,3,0,0
2023-01-17,2,2,1
2023-01-18,12,0,2
2023-01-19,4,1,0
2023-01-20,5,1,0
2023-01-21,0,0,0
2023-01-22,0,0,0
2023-01-23,6,0,1
2023-01-24,9,0,12
2023-01-25,3,3,5
2023-01-26,5,2,11
2023-01-27,5,2,7
2023-01-28,0,0,6
2023-01-29,0,1,2
2023-01-30,3,0,0
2023-01-31,0,0,0
2023-02-01,1,3,22
2023-02-02,1,3,3
2023-02-03,4,2,2
2023-02-04,3,0,9
