,akka/akka,lightbend/kalix-jvm-sdk,lagom/lagom
2019-08-29,6,0,1.0
2019-08-30,6,0,3.7
2019-08-31,0,0,-1.3050000000000002
2019-09-01,0,0,0.5205000000000003
2019-09-02,3,2,1.4218375
2019-09-03,15,1,-0.89537025
2019-09-04,7,3,17.5883381375
2019-09-05,12,0,5.3287567762500005
2019-09-06,13,0,-0.3917510617656248
2019-09-07,0,0,-2.8858116427953115
2019-09-08,1,0,-2.322277651681249
2019-09-09,5,1,-1.4330432642656248
2019-09-10,11,0,0.9483723782359375
2019-09-11,3,0,0.5867490085343747
2019-09-12,1,0,1.5495645244687493
2019-09-13,6,0,10.2337874461375
2019-09-14,0,0,-4.362083403139064
2019-09-15,0,0,-1.6620592829296865
2019-09-16,4,0,4.045926861767188
2019-09-17,7,1,-2.1555870225000002
2019-09-18,4,0,-1.0211535685312496
2019-09-19,19,0,4.307337568753125
2019-09-20,1,0,1.9969032382374996
2019-09-21,0,0,-1.1048720908859382
2019-09-22,0,0,-1.2969052712937499
2019-09-23,1,0,0.3614011312500003
2019-09-24,1,0,0.2518651661718747
2019-09-25,0,0,11.251635121335937
2019-09-26,19,0,-1.9821300687500005
2019-09-27,6,0,7.861843958671876
2019-09-28,0,0,-2.1442639569765625
2019-09-29,3,0,-2.3741614821968744
2019-09-30,8,0,5.702210450517188
2019-10-01,25,0,2.005730159484375
2019-10-02,4,0,1.0839633600015626
2019-10-03,19,0,-2.6757676869203126
2019-10-04,16,0,-1.429526354825
2019-10-05,2,0,-0.8707027916218754
2019-10-06,0,0,-0.6398048533593753
2019-10-07,15,0,0.604846944784375
2019-10-08,20,0,0.40095316389062463
2019-10-09,19,0,3.344703428542187
2019-10-10,12,0,0.504076066773437
2019-10-11,10,0,2.8260038470687503
2019-10-12,0,0,2.28211725
2019-10-13,0,0,-1.9526511125
2019-10-14,11,0,10.10055586375
2019-10-15,20,0,-1.8860479405156259
2019-10-16,4,0,0.8136180500015633
2019-10-17,12,1,2.9084907222046876
2019-10-18,2,0,5.3691728685375
2019-10-19,1,0,-1.6772505385281251
2019-10-20,0,0,-2.2913580074937494
2019-10-21,1,0,0.7146013608187505
2019-10-22,2,0,3.5286977305781244
2019-10-23,3,1,4.617465887157812
2019-10-24,3,0,9.8407292544875
2019-10-25,6,0,7.668821261473438
2019-10-26,1,0,-6.174598347789062
2019-10-27,0,0,-2.7552212143937487
2019-10-28,3,0,-1.6851399364656245
2019-10-29,0,0,7.80201841021875
2019-10-30,0,0,7.37173421095625
2019-10-31,4,0,12.026850145226561
2019-11-01,2,0,-3.3384257693328125
2019-11-02,0,0,-4.383944189979687
2019-11-03,0,0,-2.317354122026562
2019-11-04,1,0,4.5427869874999995
2019-11-05,6,0,3.1074007987499996
2019-11-06,14,0,22.703923875359376
2019-11-07,2,0,-7.499291707267188
2019-11-08,7,0,-2.4231258255765615
2019-11-09,0,0,-3.0707213920203125
2019-11-10,0,0,-1.7455653279312497
2019-11-11,0,0,-1.2254803174999997
2019-11-12,1,0,0.04592813190624989
2019-11-13,2,0,-0.07565212249062547
2019-11-14,0,0,-0.9837713878031262
2019-11-15,0,0,-0.5873367250843755
2019-11-16,0,0,2.841417240003125
2019-11-17,0,0,-0.9970495764656252
2019-11-18,5,0,4.6319988875
2019-11-19,14,0,1.27926186375
2019-11-20,10,0,3.419678509484375
2019-11-21,5,0,1.7688791200015626
2019-11-22,8,0,-0.18773850073281206
2019-11-23,0,0,-1.6434605712499997
2019-11-24,0,0,-0.9020077127968747
2019-11-25,14,0,1.3663695540515626
2019-11-26,21,0,1.9481342824218748
2019-11-27,8,0,1.5271024647890623
2019-11-28,5,0,-0.5765246435265627
2019-11-29,10,0,-1.0431634807265626
2019-11-30,0,0,-0.5495150864625
2019-12-01,0,0,-0.34287680146562505
2019-12-02,6,0,0.762919615
2019-12-03,3,0,1.5118119077187497
2019-12-04,6,0,5.1400503394875
2019-12-05,12,0,-2.176837663745313
2019-12-06,5,0,2.154210543535938
2019-12-07,0,0,-1.3806286632328124
2019-12-08,0,0,-0.6386963624999997
2019-12-09,3,0,-0.4223404987499999
2019-12-10,3,1,2.686036060734375
2019-12-11,10,0,4.851758760735937
2019-12-12,7,0,3.6927302854406245
2019-12-13,3,0,3.253127699353125
2019-12-14,0,0,-2.9551176502968746
2019-12-15,0,0,-1.357885989698437
2019-12-16,8,0,1.1538609125000003
2019-12-17,8,0,2.7841465037499997
2019-12-18,6,2,-0.8893804677968751
2019-12-19,7,1,-1.2284393577921875
2019-12-20,4,0,-0.7138294224906252
2019-12-21,0,0,0.5436487200093746
2019-12-22,0,0,0.41289429560312485
2019-12-23,0,0,-0.5657582475
2019-12-24,0,0,-0.29536339103125
2019-12-25,0,0,-0.2092934672781252
2019-12-26,1,0,-0.14009311969687513
2019-12-27,0,0,-0.06658452573281251
2019-12-28,0,0,-0.04223813625
2019-12-29,0,0,-0.03483399051562505
2019-12-30,0,0,-0.02946012999843757
2019-12-31,0,0,-0.013583413232812524
2020-01-01,0,0,0.0
2020-01-02,2,0,1.0
2020-01-03,3,0,1.7
2020-01-04,0,0,-0.7050000000000001
2020-01-05,0,0,-0.26949999999999985
2020-01-06,1,0,-0.15916249999999993
2020-01-07,11,0,-0.11004524999999998
2020-01-08,8,0,-0.08272136249999999
2020-01-09,1,0,1.93448100125
2020-01-10,3,0,5.346208735734375
2020-01-11,1,0,-0.05533684676406292
2020-01-12,0,0,-1.3761668264656246
2020-01-13,6,0,2.3526750000000005
2020-01-14,18,0,-1.3194155
2020-01-15,5,0,0.3797917750000003
2020-01-16,1,0,-0.7155402224999999
2020-01-17,6,0,-0.41754630103125007
2020-01-18,0,0,-0.30900242455937527
2020-01-19,0,0,-0.2232590004281252
2020-01-20,4,0,0.8862411022843749
2020-01-21,4,0,-0.37091101279687516
2020-01-22,4,0,-0.1647075134484375
2020-01-23,1,0,-0.07537671676562502
2020-01-24,5,0,-0.05374591323281252
2020-01-25,0,0,-0.029720249999999997
2020-01-26,0,0,-0.023280862499999996
2020-01-27,4,0,1.98104272625
2020-01-28,3,0,1.3841232832343748
2020-01-29,3,0,0.17641658676718752
2020-01-30,3,0,-0.6289999999999998
2020-01-31,5,0,0.6956750000000002
2020-02-01,0,0,-0.49926550000000003
2020-02-02,0,0,0.7488352750000001
2020-02-03,1,0,0.5263034775
2020-02-04,11,0,1.4618886564687499
2020-02-05,7,0,-0.8720977837468751
2020-02-06,6,0,-0.37598690573124993
2020-02-07,4,0,-0.22142343698281247
2020-02-08,0,0,-0.14920282926562503
2020-02-09,0,0,-0.11526204948281252
2020-02-10,3,0,1.918604284484375
2020-02-11,9,0,-0.6673746774984377
2020-02-12,9,0,0.7446631532359376
2020-02-13,2,0,-0.446166826465625
2020-02-14,2,0,-0.1853249999999999
2020-02-15,0,0,-0.11894049999999996
2020-02-16,0,0,-0.08672422499999999
2020-02-17,1,0,-0.06763479750000001
2020-02-18,2,0,-0.05503429603125008
2020-02-19,1,0,5.953875899784375
2020-02-20,3,0,-1.8158767167656253
2020-02-21,2,0,2.356416586767188
2020-02-22,0,0,-1.257
2020-02-23,0,0,-0.5559749999999998
2020-02-24,0,0,2.6431785000000003
2020-02-25,2,0,0.8398273249999999
2020-02-26,3,0,-1.1179043924999998
2020-02-27,3,0,-0.55360288809375
2020-02-28,3,0,-0.37785980064687513
2020-02-29,0,0,-0.2171159002968751
2020-03-01,0,1,-0.17003332719843756
2020-03-02,7,0,-0.10343354625000001
2020-03-03,8,0,0.9144553022031249
