,pi-hole/pi-hole,AdguardTeam/AdGuardHome,NLnetLabs/unbound
2018-09-30,9,0,0
2018-10-01,4,0,2
2018-10-02,1,2,11
2018-10-03,1,4,0
2018-10-04,0,9,0
2018-10-05,0,3,3
2018-10-06,0,6,0
2018-10-07,1,3,0
2018-10-08,1,14,6
2018-10-09,0,18,0
2018-10-10,0,13,0
2018-10-11,0,14,0
2018-10-12,1,22,0
2018-10-13,2,0,0
2018-10-14,0,8,0
2018-10-15,0,19,0
2018-10-16,1,5,0
2018-10-17,6,7,0
2018-10-18,0,2,0
2018-10-19,2,0,0
2018-10-20,1,3,0
2018-10-21,2,0,0
2018-10-22,0,2,5
2018-10-23,1,3,0
2018-10-24,1,0,1
2018-10-25,2,6,11
2018-10-26,4,4,0
2018-10-27,0,1,0
2018-10-28,0,1,0
2018-10-29,0,15,0
2018-10-30,0,11,0
2018-10-31,3,1,0
2018-11-01,6,1,0
2018-11-02,2,3,0
2018-11-03,3,0,0
2018-11-04,0,0,0
2018-11-05,0,12,0
2018-11-06,0,5,1
2018-11-07,3,0,0
2018-11-08,5,2,0
2018-11-09,4,8,0
2018-11-10,2,2,0
2018-11-11,1,0,0
2018-11-12,0,1,0
2018-11-13,3,0,0
2018-11-14,0,0,1
2018-11-15,0,0,0
2018-11-16,0,2,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,1,2,1
2018-11-20,0,4,3
2018-11-21,2,2,2
2018-11-22,0,3,9
2018-11-23,0,0,0
2018-11-24,0,0,0
2018-11-25,1,3,0
2018-11-26,1,24,4
2018-11-27,2,3,10
2018-11-28,0,12,2
2018-11-29,1,5,7
2018-11-30,0,0,2
2018-12-01,1,0,0
2018-12-02,0,0,0
2018-12-03,0,0,9
2018-12-04,0,0,1
2018-12-05,1,51,0
2018-12-06,3,9,1
2018-12-07,0,2,0
2018-12-08,1,0,0
2018-12-09,1,0,0
2018-12-10,3,0,6
2018-12-11,0,2,2
2018-12-12,1,0,1
2018-12-13,0,0,0
2018-12-14,0,0,0
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,5,0
2018-12-18,2,1,0
2018-12-19,1,1,0
2018-12-20,0,0,0
2018-12-21,1,0,0
2018-12-22,0,0,0
2018-12-23,0,0,0
2018-12-24,0,10,0
2018-12-25,2,1,0
2018-12-26,0,3,0
2018-12-27,1,0,0
2018-12-28,1,30,0
2018-12-29,0,18,0
2018-12-30,0,0,0
2018-12-31,0,4,0
2019-01-01,2,0,0
2019-01-02,3,0,0
2019-01-03,3,0,0
2019-01-04,1,6,0
2019-01-05,1,2,0
2019-01-06,0,0,0
2019-01-07,1,0,3
2019-01-08,0,0,2
2019-01-09,1,1,1
2019-01-10,0,0,0
2019-01-11,0,1,1
2019-01-12,0,0,0
2019-01-13,2,0,0
2019-01-14,0,0,1
2019-01-15,0,5,3
2019-01-16,0,3,1
2019-01-17,0,0,2
2019-01-18,0,0,0
2019-01-19,2,1,0
2019-01-20,3,0,0
2019-01-21,0,0,7
2019-01-22,0,0,7
2019-01-23,0,0,14
2019-01-24,7,0,6
2019-01-25,0,10,6
2019-01-26,0,0,0
2019-01-27,1,0,0
2019-01-28,1,0,4
2019-01-29,1,2,4
2019-01-30,0,4,1
2019-01-31,2,0,9
2019-02-01,3,0,0
2019-02-02,6,0,0
2019-02-03,14,0,0
2019-02-04,0,2,3
2019-02-05,5,8,2
2019-02-06,6,30,0
2019-02-07,0,15,1
2019-02-08,4,1,2
2019-02-09,0,0,0
2019-02-10,1,4,0
2019-02-11,1,7,5
2019-02-12,0,4,0
2019-02-13,0,0,0
2019-02-14,0,0,1
2019-02-15,0,42,0
2019-02-16,1,0,0
2019-02-17,0,0,0
2019-02-18,3,4,3
2019-02-19,1,16,0
2019-02-20,0,11,1
2019-02-21,0,8,3
2019-02-22,4,10,0
2019-02-23,3,0,0
2019-02-24,0,2,0
2019-02-25,0,10,1
2019-02-26,0,2,0
2019-02-27,1,30,4
2019-02-28,0,13,3
2019-03-01,2,2,1
2019-03-02,2,0,7
2019-03-03,1,0,0
2019-03-04,0,0,0
2019-03-05,0,1,1
2019-03-06,0,13,0
2019-03-07,0,6,1
2019-03-08,0,0,0
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,4,0
2019-03-12,0,4,1
2019-03-13,0,1,0
2019-03-14,2,2,0
2019-03-15,2,21,0
2019-03-16,1,0,0
2019-03-17,0,0,0
2019-03-18,0,2,2
2019-03-19,0,18,1
2019-03-20,0,12,0
2019-03-21,0,0,1
2019-03-22,0,7,0
2019-03-23,1,0,0
2019-03-24,1,3,1
2019-03-25,0,0,2
2019-03-26,0,1,0
2019-03-27,0,2,0
2019-03-28,0,7,0
2019-03-29,2,2,0
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,1,0
2019-04-02,0,1,3
2019-04-03,0,1,3
2019-04-04,0,14,1
2019-04-05,0,3,4
2019-04-06,0,0,0
2019-04-07,2,0,0
2019-04-08,0,0,5
2019-04-09,0,0,0
2019-04-10,0,0,1
2019-04-11,0,1,6
2019-04-12,0,0,0
2019-04-13,0,0,0
2019-04-14,1,0,0
2019-04-15,0,5,1
2019-04-16,1,6,2
2019-04-17,1,5,0
2019-04-18,0,2,13
2019-04-19,0,0,0
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,0,2,0
2019-04-23,3,34,0
2019-04-24,9,5,0
2019-04-25,10,0,7
2019-04-26,12,0,0
2019-04-27,4,0,0
2019-04-28,5,2,0
2019-04-29,3,0,15
2019-04-30,1,0,0
2019-05-01,14,0,12
2019-05-02,1,0,4
2019-05-03,4,0,1
2019-05-04,8,0,2
2019-05-05,2,0,1
2019-05-06,0,2,3
2019-05-07,3,0,2
2019-05-08,2,1,1
2019-05-09,1,0,1
2019-05-10,2,0,0
2019-05-11,3,0,0
2019-05-12,6,0,0
2019-05-13,0,4,2
2019-05-14,3,2,0
2019-05-15,0,6,0
2019-05-16,0,0,2
2019-05-17,1,21,0
2019-05-18,2,0,1
2019-05-19,1,0,0
2019-05-20,0,3,1
2019-05-21,6,0,0
2019-05-22,1,0,0
2019-05-23,0,2,0
2019-05-24,0,5,1
2019-05-25,0,0,0
2019-05-26,0,0,0
2019-05-27,2,4,1
2019-05-28,0,45,2
2019-05-29,0,1,1
