,square/okhttp,apache/httpcomponents-client,jetty/jetty.project
2023-06-25,0.0,0,3
2023-06-26,0.0,0,7
2023-06-27,0.0,1,9
2023-06-28,0.0,0,12
2023-06-29,0.0,0,12
2023-06-30,0.0,0,13
2023-07-01,1.0,0,0
2023-07-02,-0.10000000000000009,1,1
2023-07-03,-0.04500000000000003,0,4
2023-07-04,-0.028500000000000022,0,0
2023-07-05,-0.020662499999999924,0,5
2023-07-06,-0.016116749999999947,0,21
2023-07-07,-0.01316201249999996,0,18
2023-07-08,-0.011093696249999967,0,2
2023-07-09,0.990431686984375,0,0
2023-07-10,-0.10839885253593756,0,4
2023-07-11,-0.04500000000000003,0,5
2023-07-12,-0.028500000000000022,0,3
2023-07-13,-0.020662499999999924,1,3
2023-07-14,-0.016116749999999947,0,12
2023-07-15,-0.01316201249999996,0,5
2023-07-16,-0.011093696249999967,0,3
2023-07-17,-0.009568313015624975,0,11
2023-07-18,-0.008398852535937478,0,3
2023-07-19,0.0,0,5
2023-07-20,0.0,1,2
2023-07-21,0.0,0,1
2023-07-22,1.0,1,0
2023-07-23,-0.10000000000000009,0,0
2023-07-24,-0.04500000000000003,0,2
2023-07-25,-0.028500000000000022,0,0
2023-07-26,-0.020662499999999924,0,15
2023-07-27,-0.016116749999999947,0,2
2023-07-28,-0.01316201249999996,0,3
2023-07-29,-0.011093696249999967,0,0
2023-07-30,-0.009568313015624975,0,0
2023-07-31,-0.008398852535937478,0,28
2023-08-01,0.0,0,15
2023-08-02,0.0,0,3
2023-08-03,0.0,0,0
2023-08-04,0.0,0,0
2023-08-05,0.0,0,2
2023-08-06,0.0,0,1
2023-08-07,0.0,0,7
2023-08-08,0.0,0,7
2023-08-09,0.0,0,2
2023-08-10,0.0,0,2
2023-08-11,0.0,0,5
2023-08-12,0.0,18,1
2023-08-13,0.0,1,0
2023-08-14,2.0,0,3
2023-08-15,-0.20000000000000018,2,11
2023-08-16,-0.09000000000000007,0,6
2023-08-17,-0.057000000000000044,0,11
2023-08-18,-0.04132499999999985,0,16
2023-08-19,-0.032233499999999894,1,0
2023-08-20,-0.02632402499999992,1,1
2023-08-21,-0.022187392499999934,0,8
