,definitelytyped/definitelytyped,sindresorhus/type-fest,microsoft/TypeScript
2023-04-13,14,0,5
2023-04-14,10,0,6
2023-04-15,4,0,3
2023-04-16,4,0,2
2023-04-17,10,0,8
2023-04-18,30,0,8
2023-04-19,15,0,4
2023-04-20,17,0,10
2023-04-21,7,0,4
2023-04-22,0,0,1
2023-04-23,3,1,1
2023-04-24,4,0,2
2023-04-25,13,3,6
2023-04-26,19,0,6
2023-04-27,17,1,4
2023-04-28,10,3,2
2023-04-29,6,0,1
2023-04-30,1,0,1
2023-05-01,5,0,1
2023-05-02,11,2,8
2023-05-03,12,0,2
2023-05-04,13,1,2
2023-05-05,10,0,5
2023-05-06,4,0,1
2023-05-07,2,0,0
2023-05-08,11,0,2
2023-05-09,10,0,8
2023-05-10,9,0,1
2023-05-11,5,2,3
2023-05-12,4,0,4
2023-05-13,4,0,2
2023-05-14,2,0,1
2023-05-15,7,0,4
2023-05-16,8,0,3
2023-05-17,9,1,3
2023-05-18,6,0,4
2023-05-19,3,0,3
2023-05-20,0,3,4
2023-05-21,7,0,1
2023-05-22,13,0,4
2023-05-23,8,0,1
2023-05-24,12,0,11
2023-05-25,6,0,4
2023-05-26,3,0,7
2023-05-27,3,0,0
2023-05-28,5,0,0
2023-05-29,3,0,0
2023-05-30,5,3,5
2023-05-31,5,0,1
2023-06-01,3,0,5
2023-06-02,3,0,3
2023-06-03,0,0,1
2023-06-04,0,1,0
2023-06-05,5,0,5
2023-06-06,18,0,5
2023-06-07,4,0,2
2023-06-08,21,0,6
2023-06-09,3,0,4
2023-06-10,5,0,1
2023-06-11,3,0,1
2023-06-12,13,0,5
2023-06-13,13,0,6
2023-06-14,6,2,2
2023-06-15,2,0,1
2023-06-16,8,0,2
2023-06-17,0,0,1
2023-06-18,0,0,0
2023-06-19,11,0,0
2023-06-20,7,1,5
2023-06-21,5,0,3
2023-06-22,3,0,4
2023-06-23,9,0,5
2023-06-24,2,0,1
2023-06-25,3,0,1
2023-06-26,6,0,9
2023-06-27,5,0,5
2023-06-28,8,1,2
2023-06-29,14,0,4
2023-06-30,7,0,6
2023-07-01,0,0,2
2023-07-02,2,0,0
2023-07-03,3,0,3
2023-07-04,1,0,1
2023-07-05,10,0,2
2023-07-06,9,0,4
2023-07-07,12,0,3
2023-07-08,2,0,1
2023-07-09,5,3,0
2023-07-10,9,0,3
2023-07-11,5,0,1
2023-07-12,12,0,4
2023-07-13,9,0,5
2023-07-14,3,0,2
2023-07-15,2,0,1
2023-07-16,2,9,0
2023-07-17,7,0,2
2023-07-18,3,0,3
2023-07-19,4,0,3
2023-07-20,6,0,7
2023-07-21,3,0,4
2023-07-22,4,0,1
2023-07-23,1,0,1
2023-07-24,10,0,6
2023-07-25,20,0,2
2023-07-26,9,0,3
2023-07-27,6,1,1
2023-07-28,7,0,6
2023-07-29,3,0,1
2023-07-30,2,2,0
2023-07-31,19,0,3
2023-08-01,10,0,2
2023-08-02,6,0,2
2023-08-03,7,0,6
2023-08-04,8,0,2
2023-08-05,8,0,4
2023-08-06,3,0,1
2023-08-07,12,0,7
2023-08-08,8,4,5
2023-08-09,11,0,5
2023-08-10,4,0,1
2023-08-11,7,0,2
2023-08-12,3,0,1
2023-08-13,1,1,0
2023-08-14,11,1,7
2023-08-15,8,0,8
2023-08-16,1,0,8
2023-08-17,4,0,4
2023-08-18,7,0,0
2023-08-19,2,0,1
2023-08-20,3,0,0
2023-08-21,5,0,1
2023-08-22,8,0,3
2023-08-23,5,0,8
2023-08-24,12,1,8
2023-08-25,3,1,2
2023-08-26,4,3,5
2023-08-27,0,2,0
2023-08-28,8,0,11
2023-08-29,6,0,4
2023-08-30,11,0,4
2023-08-31,7,0,2
2023-09-01,6,0,3
2023-09-02,6,0,1
2023-09-03,4,0,1
2023-09-04,3,1,0
2023-09-05,7,0,1
2023-09-06,8,0,4
2023-09-07,3,0,2
2023-09-08,7,0,2
2023-09-09,5,0,1
2023-09-10,1,0,0
2023-09-11,14,0,3
2023-09-12,12,0,5
2023-09-13,16,0,13
2023-09-14,7,0,4
2023-09-15,12,0,4
2023-09-16,10,0,1
2023-09-17,2,0,1
2023-09-18,13,0,2
2023-09-19,8,0,5
2023-09-20,9,0,5
2023-09-21,6,0,6
2023-09-22,8,0,11
2023-09-23,5,0,3
2023-09-24,5,0,1
2023-09-25,10,0,3
2023-09-26,13,3,5
2023-09-27,9,0,3
2023-09-28,2,0,2
2023-09-29,4,0,8
2023-09-30,3,3,1
2023-10-01,2,0,1
2023-10-02,15,0,4
2023-10-03,12,0,3
2023-10-04,20,0,5
2023-10-05,12,0,5
2023-10-06,9,0,2
2023-10-07,6,2,1
2023-10-08,7,0,1
2023-10-09,31,0,3
2023-10-10,22,0,4
2023-10-11,15,0,1
2023-10-12,15,0,4
2023-10-13,9,0,2
2023-10-14,5,0,1
2023-10-15,1,0,1
2023-10-16,5,1,4
2023-10-17,13,3,1
2023-10-18,18,3,1
2023-10-19,18,0,4
2023-10-20,6,0,2
2023-10-21,1,3,1
2023-10-22,6,0,0
2023-10-23,5,1,2
2023-10-24,5,1,5
2023-10-25,11,6,5
2023-10-26,11,1,5
2023-10-27,11,0,3
2023-10-28,2,0,5
2023-10-29,4,0,1
2023-10-30,14,1,4
2023-10-31,9,0,2
2023-11-01,8,0,1
2023-11-02,6,1,3
2023-11-03,12,0,10
2023-11-04,4,1,1
2023-11-05,5,0,1
2023-11-06,9,0,3
2023-11-07,9,1,3
2023-11-08,7,4,2
2023-11-09,5,2,3
2023-11-10,7,0,1
2023-11-11,3,1,0
2023-11-12,2,0,0
2023-11-13,3,4,4
2023-11-14,3,0,2
2023-11-15,4,3,5
2023-11-16,12,0,6
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,0,0,1
2023-11-20,12,1,4
2023-11-21,16,2,13
2023-11-22,15,0,5
2023-11-23,9,0,0
2023-11-24,3,1,0
2023-11-25,1,0,0
2023-11-26,2,0,0
2023-11-27,9,0,5
2023-11-28,21,1,7
2023-11-29,10,0,10
2023-11-30,9,0,10
2023-12-01,10,0,4
2023-12-02,7,2,2
2023-12-03,16,0,0
2023-12-04,66,2,3
2023-12-05,38,0,3
2023-12-06,76,0,3
2023-12-07,11,1,5
2023-12-08,10,0,7
2023-12-09,4,0,0
2023-12-10,0,0,1
2023-12-11,9,0,7
2023-12-12,24,0,2
2023-12-13,10,0,6
2023-12-14,6,0,0
2023-12-15,25,1,4
2023-12-16,5,0,1
2023-12-17,6,0,0
2023-12-18,9,0,1
2023-12-19,4,0,1
2023-12-20,3,0,1
2023-12-21,12,0,1
2023-12-22,7,0,0
2023-12-23,2,0,0
2023-12-24,2,0,0
2023-12-25,3,0,0
2023-12-26,8,0,1
2023-12-27,21,2,0
2023-12-28,17,0,0
2023-12-29,14,0,0
2023-12-30,6,0,1
2023-12-31,1,0,0
