,moby/moby,containerd/containerd,canonical/lxd
2023-12-05,11.0,4,49
2023-12-06,9.0,8,11
2023-12-07,7.0,4,14
2023-12-08,8.0,2,13
2023-12-09,4.0,4,0
2023-12-10,0.0,2,0
2023-12-11,3.0,1,14
2023-12-12,12.0,9,10
2023-12-13,5.0,16,2
2023-12-14,5.0,8,6
2023-12-15,10.0,5,1
2023-12-16,1.0,0,0
2023-12-17,0.0,0,2
2023-12-18,19.0,2,0
2023-12-19,18.0,3,1
2023-12-20,4.0,4,1
2023-12-21,7.0,0,0
2023-12-22,1.0,1,0
2023-12-23,0.0,1,0
2023-12-24,0.0,0,0
2023-12-25,0.0,1,0
2023-12-26,0.0,0,0
2023-12-27,1.0,2,0
2023-12-28,4.0,5,0
2023-12-29,5.0,1,0
2023-12-30,0.0,1,0
2023-12-31,0.0,0,0
2024-01-01,0.0,0,0
2024-01-02,14.0,2,0
2024-01-03,14.0,4,7
2024-01-04,10.0,3,1
2024-01-05,13.0,6,0
2024-01-06,2.0,1,0
2024-01-07,0.0,1,0
2024-01-08,9.0,3,16
2024-01-09,8.0,5,14
2024-01-10,5.0,6,1
2024-01-11,2.0,10,2
2024-01-12,10.0,5,0
2024-01-13,0.0,0,0
2024-01-14,0.0,0,0
2024-01-15,11.0,2,1
2024-01-16,18.0,6,3
2024-01-17,30.0,57,14
2024-01-18,11.0,8,84
2024-01-19,29.0,6,48
2024-01-20,14.0,5,0
2024-01-21,7.0,0,0
2024-01-22,26.0,0,6
2024-01-23,23.0,8,34
2024-01-24,15.0,7,4
2024-01-25,14.0,9,3
2024-01-26,11.0,11,1
2024-01-27,1.0,1,0
2024-01-28,1.0,4,0
2024-01-29,8.0,9,9
2024-01-30,6.0,10,32
2024-01-31,20.0,7,1
2024-02-01,17.0,4,12
2024-02-02,13.0,7,4
2024-02-03,4.0,10,4
2024-02-04,3.0,3,0
2024-02-05,5.0,7,13
2024-02-06,37.0,9,22
2024-02-07,5.0,21,64
2024-02-08,4.0,5,40
2024-02-09,4.0,9,23
2024-02-10,0.0,4,13
2024-02-11,0.0,8,0
2024-02-12,9.0,6,67
2024-02-13,1.0,9,41
2024-02-14,10.0,6,52
2024-02-15,1.0,8,51
2024-02-16,2.0,13,5
2024-02-17,0.0,2,0
2024-02-18,0.0,1,0
2024-02-19,0.0,3,24
2024-02-20,4.0,9,96
2024-02-21,3.0,9,47
2024-02-22,12.0,13,34
2024-02-23,8.0,3,5
2024-02-24,0.0,2,2
2024-02-25,0.0,1,0
2024-02-26,5.0,4,27
2024-02-27,26.0,8,56
2024-02-28,11.0,4,28
2024-02-29,13.0,4,7
2024-03-01,8.0,6,24
2024-03-02,0.0,1,2
2024-03-03,0.0,0,0
2024-03-04,3.0,5,24
2024-03-05,8.0,8,37
2024-03-06,12.0,4,114
2024-03-07,26.0,6,47
2024-03-08,2.0,7,62
2024-03-09,1.0,1,1
2024-03-10,0.0,0,0
2024-03-11,1.0,0,21
2024-03-12,3.0,5,22
2024-03-13,11.0,4,21
2024-03-14,11.0,1,49
2024-03-15,7.0,1,18
2024-03-16,5.0,0,2
2024-03-17,1.0,1,1
2024-03-18,16.0,3,15
2024-03-19,8.0,7,6
2024-03-20,6.0,3,4
2024-03-21,8.0,1,11
2024-03-22,5.0,2,23
2024-03-23,0.0,0,2
2024-03-24,0.0,0,0
2024-03-25,1.0,2,15
2024-03-26,0.0,5,6
2024-03-27,4.0,5,29
2024-03-28,5.0,1,28
2024-03-29,1.0,2,0
2024-03-30,1.0,1,1
2024-03-31,0.0,1,0
2024-04-01,1.0,1,7
2024-04-02,2.0,7,22
2024-04-03,5.0,1,14
2024-04-04,4.0,1,18
2024-04-05,4.0,2,27
2024-04-06,0.0,0,2
2024-04-07,0.0,1,0
2024-04-08,4.0,1,5
2024-04-09,2.0,4,13
2024-04-10,7.0,6,15
2024-04-11,0.0,3,18
2024-04-12,0.0,4,11
2024-04-13,1.0,0,0
2024-04-14,0.0,2,0
2024-04-15,6.0,1,3
2024-04-16,4.0,0,16
2024-04-17,0.0,0,11
2024-04-18,1.0,4,0
2024-04-19,7.0,2,8
2024-04-20,1.0,0,2
2024-04-21,0.0,2,0
2024-04-22,3.0,8,6
2024-04-23,8.0,12,6
2024-04-24,3.0,7,20
2024-04-25,2.0,1,6
2024-04-26,20.0,3,3
2024-04-27,0.0,2,3
2024-04-28,1.0,1,6
2024-04-29,2.0,5,31
2024-04-30,2.0,17,9
2024-05-01,7.0,5,3
2024-05-02,2.0,10,43
2024-05-03,2.0,12,31
2024-05-04,0.0,3,0
2024-05-05,0.0,0,0
2024-05-06,1.0,12,9
2024-05-07,4.0,14,2
2024-05-08,4.0,7,16
2024-05-09,1.0,2,1
2024-05-10,14.0,7,2
2024-05-11,0.0,1,2
2024-05-12,0.0,0,1
2024-05-13,1.0,8,11
2024-05-14,3.0,4,2
2024-05-15,0.0,1,1
2024-05-16,4.0,2,6
2024-05-17,3.0,5,16
2024-05-18,0.0,0,1
2024-05-19,0.0,0,0
2024-05-20,0.0,1,0
2024-05-21,8.0,2,2
2024-05-22,6.0,1,8
2024-05-23,7.0,2,21
2024-05-24,6.0,0,17
2024-05-25,5.0,2,0
2024-05-26,0.0,0,0
2024-05-27,8.0,0,7
2024-05-28,7.0,6,6
2024-05-29,8.0,6,1
2024-05-30,1.0,2,4
2024-05-31,1.0,1,11
2024-06-01,1.0,0,3
2024-06-02,0.0,0,0
2024-06-03,9.0,1,77
2024-06-04,9.0,6,32
2024-06-05,8.0,7,15
2024-06-06,10.0,1,50
2024-06-07,18.0,2,9
2024-06-08,14.0,1,3
2024-06-09,4.0,0,29
2024-06-10,45.0,1,19
2024-06-11,15.0,7,3
2024-06-12,7.0,5,38
2024-06-13,28.0,9,40
2024-06-14,18.0,11,6
2024-06-15,11.0,0,17
2024-06-16,23.0,0,0
2024-06-17,34.0,7,20
2024-06-18,30.0,5,3
2024-06-19,8.0,1,30
2024-06-20,15.0,8,3
2024-06-21,6.0,2,5
2024-06-22,0.0,0,0
2024-06-23,0.0,0,0
2024-06-24,0.0,3,4
2024-06-25,1.0,3,5
2024-06-26,6.0,7,6
2024-06-27,26.0,6,17
2024-06-28,11.0,4,18
2024-06-29,1.0,2,0
2024-06-30,13.0,0,0
2024-07-01,17.0,7,19
2024-07-02,47.0,0,13
2024-07-03,8.0,2,6
2024-07-04,9.0,1,17
2024-07-05,9.0,0,9
2024-07-06,0.0,0,0
2024-07-07,0.0,1,0
2024-07-08,7.0,3,21
2024-07-09,1.0,1,5
2024-07-10,4.0,3,8
2024-07-11,6.0,4,34
2024-07-12,1.0,2,16
2024-07-13,0.0,0,0
2024-07-14,0.0,0,1
2024-07-15,8.0,4,13
2024-07-16,4.0,7,27
2024-07-17,2.0,2,36
2024-07-18,10.0,3,16
2024-07-19,9.0,6,5
2024-07-20,0.0,0,0
2024-07-21,0.0,0,8
2024-07-22,7.0,6,20
2024-07-23,6.0,6,3
2024-07-24,4.0,0,12
2024-07-25,7.0,3,19
2024-07-26,15.0,6,33
2024-07-27,0.0,0,0
2024-07-28,0.0,0,0
2024-07-29,13.0,0,11
2024-07-30,4.0,8,11
2024-07-31,10.0,3,7
2024-08-01,12.0,0,18
2024-08-02,2.0,1,19
2024-08-03,0.0,0,2
2024-08-04,0.0,0,1
2024-08-05,42.0,5,12
2024-08-06,6.0,5,16
2024-08-07,7.0,3,7
2024-08-08,6.0,2,3
2024-08-09,4.0,6,22
2024-08-10,1.0,0,3
2024-08-11,0.0,0,0
2024-08-12,5.0,0,10
2024-08-13,9.0,6,4
2024-08-14,4.0,7,5
2024-08-15,2.0,4,9
2024-08-16,4.0,6,7
2024-08-17,1.0,0,0
2024-08-18,0.0,0,0
2024-08-19,6.0,2,10
2024-08-20,3.0,1,4
2024-08-21,2.0,0,6
2024-08-22,2.0,1,12
2024-08-23,6.0,1,51
2024-08-24,1.0,0,0
2024-08-25,0.0,1,0
2024-08-26,14.0,7,3
2024-08-27,29.0,11,31
2024-08-28,2.0,3,43
2024-08-29,14.0,4,15
2024-08-30,2.0,3,26
2024-08-31,0.0,2,1
2024-09-01,0.0,0,0
2024-09-02,9.0,3,13
2024-09-03,8.0,7,33
2024-09-04,3.0,1,90
2024-09-05,1.0,4,21
2024-09-06,6.0,2,59
2024-09-07,0.0,0,4
2024-09-08,0.0,1,0
2024-09-09,13.0,0,28
2024-09-10,17.0,4,7
2024-09-11,21.0,0,20
2024-09-12,9.0,2,27
2024-09-13,2.0,0,16
2024-09-14,1.0,0,0
2024-09-15,2.0,0,0
2024-09-16,18.0,0,78
2024-09-17,19.0,1,13
2024-09-18,2.0,1,13
2024-09-19,4.0,4,31
2024-09-20,3.0,0,2
2024-09-21,0.0,1,0
2024-09-22,0.0,0,0
2024-09-23,5.0,2,15
2024-09-24,2.0,3,5
2024-09-25,0.0,0,20
2024-09-26,4.0,4,25
2024-09-27,3.0,3,16
2024-09-28,0.0,1,0
2024-09-29,0.0,0,0
2024-09-30,3.0,6,17
2024-10-01,0.0,3,11
2024-10-02,0.0,11,5
2024-10-03,1.0,4,3
2024-10-04,7.0,0,30
2024-10-05,0.0,1,0
2024-10-06,0.0,0,0
2024-10-07,8.0,5,16
2024-10-08,7.0,4,43
2024-10-09,2.0,2,12
2024-10-10,19.0,0,33
2024-10-11,11.0,6,3
2024-10-12,14.0,2,4
2024-10-13,0.0,0,0
2024-10-14,4.0,0,17
2024-10-15,27.0,4,65
2024-10-16,9.0,12,13
2024-10-17,17.0,15,20
2024-10-18,9.0,5,39
2024-10-19,1.0,1,1
2024-10-20,8.0,0,0
2024-10-21,19.0,7,23
2024-10-22,13.0,11,20
2024-10-23,13.0,10,13
2024-10-24,17.0,7,14
2024-10-25,21.0,5,18
2024-10-26,5.0,2,0
2024-10-27,11.0,0,0
2024-10-28,16.0,9,7
2024-10-29,8.0,2,2
2024-10-30,11.0,4,5
2024-10-31,5.0,2,17
2024-11-01,0.0,8,3
2024-11-02,0.0,1,0
2024-11-03,0.0,7,1
2024-11-04,1.0,3,2
2024-11-05,30.0,17,22
2024-11-06,45.0,0,8
2024-11-07,20.0,6,5
2024-11-08,2.0,3,3
2024-11-09,0.0,0,0
2024-11-10,0.0,1,0
2024-11-11,9.0,0,23
2024-11-12,60.0,7,20
2024-11-13,6.0,2,9
2024-11-14,6.0,2,2
2024-11-15,12.0,1,13
2024-11-16,0.0,1,3
