,twbs/bootstrap,primer/css,zurb/foundation-sites
2019-04-20,0,0,0
2019-04-21,1,0,0
2019-04-22,0,1,0
2019-04-23,1,4,0
2019-04-24,0,1,0
2019-04-25,2,7,0
2019-04-26,0,8,0
2019-04-27,0,0,0
2019-04-28,0,0,0
2019-04-29,4,6,0
2019-04-30,6,51,0
2019-05-01,0,4,0
2019-05-02,5,2,1
2019-05-03,4,0,0
2019-05-04,1,0,0
2019-05-05,3,0,0
2019-05-06,0,3,0
2019-05-07,1,4,0
2019-05-08,9,3,0
2019-05-09,5,8,0
2019-05-10,2,0,0
2019-05-11,0,0,0
2019-05-12,0,0,0
2019-05-13,0,1,0
2019-05-14,8,19,0
2019-05-15,0,2,0
2019-05-16,8,0,1
2019-05-17,0,2,0
2019-05-18,1,0,0
2019-05-19,0,0,0
2019-05-20,1,0,0
2019-05-21,0,5,0
2019-05-22,0,18,0
2019-05-23,1,5,0
2019-05-24,2,8,0
2019-05-25,0,0,0
2019-05-26,1,0,0
2019-05-27,1,0,0
2019-05-28,2,0,0
2019-05-29,3,0,0
2019-05-30,2,17,0
2019-05-31,0,0,0
2019-06-01,0,0,0
2019-06-02,0,0,0
2019-06-03,3,4,0
2019-06-04,5,4,0
2019-06-05,1,5,0
2019-06-06,4,4,0
2019-06-07,1,11,0
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,0,1,0
2019-06-11,0,0,0
2019-06-12,0,0,0
2019-06-13,1,0,0
2019-06-14,0,0,0
2019-06-15,0,0,0
2019-06-16,0,0,0
2019-06-17,1,11,0
2019-06-18,3,10,0
2019-06-19,1,12,0
2019-06-20,0,10,0
2019-06-21,0,8,0
2019-06-22,2,0,0
2019-06-23,0,0,0
2019-06-24,2,0,0
2019-06-25,2,0,0
2019-06-26,3,0,0
2019-06-27,0,3,0
2019-06-28,0,0,0
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,0,2,0
2019-07-02,2,6,0
2019-07-03,0,8,3
2019-07-04,0,1,0
2019-07-05,0,0,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,1,0,0
2019-07-09,2,0,1
2019-07-10,2,0,0
2019-07-11,0,0,0
2019-07-12,4,0,0
2019-07-13,1,0,0
2019-07-14,5,0,0
2019-07-15,4,1,0
2019-07-16,1,11,0
2019-07-17,23,17,0
2019-07-18,1,5,0
2019-07-19,6,3,0
2019-07-20,2,0,0
2019-07-21,1,0,0
2019-07-22,33,10,0
2019-07-23,25,2,2
2019-07-24,8,0,13
2019-07-25,16,0,2
2019-07-26,3,0,13
2019-07-27,1,0,0
2019-07-28,3,0,0
2019-07-29,9,2,0
2019-07-30,2,7,0
2019-07-31,2,2,0
2019-08-01,5,2,0
2019-08-02,4,1,0
2019-08-03,3,0,0
2019-08-04,7,0,0
2019-08-05,1,8,0
2019-08-06,1,3,0
2019-08-07,2,27,2
2019-08-08,5,10,0
2019-08-09,1,11,0
2019-08-10,0,1,0
2019-08-11,0,0,0
2019-08-12,2,18,11
2019-08-13,1,12,7
2019-08-14,2,10,1
2019-08-15,0,2,2
2019-08-16,5,1,0
2019-08-17,4,0,0
2019-08-18,9,0,0
2019-08-19,1,2,0
2019-08-20,0,9,0
2019-08-21,0,9,0
2019-08-22,6,9,0
2019-08-23,7,8,0
2019-08-24,0,0,0
2019-08-25,1,0,2
2019-08-26,2,4,0
2019-08-27,9,9,0
2019-08-28,1,0,1
2019-08-29,5,0,0
2019-08-30,10,0,0
2019-08-31,1,0,0
2019-09-01,0,1,0
2019-09-02,5,0,0
2019-09-03,1,1,0
2019-09-04,0,10,0
2019-09-05,2,39,0
2019-09-06,9,3,0
2019-09-07,1,0,0
2019-09-08,0,0,0
2019-09-09,0,4,0
2019-09-10,0,46,0
2019-09-11,0,4,1
2019-09-12,0,13,0
2019-09-13,2,2,0
2019-09-14,0,0,0
2019-09-15,2,0,0
2019-09-16,7,3,0
2019-09-17,0,0,0
2019-09-18,0,1,0
2019-09-19,0,1,0
2019-09-20,0,2,0
2019-09-21,0,4,0
2019-09-22,0,0,0
2019-09-23,0,4,0
2019-09-24,5,1,0
2019-09-25,0,16,0
2019-09-26,1,7,0
2019-09-27,3,1,0
2019-09-28,0,0,0
2019-09-29,0,0,0
2019-09-30,0,1,0
2019-10-01,1,10,0
2019-10-02,7,7,0
2019-10-03,6,1,0
2019-10-04,0,0,0
2019-10-05,0,0,7
2019-10-06,0,0,3
2019-10-07,1,15,0
2019-10-08,3,0,1
2019-10-09,1,0,1
2019-10-10,1,9,0
2019-10-11,0,3,0
2019-10-12,4,0,0
2019-10-13,0,0,1
2019-10-14,1,2,1
2019-10-15,0,1,0
2019-10-16,2,1,0
2019-10-17,2,0,0
2019-10-18,3,0,0
2019-10-19,0,0,2
2019-10-20,1,0,2
2019-10-21,0,4,3
2019-10-22,6,10,12
2019-10-23,0,13,1
2019-10-24,0,12,4
2019-10-25,3,11,2
2019-10-26,1,0,15
2019-10-27,1,0,1
2019-10-28,3,1,1
2019-10-29,0,0,3
2019-10-30,0,0,0
2019-10-31,7,49,0
2019-11-01,1,10,0
2019-11-02,0,0,8
2019-11-03,0,0,4
2019-11-04,7,19,0
2019-11-05,0,15,0
2019-11-06,0,2,2
2019-11-07,6,4,2
2019-11-08,1,11,0
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,0,0,0
2019-11-12,2,3,0
