,protocolbuffers/protobuf,apache/avro,apache/thrift
2017-05-09,0,0,0
2017-05-10,1,0,2
2017-05-11,6,0,0
2017-05-12,2,0,2
2017-05-13,2,0,1
2017-05-14,0,1,1
2017-05-15,1,1,0
2017-05-16,0,0,0
2017-05-17,2,0,0
2017-05-18,0,3,2
2017-05-19,1,2,0
2017-05-20,0,0,0
2017-05-21,0,0,0
2017-05-22,1,1,0
2017-05-23,7,0,0
2017-05-24,3,0,0
2017-05-25,1,1,0
2017-05-26,1,0,0
2017-05-27,0,0,3
2017-05-28,0,0,1
2017-05-29,3,0,0
2017-05-30,7,0,0
2017-05-31,3,0,3
2017-06-01,5,1,0
2017-06-02,3,0,0
2017-06-03,2,0,0
2017-06-04,0,0,0
2017-06-05,3,0,1
2017-06-06,8,0,1
2017-06-07,3,0,1
2017-06-08,1,0,0
2017-06-09,0,0,0
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,3,0,0
2017-06-13,0,0,0
2017-06-14,4,2,0
2017-06-15,2,0,0
2017-06-16,7,2,0
2017-06-17,1,0,1
2017-06-18,0,0,0
2017-06-19,6,0,0
2017-06-20,5,0,0
2017-06-21,5,0,0
2017-06-22,4,1,0
2017-06-23,6,1,0
2017-06-24,2,0,0
2017-06-25,0,0,0
2017-06-26,1,0,2
2017-06-27,2,0,0
2017-06-28,15,1,0
2017-06-29,5,1,0
2017-06-30,1,0,0
2017-07-01,5,0,5
2017-07-02,1,0,0
2017-07-03,1,0,0
2017-07-04,1,0,0
2017-07-05,11,0,1
2017-07-06,1,0,1
2017-07-07,1,0,1
2017-07-08,1,0,1
2017-07-09,1,0,0
2017-07-10,5,0,0
2017-07-11,16,0,1
2017-07-12,2,0,0
2017-07-13,5,0,0
2017-07-14,1,0,0
2017-07-15,1,0,0
2017-07-16,0,0,0
2017-07-17,10,0,0
2017-07-18,14,0,0
2017-07-19,14,0,0
2017-07-20,2,1,0
2017-07-21,2,2,0
2017-07-22,0,0,1
2017-07-23,2,0,0
2017-07-24,15,0,1
2017-07-25,17,0,0
2017-07-26,7,0,1
2017-07-27,0,5,1
2017-07-28,0,0,0
2017-07-29,0,0,0
2017-07-30,0,0,1
2017-07-31,3,0,1
2017-08-01,7,0,0
2017-08-02,5,0,1
2017-08-03,7,0,0
2017-08-04,7,0,0
2017-08-05,1,0,1
2017-08-06,0,0,1
2017-08-07,8,1,0
2017-08-08,3,0,0
2017-08-09,1,0,1
2017-08-10,5,0,2
2017-08-11,12,0,2
2017-08-12,0,0,3
2017-08-13,0,0,2
2017-08-14,2,1,0
2017-08-15,11,0,0
2017-08-16,7,0,0
2017-08-17,11,0,0
2017-08-18,9,2,0
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,10,0,0
2017-08-22,9,0,0
2017-08-23,8,0,0
2017-08-24,4,0,0
2017-08-25,1,0,0
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,0,0,0
2017-08-29,0,0,0
2017-08-30,3,0,0
2017-08-31,5,0,0
2017-09-01,0,1,2
2017-09-02,0,0,0
2017-09-03,0,0,0
2017-09-04,1,0,0
2017-09-05,4,0,6
2017-09-06,1,0,2
2017-09-07,1,1,7
2017-09-08,3,0,2
2017-09-09,0,0,3
2017-09-10,1,0,0
2017-09-11,4,1,0
2017-09-12,8,3,0
2017-09-13,8,0,1
2017-09-14,6,0,2
2017-09-15,3,0,0
2017-09-16,0,0,0
2017-09-17,0,0,0
2017-09-18,1,0,0
2017-09-19,5,0,1
2017-09-20,7,0,0
2017-09-21,6,0,12
2017-09-22,3,0,5
2017-09-23,0,0,1
2017-09-24,0,0,3
2017-09-25,6,0,2
2017-09-26,2,0,4
2017-09-27,3,0,1
2017-09-28,0,0,0
2017-09-29,2,0,0
2017-09-30,0,0,0
2017-10-01,0,0,0
2017-10-02,4,0,0
2017-10-03,6,0,0
2017-10-04,1,0,0
2017-10-05,0,0,0
2017-10-06,2,0,1
2017-10-07,0,0,0
2017-10-08,0,0,0
2017-10-09,2,0,0
2017-10-10,2,0,2
2017-10-11,3,0,0
2017-10-12,4,0,0
2017-10-13,2,0,0
2017-10-14,1,0,0
2017-10-15,0,0,0
2017-10-16,4,0,0
2017-10-17,0,0,0
2017-10-18,16,0,0
2017-10-19,3,0,2
2017-10-20,2,0,1
2017-10-21,1,0,0
2017-10-22,0,0,0
2017-10-23,0,0,3
2017-10-24,3,0,0
2017-10-25,1,0,4
2017-10-26,4,0,3
2017-10-27,1,0,0
2017-10-28,2,0,3
2017-10-29,0,0,3
2017-10-30,3,0,1
2017-10-31,0,0,0
2017-11-01,1,0,0
2017-11-02,3,0,1
2017-11-03,3,0,0
2017-11-04,1,0,1
2017-11-05,0,0,0
2017-11-06,1,0,0
2017-11-07,0,0,0
2017-11-08,5,0,0
2017-11-09,4,0,0
2017-11-10,10,0,0
2017-11-11,0,0,4
2017-11-12,4,0,0
2017-11-13,10,0,0
2017-11-14,4,0,0
2017-11-15,17,0,0
2017-11-16,4,0,0
2017-11-17,4,1,0
2017-11-18,1,0,0
2017-11-19,0,0,2
2017-11-20,0,0,3
2017-11-21,2,1,1
2017-11-22,3,0,0
2017-11-23,1,0,0
2017-11-24,0,0,0
2017-11-25,0,0,0
2017-11-26,0,0,0
2017-11-27,2,0,0
2017-11-28,3,0,0
2017-11-29,4,0,0
2017-11-30,6,1,10
2017-12-01,5,0,4
2017-12-02,1,0,1
2017-12-03,0,0,2
2017-12-04,6,0,1
2017-12-05,3,1,0
2017-12-06,8,0,0
