,getredash/redash,apache/superset,metabase/metabase
2019-08-02,0.0,2,1
2019-08-03,0.0,0,0
2019-08-04,3.0,0,0
2019-08-05,-0.10000000000000053,5,2
2019-08-06,0.2849999999999997,7,4
2019-08-07,-0.7465000000000002,5,2
2019-08-08,-0.07948749999999993,4,6
2019-08-09,0.9998732499999999,3,9
2019-08-10,-1.6744840875000002,0,1
2019-08-11,5.63094465875,1,0
2019-08-12,-0.40005408779687635,2,6
2019-08-13,-0.5634175921609379,4,9
2019-08-14,0.12399448946562464,3,14
2019-08-15,0.19255763873124998,3,8
2019-08-16,-1.7918558821421877,3,6
2019-08-17,-1.3940474914078123,0,1
2019-08-18,2.510524481746875,0,0
2019-08-19,-2.39466306309375,1,8
2019-08-20,-0.5236202580718747,5,8
2019-08-21,0.7349248394468751,3,7
2019-08-22,0.1409391073234374,3,6
2019-08-23,-0.9062612026765626,8,7
2019-08-24,-0.21295747789531244,1,1
2019-08-25,0.8942440908734375,0,0
2019-08-26,0.23443471470312494,4,7
2019-08-27,-0.8525964911296876,6,2
2019-08-28,-0.17224440124999996,1,12
2019-08-29,0.911589449484375,1,14
2019-08-30,1.2432069453578123,6,3
2019-08-31,-1.5406269053765629,0,0
2019-09-01,2.72275559875,0,0
2019-09-02,2.7660894494843746,2,2
2019-09-03,-2.8979555546421882,2,2
2019-09-04,0.5856058446234376,2,9
2019-09-05,-1.8451067637500003,2,4
2019-09-06,-0.46423183926562483,2,2
2019-09-07,-0.26136515390781234,0,2
2019-09-08,-0.17154476450312492,5,1
2019-09-09,5.884107408453125,5,0
2019-09-10,-4.288966201207813,7,0
2019-09-11,1.3139584463515628,3,3
2019-09-12,0.30625818359218737,1,4
2019-09-13,-0.7789445857531252,2,9
2019-09-14,-1.1046035,0,0
2019-09-15,1.6774258250000003,0,0
2019-09-16,1.4114232674999998,0,2
2019-09-17,-2.4397177955937503,5,2
2019-09-18,1.4973351902406251,8,4
2019-09-19,-1.6346959635312501,5,3
2019-09-20,0.6408818519656252,1,16
2019-09-21,-0.8868995725187501,0,2
2019-09-22,5.780826542123438,2,1
2019-09-23,-3.322900139781251,5,2
2019-09-24,0.58498265395,1,2
2019-09-25,0.16803929387031236,1,1
2019-09-26,-1.8396068860312502,0,3
2019-09-27,0.5478948754968751,2,8
2019-09-28,-0.942219936765625,1,1
2019-09-29,-0.2664363878765624,2,0
2019-09-30,0.8415751656562501,2,2
2019-10-01,-0.8129385715250002,4,10
2019-10-02,1.8382518560921877,2,10
2019-10-03,-0.4846014717843754,0,4
2019-10-04,-0.9575016245031251,6,3
2019-10-05,0.7793542382343751,0,1
2019-10-06,5.183815344623437,3,0
2019-10-07,-2.3750665387500014,0,9
2019-10-08,-2.124895486765625,1,7
2019-10-09,-0.5462612328765624,1,10
