,rescript-lang/rescript-compiler,microsoft/typescript,google/closure-compiler
2014-12-27,0,1,0
2014-12-28,0,1,0
2014-12-29,0,1,2
2014-12-30,0,7,0
2014-12-31,1,3,0
2015-01-01,0,0,0
2015-01-02,0,2,0
2015-01-03,0,0,1
2015-01-04,5,3,2
2015-01-05,0,7,13
2015-01-06,0,8,4
2015-01-07,0,8,3
2015-01-08,0,5,4
2015-01-09,0,11,2
2015-01-10,1,3,0
2015-01-11,0,3,0
2015-01-12,0,11,6
2015-01-13,0,9,7
2015-01-14,1,19,2
2015-01-15,0,18,5
2015-01-16,0,12,5
2015-01-17,0,4,3
2015-01-18,0,0,0
2015-01-19,1,15,1
2015-01-20,2,41,7
2015-01-21,2,21,5
2015-01-22,0,17,10
2015-01-23,0,10,7
2015-01-24,1,11,4
2015-01-25,0,2,0
2015-01-26,0,5,4
2015-01-27,0,20,8
2015-01-28,0,21,0
2015-01-29,1,26,13
2015-01-30,0,19,2
2015-01-31,0,10,0
2015-02-01,0,5,2
2015-02-02,0,19,1
2015-02-03,2,33,5
2015-02-04,0,27,13
2015-02-05,0,27,8
2015-02-06,1,27,7
2015-02-07,1,43,2
2015-02-08,0,5,0
2015-02-09,0,28,8
2015-02-10,0,15,2
2015-02-11,0,16,6
2015-02-12,0,26,2
2015-02-13,0,32,4
2015-02-14,0,5,0
2015-02-15,0,11,0
2015-02-16,0,33,0
2015-02-17,0,26,4
2015-02-18,0,24,6
2015-02-19,0,17,1
2015-02-20,0,15,2
2015-02-21,0,29,4
2015-02-22,0,13,0
2015-02-23,0,35,5
2015-02-24,0,40,5
2015-02-25,0,27,7
2015-02-26,0,23,0
2015-02-27,0,51,10
2015-02-28,1,10,3
2015-03-01,1,4,0
2015-03-02,0,22,0
2015-03-03,0,11,8
2015-03-04,0,18,5
2015-03-05,0,20,6
2015-03-06,0,17,5
2015-03-07,1,23,5
2015-03-08,2,10,0
2015-03-09,9,25,4
2015-03-10,3,14,7
2015-03-11,0,21,6
2015-03-12,2,35,2
2015-03-13,0,57,5
2015-03-14,0,18,0
2015-03-15,2,10,0
2015-03-16,0,28,1
2015-03-17,1,77,6
2015-03-18,2,35,4
2015-03-19,7,9,8
2015-03-20,0,6,2
2015-03-21,4,9,0
2015-03-22,0,7,0
2015-03-23,0,19,2
2015-03-24,5,44,1
2015-03-25,3,29,2
2015-03-26,0,39,7
2015-03-27,0,13,1
2015-03-28,0,2,0
2015-03-29,0,5,0
2015-03-30,0,19,2
2015-03-31,2,43,4
2015-04-01,6,42,3
2015-04-02,0,27,8
2015-04-03,0,16,5
2015-04-04,0,5,1
2015-04-05,0,0,0
2015-04-06,0,20,3
2015-04-07,0,7,11
2015-04-08,2,22,6
2015-04-09,2,59,4
2015-04-10,0,29,1
2015-04-11,0,17,13
2015-04-12,0,14,0
2015-04-13,0,24,5
2015-04-14,0,36,6
2015-04-15,0,27,11
2015-04-16,0,48,7
2015-04-17,1,41,7
2015-04-18,0,8,0
2015-04-19,1,22,0
2015-04-20,0,19,10
2015-04-21,0,32,7
2015-04-22,0,22,5
2015-04-23,1,40,1
2015-04-24,4,9,1
2015-04-25,0,1,17
2015-04-26,0,3,0
2015-04-27,2,15,4
2015-04-28,0,5,2
2015-04-29,1,20,17
2015-04-30,0,25,3
2015-05-01,0,33,7
2015-05-02,1,17,0
2015-05-03,0,13,0
2015-05-04,0,50,0
2015-05-05,0,30,7
2015-05-06,0,27,6
2015-05-07,0,25,5
2015-05-08,0,21,0
2015-05-09,0,8,0
2015-05-10,0,0,0
2015-05-11,0,11,8
2015-05-12,0,15,7
2015-05-13,0,29,6
2015-05-14,0,7,3
2015-05-15,1,23,3
2015-05-16,0,8,1
2015-05-17,0,1,0
2015-05-18,0,1,11
2015-05-19,0,38,6
2015-05-20,0,12,0
2015-05-21,0,6,7
2015-05-22,0,2,5
2015-05-23,0,6,0
2015-05-24,0,3,0
2015-05-25,0,1,0
2015-05-26,2,6,2
2015-05-27,0,14,6
2015-05-28,0,9,4
2015-05-29,0,7,10
2015-05-30,0,15,0
2015-05-31,0,5,0
2015-06-01,0,16,0
2015-06-02,0,45,0
2015-06-03,0,87,3
2015-06-04,0,46,2
2015-06-05,0,19,7
2015-06-06,0,3,0
2015-06-07,0,3,0
2015-06-08,1,12,7
2015-06-09,2,32,7
2015-06-10,0,19,0
2015-06-11,0,15,21
2015-06-12,0,21,9
2015-06-13,0,7,0
2015-06-14,0,3,0
2015-06-15,0,21,10
2015-06-16,1,26,13
2015-06-17,0,23,6
2015-06-18,6,70,15
2015-06-19,2,13,15
2015-06-20,0,3,0
2015-06-21,0,1,0
2015-06-22,5,21,7
2015-06-23,0,31,17
2015-06-24,0,45,6
2015-06-25,0,35,8
2015-06-26,0,25,7
2015-06-27,0,0,5
2015-06-28,0,0,0
2015-06-29,2,24,8
2015-06-30,1,13,4
2015-07-01,1,39,2
2015-07-02,1,27,2
2015-07-03,0,4,0
2015-07-04,0,1,0
2015-07-05,2,0,0
2015-07-06,0,31,0
2015-07-07,0,33,44
2015-07-08,0,14,17
2015-07-09,0,37,14
2015-07-10,2,39,26
2015-07-11,0,18,0
2015-07-12,0,0,0
2015-07-13,0,24,5
2015-07-14,0,26,15
2015-07-15,0,49,11
2015-07-16,0,29,16
2015-07-17,0,34,8
2015-07-18,0,6,0
2015-07-19,0,4,0
2015-07-20,0,10,12
2015-07-21,0,29,1
2015-07-22,0,23,22
2015-07-23,0,28,14
2015-07-24,0,15,8
2015-07-25,0,4,0
2015-07-26,0,4,0
2015-07-27,0,28,13
2015-07-28,0,20,0
2015-07-29,0,17,10
2015-07-30,2,19,8
2015-07-31,2,20,17
2015-08-01,0,2,0
2015-08-02,0,6,1
2015-08-03,1,11,5
2015-08-04,0,14,7
2015-08-05,0,18,16
2015-08-06,0,34,3
2015-08-07,0,23,12
2015-08-08,0,0,5
2015-08-09,0,0,0
2015-08-10,4,11,14
2015-08-11,0,6,11
2015-08-12,0,10,9
2015-08-13,0,20,19
2015-08-14,0,11,20
2015-08-15,0,2,6
2015-08-16,0,2,0
2015-08-17,0,14,11
2015-08-18,0,23,13
2015-08-19,5,39,10
2015-08-20,0,45,17
2015-08-21,0,31,13
2015-08-22,0,4,0
2015-08-23,0,0,0
2015-08-24,0,10,12
2015-08-25,0,16,7
2015-08-26,0,36,9
2015-08-27,2,55,11
2015-08-28,0,22,2
2015-08-29,0,7,0
2015-08-30,0,2,0
2015-08-31,0,11,16
2015-09-01,0,9,13
2015-09-02,0,8,6
2015-09-03,2,23,6
2015-09-04,0,19,19
2015-09-05,0,16,1
2015-09-06,0,4,0
2015-09-07,3,1,0
2015-09-08,0,2,7
2015-09-09,0,15,13
2015-09-10,0,45,1
2015-09-11,0,20,6
2015-09-12,0,9,1
2015-09-13,0,4,2
2015-09-14,0,9,7
2015-09-15,0,18,13
2015-09-16,0,22,5
2015-09-17,0,16,10
2015-09-18,0,18,6
2015-09-19,0,6,0
2015-09-20,1,6,0
2015-09-21,0,18,5
2015-09-22,0,20,3
2015-09-23,0,1,7
2015-09-24,1,10,10
2015-09-25,0,26,14
2015-09-26,0,9,0
2015-09-27,0,4,0
2015-09-28,0,14,1
2015-09-29,0,24,16
2015-09-30,0,25,10
2015-10-01,0,27,10
2015-10-02,0,25,8
2015-10-03,0,11,1
2015-10-04,0,5,0
2015-10-05,1,38,5
2015-10-06,0,41,13
2015-10-07,0,11,5
2015-10-08,0,34,9
2015-10-09,0,14,3
2015-10-10,0,2,0
2015-10-11,0,4,0
2015-10-12,0,36,11
2015-10-13,0,13,10
2015-10-14,0,13,7
2015-10-15,0,21,8
2015-10-16,0,15,7
2015-10-17,0,4,1
2015-10-18,0,4,1
2015-10-19,1,18,1
2015-10-20,0,16,1
2015-10-21,1,17,4
2015-10-22,3,23,3
2015-10-23,1,18,3
2015-10-24,0,3,0
2015-10-25,0,3,0
2015-10-26,0,14,4
2015-10-27,0,24,1
2015-10-28,0,39,2
2015-10-29,0,21,11
2015-10-30,1,38,1
2015-10-31,1,6,0
2015-11-01,0,1,0
2015-11-02,0,16,4
2015-11-03,0,24,6
2015-11-04,0,15,4
2015-11-05,0,10,7
2015-11-06,0,18,7
2015-11-07,0,7,4
2015-11-08,0,2,0
2015-11-09,0,34,0
2015-11-10,0,29,7
2015-11-11,6,36,2
2015-11-12,7,27,0
2015-11-13,0,30,9
2015-11-14,0,12,2
2015-11-15,0,1,0
2015-11-16,0,10,3
2015-11-17,7,18,6
2015-11-18,1,17,7
2015-11-19,1,15,7
2015-11-20,0,29,10
2015-11-21,0,3,4
2015-11-22,0,1,0
2015-11-23,0,21,2
2015-11-24,0,14,9
2015-11-25,0,21,15
2015-11-26,0,19,0
2015-11-27,1,0,0
2015-11-28,0,5,1
2015-11-29,0,3,3
2015-11-30,0,26,9
2015-12-01,0,35,4
2015-12-02,0,32,7
2015-12-03,0,21,12
2015-12-04,1,26,7
2015-12-05,0,7,0
2015-12-06,6,4,0
2015-12-07,0,20,13
2015-12-08,0,38,5
2015-12-09,2,59,7
2015-12-10,0,30,8
2015-12-11,0,31,4
2015-12-12,0,19,6
2015-12-13,0,3,1
2015-12-14,0,18,6
2015-12-15,0,10,8
2015-12-16,3,9,13
2015-12-17,0,27,10
2015-12-18,0,45,8
2015-12-19,0,4,5
2015-12-20,0,1,0
2015-12-21,0,15,4
2015-12-22,0,21,9
2015-12-23,0,13,10
2015-12-24,1,7,2
2015-12-25,0,0,2
2015-12-26,0,0,0
2015-12-27,0,0,0
2015-12-28,0,17,0
2015-12-29,3,4,1
2015-12-30,0,5,1
2015-12-31,0,0,0
2016-01-01,0,2,1
2016-01-02,0,0,0
2016-01-03,0,1,0
2016-01-04,0,17,22
2016-01-05,0,21,10
2016-01-06,6,15,9
2016-01-07,16,24,15
2016-01-08,6,19,6
2016-01-09,4,5,1
2016-01-10,3,5,2
2016-01-11,0,12,24
2016-01-12,0,11,12
2016-01-13,0,23,9
2016-01-14,3,25,16
2016-01-15,10,19,9
2016-01-16,0,13,1
2016-01-17,5,2,0
2016-01-18,2,3,0
2016-01-19,8,10,8
2016-01-20,7,9,9
2016-01-21,0,12,19
2016-01-22,2,19,15
2016-01-23,2,4,5
2016-01-24,2,11,0
2016-01-25,7,15,6
2016-01-26,8,17,2
2016-01-27,7,25,15
2016-01-28,3,25,12
2016-01-29,13,21,7
2016-01-30,2,10,7
2016-01-31,0,9,2
2016-02-01,6,19,13
2016-02-02,7,30,25
2016-02-03,12,21,8
2016-02-04,8,29,2
2016-02-05,11,10,11
2016-02-06,5,8,5
2016-02-07,2,5,1
2016-02-08,14,6,11
2016-02-09,3,21,1
2016-02-10,3,14,17
2016-02-11,0,27,6
2016-02-12,0,32,16
2016-02-13,0,23,3
2016-02-14,0,4,0
2016-02-15,0,10,0
2016-02-16,6,13,4
2016-02-17,6,22,13
2016-02-18,4,10,16
2016-02-19,3,24,25
2016-02-20,0,19,10
2016-02-21,0,6,2
2016-02-22,2,22,9
2016-02-23,0,53,5
2016-02-24,5,21,12
2016-02-25,2,11,17
2016-02-26,1,13,7
2016-02-27,0,1,0
2016-02-28,2,4,0
2016-02-29,6,20,14
2016-03-01,12,22,11
2016-03-02,4,27,13
2016-03-03,15,20,3
2016-03-04,2,13,10
2016-03-05,8,9,4
2016-03-06,2,3,0
2016-03-07,4,2,4
2016-03-08,8,4,0
2016-03-09,11,31,4
2016-03-10,21,27,14
2016-03-11,18,3,9
2016-03-12,2,4,8
2016-03-13,2,1,1
2016-03-14,14,12,8
2016-03-15,2,11,8
2016-03-16,0,12,4
2016-03-17,0,12,10
2016-03-18,0,18,0
2016-03-19,0,2,0
2016-03-20,2,3,0
2016-03-21,7,20,13
2016-03-22,2,23,18
2016-03-23,6,9,4
2016-03-24,0,14,0
2016-03-25,0,14,7
2016-03-26,0,12,0
2016-03-27,0,1,0
2016-03-28,2,22,3
2016-03-29,0,10,14
2016-03-30,0,24,11
2016-03-31,0,11,4
2016-04-01,0,8,2
2016-04-02,4,2,0
2016-04-03,0,1,0
2016-04-04,13,17,20
2016-04-05,7,23,2
2016-04-06,12,19,6
2016-04-07,3,75,25
2016-04-08,7,40,9
2016-04-09,1,7,0
2016-04-10,0,8,0
2016-04-11,1,28,0
2016-04-12,8,34,8
2016-04-13,6,37,0
2016-04-14,4,21,5
2016-04-15,3,12,2
2016-04-16,1,8,5
2016-04-17,2,4,0
2016-04-18,4,28,0
2016-04-19,10,31,0
2016-04-20,5,32,23
2016-04-21,6,20,6
2016-04-22,6,18,3
2016-04-23,3,3,0
2016-04-24,5,0,0
2016-04-25,0,11,9
2016-04-26,10,24,14
2016-04-27,10,14,11
2016-04-28,8,9,6
2016-04-29,7,17,0
2016-04-30,0,5,0
2016-05-01,0,3,0
2016-05-02,5,21,8
2016-05-03,1,18,11
2016-05-04,8,22,3
2016-05-05,6,21,13
2016-05-06,2,17,8
2016-05-07,0,6,0
2016-05-08,1,4,0
2016-05-09,4,4,6
2016-05-10,2,12,4
2016-05-11,13,17,2
2016-05-12,12,16,5
2016-05-13,9,6,6
2016-05-14,0,3,0
2016-05-15,4,1,0
2016-05-16,4,20,6
2016-05-17,2,24,12
2016-05-18,11,26,2
2016-05-19,6,28,8
2016-05-20,6,16,13
2016-05-21,0,11,0
2016-05-22,6,4,0
2016-05-23,11,45,0
2016-05-24,7,31,12
2016-05-25,11,41,13
2016-05-26,3,43,7
2016-05-27,14,24,12
2016-05-28,2,8,0
2016-05-29,0,1,0
2016-05-30,1,0,0
2016-05-31,4,35,1
2016-06-01,13,16,20
2016-06-02,4,28,10
2016-06-03,2,17,11
2016-06-04,0,8,0
2016-06-05,2,2,0
2016-06-06,0,19,2
2016-06-07,0,19,7
2016-06-08,0,39,12
2016-06-09,3,44,7
2016-06-10,0,32,6
2016-06-11,1,4,0
2016-06-12,0,0,0
2016-06-13,0,32,8
2016-06-14,0,52,0
2016-06-15,0,48,23
2016-06-16,10,13,0
2016-06-17,8,15,0
2016-06-18,2,9,0
2016-06-19,0,11,0
2016-06-20,3,30,33
2016-06-21,13,28,1
2016-06-22,13,10,10
2016-06-23,11,27,11
2016-06-24,6,26,2
2016-06-25,0,9,0
2016-06-26,0,2,0
2016-06-27,5,31,13
2016-06-28,4,24,8
2016-06-29,10,27,7
2016-06-30,7,32,14
2016-07-01,4,22,0
2016-07-02,2,3,0
2016-07-03,0,4,0
2016-07-04,5,0,0
2016-07-05,12,21,0
2016-07-06,10,18,0
2016-07-07,10,23,22
2016-07-08,4,8,12
2016-07-09,4,3,0
2016-07-10,10,3,0
2016-07-11,8,38,3
2016-07-12,12,11,16
2016-07-13,4,30,4
2016-07-14,10,11,15
2016-07-15,2,12,10
2016-07-16,6,6,0
2016-07-17,2,1,0
2016-07-18,0,23,11
2016-07-19,10,12,11
2016-07-20,10,5,0
2016-07-21,7,22,13
2016-07-22,2,29,11
2016-07-23,1,10,0
2016-07-24,2,1,0
2016-07-25,4,7,22
2016-07-26,10,15,11
2016-07-27,7,20,8
2016-07-28,0,16,22
2016-07-29,3,18,14
2016-07-30,1,2,0
2016-07-31,2,2,0
2016-08-01,18,22,4
2016-08-02,13,18,0
2016-08-03,10,13,0
2016-08-04,2,12,4
2016-08-05,8,13,57
2016-08-06,4,5,0
2016-08-07,0,4,0
2016-08-08,15,23,6
2016-08-09,7,16,14
2016-08-10,7,10,12
2016-08-11,10,19,10
2016-08-12,16,13,9
2016-08-13,0,5,0
2016-08-14,0,9,0
2016-08-15,8,35,10
2016-08-16,4,18,6
2016-08-17,6,33,12
2016-08-18,6,22,7
2016-08-19,8,22,15
2016-08-20,0,12,0
2016-08-21,0,13,0
2016-08-22,1,26,25
2016-08-23,14,22,20
2016-08-24,8,4,0
2016-08-25,9,21,7
2016-08-26,12,25,14
2016-08-27,5,7,0
2016-08-28,1,0,3
2016-08-29,1,15,11
2016-08-30,3,16,11
2016-08-31,11,3,14
2016-09-01,17,44,6
2016-09-02,6,41,6
2016-09-03,3,10,0
2016-09-04,6,3,0
2016-09-05,4,0,0
2016-09-06,15,20,2
2016-09-07,7,43,3
2016-09-08,8,35,0
2016-09-09,8,48,8
2016-09-10,5,4,0
2016-09-11,2,5,0
2016-09-12,4,33,9
2016-09-13,0,79,5
2016-09-14,0,52,2
2016-09-15,7,22,15
2016-09-16,3,17,3
2016-09-17,2,5,0
2016-09-18,3,0,0
2016-09-19,8,16,14
2016-09-20,12,27,6
2016-09-21,9,14,16
2016-09-22,8,10,3
2016-09-23,7,8,20
2016-09-24,1,17,0
2016-09-25,3,4,0
2016-09-26,5,31,11
2016-09-27,0,35,1
2016-09-28,2,13,17
2016-09-29,0,28,7
2016-09-30,0,24,4
2016-10-01,4,5,0
2016-10-02,1,1,0
2016-10-03,12,23,1
2016-10-04,7,28,7
2016-10-05,2,34,16
2016-10-06,12,37,10
2016-10-07,15,22,0
2016-10-08,0,5,6
2016-10-09,2,1,0
2016-10-10,0,11,0
2016-10-11,2,18,6
2016-10-12,2,37,0
2016-10-13,0,37,17
2016-10-14,7,19,18
2016-10-15,6,9,0
2016-10-16,3,7,0
2016-10-17,6,30,11
2016-10-18,2,25,14
2016-10-19,2,22,7
2016-10-20,6,19,9
2016-10-21,13,20,7
2016-10-22,1,3,0
2016-10-23,10,0,0
2016-10-24,2,25,7
2016-10-25,3,26,0
2016-10-26,0,14,22
2016-10-27,6,39,4
2016-10-28,3,18,0
2016-10-29,0,3,6
2016-10-30,0,2,0
2016-10-31,0,19,6
2016-11-01,0,15,4
2016-11-02,6,21,2
2016-11-03,10,29,6
2016-11-04,4,17,21
2016-11-05,7,8,0
2016-11-06,7,6,0
2016-11-07,7,24,5
2016-11-08,8,26,10
2016-11-09,5,25,12
2016-11-10,8,38,1
2016-11-11,1,27,9
2016-11-12,0,12,10
2016-11-13,0,9,0
2016-11-14,0,33,3
2016-11-15,14,46,5
2016-11-16,5,33,9
2016-11-17,8,13,13
2016-11-18,4,31,4
2016-11-19,2,20,7
2016-11-20,4,7,0
2016-11-21,0,15,10
2016-11-22,4,21,4
2016-11-23,5,16,4
2016-11-24,2,8,2
2016-11-25,4,4,0
2016-11-26,0,6,0
2016-11-27,0,5,0
2016-11-28,4,18,7
2016-11-29,3,26,3
2016-11-30,3,19,6
2016-12-01,4,9,12
2016-12-02,6,8,7
2016-12-03,0,8,7
2016-12-04,8,9,0
2016-12-05,3,16,7
2016-12-06,0,19,12
2016-12-07,1,20,7
2016-12-08,6,30,13
2016-12-09,0,21,13
2016-12-10,0,9,5
2016-12-11,4,0,0
2016-12-12,7,21,0
2016-12-13,12,13,0
2016-12-14,1,34,17
2016-12-15,3,7,8
2016-12-16,8,12,5
2016-12-17,2,0,0
2016-12-18,5,1,0
2016-12-19,7,17,7
2016-12-20,6,12,10
2016-12-21,7,32,6
2016-12-22,2,37,5
2016-12-23,8,4,0
2016-12-24,0,1,0
2016-12-25,0,0,0
2016-12-26,3,5,0
2016-12-27,7,8,0
2016-12-28,6,20,0
2016-12-29,1,2,0
2016-12-30,3,15,0
2016-12-31,0,7,0
2017-01-01,1,5,0
2017-01-02,0,1,0
2017-01-03,1,6,7
2017-01-04,2,7,5
2017-01-05,3,10,11
2017-01-06,3,4,12
2017-01-07,0,9,7
2017-01-08,7,3,0
2017-01-09,2,22,0
2017-01-10,9,10,8
2017-01-11,4,12,6
2017-01-12,1,20,20
2017-01-13,6,15,1
2017-01-14,0,13,10
2017-01-15,0,1,0
2017-01-16,0,7,0
2017-01-17,9,18,0
2017-01-18,4,25,4
2017-01-19,5,15,11
2017-01-20,6,14,5
2017-01-21,5,17,0
2017-01-22,0,4,0
2017-01-23,1,18,1
2017-01-24,7,24,4
2017-01-25,7,20,4
2017-01-26,4,11,6
2017-01-27,4,7,9
2017-01-28,0,1,9
2017-01-29,0,4,0
2017-01-30,6,21,2
2017-01-31,8,19,7
2017-02-01,9,19,7
2017-02-02,6,17,8
2017-02-03,10,15,3
2017-02-04,0,5,13
2017-02-05,4,2,0
2017-02-06,6,10,2
2017-02-07,15,22,6
2017-02-08,2,20,13
2017-02-09,5,29,10
2017-02-10,12,13,12
2017-02-11,0,1,8
2017-02-12,5,0,0
2017-02-13,5,23,6
2017-02-14,8,41,0
2017-02-15,8,19,13
2017-02-16,8,28,7
2017-02-17,6,24,9
2017-02-18,5,5,0
2017-02-19,1,3,10
2017-02-20,9,2,0
2017-02-21,14,8,9
2017-02-22,6,13,0
2017-02-23,11,13,0
2017-02-24,11,9,0
2017-02-25,4,10,0
2017-02-26,3,3,0
2017-02-27,6,12,36
2017-02-28,6,13,9
2017-03-01,8,26,0
2017-03-02,10,9,19
2017-03-03,9,13,11
2017-03-04,0,1,0
2017-03-05,3,6,0
2017-03-06,9,22,9
2017-03-07,15,31,5
2017-03-08,4,4,8
2017-03-09,9,19,11
2017-03-10,16,11,18
2017-03-11,3,9,0
2017-03-12,0,4,0
2017-03-13,8,27,0
2017-03-14,9,26,15
2017-03-15,23,26,0
2017-03-16,27,20,8
2017-03-17,26,25,0
2017-03-18,6,2,0
2017-03-19,14,2,0
2017-03-20,8,16,14
2017-03-21,7,21,8
2017-03-22,19,22,7
2017-03-23,56,16,4
2017-03-24,8,19,2
2017-03-25,0,3,0
2017-03-26,4,3,0
2017-03-27,14,25,5
2017-03-28,3,16,0
2017-03-29,15,23,7
2017-03-30,4,6,5
2017-03-31,11,7,0
2017-04-01,5,1,0
2017-04-02,0,0,0
2017-04-03,9,17,8
2017-04-04,2,21,1
2017-04-05,13,39,0
2017-04-06,7,11,21
2017-04-07,21,9,12
2017-04-08,14,4,0
2017-04-09,4,0,0
2017-04-10,0,6,9
2017-04-11,0,22,24
2017-04-12,1,17,15
2017-04-13,4,15,15
2017-04-14,2,22,3
2017-04-15,9,0,0
2017-04-16,2,0,0
2017-04-17,9,23,3
2017-04-18,5,27,2
2017-04-19,3,20,12
2017-04-20,5,14,19
2017-04-21,1,8,13
2017-04-22,0,0,0
2017-04-23,0,4,0
2017-04-24,0,16,0
2017-04-25,0,10,54
2017-04-26,6,11,9
2017-04-27,0,4,0
2017-04-28,0,11,23
2017-04-29,0,8,0
2017-04-30,0,6,0
2017-05-01,0,36,13
2017-05-02,0,23,18
2017-05-03,0,29,14
2017-05-04,0,27,14
2017-05-05,0,28,10
2017-05-06,0,6,0
2017-05-07,7,2,0
2017-05-08,2,37,12
2017-05-09,2,14,6
2017-05-10,2,20,14
2017-05-11,2,32,17
2017-05-12,4,28,11
2017-05-13,1,2,0
2017-05-14,1,0,0
2017-05-15,3,26,0
2017-05-16,8,22,38
2017-05-17,1,15,0
2017-05-18,1,11,35
2017-05-19,0,18,0
2017-05-20,5,2,29
2017-05-21,5,0,0
2017-05-22,4,26,10
2017-05-23,18,32,17
2017-05-24,2,19,0
2017-05-25,12,9,22
2017-05-26,5,17,8
2017-05-27,3,3,0
2017-05-28,2,2,0
2017-05-29,16,0,0
2017-05-30,0,29,11
2017-05-31,7,21,9
2017-06-01,8,22,23
2017-06-02,12,29,7
2017-06-03,0,2,0
2017-06-04,2,2,0
2017-06-05,10,20,26
2017-06-06,6,46,28
2017-06-07,9,34,11
2017-06-08,2,34,24
2017-06-09,5,26,17
2017-06-10,5,7,0
2017-06-11,2,2,0
2017-06-12,17,24,7
2017-06-13,1,27,34
2017-06-14,3,16,11
2017-06-15,13,11,5
2017-06-16,11,6,32
2017-06-17,7,1,0
2017-06-18,3,0,0
2017-06-19,5,7,19
2017-06-20,0,8,5
2017-06-21,8,3,31
2017-06-22,3,16,24
2017-06-23,0,5,10
2017-06-24,1,0,0
2017-06-25,3,0,0
2017-06-26,0,6,4
2017-06-27,0,2,24
2017-06-28,0,12,16
2017-06-29,0,22,20
2017-06-30,4,11,17
2017-07-01,3,3,0
2017-07-02,0,0,0
2017-07-03,4,0,0
2017-07-04,4,0,0
2017-07-05,3,7,21
2017-07-06,13,8,15
2017-07-07,8,17,5
2017-07-08,5,2,23
2017-07-09,5,1,0
2017-07-10,5,28,0
2017-07-11,13,22,21
2017-07-12,8,18,7
2017-07-13,4,21,14
