,tanstack/router,remix-run/react-router,vercel/next.js
2019-02-14,0,0,5
2019-02-15,2,0,2
2019-02-16,0,0,4
2019-02-17,0,0,8
2019-02-18,0,0,3
2019-02-19,0,0,6
2019-02-20,3,1,15
2019-02-21,2,1,8
2019-02-22,0,3,14
2019-02-23,0,0,3
2019-02-24,0,0,2
2019-02-25,0,1,6
2019-02-26,0,4,6
2019-02-27,0,1,10
2019-02-28,0,1,9
2019-03-01,0,2,9
2019-03-02,0,1,4
2019-03-03,0,1,3
2019-03-04,0,1,1
2019-03-05,0,0,7
2019-03-06,0,1,3
2019-03-07,0,0,11
2019-03-08,0,0,7
2019-03-09,0,1,1
2019-03-10,0,0,6
2019-03-11,0,0,9
2019-03-12,3,0,11
2019-03-13,0,0,3
2019-03-14,0,0,4
2019-03-15,0,2,8
2019-03-16,0,2,6
2019-03-17,0,0,3
2019-03-18,0,2,7
2019-03-19,0,1,9
2019-03-20,0,0,12
2019-03-21,0,3,0
2019-03-22,0,2,3
2019-03-23,0,0,6
2019-03-24,0,1,4
2019-03-25,0,0,10
2019-03-26,0,3,5
2019-03-27,0,0,14
2019-03-28,0,0,3
2019-03-29,0,2,5
2019-03-30,0,0,8
2019-03-31,0,0,2
2019-04-01,0,1,4
2019-04-02,0,1,10
2019-04-03,0,1,20
2019-04-04,0,0,12
2019-04-05,0,0,16
2019-04-06,0,1,6
2019-04-07,0,1,9
2019-04-08,0,0,7
2019-04-09,0,2,19
2019-04-10,0,0,17
2019-04-11,0,0,12
2019-04-12,0,0,0
2019-04-13,0,0,6
2019-04-14,0,1,0
2019-04-15,0,0,8
2019-04-16,0,1,7
2019-04-17,0,0,6
2019-04-18,0,0,3
2019-04-19,0,0,4
2019-04-20,0,2,2
2019-04-21,0,0,7
2019-04-22,0,0,9
2019-04-23,0,0,8
2019-04-24,0,0,23
2019-04-25,1,0,13
2019-04-26,0,0,10
2019-04-27,0,0,0
2019-04-28,0,0,9
2019-04-29,2,0,1
2019-04-30,0,0,4
2019-05-01,0,0,9
2019-05-02,0,0,4
2019-05-03,0,0,4
2019-05-04,0,0,2
2019-05-05,0,0,4
2019-05-06,0,0,7
2019-05-07,0,0,4
2019-05-08,0,0,5
2019-05-09,0,0,6
2019-05-10,2,0,4
2019-05-11,0,2,5
2019-05-12,0,0,1
2019-05-13,0,0,2
2019-05-14,0,0,4
2019-05-15,0,2,4
2019-05-16,0,1,7
2019-05-17,0,0,7
2019-05-18,0,0,3
2019-05-19,0,0,2
2019-05-20,0,0,1
2019-05-21,0,0,1
2019-05-22,0,0,5
