,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2019-05-16,0,13,1
2019-05-17,1,10,2
2019-05-18,0,3,0
2019-05-19,0,2,0
2019-05-20,4,20,1
2019-05-21,8,22,6
2019-05-22,12,8,9
2019-05-23,2,8,1
2019-05-24,4,9,0
2019-05-25,0,3,0
2019-05-26,1,2,0
2019-05-27,0,2,0
2019-05-28,0,13,0
2019-05-29,5,15,0
2019-05-30,1,31,0
2019-05-31,1,14,3
2019-06-01,0,8,0
2019-06-02,0,1,0
2019-06-03,7,25,5
2019-06-04,0,23,2
2019-06-05,0,14,3
2019-06-06,0,23,4
2019-06-07,0,19,2
2019-06-08,0,13,0
2019-06-09,0,6,0
2019-06-10,7,19,1
2019-06-11,18,18,0
2019-06-12,10,15,1
2019-06-13,1,16,1
2019-06-14,0,16,0
2019-06-15,0,7,0
2019-06-16,0,4,0
2019-06-17,0,5,2
2019-06-18,0,16,2
2019-06-19,1,23,0
2019-06-20,1,19,1
2019-06-21,4,11,5
2019-06-22,0,7,0
2019-06-23,1,4,0
2019-06-24,1,9,3
2019-06-25,3,13,8
2019-06-26,5,14,8
2019-06-27,5,17,6
2019-06-28,5,26,9
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,6,8,1
2019-07-02,5,5,0
2019-07-03,3,13,5
2019-07-04,0,2,2
2019-07-05,3,1,0
2019-07-06,1,0,0
2019-07-07,0,0,0
2019-07-08,2,17,2
2019-07-09,7,16,5
2019-07-10,8,13,11
2019-07-11,1,15,1
2019-07-12,3,16,0
2019-07-13,0,5,0
2019-07-14,0,0,0
2019-07-15,1,7,1
2019-07-16,0,13,13
2019-07-17,3,27,11
2019-07-18,3,14,4
2019-07-19,1,23,5
2019-07-20,0,3,1
2019-07-21,0,6,0
2019-07-22,5,19,4
2019-07-23,6,16,0
2019-07-24,10,17,1
2019-07-25,6,11,4
2019-07-26,4,15,4
2019-07-27,0,9,0
2019-07-28,0,2,2
2019-07-29,1,11,1
2019-07-30,4,16,2
2019-07-31,1,15,3
2019-08-01,0,19,4
2019-08-02,1,19,9
2019-08-03,0,5,0
2019-08-04,0,3,0
2019-08-05,1,8,2
2019-08-06,9,25,0
2019-08-07,13,19,6
2019-08-08,9,18,2
2019-08-09,0,22,0
2019-08-10,0,5,0
2019-08-11,0,0,0
2019-08-12,2,13,2
2019-08-13,4,6,2
2019-08-14,0,23,5
2019-08-15,1,30,5
2019-08-16,2,28,1
2019-08-17,0,5,0
2019-08-18,0,3,2
2019-08-19,1,14,5
2019-08-20,4,32,4
2019-08-21,6,20,2
2019-08-22,3,19,4
2019-08-23,6,16,3
2019-08-24,0,3,0
2019-08-25,0,2,0
2019-08-26,4,14,1
2019-08-27,11,17,0
2019-08-28,3,31,4
2019-08-29,2,15,3
2019-08-30,3,15,2
2019-08-31,0,10,0
2019-09-01,0,0,0
2019-09-02,0,13,0
2019-09-03,2,25,0
2019-09-04,5,5,1
2019-09-05,4,21,0
2019-09-06,0,17,0
2019-09-07,0,5,0
2019-09-08,0,0,0
2019-09-09,1,2,0
2019-09-10,4,21,5
2019-09-11,2,21,1
2019-09-12,3,19,3
2019-09-13,0,16,3
2019-09-14,0,10,0
2019-09-15,0,0,0
2019-09-16,4,27,0
2019-09-17,0,12,2
2019-09-18,0,20,1
2019-09-19,0,20,3
2019-09-20,7,13,0
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,0,4,0
2019-09-24,4,25,1
2019-09-25,4,21,1
2019-09-26,3,27,0
2019-09-27,10,23,1
2019-09-28,0,7,1
2019-09-29,0,4,0
2019-09-30,1,18,1
2019-10-01,0,14,2
2019-10-02,7,23,6
2019-10-03,0,9,1
2019-10-04,2,28,3
2019-10-05,0,5,0
2019-10-06,0,2,0
2019-10-07,6,13,2
2019-10-08,8,14,5
2019-10-09,7,23,3
2019-10-10,21,35,6
2019-10-11,4,19,0
2019-10-12,0,0,0
2019-10-13,0,1,0
2019-10-14,10,16,2
2019-10-15,8,26,6
2019-10-16,1,11,6
2019-10-17,3,15,2
2019-10-18,3,24,0
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,6,13,2
2019-10-22,1,11,4
2019-10-23,0,12,3
2019-10-24,0,28,2
2019-10-25,0,12,1
2019-10-26,0,9,0
2019-10-27,0,0,0
2019-10-28,0,29,2
2019-10-29,5,24,4
2019-10-30,15,20,0
2019-10-31,2,19,1
2019-11-01,2,19,1
2019-11-02,0,2,0
2019-11-03,0,0,0
2019-11-04,0,5,0
2019-11-05,0,30,0
2019-11-06,1,23,4
2019-11-07,17,19,5
2019-11-08,5,18,1
2019-11-09,0,12,0
2019-11-10,0,2,0
2019-11-11,2,10,1
2019-11-12,1,9,2
2019-11-13,1,12,0
2019-11-14,6,20,4
2019-11-15,0,17,0
2019-11-16,0,7,0
2019-11-17,0,3,0
2019-11-18,3,13,1
2019-11-19,2,24,2
2019-11-20,4,21,4
2019-11-21,1,22,7
2019-11-22,1,23,1
2019-11-23,0,9,0
2019-11-24,0,1,0
2019-11-25,0,13,0
2019-11-26,0,20,4
2019-11-27,0,21,1
2019-11-28,0,7,1
2019-11-29,0,1,2
2019-11-30,0,1,0
2019-12-01,0,0,0
2019-12-02,1,8,1
2019-12-03,0,23,5
2019-12-04,1,27,3
2019-12-05,2,19,3
2019-12-06,0,15,2
2019-12-07,0,1,0
2019-12-08,0,0,0
2019-12-09,0,13,2
2019-12-10,2,20,1
2019-12-11,12,6,0
2019-12-12,4,12,1
2019-12-13,0,16,5
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,4,12,2
2019-12-17,0,16,2
2019-12-18,3,21,0
2019-12-19,0,19,0
2019-12-20,0,7,2
2019-12-21,0,7,0
2019-12-22,0,0,0
2019-12-23,0,5,0
2019-12-24,0,2,0
2019-12-25,0,0,0
2019-12-26,0,8,0
2019-12-27,0,5,0
2019-12-28,0,3,0
2019-12-29,0,1,0
2019-12-30,0,3,0
2019-12-31,0,1,0
2020-01-01,0,0,0
2020-01-02,1,6,0
2020-01-03,10,14,1
2020-01-04,0,1,0
2020-01-05,0,0,0
2020-01-06,5,14,1
2020-01-07,0,13,0
2020-01-08,1,28,2
2020-01-09,4,11,1
2020-01-10,0,18,2
2020-01-11,0,6,0
2020-01-12,0,0,0
2020-01-13,11,11,0
2020-01-14,5,18,2
2020-01-15,1,12,1
2020-01-16,1,26,3
2020-01-17,4,22,0
2020-01-18,1,2,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,3,9,1
2020-01-22,1,26,1
2020-01-23,17,5,1
2020-01-24,4,18,0
2020-01-25,0,15,0
2020-01-26,0,3,0
2020-01-27,15,12,2
2020-01-28,2,28,1
2020-01-29,8,24,0
2020-01-30,3,19,3
2020-01-31,2,23,3
2020-02-01,0,5,0
2020-02-02,0,0,0
2020-02-03,0,8,1
2020-02-04,2,21,0
2020-02-05,4,17,7
2020-02-06,2,27,2
2020-02-07,5,24,0
2020-02-08,0,5,0
2020-02-09,0,0,0
2020-02-10,3,18,1
2020-02-11,7,14,0
2020-02-12,4,22,0
2020-02-13,2,27,2
2020-02-14,7,13,0
2020-02-15,0,4,0
2020-02-16,0,0,0
2020-02-17,0,1,3
2020-02-18,7,13,0
2020-02-19,6,10,0
2020-02-20,2,18,0
2020-02-21,1,10,6
2020-02-22,0,0,0
2020-02-23,0,5,1
2020-02-24,7,11,1
2020-02-25,1,15,4
2020-02-26,8,21,2
2020-02-27,7,22,7
2020-02-28,0,27,0
2020-02-29,0,6,0
2020-03-01,0,0,0
2020-03-02,2,7,0
2020-03-03,0,15,0
2020-03-04,0,17,0
2020-03-05,2,22,1
2020-03-06,4,25,4
2020-03-07,0,3,2
2020-03-08,0,6,0
2020-03-09,0,10,6
2020-03-10,1,23,7
2020-03-11,9,15,1
