,netdata/netdata,grafana/grafana,cacti/cacti
2024-01-20,3,2,0
2024-01-21,1,0,0
2024-01-22,4,37,0
2024-01-23,3,44,0
2024-01-24,6,34,0
2024-01-25,6,45,0
2024-01-26,3,41,0
2024-01-27,1,0,3
2024-01-28,0,1,2
2024-01-29,13,39,5
2024-01-30,7,38,0
2024-01-31,10,30,1
2024-02-01,16,46,0
2024-02-02,4,35,0
2024-02-03,5,1,4
2024-02-04,2,2,0
2024-02-05,14,33,1
2024-02-06,17,47,0
2024-02-07,6,42,2
2024-02-08,9,32,0
2024-02-09,2,35,0
2024-02-10,5,2,0
2024-02-11,2,1,0
2024-02-12,9,27,0
2024-02-13,3,26,0
2024-02-14,5,36,0
2024-02-15,3,33,0
2024-02-16,5,38,0
2024-02-17,1,3,0
2024-02-18,0,1,7
2024-02-19,2,9,1
2024-02-20,9,30,2
2024-02-21,3,30,2
2024-02-22,6,27,0
2024-02-23,1,37,1
2024-02-24,1,1,0
2024-02-25,4,1,0
2024-02-26,12,35,0
2024-02-27,5,33,1
2024-02-28,2,35,0
2024-02-29,4,31,0
2024-03-01,3,33,0
2024-03-02,4,1,0
2024-03-03,1,0,1
2024-03-04,6,28,1
2024-03-05,14,29,0
2024-03-06,12,32,0
2024-03-07,4,25,0
2024-03-08,4,2,0
2024-03-09,1,1,0
2024-03-10,0,0,1
2024-03-11,5,42,1
2024-03-12,3,42,0
2024-03-13,2,36,0
2024-03-14,8,30,0
2024-03-15,8,42,6
2024-03-16,1,3,0
2024-03-17,2,0,0
2024-03-18,4,42,7
2024-03-19,6,34,0
2024-03-20,9,31,0
2024-03-21,9,45,0
2024-03-22,9,57,0
2024-03-23,5,1,0
2024-03-24,2,1,1
2024-03-25,3,37,1
2024-03-26,22,33,0
2024-03-27,19,25,2
2024-03-28,4,35,0
2024-03-29,10,5,1
2024-03-30,1,2,0
2024-03-31,0,1,0
2024-04-01,8,1,0
2024-04-02,3,14,0
2024-04-03,3,67,0
2024-04-04,3,31,1
2024-04-05,4,32,8
2024-04-06,1,1,3
2024-04-07,0,0,4
2024-04-08,6,33,0
2024-04-09,9,29,0
2024-04-10,20,27,0
2024-04-11,17,32,0
2024-04-12,8,28,1
2024-04-13,3,0,0
2024-04-14,1,0,0
2024-04-15,3,40,12
2024-04-16,10,37,0
2024-04-17,14,44,0
2024-04-18,7,45,1
2024-04-19,8,44,1
2024-04-20,3,0,4
2024-04-21,5,1,0
2024-04-22,16,23,0
2024-04-23,18,35,0
2024-04-24,10,27,0
2024-04-25,5,28,0
2024-04-26,7,16,0
2024-04-27,1,1,0
2024-04-28,0,0,0
2024-04-29,2,55,0
2024-04-30,12,28,0
2024-05-01,12,20,0
2024-05-02,11,42,0
2024-05-03,4,37,0
2024-05-04,1,1,0
2024-05-05,0,1,0
2024-05-06,6,16,0
2024-05-07,6,23,0
2024-05-08,4,21,0
2024-05-09,8,25,0
2024-05-10,5,33,0
2024-05-11,3,2,0
2024-05-12,3,1,0
2024-05-13,2,37,0
2024-05-14,9,38,0
2024-05-15,11,31,1
2024-05-16,12,22,0
2024-05-17,12,3,0
2024-05-18,1,0,6
2024-05-19,5,0,0
2024-05-20,10,25,2
2024-05-21,9,23,0
2024-05-22,5,21,0
2024-05-23,6,20,0
2024-05-24,7,26,0
2024-05-25,1,0,1
2024-05-26,2,0,0
2024-05-27,9,19,0
2024-05-28,5,31,0
2024-05-29,4,27,0
2024-05-30,10,26,0
2024-05-31,7,22,0
2024-06-01,1,0,0
2024-06-02,0,1,0
2024-06-03,8,25,0
2024-06-04,11,34,0
2024-06-05,8,33,1
2024-06-06,9,37,1
2024-06-07,9,33,2
2024-06-08,1,0,0
2024-06-09,4,0,0
2024-06-10,2,27,0
2024-06-11,3,29,0
2024-06-12,5,24,0
2024-06-13,15,29,1
2024-06-14,13,29,0
2024-06-15,1,1,0
2024-06-16,5,0,2
2024-06-17,12,21,1
2024-06-18,13,29,0
2024-06-19,9,28,0
2024-06-20,13,30,11
2024-06-21,4,26,20
2024-06-22,1,1,1
2024-06-23,0,1,1
2024-06-24,5,29,0
2024-06-25,9,43,2
2024-06-26,9,28,0
2024-06-27,14,27,0
2024-06-28,4,1,0
2024-06-29,7,0,3
2024-06-30,1,0,1
2024-07-01,7,19,0
2024-07-02,6,20,0
2024-07-03,3,28,0
2024-07-04,3,30,2
2024-07-05,5,22,0
2024-07-06,1,2,0
2024-07-07,1,0,0
2024-07-08,13,18,0
2024-07-09,4,23,0
2024-07-10,9,17,0
2024-07-11,10,23,0
2024-07-12,10,30,0
2024-07-13,3,2,0
2024-07-14,5,0,0
2024-07-15,10,15,0
2024-07-16,9,26,0
2024-07-17,6,32,0
2024-07-18,7,24,0
2024-07-19,2,23,0
2024-07-20,0,1,0
2024-07-21,1,0,1
2024-07-22,7,25,0
2024-07-23,2,20,0
2024-07-24,4,18,0
