,serverless/serverless,apache/openwhisk,aws/chalice
2016-07-31,0,1,0
2016-08-01,14,7,15
2016-08-02,19,3,1
2016-08-03,18,7,1
2016-08-04,27,3,8
2016-08-05,15,2,0
2016-08-06,3,1,0
2016-08-07,2,0,2
2016-08-08,13,0,1
2016-08-09,5,1,0
2016-08-10,14,4,1
2016-08-11,11,2,6
2016-08-12,9,3,0
2016-08-13,12,3,0
2016-08-14,5,0,0
2016-08-15,19,2,0
2016-08-16,10,14,4
2016-08-17,5,3,0
2016-08-18,4,5,3
2016-08-19,10,6,1
2016-08-20,1,0,0
2016-08-21,4,5,0
2016-08-22,9,2,0
2016-08-23,12,4,2
2016-08-24,20,1,0
2016-08-25,4,5,0
2016-08-26,7,4,8
2016-08-27,0,2,0
2016-08-28,1,0,0
2016-08-29,6,6,0
2016-08-30,2,20,0
2016-08-31,66,7,0
2016-09-01,6,8,8
2016-09-02,17,9,0
2016-09-03,5,3,0
2016-09-04,0,0,0
2016-09-05,29,0,0
2016-09-06,21,7,7
2016-09-07,11,5,0
2016-09-08,19,4,1
2016-09-09,8,5,0
2016-09-10,4,0,0
2016-09-11,2,1,0
2016-09-12,28,1,0
2016-09-13,14,4,0
2016-09-14,5,10,1
2016-09-15,11,2,0
2016-09-16,10,6,0
2016-09-17,3,0,0
2016-09-18,0,3,0
2016-09-19,8,2,0
2016-09-20,17,5,0
2016-09-21,5,6,8
2016-09-22,15,7,1
2016-09-23,18,4,0
2016-09-24,0,0,0
2016-09-25,2,0,0
2016-09-26,20,2,0
2016-09-27,16,5,0
2016-09-28,20,3,3
2016-09-29,2,1,0
2016-09-30,12,2,0
2016-10-01,13,0,0
2016-10-02,1,0,0
2016-10-03,14,1,0
2016-10-04,22,7,0
2016-10-05,16,1,0
2016-10-06,8,0,0
2016-10-07,22,3,6
2016-10-08,0,0,0
2016-10-09,4,0,0
2016-10-10,21,1,11
2016-10-11,46,2,2
2016-10-12,41,2,3
2016-10-13,46,4,11
2016-10-14,16,0,0
2016-10-15,5,0,0
2016-10-16,0,0,0
2016-10-17,16,6,1
2016-10-18,29,1,0
2016-10-19,54,2,4
2016-10-20,29,5,0
2016-10-21,25,0,3
2016-10-22,5,1,0
2016-10-23,7,0,0
2016-10-24,28,4,5
2016-10-25,22,0,1
2016-10-26,11,3,0
2016-10-27,23,4,9
2016-10-28,27,6,4
2016-10-29,0,1,0
2016-10-30,3,0,0
2016-10-31,23,2,0
2016-11-01,39,2,2
2016-11-02,28,2,0
2016-11-03,15,1,0
2016-11-04,17,1,0
2016-11-05,6,0,0
2016-11-06,1,0,0
2016-11-07,18,1,5
2016-11-08,24,1,3
2016-11-09,7,1,2
2016-11-10,7,7,5
2016-11-11,9,0,5
2016-11-12,3,0,0
2016-11-13,0,0,0
2016-11-14,10,0,1
2016-11-15,10,1,10
2016-11-16,7,1,0
2016-11-17,12,8,4
2016-11-18,15,8,0
2016-11-19,4,0,0
2016-11-20,6,0,1
2016-11-21,27,0,0
2016-11-22,16,6,3
2016-11-23,7,2,2
2016-11-24,21,1,0
2016-11-25,5,1,0
2016-11-26,5,0,0
2016-11-27,4,0,0
2016-11-28,12,4,2
2016-11-29,16,4,1
2016-11-30,4,0,2
2016-12-01,39,5,2
2016-12-02,23,2,0
2016-12-03,2,2,1
2016-12-04,5,0,0
2016-12-05,14,3,0
2016-12-06,14,4,1
2016-12-07,20,12,0
2016-12-08,32,6,0
2016-12-09,14,9,0
2016-12-10,2,1,0
2016-12-11,22,0,0
2016-12-12,8,7,0
2016-12-13,26,2,3
2016-12-14,25,9,0
2016-12-15,11,4,0
2016-12-16,30,2,0
2016-12-17,7,0,0
2016-12-18,3,0,0
2016-12-19,11,0,0
2016-12-20,22,6,0
2016-12-21,1,0,0
2016-12-22,4,1,0
2016-12-23,11,5,0
2016-12-24,1,0,0
