,tajo/ladle,histoire-dev/histoire,storybookjs/storybook
2022-02-21,0,0,9
2022-02-22,0,8,15
2022-02-23,0,4,23
2022-02-24,0,0,14
2022-02-25,0,4,12
2022-02-26,0,0,0
2022-02-27,0,0,1
2022-02-28,0,0,20
2022-03-01,4,0,17
2022-03-02,2,0,6
2022-03-03,6,0,1
2022-03-04,0,0,0
2022-03-05,0,0,8
2022-03-06,0,9,4
2022-03-07,0,7,11
2022-03-08,0,2,11
2022-03-09,2,4,24
2022-03-10,0,8,6
2022-03-11,0,0,6
2022-03-12,0,0,26
2022-03-13,2,0,12
2022-03-14,0,0,22
2022-03-15,4,20,10
2022-03-16,5,19,15
2022-03-17,0,10,22
2022-03-18,2,0,53
2022-03-19,0,0,5
2022-03-20,0,16,5
2022-03-21,0,0,18
2022-03-22,0,3,20
2022-03-23,0,0,19
2022-03-24,0,2,2
2022-03-25,1,0,22
2022-03-26,0,0,1
2022-03-27,0,0,0
2022-03-28,0,0,26
2022-03-29,9,0,23
2022-03-30,2,0,15
2022-03-31,2,0,56
2022-04-01,0,0,36
2022-04-02,0,0,7
2022-04-03,0,0,13
2022-04-04,0,16,29
2022-04-05,0,0,42
2022-04-06,0,0,71
2022-04-07,0,0,47
2022-04-08,0,0,30
2022-04-09,0,13,8
2022-04-10,0,4,0
2022-04-11,2,0,18
2022-04-12,0,0,13
2022-04-13,0,0,24
2022-04-14,0,0,37
2022-04-15,0,0,14
2022-04-16,0,0,15
2022-04-17,0,0,10
2022-04-18,2,0,24
2022-04-19,2,11,21
2022-04-20,2,8,12
2022-04-21,0,10,32
2022-04-22,0,17,43
2022-04-23,0,3,19
2022-04-24,0,21,14
2022-04-25,0,0,22
2022-04-26,2,0,26
2022-04-27,0,0,20
2022-04-28,6,0,33
2022-04-29,2,0,23
2022-04-30,0,0,3
2022-05-01,0,11,2
2022-05-02,0,9,20
2022-05-03,10,1,31
2022-05-04,0,0,38
2022-05-05,2,0,14
2022-05-06,0,12,15
2022-05-07,0,0,4
2022-05-08,0,10,11
2022-05-09,0,30,74
2022-05-10,0,0,28
2022-05-11,11,2,27
2022-05-12,0,0,29
2022-05-13,0,0,9
2022-05-14,0,0,2
2022-05-15,0,0,2
2022-05-16,0,0,15
2022-05-17,1,0,21
2022-05-18,0,0,14
2022-05-19,0,0,18
2022-05-20,0,0,6
2022-05-21,0,0,9
2022-05-22,0,0,0
2022-05-23,0,0,20
2022-05-24,1,0,9
2022-05-25,3,0,16
2022-05-26,0,0,17
2022-05-27,0,0,22
2022-05-28,1,0,3
2022-05-29,0,0,8
2022-05-30,0,15,15
2022-05-31,0,20,45
2022-06-01,0,11,6
2022-06-02,0,19,14
2022-06-03,0,23,10
2022-06-04,0,7,0
2022-06-05,0,8,0
2022-06-06,0,9,46
2022-06-07,0,3,28
2022-06-08,0,7,20
2022-06-09,3,9,14
2022-06-10,3,1,21
2022-06-11,0,0,2
2022-06-12,7,0,8
2022-06-13,1,0,8
2022-06-14,1,1,30
2022-06-15,0,0,31
2022-06-16,0,0,22
2022-06-17,0,0,65
2022-06-18,0,0,10
2022-06-19,0,1,15
2022-06-20,0,3,33
2022-06-21,3,2,56
2022-06-22,0,9,28
2022-06-23,2,0,32
