,jackc/pgx,go-pg/pg,lib/pq
2013-05-27,0.0,0,0
2013-05-28,0.0,0,0
2013-05-29,0.0,0,0
2013-05-30,0.0,0,0
2013-05-31,0.0,0,0
2013-06-01,0.0,0,0
2013-06-02,0.0,0,0
2013-06-03,0.0,0,0
2013-06-04,0.0,0,0
2013-06-05,0.0,0,0
2013-06-06,0.0,0,1
2013-06-07,1.0,2,5
2013-06-08,-0.10000000000000009,0,0
2013-06-09,-0.04500000000000003,0,0
2013-06-10,-0.028500000000000022,0,0
2013-06-11,-0.020662499999999924,0,0
2013-06-12,-0.016116749999999947,0,0
2013-06-13,-0.01316201249999996,0,0
2013-06-14,-0.011093696249999967,1,0
2013-06-15,-0.009568313015624975,0,0
2013-06-16,-0.008398852535937478,0,0
2013-06-17,0.0,0,0
2013-06-18,0.0,0,0
2013-06-19,0.0,0,0
2013-06-20,0.0,0,0
2013-06-21,0.0,0,0
2013-06-22,0.0,0,0
2013-06-23,0.0,0,0
2013-06-24,0.0,0,0
2013-06-25,0.0,0,0
2013-06-26,0.0,0,0
2013-06-27,0.0,0,0
2013-06-28,0.0,0,0
2013-06-29,11.0,0,0
2013-06-30,1.899999999999999,0,0
2013-07-01,4.204999999999999,0,0
2013-07-02,-0.9485000000000008,0,0
2013-07-03,-0.5377874999999994,0,0
2013-07-04,-0.3817717499999993,0,0
2013-07-05,-0.29644488749999903,0,0
2013-07-06,-0.24210044624999924,0,0
2013-07-07,-0.20434259442187447,0,0
2013-07-08,6.823439201807813,0,0
2013-07-09,4.2269618773140625,0,0
2013-07-10,1.143005737320312,0,0
2013-07-11,0.3754999999999995,0,0
2013-07-12,3.5228625000000005,0,0
2013-07-13,3.2818702500000003,0,0
2013-07-14,3.1774571625,0,0
2013-07-15,4.10963806375,0,0
2013-07-16,0.9584625526406252,0,1
2013-07-17,0.17190006217031295,0,3
2013-07-18,1.3955103650390632,0,0
2013-07-19,2.406831646912501,0,5
2013-07-20,4.315896310401563,0,0
2013-07-21,1.07305049029375,0,0
2013-07-22,0.2783970815437502,0,0
2013-07-23,0.4564926197781254,0,0
2013-07-24,-0.45221135996093687,0,0
2013-07-25,2.716551801912501,2,0
2013-07-26,6.491977370182813,0,0
2013-07-27,1.0009255996312498,0,0
2013-07-28,-0.7250042776859376,0,0
2013-07-29,-0.4368740974609373,0,0
2013-07-30,5.712552535662501,1,0
2013-07-31,0.18840454694843767,0,0
2013-08-01,-0.5360475287859373,0,0
2013-08-02,-0.34868483779687476,0,2
2013-08-03,-0.26683714121718677,0,0
2013-08-04,-0.1952915937828119,0,0
2013-08-05,1.8881134699281252,0,0
2013-08-06,0.7202758100000001,0,0
2013-08-07,-0.25850357434375,0,0
2013-08-08,-0.16196142823124993,0,0
2013-08-09,1.9217761474640627,0,0
2013-08-10,-0.252896,5,0
2013-08-11,-0.13244077499999993,0,0
2013-08-12,-0.09234940499999994,0,0
2013-08-13,-0.07155532228124976,0,3
2013-08-14,-0.05859951808749983,0,0
2013-08-15,-0.0347228775359374,0,0
2013-08-16,-0.022187392499999934,1,0
2013-08-17,-0.01913662603124995,0,0
2013-08-18,-0.016797705071874957,0,0
2013-08-19,0.0,0,0
2013-08-20,0.0,0,0
2013-08-21,0.0,0,0
2013-08-22,0.0,0,0
2013-08-23,0.0,0,1
2013-08-24,0.0,0,2
2013-08-25,0.0,0,0
2013-08-26,0.0,0,0
2013-08-27,0.0,0,0
2013-08-28,0.0,0,1
2013-08-29,0.0,0,2
2013-08-30,0.0,0,0
2013-08-31,0.0,0,0
2013-09-01,0.0,0,0
2013-09-02,0.0,0,0
2013-09-03,0.0,0,0
2013-09-04,0.0,0,0
2013-09-05,0.0,1,0
2013-09-06,0.0,0,0
2013-09-07,0.0,0,0
2013-09-08,0.0,0,0
2013-09-09,0.0,0,0
2013-09-10,0.0,0,0
2013-09-11,0.0,0,0
2013-09-12,0.0,0,0
2013-09-13,0.0,0,1
2013-09-14,0.0,0,0
2013-09-15,0.0,0,5
2013-09-16,0.0,0,0
2013-09-17,0.0,1,0
2013-09-18,0.0,0,2
2013-09-19,0.0,0,0
2013-09-20,0.0,0,0
2013-09-21,0.0,0,0
2013-09-22,0.0,0,3
2013-09-23,0.0,0,0
2013-09-24,0.0,0,3
2013-09-25,0.0,0,0
2013-09-26,0.0,0,1
2013-09-27,1.0,0,1
2013-09-28,-0.10000000000000009,0,0
2013-09-29,-0.04500000000000003,0,0
2013-09-30,0.9715,0,0
2013-10-01,-0.1206625,0,0
2013-10-02,-0.061116749999999984,0,0
2013-10-03,1.9583379875,0,0
2013-10-04,-0.23175619625000007,0,1
2013-10-05,-0.11568506301562499,0,0
2013-10-06,-0.07856086503593748,0,3
2013-10-07,-0.05241869624999981,0,1
2013-10-08,-0.04180181301562487,0,4
2013-10-09,-0.0347228775359374,0,2
2013-10-10,-0.022187392499999934,0,7
2013-10-11,-0.01913662603124995,0,3
2013-10-12,-0.016797705071874957,0,0
2013-10-13,0.0,0,1
2013-10-14,0.0,0,2
2013-10-15,0.0,0,1
2013-10-16,0.0,0,4
2013-10-17,0.0,0,3
2013-10-18,0.0,0,0
2013-10-19,0.0,15,0
2013-10-20,0.0,4,0
2013-10-21,0.0,0,0
2013-10-22,0.0,0,0
2013-10-23,0.0,0,0
2013-10-24,0.0,0,0
2013-10-25,0.0,0,0
2013-10-26,0.0,0,0
2013-10-27,0.0,0,0
2013-10-28,0.0,0,0
2013-10-29,0.0,0,0
2013-10-30,0.0,0,0
2013-10-31,0.0,0,0
2013-11-01,0.0,0,0
2013-11-02,0.0,7,0
2013-11-03,0.0,0,0
2013-11-04,0.0,2,0
2013-11-05,1.0,0,0
2013-11-06,-0.10000000000000009,0,0
2013-11-07,-0.04500000000000003,0,0
2013-11-08,-0.028500000000000022,0,0
2013-11-09,-0.020662499999999924,0,4
2013-11-10,-0.016116749999999947,0,8
2013-11-11,-0.01316201249999996,1,0
2013-11-12,-0.011093696249999967,0,0
2013-11-13,-0.009568313015624975,0,0
2013-11-14,-0.008398852535937478,0,1
2013-11-15,0.0,0,0
2013-11-16,0.0,0,0
2013-11-17,0.0,0,0
2013-11-18,0.0,0,1
2013-11-19,0.0,0,0
2013-11-20,0.0,1,0
2013-11-21,0.0,0,0
2013-11-22,0.0,0,0
2013-11-23,0.0,8,0
2013-11-24,0.0,0,0
2013-11-25,0.0,4,0
2013-11-26,0.0,0,2
2013-11-27,0.0,0,0
2013-11-28,0.0,0,0
2013-11-29,0.0,0,0
2013-11-30,0.0,0,0
2013-12-01,0.0,10,0
2013-12-02,0.0,0,0
2013-12-03,0.0,0,5
2013-12-04,0.0,0,2
2013-12-05,0.0,0,4
2013-12-06,0.0,0,0
2013-12-07,0.0,0,0
2013-12-08,0.0,0,0
2013-12-09,0.0,0,0
2013-12-10,2.0,1,0
2013-12-11,-0.20000000000000018,0,6
2013-12-12,-0.09000000000000007,0,0
2013-12-13,-0.057000000000000044,0,0
2013-12-14,-0.04132499999999985,11,0
2013-12-15,-0.032233499999999894,0,8
2013-12-16,-0.02632402499999992,0,0
2013-12-17,-0.022187392499999934,1,2
2013-12-18,-0.01913662603124995,0,4
2013-12-19,-0.016797705071874957,0,0
2013-12-20,0.0,0,0
2013-12-21,0.0,0,0
2013-12-22,0.0,0,0
2013-12-23,0.0,0,0
2013-12-24,0.0,0,0
2013-12-25,0.0,0,0
2013-12-26,0.0,0,0
2013-12-27,0.0,0,0
2013-12-28,0.0,0,0
2013-12-29,0.0,1,0
2013-12-30,0.0,0,0
2013-12-31,0.0,0,0
2014-01-01,0.0,0,4
2014-01-02,0.0,0,0
2014-01-03,0.0,0,0
2014-01-04,0.0,0,0
2014-01-05,0.0,0,0
2014-01-06,0.0,0,0
2014-01-07,0.0,0,0
2014-01-08,0.0,1,0
2014-01-09,0.0,0,0
2014-01-10,0.0,0,3
2014-01-11,0.0,0,0
2014-01-12,0.0,0,0
2014-01-13,0.0,0,0
2014-01-14,0.0,0,2
2014-01-15,1.0,0,0
2014-01-16,-0.10000000000000009,0,0
2014-01-17,-0.04500000000000003,0,0
2014-01-18,-0.028500000000000022,0,2
2014-01-19,0.9793375000000001,0,0
2014-01-20,-0.11611675000000003,4,0
2014-01-21,-0.05816201249999999,6,0
2014-01-22,-0.03959369624999999,1,0
2014-01-23,-0.0302308130156249,0,0
2014-01-24,-0.024515602535937424,0,0
2014-01-25,-0.01316201249999996,0,0
2014-01-26,-0.011093696249999967,0,0
2014-01-27,-0.009568313015624975,0,0
2014-01-28,-0.008398852535937478,0,0
2014-01-29,0.0,0,0
2014-01-30,0.0,0,0
2014-01-31,0.0,1,0
2014-02-01,0.0,0,0
2014-02-02,0.0,1,1
2014-02-03,0.0,0,0
2014-02-04,0.0,0,0
