,gfx-rs/wgpu,vulkano-rs/vulkano,gfx-rs/gfx
2018-09-25,1,0,0.0
2018-09-26,3,0,0.0
2018-09-27,3,0,0.0
2018-09-28,11,0,2.0
2018-09-29,1,2,-0.6000000000000001
2018-09-30,0,2,2.79
2018-10-01,3,0,0.9809999999999999
2018-10-02,4,1,0.004675000000000207
2018-10-03,5,0,-0.7479404999999998
2018-10-04,0,0,-0.3910492249999999
2018-10-05,0,1,1.7330997025000001
2018-10-06,0,1,0.19880097896874993
2018-10-07,5,2,-0.670320622715625
2018-10-08,0,0,-0.332825560296875
2018-10-09,0,0,-0.23128594697968763
2018-10-10,0,0,-0.1426465432312501
2018-10-11,0,1,-0.08986538823281251
2018-10-12,4,1,-0.061195410000000006
2018-10-13,0,0,-0.05071070728125009
2018-10-14,0,0,-0.04304354323125009
2018-10-15,0,1,-0.013583413232812524
2018-10-16,0,1,1.0
2018-10-17,0,1,1.7
2018-10-18,1,0,1.295
2018-10-19,4,1,0.13050000000000006
2018-10-20,0,0,-0.6691624999999999
2018-10-21,0,0,-0.33404524999999985
2018-10-22,1,0,-0.22254636249999996
2018-10-23,0,0,-0.16512199875
2018-10-24,0,0,0.8699267607343749
2018-10-25,1,0,-0.4065322567640627
2018-10-26,4,4,-0.18287753374687507
2018-10-27,1,3,-0.10254354323125006
2018-10-28,0,3,-0.05374591323281252
2018-10-29,0,0,-0.029720249999999997
2018-10-30,2,0,-0.023280862499999996
2018-10-31,3,0,-0.018957273750000003
2018-11-01,0,1,-0.015876716765625045
2018-11-02,2,0,-0.013583413232812524
2018-11-03,2,1,0.0
2018-11-04,0,0,0.0
2018-11-05,0,0,0.0
2018-11-06,1,0,0.0
2018-11-07,0,0,0.0
2018-11-08,1,3,1.0
2018-11-09,0,0,-0.30000000000000004
2018-11-10,0,0,1.895
2018-11-11,4,1,-0.6595000000000001
2018-11-12,2,0,-0.25016249999999984
2018-11-13,0,0,-0.14872024999999994
2018-11-14,0,1,0.8963941375
2018-11-15,0,1,-0.37839777375000005
2018-11-16,0,1,-0.16743844176562495
2018-11-17,0,0,-0.1109979607328125
2018-11-18,0,0,-0.07191593353125009
2018-11-19,0,0,-0.05688707646562505
2018-11-20,0,0,2.9767191375
2018-11-21,0,0,2.0810427262499998
2018-11-22,0,0,-1.230876716765625
2018-11-23,0,0,-0.5070834132328123
2018-11-24,0,0,-0.2989874999999999
2018-11-25,0,1,-0.20964824999999998
2018-11-26,0,0,-0.15900333749999995
2018-11-27,1,0,-0.12671440875
2018-11-28,0,1,0.8954980284531249
2018-11-29,0,0,-0.38838038999531277
2018-11-30,0,2,0.8542497603015625
2018-12-01,0,0,-0.35950000000000004
2018-12-02,1,0,0.8548375000000001
2018-12-03,0,0,0.61077975
2018-12-04,1,1,1.5315566375
2018-12-05,0,0,0.18682247625000004
2018-12-06,0,0,-0.6488200792656249
2018-12-07,0,2,-0.3264234369828124
2018-12-08,0,0,-0.208702829265625
2018-12-09,0,0,0.8445754505171875
2018-12-10,0,0,0.5888840344843749
2018-12-11,0,1,2.5043444600015623
2018-12-12,0,0,-1.1287941205140626
2018-12-13,0,0,-0.45770604323124986
2018-12-14,0,0,-0.2619661632328124
2018-12-15,0,0,-0.17348861249999997
2018-12-16,0,0,-0.13139888624999999
2018-12-17,0,0,-0.10467657801562504
2018-12-18,0,1,-0.08633195124843758
2018-12-19,0,0,-0.06121356352968765
2018-12-20,0,0,0.9592497603015624
2018-12-21,0,0,2.7
2018-12-22,0,0,4.995
2018-12-23,0,0,-2.1745
2018-12-24,0,0,-0.8486624999999994
2018-12-25,0,0,0.49279225000000015
2018-12-26,0,0,0.34658338749999995
2018-12-27,1,1,2.32787863875
2018-12-28,0,0,1.723066286984375
2018-12-29,0,0,1.5103802939703124
2018-12-30,0,0,-0.5993932902921877
2018-12-31,0,0,0.9515109081031252
2019-01-01,0,0,-1.13538638625
2019-01-02,0,0,0.41617517198437515
2019-01-03,0,0,3.2955022112515624
2019-01-04,0,0,0.39702677772031225
2019-01-05,0,1,-1.3074735737453125
2019-01-06,0,1,0.35793811125468755
2019-01-07,0,0,0.2960882460359374
2019-01-08,0,0,0.32717629073593746
2019-01-09,0,0,1.3368119497843751
2019-01-10,0,0,-0.942930036765625
2019-01-11,0,0,0.5456124222046874
2019-01-12,6,0,-0.5982506989625002
2019-01-13,0,0,-0.284450212715625
2019-01-14,4,0,3.822944646984375
2019-01-15,1,1,-1.3351416287484377
2019-01-16,2,0,2.4829050725015627
2019-01-17,1,0,2.7933822907359374
2019-01-18,2,0,2.278225899784375
2019-01-19,0,1,-1.9332577167656249
2019-01-20,4,0,1.114805636767188
2019-01-21,10,0,0.8363601549999999
2019-01-22,1,0,-1.2228804545625
2019-01-23,1,0,0.3477900758187502
2019-01-24,7,0,3.284092304703125
2019-01-25,0,0,3.375148298239062
2019-01-26,0,0,-2.2033427449937504
2019-01-27,0,0,-0.9419724254312496
2019-01-28,0,0,0.44246176896875
2019-01-29,0,0,0.2981053775031248
2019-01-30,2,0,1.307151199784375
2019-01-31,0,0,0.027389875734374902
