,dandavison/delta,jonas/tig,jesseduffield/lazygit
2023-07-23,0.0,0,9
2023-07-24,0.0,0,4
2023-07-25,0.0,0,0
2023-07-26,0.0,0,4
2023-07-27,0.0,0,0
2023-07-28,0.0,0,3
2023-07-29,2.0,0,17
2023-07-30,-0.3999999999999999,0,80
2023-07-31,-0.16000000000000014,0,38
2023-08-01,0.9039999999999999,0,14
2023-08-02,-0.2672,0,10
2023-08-03,-0.1310720000000001,0,10
2023-08-04,-0.08885760000000006,0,0
2023-08-05,0.93254656,0,4
2023-08-06,-0.25431142399999984,0,6
2023-08-07,-0.1253675008,0,18
2023-08-08,-0.06492672000000005,0,3
2023-08-09,-0.04798771199999995,0,7
2023-08-10,-0.03800535039999998,0,5
2023-08-11,-0.02042880000000001,0,0
2023-08-12,-0.01692672000000001,0,11
2023-08-13,5.9856122880000004,0,0
2023-08-14,-1.2124693503999997,0,0
2023-08-15,-0.4800000000000004,0,8
2023-08-16,-0.2880000000000002,0,1
2023-08-17,-0.20160000000000006,0,0
2023-08-18,-0.15321600000000007,0,1
2023-08-19,-0.12257280000000007,0,10
2023-08-20,-0.10156032000000006,0,2
2023-08-21,-0.08632627199999963,0,23
2023-08-22,-0.07481610239999978,0,4
2023-08-23,0.0,0,0
2023-08-24,0.0,0,1
2023-08-25,0.0,0,2
2023-08-26,0.0,0,0
2023-08-27,0.0,0,2
2023-08-28,0.0,0,19
2023-08-29,0.0,0,16
2023-08-30,0.0,0,4
2023-08-31,0.0,5,2
2023-09-01,0.0,0,1
2023-09-02,0.0,0,0
2023-09-03,0.0,0,0
2023-09-04,0.0,0,11
2023-09-05,0.0,0,5
2023-09-06,0.0,0,3
2023-09-07,0.0,0,0
2023-09-08,0.0,0,0
2023-09-09,0.0,0,7
2023-09-10,0.0,0,6
2023-09-11,0.0,0,2
2023-09-12,0.0,0,1
2023-09-13,0.0,0,2
2023-09-14,0.0,0,0
2023-09-15,0.0,0,1
2023-09-16,0.0,0,0
2023-09-17,0.0,0,0
2023-09-18,0.0,0,13
2023-09-19,0.0,0,1
2023-09-20,0.0,0,14
2023-09-21,0.0,0,0
2023-09-22,0.0,0,1
2023-09-23,0.0,0,0
2023-09-24,0.0,0,1
2023-09-25,0.0,0,12
2023-09-26,0.0,0,1
2023-09-27,0.0,0,0
2023-09-28,0.0,0,6
2023-09-29,0.0,0,3
2023-09-30,0.0,0,11
2023-10-01,0.0,0,2
2023-10-02,0.0,0,1
2023-10-03,0.0,0,6
2023-10-04,0.0,0,5
2023-10-05,0.0,0,0
2023-10-06,0.0,0,0
2023-10-07,0.0,0,0
2023-10-08,0.0,0,9
