,aws/aws-cli,iterate-ch/cyberduck,rclone/rclone
2020-12-18,3,2,1
2020-12-19,0,0,0
2020-12-20,0,6,0
2020-12-21,4,8,1
2020-12-22,3,4,0
2020-12-23,4,2,0
2020-12-24,1,0,0
2020-12-25,0,0,0
2020-12-26,0,1,4
2020-12-27,0,2,15
2020-12-28,3,1,22
2020-12-29,4,2,4
2020-12-30,3,1,4
2020-12-31,3,6,5
2021-01-01,0,1,0
2021-01-02,0,3,2
2021-01-03,0,3,0
2021-01-04,3,5,0
2021-01-05,3,3,7
2021-01-06,3,12,2
2021-01-07,3,5,2
2021-01-08,1,0,10
2021-01-09,0,3,0
2021-01-10,0,1,8
2021-01-11,4,5,2
2021-01-12,4,16,1
2021-01-13,4,6,1
2021-01-14,3,22,0
2021-01-15,4,7,0
2021-01-16,0,0,0
2021-01-17,0,0,1
2021-01-18,0,10,3
2021-01-19,4,10,6
2021-01-20,1,0,2
2021-01-21,5,4,12
2021-01-22,4,6,2
2021-01-23,0,6,0
2021-01-24,0,8,0
2021-01-25,0,13,2
2021-01-26,3,20,6
2021-01-27,4,2,10
2021-01-28,15,0,9
2021-01-29,3,1,4
2021-01-30,1,0,14
2021-01-31,0,0,0
2021-02-01,4,5,3
2021-02-02,4,6,5
2021-02-03,4,1,8
2021-02-04,4,8,3
2021-02-05,5,5,0
2021-02-06,0,0,0
2021-02-07,1,0,11
2021-02-08,7,8,3
2021-02-09,3,3,1
2021-02-10,2,1,5
2021-02-11,4,6,5
2021-02-12,6,8,3
2021-02-13,0,0,11
2021-02-14,0,0,0
2021-02-15,3,3,0
2021-02-16,3,8,10
2021-02-17,6,1,12
2021-02-18,3,9,1
2021-02-19,5,1,1
2021-02-20,1,0,0
2021-02-21,0,0,1
2021-02-22,4,0,0
2021-02-23,4,1,12
2021-02-24,3,2,11
2021-02-25,3,0,0
2021-02-26,3,1,0
2021-02-27,0,0,0
2021-02-28,0,0,1
2021-03-01,3,4,1
2021-03-02,4,5,0
2021-03-03,3,6,0
2021-03-04,4,2,1
2021-03-05,5,6,4
2021-03-06,0,0,0
2021-03-07,0,0,1
2021-03-08,4,8,1
2021-03-09,7,6,0
2021-03-10,9,7,1
2021-03-11,5,2,9
2021-03-12,5,5,2
2021-03-13,1,1,7
2021-03-14,0,3,3
2021-03-15,10,5,31
2021-03-16,4,18,11
2021-03-17,3,9,2
2021-03-18,6,6,4
2021-03-19,3,5,0
2021-03-20,0,0,0
2021-03-21,0,0,2
2021-03-22,6,8,8
2021-03-23,3,0,5
2021-03-24,3,4,6
2021-03-25,3,3,1
2021-03-26,7,9,2
2021-03-27,0,3,1
2021-03-28,0,8,0
2021-03-29,4,7,4
2021-03-30,3,17,4
2021-03-31,9,4,5
2021-04-01,6,2,0
2021-04-02,4,0,0
2021-04-03,0,0,3
2021-04-04,0,0,3
2021-04-05,4,0,3
2021-04-06,6,10,5
2021-04-07,7,4,5
2021-04-08,6,3,9
2021-04-09,3,21,0
2021-04-10,0,1,2
2021-04-11,0,0,0
2021-04-12,4,13,11
2021-04-13,4,7,8
2021-04-14,3,20,0
2021-04-15,4,7,0
2021-04-16,0,18,4
2021-04-17,0,0,3
2021-04-18,0,1,1
2021-04-19,3,29,3
2021-04-20,1,15,5
2021-04-21,4,14,2
2021-04-22,3,27,2
2021-04-23,5,4,0
2021-04-24,0,0,2
2021-04-25,0,3,2
2021-04-26,3,11,16
2021-04-27,3,30,3
2021-04-28,6,32,21
2021-04-29,5,28,0
2021-04-30,8,11,6
2021-05-01,0,3,1
2021-05-02,0,1,2
2021-05-03,6,10,2
2021-05-04,3,8,1
2021-05-05,6,16,0
2021-05-06,3,6,0
2021-05-07,3,3,1
2021-05-08,0,0,0
2021-05-09,0,3,0
2021-05-10,3,17,0
2021-05-11,3,3,1
2021-05-12,3,6,1
2021-05-13,0,0,2
2021-05-14,4,1,19
2021-05-15,0,0,0
2021-05-16,0,4,0
2021-05-17,3,3,8
2021-05-18,3,9,4
2021-05-19,3,3,2
2021-05-20,3,6,0
2021-05-21,4,3,2
2021-05-22,0,0,1
2021-05-23,0,0,0
2021-05-24,3,5,0
2021-05-25,3,4,0
2021-05-26,4,7,0
2021-05-27,8,21,0
2021-05-28,8,0,8
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,6,1
2021-06-01,3,9,0
2021-06-02,3,6,0
2021-06-03,3,8,0
2021-06-04,3,3,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,3,1,0
2021-06-08,3,15,3
