,sindresorhus/type-fest,microsoft/TypeScript,definitelytyped/definitelytyped
2019-04-13,0,3,6
2019-04-14,0,0,32
2019-04-15,0,8,68
2019-04-16,0,15,49
2019-04-17,0,25,29
2019-04-18,0,34,18
2019-04-19,2,16,17
2019-04-20,0,0,4
2019-04-21,2,0,6
2019-04-22,2,4,13
2019-04-23,0,20,19
2019-04-24,0,22,12
2019-04-25,0,26,12
2019-04-26,1,12,40
2019-04-27,0,9,2
2019-04-28,0,5,2
2019-04-29,0,29,44
2019-04-30,0,23,14
2019-05-01,0,19,27
2019-05-02,0,14,13
2019-05-03,0,6,20
2019-05-04,0,0,9
2019-05-05,0,3,1
2019-05-06,0,6,25
2019-05-07,1,10,15
2019-05-08,0,10,11
2019-05-09,0,4,12
2019-05-10,0,7,4
2019-05-11,0,4,0
2019-05-12,4,2,0
2019-05-13,0,11,58
2019-05-14,0,7,67
2019-05-15,3,7,34
2019-05-16,0,4,17
2019-05-17,0,5,14
2019-05-18,0,0,0
2019-05-19,0,0,1
2019-05-20,0,11,37
2019-05-21,0,13,16
2019-05-22,0,17,21
2019-05-23,0,15,2
2019-05-24,0,14,38
2019-05-25,0,0,1
2019-05-26,3,0,0
2019-05-27,0,1,1
2019-05-28,0,6,56
2019-05-29,0,5,0
2019-05-30,0,14,32
2019-05-31,0,33,19
2019-06-01,0,4,0
2019-06-02,0,3,0
2019-06-03,0,7,15
2019-06-04,0,6,30
2019-06-05,0,18,25
2019-06-06,0,22,14
2019-06-07,1,9,4
2019-06-08,0,2,12
2019-06-09,0,7,0
2019-06-10,0,3,12
2019-06-11,0,7,18
2019-06-12,0,6,22
2019-06-13,0,4,16
2019-06-14,2,32,14
2019-06-15,0,1,0
2019-06-16,0,0,27
2019-06-17,0,9,16
2019-06-18,0,8,8
2019-06-19,0,23,29
2019-06-20,0,20,9
2019-06-21,0,19,21
2019-06-22,0,6,4
2019-06-23,0,5,0
2019-06-24,0,8,31
2019-06-25,0,15,3
2019-06-26,0,19,43
2019-06-27,0,17,35
2019-06-28,0,18,33
2019-06-29,0,7,3
2019-06-30,0,8,0
2019-07-01,0,27,58
2019-07-02,0,7,18
2019-07-03,1,14,30
2019-07-04,0,2,0
2019-07-05,4,9,2
2019-07-06,0,0,0
2019-07-07,0,1,0
2019-07-08,0,15,41
2019-07-09,0,5,29
2019-07-10,0,11,41
2019-07-11,0,16,30
2019-07-12,0,17,9
2019-07-13,0,2,1
2019-07-14,0,0,0
2019-07-15,0,11,26
2019-07-16,0,14,25
2019-07-17,0,19,27
2019-07-18,0,11,18
2019-07-19,0,8,18
2019-07-20,0,6,0
2019-07-21,0,1,0
2019-07-22,0,5,44
2019-07-23,0,7,20
2019-07-24,0,5,17
2019-07-25,0,14,18
2019-07-26,1,9,14
2019-07-27,0,1,0
2019-07-28,0,3,0
2019-07-29,0,14,15
2019-07-30,0,9,20
2019-07-31,0,7,24
2019-08-01,0,10,25
2019-08-02,0,16,24
2019-08-03,5,5,0
2019-08-04,0,6,0
2019-08-05,0,9,46
2019-08-06,0,22,22
2019-08-07,0,10,23
2019-08-08,0,11,26
2019-08-09,0,37,19
2019-08-10,0,8,0
2019-08-11,0,0,1
2019-08-12,0,7,29
2019-08-13,0,7,20
2019-08-14,0,16,17
2019-08-15,0,22,27
2019-08-16,0,23,22
2019-08-17,0,4,3
2019-08-18,0,2,0
2019-08-19,0,14,65
2019-08-20,0,10,26
2019-08-21,0,7,23
2019-08-22,0,6,26
