,protocolbuffers/protobuf,apache/thrift,apache/avro
2021-05-09,0,0,1
2021-05-10,6,0,0
2021-05-11,4,0,0
2021-05-12,9,0,0
2021-05-13,4,2,0
2021-05-14,15,1,2
2021-05-15,0,1,2
2021-05-16,0,0,0
2021-05-17,14,1,0
2021-05-18,4,0,0
2021-05-19,6,0,1
2021-05-20,4,3,1
2021-05-21,7,0,2
2021-05-22,4,0,0
2021-05-23,0,0,1
2021-05-24,8,0,5
2021-05-25,20,0,0
2021-05-26,4,2,0
2021-05-27,10,1,0
2021-05-28,3,0,4
2021-05-29,2,0,1
2021-05-30,0,0,0
2021-05-31,2,1,0
2021-06-01,16,0,0
2021-06-02,11,0,0
2021-06-03,4,0,1
2021-06-04,11,5,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,1,2,0
2021-06-08,1,0,2
2021-06-09,6,1,1
2021-06-10,2,2,1
2021-06-11,0,0,2
2021-06-12,2,1,0
2021-06-13,0,0,0
2021-06-14,0,0,1
2021-06-15,1,1,0
2021-06-16,0,2,1
2021-06-17,7,1,0
2021-06-18,6,0,2
2021-06-19,0,0,0
2021-06-20,0,0,0
2021-06-21,3,0,0
2021-06-22,3,0,1
2021-06-23,2,3,1
2021-06-24,5,0,1
2021-06-25,4,1,0
2021-06-26,1,0,0
2021-06-27,0,0,0
2021-06-28,6,0,1
2021-06-29,3,0,0
2021-06-30,2,4,1
2021-07-01,1,2,0
2021-07-02,0,0,1
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,0,0
2021-07-06,0,1,0
2021-07-07,1,0,1
2021-07-08,4,0,0
2021-07-09,2,4,0
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,2,0,0
2021-07-13,2,0,1
2021-07-14,0,0,0
2021-07-15,0,0,0
2021-07-16,2,0,1
2021-07-17,0,1,0
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,2,0,0
2021-07-21,0,0,0
2021-07-22,0,0,0
2021-07-23,0,0,0
2021-07-24,0,1,0
2021-07-25,0,0,0
2021-07-26,3,1,1
2021-07-27,0,0,0
2021-07-28,0,0,0
2021-07-29,2,0,0
2021-07-30,2,1,0
2021-07-31,5,0,1
2021-08-01,3,3,0
2021-08-02,15,0,0
2021-08-03,16,2,0
2021-08-04,11,0,0
2021-08-05,0,0,0
2021-08-06,7,0,1
2021-08-07,0,0,1
2021-08-08,0,0,0
2021-08-09,2,0,1
2021-08-10,0,1,0
2021-08-11,3,12,0
2021-08-12,4,1,0
2021-08-13,6,10,0
2021-08-14,4,0,0
2021-08-15,0,0,0
2021-08-16,13,0,0
2021-08-17,10,0,0
2021-08-18,13,0,0
2021-08-19,3,2,0
2021-08-20,3,0,0
2021-08-21,0,0,0
2021-08-22,0,4,0
2021-08-23,3,0,0
2021-08-24,7,0,0
2021-08-25,9,3,0
2021-08-26,7,0,2
2021-08-27,12,2,1
2021-08-28,5,0,0
2021-08-29,2,0,1
2021-08-30,5,4,1
2021-08-31,5,2,3
2021-09-01,7,2,0
2021-09-02,0,5,0
2021-09-03,2,0,1
2021-09-04,0,3,0
2021-09-05,0,0,0
2021-09-06,0,0,1
2021-09-07,0,0,0
2021-09-08,0,0,2
2021-09-09,14,1,6
2021-09-10,13,1,2
2021-09-11,5,2,0
2021-09-12,0,0,0
2021-09-13,13,0,13
2021-09-14,2,0,1
2021-09-15,1,0,4
2021-09-16,3,0,0
2021-09-17,0,0,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,4,1,0
2021-09-21,1,0,2
2021-09-22,9,0,1
2021-09-23,4,0,0
2021-09-24,9,0,0
2021-09-25,1,0,0
2021-09-26,0,2,0
2021-09-27,6,0,1
2021-09-28,10,0,2
2021-09-29,6,0,0
2021-09-30,10,0,0
2021-10-01,6,0,0
2021-10-02,3,0,0
2021-10-03,4,0,0
2021-10-04,21,0,0
2021-10-05,13,0,2
2021-10-06,12,0,6
2021-10-07,11,0,0
2021-10-08,2,0,0
2021-10-09,4,0,0
2021-10-10,1,0,0
2021-10-11,4,0,0
2021-10-12,21,0,2
2021-10-13,19,0,1
2021-10-14,18,3,1
2021-10-15,13,2,0
2021-10-16,3,0,0
2021-10-17,1,0,0
2021-10-18,1,5,0
2021-10-19,7,0,0
2021-10-20,9,0,2
2021-10-21,8,1,0
2021-10-22,1,0,0
2021-10-23,0,1,0
2021-10-24,0,0,0
2021-10-25,7,0,0
2021-10-26,4,0,0
2021-10-27,6,1,0
2021-10-28,6,1,0
2021-10-29,1,0,0
2021-10-30,1,0,0
2021-10-31,0,1,0
2021-11-01,6,0,0
2021-11-02,4,0,0
2021-11-03,1,0,0
2021-11-04,4,0,0
2021-11-05,5,0,0
2021-11-06,2,0,0
2021-11-07,6,0,0
2021-11-08,3,0,0
2021-11-09,5,0,0
2021-11-10,4,0,0
2021-11-11,5,0,0
2021-11-12,4,0,0
2021-11-13,2,2,0
2021-11-14,0,3,0
2021-11-15,1,2,0
2021-11-16,6,0,1
2021-11-17,7,0,1
2021-11-18,0,0,0
2021-11-19,5,1,0
2021-11-20,0,0,0
2021-11-21,1,0,0
2021-11-22,10,0,0
2021-11-23,0,1,0
2021-11-24,13,0,0
2021-11-25,0,0,0
2021-11-26,0,0,0
2021-11-27,0,0,0
2021-11-28,0,0,0
2021-11-29,4,0,0
2021-11-30,3,0,0
2021-12-01,3,0,0
2021-12-02,3,0,0
2021-12-03,9,0,0
2021-12-04,4,0,2
2021-12-05,3,1,0
2021-12-06,4,2,0
2021-12-07,2,0,0
2021-12-08,3,0,0
2021-12-09,4,0,2
2021-12-10,5,0,0
2021-12-11,0,0,1
2021-12-12,0,0,1
2021-12-13,1,2,0
2021-12-14,6,0,2
2021-12-15,1,0,1
2021-12-16,9,1,0
2021-12-17,2,1,0
2021-12-18,0,0,3
2021-12-19,1,0,0
2021-12-20,0,0,1
2021-12-21,1,0,2
2021-12-22,6,0,4
2021-12-23,1,0,1
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,8,0,0
2021-12-29,17,0,0
2021-12-30,6,0,0
2021-12-31,9,0,0
2022-01-01,4,0,0
2022-01-02,1,0,0
2022-01-03,7,0,0
2022-01-04,1,0,0
2022-01-05,12,1,16
2022-01-06,1,0,0
2022-01-07,13,1,6
2022-01-08,6,1,0
2022-01-09,10,2,0
2022-01-10,24,0,6
2022-01-11,8,1,1
2022-01-12,11,0,1
2022-01-13,6,0,3
2022-01-14,1,0,1
2022-01-15,0,0,1
2022-01-16,2,0,0
2022-01-17,18,4,1
2022-01-18,3,2,0
2022-01-19,3,0,4
2022-01-20,4,4,5
2022-01-21,12,2,1
2022-01-22,4,0,0
2022-01-23,0,0,0
2022-01-24,6,0,3
2022-01-25,5,0,2
2022-01-26,2,2,0
2022-01-27,8,4,0
2022-01-28,14,0,0
2022-01-29,2,1,0
2022-01-30,0,2,8
2022-01-31,1,0,5
2022-02-01,8,3,12
2022-02-02,12,3,9
2022-02-03,7,1,2
2022-02-04,3,5,11
2022-02-05,1,1,1
2022-02-06,14,0,0
2022-02-07,5,0,4
2022-02-08,5,2,1
2022-02-09,17,5,1
2022-02-10,3,1,3
2022-02-11,9,0,1
2022-02-12,1,1,0
2022-02-13,0,0,0
2022-02-14,2,0,0
2022-02-15,5,1,0
2022-02-16,7,2,2
2022-02-17,13,2,1
2022-02-18,11,0,2
2022-02-19,12,0,1
2022-02-20,21,0,0
2022-02-21,1,1,7
2022-02-22,14,0,0
2022-02-23,11,2,0
2022-02-24,11,0,7
2022-02-25,13,0,6
2022-02-26,5,2,0
2022-02-27,9,0,0
