,tryghost/ghost,WordPress/WordPress,getgrav/grav
2018-09-02,0,1,0
2018-09-03,0,5,0
2018-09-04,0,0,2
2018-09-05,1,4,1
2018-09-06,5,1,7
2018-09-07,0,0,4
2018-09-08,0,1,0
2018-09-09,0,0,0
2018-09-10,8,0,0
2018-09-11,5,0,0
2018-09-12,0,3,6
2018-09-13,0,2,4
2018-09-14,0,4,1
2018-09-15,1,1,0
2018-09-16,0,0,0
2018-09-17,11,0,0
2018-09-18,6,1,0
2018-09-19,0,0,6
2018-09-20,6,1,9
2018-09-21,10,0,0
2018-09-22,0,0,0
2018-09-23,0,3,0
2018-09-24,6,6,4
2018-09-25,10,0,3
2018-09-26,3,0,4
2018-09-27,6,0,7
2018-09-28,1,1,0
2018-09-29,0,0,0
2018-09-30,1,0,7
2018-10-01,4,2,25
2018-10-02,12,6,7
2018-10-03,6,3,5
2018-10-04,17,1,3
2018-10-05,16,2,1
2018-10-06,9,0,5
2018-10-07,2,0,2
2018-10-08,3,0,6
2018-10-09,8,0,1
2018-10-10,5,0,0
2018-10-11,5,0,0
2018-10-12,29,0,4
2018-10-13,0,0,0
2018-10-14,1,0,0
2018-10-15,5,0,2
2018-10-16,14,0,4
2018-10-17,10,0,6
2018-10-18,25,0,0
2018-10-19,6,0,1
2018-10-20,0,0,0
2018-10-21,0,0,0
2018-10-22,4,0,5
2018-10-23,4,0,7
2018-10-24,3,0,4
2018-10-25,1,0,1
2018-10-26,1,0,7
2018-10-27,2,0,1
2018-10-28,1,0,0
2018-10-29,2,0,7
2018-10-30,8,0,5
2018-10-31,0,0,0
2018-11-01,0,0,1
2018-11-02,1,0,2
2018-11-03,0,0,6
2018-11-04,0,0,3
2018-11-05,3,0,6
2018-11-06,8,0,4
2018-11-07,8,0,0
2018-11-08,10,0,2
2018-11-09,2,0,0
2018-11-10,0,0,4
2018-11-11,0,0,2
2018-11-12,6,0,16
2018-11-13,13,0,8
2018-11-14,8,0,7
2018-11-15,4,1,11
2018-11-16,0,0,5
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,1,0,7
2018-11-20,6,0,3
2018-11-21,0,0,1
2018-11-22,1,0,0
2018-11-23,1,0,0
2018-11-24,0,0,1
2018-11-25,0,0,0
2018-11-26,8,0,3
2018-11-27,3,0,5
2018-11-28,0,0,3
