,jesseduffield/lazygit,jonas/tig,dandavison/delta
2023-07-23,9,0,0.0
2023-07-24,4,0,0.0
2023-07-25,0,0,0.0
2023-07-26,4,0,0.0
2023-07-27,0,0,0.0
2023-07-28,3,0,0.0
2023-07-29,17,0,2.0
2023-07-30,80,0,-0.3999999999999999
2023-07-31,38,0,-0.16000000000000014
2023-08-01,14,0,0.9039999999999999
2023-08-02,10,0,-0.2672
2023-08-03,10,0,-0.1310720000000001
2023-08-04,0,0,-0.08885760000000006
2023-08-05,4,0,0.93254656
2023-08-06,6,0,-0.25431142399999984
2023-08-07,18,0,-0.1253675008
2023-08-08,3,0,-0.06492672000000005
2023-08-09,7,0,-0.04798771199999995
2023-08-10,5,0,-0.03800535039999998
2023-08-11,0,0,-0.02042880000000001
2023-08-12,11,0,-0.01692672000000001
2023-08-13,0,0,5.9856122880000004
2023-08-14,0,0,-1.2124693503999997
2023-08-15,8,0,-0.4800000000000004
2023-08-16,1,0,-0.2880000000000002
2023-08-17,0,0,-0.20160000000000006
2023-08-18,1,0,-0.15321600000000007
2023-08-19,10,0,-0.12257280000000007
2023-08-20,2,0,-0.10156032000000006
2023-08-21,23,0,-0.08632627199999963
2023-08-22,4,0,-0.07481610239999978
2023-08-23,0,0,0.0
2023-08-24,1,0,0.0
2023-08-25,2,0,0.0
2023-08-26,0,0,0.0
2023-08-27,2,0,0.0
2023-08-28,19,0,0.0
2023-08-29,16,0,0.0
2023-08-30,4,0,0.0
2023-08-31,2,5,0.0
2023-09-01,1,0,0.0
2023-09-02,0,0,0.0
2023-09-03,0,0,0.0
2023-09-04,11,0,0.0
2023-09-05,5,0,0.0
2023-09-06,3,0,0.0
2023-09-07,0,0,0.0
2023-09-08,0,0,0.0
2023-09-09,7,0,0.0
2023-09-10,6,0,0.0
2023-09-11,2,0,0.0
2023-09-12,1,0,0.0
2023-09-13,2,0,0.0
2023-09-14,0,0,0.0
2023-09-15,1,0,0.0
2023-09-16,0,0,0.0
2023-09-17,0,0,0.0
2023-09-18,13,0,0.0
2023-09-19,1,0,0.0
2023-09-20,14,0,0.0
2023-09-21,0,0,0.0
2023-09-22,1,0,0.0
2023-09-23,0,0,0.0
2023-09-24,1,0,0.0
2023-09-25,12,0,0.0
2023-09-26,1,0,0.0
2023-09-27,0,0,0.0
2023-09-28,6,0,0.0
2023-09-29,3,0,0.0
2023-09-30,11,0,0.0
2023-10-01,2,0,0.0
2023-10-02,1,0,0.0
2023-10-03,6,0,0.0
2023-10-04,5,0,0.0
