,elastic/elasticsearch,apache/solr,blevesearch/bleve
2022-05-17,28,2,0
2022-05-18,12,8,0
2022-05-19,10,5,0
2022-05-20,36,2,0
2022-05-21,1,0,0
2022-05-22,1,0,0
2022-05-23,29,1,0
2022-05-24,33,0,1
2022-05-25,18,1,0
2022-05-26,16,2,0
2022-05-27,2,4,1
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,9,1,1
2022-05-31,17,0,3
2022-06-01,11,2,3
2022-06-02,12,0,0
2022-06-03,18,2,0
2022-06-04,5,0,0
2022-06-05,1,3,0
2022-06-06,10,2,2
2022-06-07,29,0,0
2022-06-08,25,2,0
2022-06-09,22,1,1
2022-06-10,0,2,0
2022-06-11,1,0,0
2022-06-12,0,0,0
2022-06-13,17,1,0
2022-06-14,20,0,0
2022-06-15,12,1,0
2022-06-16,28,0,2
2022-06-17,26,0,0
2022-06-18,2,0,0
2022-06-19,1,0,0
2022-06-20,23,1,0
2022-06-21,21,3,0
2022-06-22,20,2,0
2022-06-23,31,1,0
2022-06-24,15,2,0
2022-06-25,2,0,0
2022-06-26,0,0,0
2022-06-27,23,4,0
2022-06-28,29,1,0
2022-06-29,25,0,0
2022-06-30,18,4,0
2022-07-01,2,3,0
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,13,0,0
2022-07-05,23,2,0
2022-07-06,13,3,0
2022-07-07,18,4,1
2022-07-08,15,2,0
2022-07-09,1,3,0
2022-07-10,0,0,0
2022-07-11,11,1,0
2022-07-12,28,0,0
2022-07-13,16,1,1
2022-07-14,20,1,0
2022-07-15,4,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,23,0,0
2022-07-19,13,3,0
2022-07-20,13,4,1
2022-07-21,20,0,0
2022-07-22,28,0,1
2022-07-23,1,0,0
2022-07-24,0,0,0
2022-07-25,29,1,0
2022-07-26,30,0,0
2022-07-27,26,0,0
2022-07-28,17,0,0
2022-07-29,17,2,0
2022-07-30,1,0,0
2022-07-31,1,0,0
2022-08-01,27,3,0
2022-08-02,24,3,0
2022-08-03,31,2,0
2022-08-04,25,2,0
2022-08-05,3,2,0
2022-08-06,0,0,0
2022-08-07,1,0,0
2022-08-08,20,3,0
2022-08-09,17,0,0
2022-08-10,10,1,1
2022-08-11,16,0,0
2022-08-12,13,0,0
2022-08-13,2,0,0
2022-08-14,0,0,0
