,pytorch/vision,facebookresearch/detectron2,fizyr/keras-retinanet
2019-11-10,0,4,0
2019-11-11,0,2,3
2019-11-12,0,0,0
2019-11-13,1,0,1
2019-11-14,1,2,1
2019-11-15,5,3,0
2019-11-16,0,0,0
2019-11-17,0,0,0
2019-11-18,2,1,1
2019-11-19,0,0,0
2019-11-20,0,0,0
2019-11-21,1,1,1
2019-11-22,0,2,0
2019-11-23,0,1,0
2019-11-24,0,2,0
2019-11-25,3,3,3
2019-11-26,3,6,2
2019-11-27,0,3,0
2019-11-28,0,2,1
2019-11-29,0,0,1
2019-11-30,1,3,0
2019-12-01,0,0,0
2019-12-02,1,1,1
2019-12-03,0,4,0
2019-12-04,3,2,0
2019-12-05,5,2,1
2019-12-06,1,1,0
2019-12-07,0,4,0
2019-12-08,0,1,0
2019-12-09,0,0,1
2019-12-10,2,0,0
2019-12-11,1,0,2
2019-12-12,1,4,1
2019-12-13,0,3,2
2019-12-14,0,4,0
2019-12-15,0,1,0
2019-12-16,4,2,0
2019-12-17,1,0,0
2019-12-18,0,2,0
2019-12-19,6,2,5
2019-12-20,0,2,0
2019-12-21,0,1,0
2019-12-22,0,0,0
2019-12-23,0,1,0
2019-12-24,0,0,0
2019-12-25,0,0,0
2019-12-26,0,4,0
2019-12-27,0,3,0
2019-12-28,0,0,0
2019-12-29,0,2,0
2019-12-30,0,1,0
2019-12-31,0,1,0
2020-01-01,0,0,0
2020-01-02,3,1,0
2020-01-03,1,0,0
2020-01-04,0,7,0
2020-01-05,0,2,0
2020-01-06,0,1,0
2020-01-07,0,3,0
2020-01-08,0,3,0
2020-01-09,0,4,0
2020-01-10,2,7,0
2020-01-11,0,1,0
2020-01-12,0,2,0
2020-01-13,2,3,1
2020-01-14,2,2,0
2020-01-15,0,2,0
2020-01-16,2,3,0
2020-01-17,4,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,1,0,0
2020-01-21,1,2,2
2020-01-22,5,1,0
2020-01-23,0,1,1
2020-01-24,0,2,0
2020-01-25,0,1,0
2020-01-26,0,1,0
2020-01-27,8,0,0
2020-01-28,1,2,0
2020-01-29,6,5,0
2020-01-30,1,4,2
2020-01-31,0,4,0
2020-02-01,0,0,2
2020-02-02,0,0,1
2020-02-03,1,1,1
2020-02-04,1,2,0
2020-02-05,0,1,0
2020-02-06,0,5,1
2020-02-07,0,3,1
2020-02-08,0,1,0
2020-02-09,0,1,0
2020-02-10,4,1,15
2020-02-11,0,3,0
2020-02-12,0,3,0
2020-02-13,2,4,0
2020-02-14,4,6,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,1,0
2020-02-18,0,4,1
2020-02-19,0,3,0
2020-02-20,0,3,0
2020-02-21,0,2,0
2020-02-22,0,1,0
2020-02-23,0,2,1
2020-02-24,4,7,1
2020-02-25,3,2,2
2020-02-26,0,2,0
2020-02-27,1,0,2
2020-02-28,1,1,0
2020-02-29,0,1,0
2020-03-01,0,0,0
2020-03-02,0,2,1
2020-03-03,0,0,0
2020-03-04,5,0,0
2020-03-05,0,3,0
2020-03-06,0,1,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,5,0
2020-03-10,4,2,0
2020-03-11,4,2,0
2020-03-12,3,1,0
2020-03-13,4,2,0
2020-03-14,0,1,0
2020-03-15,0,0,0
2020-03-16,4,0,0
2020-03-17,4,4,0
2020-03-18,0,1,0
2020-03-19,1,5,0
2020-03-20,2,2,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,3,0,0
2020-03-24,3,2,0
2020-03-25,0,6,1
2020-03-26,0,3,1
2020-03-27,0,2,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,5,5,0
2020-03-31,5,5,0
2020-04-01,4,5,0
2020-04-02,5,1,0
2020-04-03,5,3,2
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,3,2,3
2020-04-07,5,2,0
2020-04-08,2,1,0
2020-04-09,2,3,2
2020-04-10,2,2,0
2020-04-11,0,1,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,4,1,0
2020-04-15,1,4,0
2020-04-16,1,1,0
2020-04-17,0,4,0
2020-04-18,0,1,1
2020-04-19,0,0,0
2020-04-20,0,6,1
2020-04-21,1,5,0
2020-04-22,0,7,0
2020-04-23,1,4,0
2020-04-24,2,4,0
2020-04-25,0,0,0
2020-04-26,1,0,0
2020-04-27,2,11,0
2020-04-28,2,3,0
2020-04-29,3,1,0
2020-04-30,0,2,0
2020-05-01,0,7,0
2020-05-02,0,1,0
2020-05-03,0,0,0
2020-05-04,5,3,0
2020-05-05,6,2,0
2020-05-06,0,3,0
2020-05-07,3,3,0
2020-05-08,0,4,0
2020-05-09,0,0,0
2020-05-10,0,0,1
2020-05-11,5,1,1
2020-05-12,3,3,0
2020-05-13,0,2,0
2020-05-14,4,3,0
2020-05-15,1,1,0
2020-05-16,0,2,0
2020-05-17,0,0,2
2020-05-18,6,1,5
2020-05-19,3,6,0
2020-05-20,5,2,0
2020-05-21,3,0,0
2020-05-22,0,1,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,2,0
2020-05-26,3,2,1
2020-05-27,0,3,0
2020-05-28,0,0,4
2020-05-29,4,2,0
2020-05-30,1,1,0
2020-05-31,1,3,0
2020-06-01,3,3,1
2020-06-02,0,6,1
2020-06-03,1,7,3
2020-06-04,3,7,4
2020-06-05,1,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,2,0
2020-06-09,1,2,2
2020-06-10,1,1,1
2020-06-11,3,1,1
2020-06-12,0,3,0
2020-06-13,0,0,1
2020-06-14,0,0,0
2020-06-15,0,2,0
2020-06-16,0,3,0
2020-06-17,1,1,0
2020-06-18,0,2,2
2020-06-19,1,2,0
2020-06-20,0,3,0
2020-06-21,0,0,1
2020-06-22,2,2,0
2020-06-23,3,2,0
2020-06-24,0,8,0
2020-06-25,0,1,1
2020-06-26,4,2,0
2020-06-27,0,1,0
2020-06-28,0,2,0
2020-06-29,4,2,0
2020-06-30,7,1,1
2020-07-01,2,0,0
2020-07-02,3,1,0
2020-07-03,3,2,0
2020-07-04,0,1,0
2020-07-05,0,0,0
2020-07-06,5,3,0
2020-07-07,2,2,0
2020-07-08,2,3,1
2020-07-09,2,1,0
2020-07-10,2,4,0
2020-07-11,0,0,0
2020-07-12,2,1,0
2020-07-13,2,0,1
2020-07-14,0,1,0
2020-07-15,2,0,0
2020-07-16,2,1,0
2020-07-17,1,0,0
2020-07-18,0,3,0
2020-07-19,0,0,0
2020-07-20,1,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,4,0
2020-07-24,0,1,3
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,4,1
2020-07-28,0,2,4
2020-07-29,2,1,0
2020-07-30,4,1,4
2020-07-31,9,2,0
