,definitelytyped/definitelytyped,microsoft/TypeScript,sindresorhus/type-fest
2019-04-13,6,3,0
2019-04-14,32,0,0
2019-04-15,68,8,0
2019-04-16,49,15,0
2019-04-17,29,25,0
2019-04-18,18,34,0
2019-04-19,17,16,2
2019-04-20,4,0,0
2019-04-21,6,0,2
2019-04-22,13,4,2
2019-04-23,19,20,0
2019-04-24,12,22,0
2019-04-25,12,26,0
2019-04-26,40,12,1
2019-04-27,2,9,0
2019-04-28,2,5,0
2019-04-29,44,29,0
2019-04-30,14,23,0
2019-05-01,27,19,0
2019-05-02,13,14,0
2019-05-03,20,6,0
2019-05-04,9,0,0
2019-05-05,1,3,0
2019-05-06,25,6,0
2019-05-07,15,10,1
2019-05-08,11,10,0
2019-05-09,12,4,0
2019-05-10,4,7,0
2019-05-11,0,4,0
2019-05-12,0,2,4
2019-05-13,58,11,0
2019-05-14,67,7,0
2019-05-15,34,7,3
2019-05-16,17,4,0
2019-05-17,14,5,0
2019-05-18,0,0,0
2019-05-19,1,0,0
2019-05-20,37,11,0
2019-05-21,16,13,0
2019-05-22,21,17,0
2019-05-23,2,15,0
2019-05-24,38,14,0
2019-05-25,1,0,0
2019-05-26,0,0,3
2019-05-27,1,1,0
2019-05-28,56,6,0
2019-05-29,0,5,0
2019-05-30,32,14,0
2019-05-31,19,33,0
2019-06-01,0,4,0
2019-06-02,0,3,0
2019-06-03,15,7,0
2019-06-04,30,6,0
2019-06-05,25,18,0
2019-06-06,14,22,0
2019-06-07,4,9,1
2019-06-08,12,2,0
2019-06-09,0,7,0
2019-06-10,12,3,0
2019-06-11,18,7,0
2019-06-12,22,6,0
2019-06-13,16,4,0
2019-06-14,14,32,2
2019-06-15,0,1,0
2019-06-16,27,0,0
2019-06-17,16,9,0
2019-06-18,8,8,0
2019-06-19,29,23,0
2019-06-20,9,20,0
2019-06-21,21,19,0
2019-06-22,4,6,0
2019-06-23,0,5,0
2019-06-24,31,8,0
2019-06-25,3,15,0
2019-06-26,43,19,0
2019-06-27,35,17,0
2019-06-28,33,18,0
2019-06-29,3,7,0
2019-06-30,0,8,0
2019-07-01,58,27,0
2019-07-02,18,7,0
2019-07-03,30,14,1
2019-07-04,0,2,0
2019-07-05,2,9,4
2019-07-06,0,0,0
2019-07-07,0,1,0
2019-07-08,41,15,0
2019-07-09,29,5,0
2019-07-10,41,11,0
2019-07-11,30,16,0
2019-07-12,9,17,0
2019-07-13,1,2,0
2019-07-14,0,0,0
2019-07-15,26,11,0
2019-07-16,25,14,0
2019-07-17,27,19,0
2019-07-18,18,11,0
2019-07-19,18,8,0
2019-07-20,0,6,0
2019-07-21,0,1,0
2019-07-22,44,5,0
2019-07-23,20,7,0
2019-07-24,17,5,0
2019-07-25,18,14,0
2019-07-26,14,9,1
2019-07-27,0,1,0
2019-07-28,0,3,0
2019-07-29,15,14,0
2019-07-30,20,9,0
2019-07-31,24,7,0
2019-08-01,25,10,0
2019-08-02,24,16,0
2019-08-03,0,5,5
2019-08-04,0,6,0
2019-08-05,46,9,0
2019-08-06,22,22,0
2019-08-07,23,10,0
2019-08-08,26,11,0
2019-08-09,19,37,0
2019-08-10,0,8,0
2019-08-11,1,0,0
2019-08-12,29,7,0
2019-08-13,20,7,0
2019-08-14,17,16,0
2019-08-15,27,22,0
2019-08-16,22,23,0
2019-08-17,3,4,0
2019-08-18,0,2,0
2019-08-19,65,14,0
2019-08-20,26,10,0
2019-08-21,23,7,0
2019-08-22,26,6,0
2019-08-23,25,9,0
2019-08-24,2,1,0
2019-08-25,2,0,0
2019-08-26,32,11,0
2019-08-27,17,13,0
2019-08-28,2,8,0
2019-08-29,5,7,0
2019-08-30,18,10,0
2019-08-31,0,5,0
2019-09-01,0,0,0
2019-09-02,1,4,0
2019-09-03,24,8,0
2019-09-04,26,18,0
2019-09-05,15,14,0
2019-09-06,15,7,0
2019-09-07,15,3,0
2019-09-08,0,0,0
2019-09-09,18,11,0
2019-09-10,16,8,1
2019-09-11,30,19,0
2019-09-12,4,11,0
2019-09-13,3,7,0
2019-09-14,0,3,3
2019-09-15,0,5,0
2019-09-16,24,9,5
2019-09-17,15,12,0
2019-09-18,12,13,0
2019-09-19,9,6,0
2019-09-20,1,12,0
2019-09-21,0,8,0
2019-09-22,0,0,1
2019-09-23,25,15,0
2019-09-24,77,30,0
2019-09-25,67,18,2
2019-09-26,28,13,0
2019-09-27,33,23,0
2019-09-28,1,0,0
2019-09-29,0,0,0
2019-09-30,6,17,0
2019-10-01,20,14,0
2019-10-02,51,8,0
2019-10-03,45,12,0
2019-10-04,4,16,0
2019-10-05,0,5,0
2019-10-06,0,7,0
2019-10-07,36,3,0
2019-10-08,30,3,2
2019-10-09,29,10,0
2019-10-10,26,7,0
2019-10-11,5,0,0
2019-10-12,0,1,0
2019-10-13,0,6,0
2019-10-14,47,7,0
2019-10-15,26,16,0
2019-10-16,29,29,0
2019-10-17,18,30,0
2019-10-18,14,23,0
2019-10-19,1,8,0
2019-10-20,0,0,0
2019-10-21,3,14,0
2019-10-22,83,8,0
2019-10-23,19,5,0
2019-10-24,25,6,0
2019-10-25,28,5,0
2019-10-26,4,1,0
2019-10-27,1,0,0
2019-10-28,39,6,0
2019-10-29,73,6,0
2019-10-30,32,7,0
2019-10-31,3,4,0
2019-11-01,96,2,0
2019-11-02,0,0,0
2019-11-03,1,0,0
2019-11-04,56,3,0
2019-11-05,78,4,0
2019-11-06,31,2,0
2019-11-07,45,4,0
2019-11-08,17,1,0
2019-11-09,1,1,0
2019-11-10,0,0,1
2019-11-11,35,1,0
2019-11-12,31,3,0
2019-11-13,19,2,0
2019-11-14,13,2,0
2019-11-15,38,5,0
2019-11-16,9,0,0
2019-11-17,0,0,0
2019-11-18,46,3,0
2019-11-19,36,7,0
2019-11-20,24,5,0
2019-11-21,3,8,0
2019-11-22,33,11,0
2019-11-23,7,1,0
2019-11-24,0,0,0
2019-11-25,16,3,0
2019-11-26,28,0,0
2019-11-27,32,7,0
2019-11-28,0,1,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,1
2019-12-02,10,5,0
2019-12-03,17,2,0
2019-12-04,14,3,0
2019-12-05,5,5,0
2019-12-06,20,4,0
2019-12-07,20,0,0
2019-12-08,1,0,0
2019-12-09,11,2,0
2019-12-10,39,4,0
2019-12-11,1,8,0
2019-12-12,1,1,0
2019-12-13,22,6,0
2019-12-14,0,0,0
2019-12-15,0,1,0
2019-12-16,28,2,0
2019-12-17,15,2,0
2019-12-18,31,13,0
2019-12-19,1,3,0
2019-12-20,37,7,0
2019-12-21,0,4,0
2019-12-22,1,2,0
2019-12-23,52,6,0
2019-12-24,1,1,0
2019-12-25,0,0,0
2019-12-26,45,0,0
2019-12-27,21,1,0
2019-12-28,1,0,0
2019-12-29,0,0,0
2019-12-30,7,1,0
2019-12-31,12,1,0
2020-01-01,0,0,0
2020-01-02,33,3,0
2020-01-03,34,11,0
2020-01-04,0,2,0
2020-01-05,0,0,0
2020-01-06,15,4,0
2020-01-07,17,10,0
2020-01-08,31,8,0
2020-01-09,22,3,0
2020-01-10,14,8,0
2020-01-11,5,0,0
2020-01-12,0,0,0
2020-01-13,19,3,0
2020-01-14,4,2,0
2020-01-15,33,5,0
