,rails/rails,django/django,sinatra/sinatra
2023-10-08,8,0.0,0
2023-10-09,18,2.0,0
2023-10-10,20,1.0,1
2023-10-11,32,3.0,0
2023-10-12,30,1.0,0
2023-10-13,21,0.0,0
2023-10-14,6,0.0,0
2023-10-15,7,1.0,0
2023-10-16,13,3.0,0
2023-10-17,9,1.0,0
2023-10-18,6,3.0,1
2023-10-19,13,3.0,0
2023-10-20,16,1.0,0
2023-10-21,7,4.0,0
2023-10-22,3,2.0,0
2023-10-23,10,6.0,0
2023-10-24,10,2.0,0
2023-10-25,15,4.0,0
2023-10-26,21,2.0,0
2023-10-27,15,4.0,0
2023-10-28,10,3.0,0
2023-10-29,7,0.0,0
2023-10-30,15,5.0,0
2023-10-31,18,3.0,0
2023-11-01,20,3.0,0
2023-11-02,8,5.0,0
2023-11-03,8,2.0,0
2023-11-04,16,0.0,0
2023-11-05,13,0.0,0
2023-11-06,8,0.0,0
2023-11-07,17,2.0,0
2023-11-08,24,2.0,0
2023-11-09,16,2.0,0
2023-11-10,14,0.0,0
2023-11-11,10,0.0,2
2023-11-12,5,0.0,0
2023-11-13,7,3.0,0
2023-11-14,15,5.0,0
2023-11-15,5,3.0,0
2023-11-16,8,1.0,0
2023-11-17,13,4.0,0
2023-11-18,3,5.0,0
2023-11-19,8,2.0,0
2023-11-20,13,2.0,0
2023-11-21,3,5.0,0
2023-11-22,25,4.0,2
2023-11-23,9,6.0,0
2023-11-24,16,4.0,1
2023-11-25,6,2.0,0
2023-11-26,3,0.0,0
2023-11-27,10,5.0,0
2023-11-28,13,9.0,0
2023-11-29,7,4.0,0
2023-11-30,18,6.0,0
2023-12-01,5,7.0,0
2023-12-02,14,0.0,0
2023-12-03,7,2.0,0
2023-12-04,6,5.0,1
2023-12-05,15,5.0,0
2023-12-06,4,5.0,0
2023-12-07,6,5.0,0
2023-12-08,13,3.0,1
2023-12-09,5,0.0,0
2023-12-10,2,0.0,1
2023-12-11,21,0.0,0
2023-12-12,9,5.0,0
2023-12-13,9,3.0,0
2023-12-14,14,6.0,0
2023-12-15,1,6.0,0
2023-12-16,7,2.0,0
2023-12-17,12,0.0,0
2023-12-18,3,1.0,0
2023-12-19,5,1.0,0
2023-12-20,5,3.0,0
2023-12-21,7,1.0,0
2023-12-22,3,4.0,3
2023-12-23,0,2.0,0
2023-12-24,1,0.0,0
2023-12-25,2,0.0,0
2023-12-26,1,1.0,0
2023-12-27,4,3.0,0
2023-12-28,4,4.0,2
2023-12-29,4,4.0,6
2023-12-30,7,3.0,0
2023-12-31,27,3.0,0
2024-01-01,20,4.0,0
2024-01-02,22,5.0,0
2024-01-03,40,2.0,0
2024-01-04,37,3.0,1
2024-01-05,39,5.0,6
2024-01-06,10,1.0,0
2024-01-07,37,1.0,0
2024-01-08,28,2.0,0
2024-01-09,30,4.0,0
2024-01-10,20,3.0,3
2024-01-11,13,2.0,0
2024-01-12,12,4.0,0
2024-01-13,0,0.0,0
2024-01-14,6,0.0,0
2024-01-15,27,4.0,6
2024-01-16,17,6.0,1
2024-01-17,17,1.0,0
2024-01-18,10,4.0,0
2024-01-19,17,2.0,1
2024-01-20,8,1.0,0
2024-01-21,6,0.0,0
2024-01-22,3,4.0,0
2024-01-23,6,4.0,0
2024-01-24,8,2.0,0
2024-01-25,24,1.0,0
2024-01-26,5,3.0,0
2024-01-27,1,1.0,0
2024-01-28,7,1.0,0
2024-01-29,18,7.0,0
2024-01-30,10,3.0,0
2024-01-31,7,6.0,0
2024-02-01,10,6.0,0
2024-02-02,4,0.0,0
2024-02-03,0,1.0,0
2024-02-04,2,2.0,0
2024-02-05,5,5.0,0
2024-02-06,15,7.0,0
2024-02-07,7,3.0,0
2024-02-08,13,4.0,0
2024-02-09,32,3.0,0
2024-02-10,9,1.0,0
2024-02-11,2,0.0,0
2024-02-12,7,3.0,0
2024-02-13,19,1.0,0
2024-02-14,47,3.0,0
2024-02-15,11,5.0,0
2024-02-16,13,3.0,0
2024-02-17,4,2.0,0
2024-02-18,4,0.0,0
2024-02-19,8,9.0,0
2024-02-20,50,9.0,0
2024-02-21,23,6.0,0
2024-02-22,5,3.0,0
2024-02-23,7,4.0,0
2024-02-24,5,0.0,0
2024-02-25,6,0.0,0
2024-02-26,3,5.0,0
2024-02-27,13,0.0,0
2024-02-28,5,3.0,0
2024-02-29,2,5.0,0
2024-03-01,13,3.0,0
2024-03-02,0,4.0,0
2024-03-03,3,0.0,0
2024-03-04,2,10.0,0
2024-03-05,6,3.0,0
2024-03-06,7,4.0,0
2024-03-07,12,4.0,0
2024-03-08,5,6.0,0
2024-03-09,0,2.0,0
2024-03-10,1,3.0,0
2024-03-11,4,4.0,0
2024-03-12,7,2.0,0
2024-03-13,7,2.0,0
2024-03-14,8,6.0,0
2024-03-15,7,3.0,0
2024-03-16,3,1.0,0
2024-03-17,0,1.0,0
2024-03-18,8,3.0,0
2024-03-19,12,1.0,0
2024-03-20,5,2.0,0
2024-03-21,7,3.0,0
2024-03-22,4,2.0,0
2024-03-23,0,0.0,0
2024-03-24,5,1.0,0
2024-03-25,20,2.0,0
2024-03-26,12,1.0,0
2024-03-27,3,2.0,3
2024-03-28,5,1.0,0
2024-03-29,6,1.0,0
2024-03-30,4,1.0,0
2024-03-31,1,0.0,0
2024-04-01,3,1.0,0
2024-04-02,4,1.0,0
2024-04-03,11,4.0,0
2024-04-04,13,2.0,0
2024-04-05,8,3.0,0
2024-04-06,5,0.0,0
2024-04-07,1,0.0,0
2024-04-08,10,0.0,0
2024-04-09,25,0.0,0
2024-04-10,11,6.0,0
2024-04-11,14,1.0,0
2024-04-12,8,5.0,0
2024-04-13,2,0.0,0
2024-04-14,6,0.0,0
2024-04-15,7,3.0,0
2024-04-16,6,2.0,0
2024-04-17,8,1.0,0
2024-04-18,25,0.0,0
2024-04-19,16,3.0,0
2024-04-20,3,0.0,0
2024-04-21,3,0.0,0
2024-04-22,20,1.0,0
2024-04-23,17,3.0,0
2024-04-24,10,4.0,0
2024-04-25,3,2.0,0
2024-04-26,12,2.0,0
2024-04-27,0,1.0,0
2024-04-28,4,0.0,0
2024-04-29,8,1.0,0
2024-04-30,20,1.0,0
2024-05-01,35,0.0,0
2024-05-02,18,5.0,0
2024-05-03,11,3.0,0
2024-05-04,4,3.0,0
2024-05-05,3,0.0,0
2024-05-06,9,3.0,0
2024-05-07,12,4.0,0
2024-05-08,4,3.0,0
2024-05-09,7,0.0,0
2024-05-10,6,8.0,0
2024-05-11,7,0.0,0
2024-05-12,6,0.0,0
2024-05-13,39,4.0,0
2024-05-14,29,1.0,0
2024-05-15,9,2.0,0
2024-05-16,7,3.0,0
2024-05-17,7,2.0,0
2024-05-18,2,0.0,0
2024-05-19,1,0.0,0
2024-05-20,8,1.0,0
2024-05-21,8,7.0,0
2024-05-22,9,16.0,0
2024-05-23,37,4.0,0
2024-05-24,21,0.0,0
2024-05-25,6,0.0,0
2024-05-26,1,0.0,0
2024-05-27,12,2.0,0
2024-05-28,18,2.0,0
2024-05-29,21,2.0,0
2024-05-30,17,2.0,0
2024-05-31,33,1.0,0
2024-06-01,5,0.0,0
2024-06-02,4,0.0,0
2024-06-03,13,0.0,0
2024-06-04,14,0.0,0
2024-06-05,7,0.0,0
2024-06-06,6,0.0,0
2024-06-07,7,0.0,0
2024-06-08,9,1.0,0
2024-06-09,5,3.0,0
2024-06-10,6,0.0,0
2024-06-11,8,0.0,0
2024-06-12,27,3.0,0
