,seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress
2020-01-13,0,1,7
2020-01-14,0,1,0
2020-01-15,3,0,4
2020-01-16,15,2,4
2020-01-17,0,7,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,1
2020-01-21,1,2,0
2020-01-22,0,0,2
2020-01-23,4,3,1
2020-01-24,0,0,3
2020-01-25,0,0,2
2020-01-26,0,0,1
2020-01-27,1,0,5
2020-01-28,0,1,0
2020-01-29,0,2,2
2020-01-30,2,0,4
2020-01-31,0,0,5
2020-02-01,0,0,1
2020-02-02,0,0,0
2020-02-03,0,0,6
2020-02-04,14,4,3
2020-02-05,0,1,7
2020-02-06,0,3,7
2020-02-07,0,2,10
2020-02-08,1,0,0
2020-02-09,0,0,0
2020-02-10,0,1,4
2020-02-11,0,0,3
2020-02-12,2,2,4
2020-02-13,0,0,5
2020-02-14,2,2,10
2020-02-15,3,0,2
2020-02-16,0,0,0
2020-02-17,1,6,1
2020-02-18,0,2,2
2020-02-19,0,1,3
2020-02-20,0,0,5
2020-02-21,0,1,6
2020-02-22,0,0,1
2020-02-23,0,0,0
2020-02-24,2,0,8
2020-02-25,0,3,10
2020-02-26,1,1,5
2020-02-27,1,0,3
2020-02-28,4,0,14
2020-02-29,1,0,3
2020-03-01,0,0,0
2020-03-02,1,4,5
2020-03-03,1,5,6
2020-03-04,3,2,1
2020-03-05,7,2,2
2020-03-06,1,0,4
2020-03-07,3,0,3
2020-03-08,2,0,0
2020-03-09,1,0,5
2020-03-10,6,0,1
2020-03-11,2,0,4
2020-03-12,9,1,2
2020-03-13,5,0,1
2020-03-14,0,0,1
2020-03-15,0,0,0
2020-03-16,4,2,10
2020-03-17,13,2,8
2020-03-18,4,0,2
2020-03-19,2,1,1
2020-03-20,10,2,0
2020-03-21,3,0,2
2020-03-22,9,0,0
2020-03-23,2,1,3
2020-03-24,2,1,12
2020-03-25,1,2,4
2020-03-26,0,2,4
2020-03-27,1,1,15
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,15,2,4
2020-03-31,38,3,0
2020-04-01,8,1,1
2020-04-02,7,0,4
2020-04-03,17,1,7
2020-04-04,4,0,0
2020-04-05,11,0,0
2020-04-06,9,2,10
2020-04-07,8,4,4
2020-04-08,3,2,2
2020-04-09,12,1,1
2020-04-10,3,0,6
2020-04-11,5,0,0
2020-04-12,16,0,0
2020-04-13,5,0,5
2020-04-14,13,1,4
2020-04-15,4,7,0
2020-04-16,4,0,2
2020-04-17,9,0,1
2020-04-18,12,0,0
2020-04-19,8,0,0
2020-04-20,12,0,9
2020-04-21,2,2,12
2020-04-22,1,2,4
2020-04-23,15,0,6
2020-04-24,5,1,1
2020-04-25,21,0,0
2020-04-26,8,0,3
2020-04-27,7,3,6
2020-04-28,10,0,6
2020-04-29,17,1,11
2020-04-30,1,1,6
2020-05-01,16,0,4
2020-05-02,0,0,6
2020-05-03,4,0,0
2020-05-04,7,0,11
2020-05-05,1,0,6
2020-05-06,10,2,4
2020-05-07,3,3,5
2020-05-08,1,3,20
2020-05-09,1,0,1
2020-05-10,0,0,0
2020-05-11,3,0,8
2020-05-12,14,0,7
2020-05-13,2,1,7
2020-05-14,0,1,6
2020-05-15,3,3,22
2020-05-16,1,0,12
2020-05-17,0,0,2
2020-05-18,2,0,17
2020-05-19,40,4,12
2020-05-20,19,3,7
2020-05-21,0,3,3
2020-05-22,3,2,2
2020-05-23,1,0,0
2020-05-24,3,0,2
2020-05-25,2,3,1
2020-05-26,2,2,9
2020-05-27,9,2,13
2020-05-28,13,5,8
2020-05-29,1,0,10
2020-05-30,1,0,3
2020-05-31,1,0,0
2020-06-01,5,6,8
2020-06-02,2,3,3
2020-06-03,1,1,8
2020-06-04,4,0,14
2020-06-05,7,2,15
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,2,6,6
2020-06-09,2,2,6
2020-06-10,2,2,14
2020-06-11,2,1,1
2020-06-12,0,0,8
2020-06-13,2,0,1
2020-06-14,0,0,0
2020-06-15,1,3,5
2020-06-16,9,0,5
2020-06-17,0,1,6
2020-06-18,9,2,4
2020-06-19,7,3,5
2020-06-20,0,1,1
2020-06-21,0,0,0
2020-06-22,4,3,8
2020-06-23,0,5,6
2020-06-24,2,1,3
2020-06-25,0,1,3
2020-06-26,1,1,3
2020-06-27,0,0,1
2020-06-28,0,0,0
2020-06-29,3,1,9
2020-06-30,0,5,13
2020-07-01,6,0,5
2020-07-02,2,0,4
2020-07-03,0,3,2
2020-07-04,0,0,1
2020-07-05,0,0,0
2020-07-06,0,8,5
2020-07-07,11,1,9
2020-07-08,4,1,6
2020-07-09,1,1,1
2020-07-10,6,0,4
2020-07-11,8,0,4
2020-07-12,0,0,1
2020-07-13,5,2,20
2020-07-14,5,3,5
2020-07-15,9,2,11
2020-07-16,9,5,7
2020-07-17,6,0,9
2020-07-18,1,1,13
2020-07-19,2,0,2
