,reduxjs/redux-toolkit,mobxjs/mobx,reduxjs/redux
2022-06-03,1,0,0
2022-06-04,0,0,0
2022-06-05,0,1,0
2022-06-06,0,0,0
2022-06-07,0,0,2
2022-06-08,0,0,2
2022-06-09,0,0,3
2022-06-10,7,1,0
2022-06-11,4,0,0
2022-06-12,11,0,2
2022-06-13,0,0,0
2022-06-14,2,1,2
2022-06-15,0,0,0
2022-06-16,0,0,0
2022-06-17,0,0,0
2022-06-18,0,0,0
2022-06-19,0,0,0
2022-06-20,0,0,0
2022-06-21,5,0,0
2022-06-22,5,0,0
2022-06-23,0,0,0
2022-06-24,3,0,1
2022-06-25,0,0,0
2022-06-26,5,1,10
2022-06-27,18,1,0
2022-06-28,0,0,0
2022-06-29,12,0,0
2022-06-30,1,0,3
2022-07-01,3,0,0
2022-07-02,8,0,0
2022-07-03,10,0,0
2022-07-04,0,1,0
2022-07-05,0,0,0
2022-07-06,0,1,10
2022-07-07,3,0,4
2022-07-08,6,0,3
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,0,0,0
2022-07-12,1,0,0
2022-07-13,2,0,0
2022-07-14,4,0,0
2022-07-15,0,1,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,1,0
2022-07-19,0,2,0
2022-07-20,0,0,0
2022-07-21,0,1,0
2022-07-22,1,1,0
2022-07-23,0,1,0
2022-07-24,0,0,4
2022-07-25,0,0,0
2022-07-26,3,0,0
2022-07-27,3,0,1
2022-07-28,0,1,0
2022-07-29,0,0,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,0,0,0
2022-08-02,0,0,0
2022-08-03,0,0,0
2022-08-04,0,0,0
2022-08-05,0,0,0
2022-08-06,3,0,0
2022-08-07,0,0,0
2022-08-08,0,1,0
2022-08-09,3,0,2
2022-08-10,0,0,4
2022-08-11,10,0,0
2022-08-12,0,2,0
2022-08-13,1,1,0
2022-08-14,12,0,0
2022-08-15,6,0,0
2022-08-16,12,0,0
2022-08-17,1,0,2
2022-08-18,1,0,2
2022-08-19,10,0,0
2022-08-20,0,0,0
2022-08-21,13,0,0
2022-08-22,1,0,0
2022-08-23,0,0,0
2022-08-24,0,0,0
2022-08-25,1,0,0
2022-08-26,1,0,0
2022-08-27,11,0,0
2022-08-28,12,0,0
2022-08-29,1,0,0
2022-08-30,0,0,0
2022-08-31,0,0,0
2022-09-01,0,0,0
2022-09-02,1,0,0
2022-09-03,0,0,0
2022-09-04,2,0,0
2022-09-05,0,0,2
2022-09-06,1,0,0
2022-09-07,0,1,2
2022-09-08,0,0,2
2022-09-09,0,0,0
2022-09-10,0,0,5
2022-09-11,0,0,0
2022-09-12,0,0,0
2022-09-13,0,0,1
2022-09-14,2,0,0
2022-09-15,0,0,0
2022-09-16,0,0,0
2022-09-17,0,0,0
2022-09-18,0,0,0
2022-09-19,0,0,0
2022-09-20,0,0,2
2022-09-21,0,0,1
2022-09-22,0,0,0
2022-09-23,1,0,0
2022-09-24,0,0,0
2022-09-25,0,0,0
2022-09-26,0,0,0
2022-09-27,0,0,0
2022-09-28,1,0,0
2022-09-29,0,0,0
2022-09-30,0,0,0
2022-10-01,0,0,0
2022-10-02,2,0,0
2022-10-03,0,0,0
2022-10-04,2,0,0
2022-10-05,1,0,0
2022-10-06,3,0,0
2022-10-07,0,0,0
2022-10-08,11,0,0
2022-10-09,4,0,0
2022-10-10,4,0,0
2022-10-11,0,0,0
2022-10-12,4,0,0
2022-10-13,5,0,0
2022-10-14,1,0,0
2022-10-15,5,0,0
2022-10-16,0,1,0
