,friendica/friendica,diaspora/diaspora,mastodon/mastodon
2016-08-24,0,0,6
2016-08-25,0,0,1
2016-08-26,1,3,1
2016-08-27,5,0,0
2016-08-28,0,0,0
2016-08-29,2,0,0
2016-08-30,0,0,0
2016-08-31,3,0,5
2016-09-01,4,8,4
2016-09-02,1,0,1
2016-09-03,4,5,3
2016-09-04,2,37,9
2016-09-05,3,2,13
2016-09-06,10,4,1
2016-09-07,2,0,3
2016-09-08,0,4,4
2016-09-09,5,0,3
2016-09-10,0,12,9
2016-09-11,1,8,0
2016-09-12,1,8,4
2016-09-13,10,0,1
2016-09-14,2,0,0
2016-09-15,0,0,2
2016-09-16,0,0,1
2016-09-17,0,0,7
2016-09-18,3,12,10
2016-09-19,1,6,6
2016-09-20,5,10,6
2016-09-21,4,0,7
2016-09-22,9,0,5
2016-09-23,10,0,3
2016-09-24,15,0,7
2016-09-25,16,17,4
2016-09-26,1,0,4
2016-09-27,3,0,6
2016-09-28,8,8,0
2016-09-29,10,8,5
2016-09-30,8,6,3
2016-10-01,20,7,0
2016-10-02,17,0,11
2016-10-03,7,0,9
2016-10-04,9,0,0
2016-10-05,11,0,5
2016-10-06,2,0,20
2016-10-07,9,0,7
2016-10-08,2,0,1
2016-10-09,5,0,6
2016-10-10,1,0,19
2016-10-11,2,0,2
2016-10-12,0,0,14
2016-10-13,0,0,3
2016-10-14,1,0,8
2016-10-15,0,0,17
2016-10-16,2,0,11
2016-10-17,14,2,13
2016-10-18,0,29,8
2016-10-19,1,0,1
2016-10-20,4,0,4
2016-10-21,12,0,0
2016-10-22,12,0,1
2016-10-23,11,4,3
2016-10-24,11,0,3
2016-10-25,7,2,2
2016-10-26,3,2,0
2016-10-27,2,19,3
2016-10-28,10,0,5
2016-10-29,7,5,0
2016-10-30,0,0,5
2016-10-31,5,0,4
2016-11-01,4,0,2
2016-11-02,3,7,14
2016-11-03,4,3,12
2016-11-04,9,0,7
2016-11-05,7,0,5
2016-11-06,6,14,6
2016-11-07,4,0,9
2016-11-08,0,0,10
2016-11-09,6,0,6
2016-11-10,6,0,6
2016-11-11,0,0,0
2016-11-12,8,2,4
2016-11-13,13,8,13
2016-11-14,8,3,1
2016-11-15,33,6,7
2016-11-16,10,0,4
2016-11-17,5,4,4
2016-11-18,4,8,19
2016-11-19,31,3,9
2016-11-20,29,0,3
2016-11-21,5,0,27
2016-11-22,18,8,13
2016-11-23,5,6,18
2016-11-24,3,2,13
2016-11-25,4,6,26
2016-11-26,1,5,9
2016-11-27,10,2,1
2016-11-28,18,5,15
2016-11-29,17,5,8
2016-11-30,3,0,9
2016-12-01,13,4,9
2016-12-02,4,2,7
2016-12-03,4,0,9
2016-12-04,7,5,10
2016-12-05,2,0,5
2016-12-06,12,0,6
2016-12-07,0,0,6
2016-12-08,5,3,3
2016-12-09,11,0,3
2016-12-10,10,0,0
2016-12-11,4,0,8
2016-12-12,5,0,3
2016-12-13,7,7,1
2016-12-14,26,0,6
2016-12-15,20,0,1
2016-12-16,0,0,0
2016-12-17,0,0,0
2016-12-18,7,0,4
2016-12-19,16,0,2
2016-12-20,116,0,6
2016-12-21,21,0,4
2016-12-22,33,0,13
2016-12-23,22,0,1
2016-12-24,4,0,5
2016-12-25,4,0,0
2016-12-26,4,0,7
2016-12-27,4,0,2
2016-12-28,4,0,1
2016-12-29,10,0,5
2016-12-30,10,0,0
2016-12-31,3,0,2
2017-01-01,7,0,2
2017-01-02,8,0,6
2017-01-03,5,2,7
2017-01-04,8,3,3
2017-01-05,14,0,40
2017-01-06,7,0,7
2017-01-07,17,4,12
2017-01-08,5,0,18
2017-01-09,11,0,8
2017-01-10,6,5,7
2017-01-11,14,3,4
2017-01-12,6,0,6
2017-01-13,5,6,4
2017-01-14,2,12,10
2017-01-15,7,17,14
2017-01-16,10,2,10
2017-01-17,4,0,6
2017-01-18,3,5,1
2017-01-19,6,0,6
2017-01-20,7,0,7
2017-01-21,5,0,16
2017-01-22,4,2,9
2017-01-23,0,5,16
2017-01-24,3,0,13
2017-01-25,4,0,13
2017-01-26,3,0,34
2017-01-27,17,0,9
2017-01-28,19,2,5
2017-01-29,4,4,11
2017-01-30,10,0,8
2017-01-31,6,4,5
2017-02-01,12,0,5
2017-02-02,5,0,13
2017-02-03,7,0,3
2017-02-04,4,0,3
2017-02-05,2,7,19
2017-02-06,1,0,9
2017-02-07,0,0,5
2017-02-08,10,4,2
2017-02-09,1,0,4
2017-02-10,5,0,16
2017-02-11,3,3,13
2017-02-12,0,12,7
2017-02-13,0,9,16
2017-02-14,1,4,7
2017-02-15,5,1,1
2017-02-16,6,3,4
2017-02-17,3,1,13
2017-02-18,5,7,1
2017-02-19,10,4,12
2017-02-20,1,0,2
2017-02-21,5,0,0
2017-02-22,8,0,5
2017-02-23,6,0,1
2017-02-24,10,0,0
2017-02-25,1,0,1
2017-02-26,9,0,13
2017-02-27,7,0,5
2017-02-28,6,0,6
2017-03-01,1,0,13
2017-03-02,11,4,6
2017-03-03,7,0,4
2017-03-04,9,80,3
2017-03-05,8,6,9
2017-03-06,8,6,2
2017-03-07,4,0,1
2017-03-08,3,0,0
2017-03-09,1,0,0
2017-03-10,1,0,0
2017-03-11,1,0,0
2017-03-12,21,4,0
2017-03-13,29,0,2
2017-03-14,15,0,1
2017-03-15,14,0,6
2017-03-16,9,2,1
2017-03-17,8,2,6
2017-03-18,57,3,1
2017-03-19,18,0,4
2017-03-20,17,0,1
2017-03-21,19,6,2
2017-03-22,7,0,12
2017-03-23,25,7,2
2017-03-24,15,3,4
2017-03-25,57,6,8
2017-03-26,21,15,13
2017-03-27,7,6,0
2017-03-28,5,5,3
2017-03-29,0,4,1
2017-03-30,16,2,6
2017-03-31,17,0,14
2017-04-01,14,0,9
2017-04-02,13,3,62
2017-04-03,11,0,57
2017-04-04,5,0,55
2017-04-05,20,2,132
2017-04-06,1,2,38
2017-04-07,14,5,45
2017-04-08,48,0,119
2017-04-09,8,0,22
2017-04-10,2,0,25
2017-04-11,11,2,31
2017-04-12,10,0,31
2017-04-13,15,0,66
2017-04-14,27,0,16
2017-04-15,7,0,50
2017-04-16,16,0,48
2017-04-17,9,0,50
2017-04-18,10,4,27
2017-04-19,19,0,34
2017-04-20,17,0,12
2017-04-21,17,0,35
2017-04-22,11,0,18
2017-04-23,10,0,31
2017-04-24,19,0,16
2017-04-25,9,0,22
2017-04-26,13,2,23
2017-04-27,19,0,25
2017-04-28,12,0,17
2017-04-29,15,0,12
2017-04-30,5,0,11
2017-05-01,17,0,8
2017-05-02,7,0,19
2017-05-03,21,7,27
2017-05-04,5,0,20
2017-05-05,12,4,15
2017-05-06,10,0,27
2017-05-07,34,0,26
2017-05-08,25,0,19
2017-05-09,5,0,13
2017-05-10,0,0,18
2017-05-11,4,3,14
2017-05-12,12,0,22
2017-05-13,4,2,8
2017-05-14,4,0,9
2017-05-15,7,2,8
2017-05-16,13,0,11
2017-05-17,21,0,10
2017-05-18,0,0,9
2017-05-19,6,0,25
