,BabylonJS/Babylon.js,playcanvas/engine,mrdoob/three.js
2021-09-27,20,3,7
2021-09-28,35,3,6
2021-09-29,30,0,1
2021-09-30,32,2,8
2021-10-01,37,2,0
2021-10-02,9,0,0
2021-10-03,4,0,0
2021-10-04,41,0,17
2021-10-05,17,6,7
2021-10-06,16,3,4
2021-10-07,26,2,1
2021-10-08,31,2,9
2021-10-09,16,0,0
2021-10-10,4,0,3
2021-10-11,16,2,2
2021-10-12,19,6,3
2021-10-13,15,2,4
2021-10-14,25,0,3
2021-10-15,15,11,1
2021-10-16,4,0,0
2021-10-17,3,0,0
2021-10-18,32,2,0
2021-10-19,23,1,4
2021-10-20,27,13,4
2021-10-21,24,2,0
2021-10-22,10,7,1
2021-10-23,3,1,0
2021-10-24,0,4,0
2021-10-25,7,4,1
2021-10-26,21,0,4
2021-10-27,24,10,3
2021-10-28,16,1,14
2021-10-29,24,2,1
2021-10-30,5,0,7
2021-10-31,2,0,0
2021-11-01,20,5,3
2021-11-02,19,2,0
2021-11-03,30,0,4
2021-11-04,75,6,5
2021-11-05,18,4,3
2021-11-06,5,0,3
2021-11-07,2,0,4
2021-11-08,21,2,2
2021-11-09,43,3,860
2021-11-10,19,1,6
2021-11-11,24,4,5
2021-11-12,35,0,2
2021-11-13,9,0,0
2021-11-14,6,0,2
2021-11-15,37,6,11
2021-11-16,13,6,6
2021-11-17,27,5,3
2021-11-18,22,3,3
2021-11-19,40,3,0
2021-11-20,8,0,3
2021-11-21,6,0,0
2021-11-22,14,5,0
2021-11-23,19,6,5
2021-11-24,25,1,10
2021-11-25,16,1,2
2021-11-26,8,2,8
2021-11-27,3,1,2
2021-11-28,1,0,2
2021-11-29,26,1,18
2021-11-30,34,2,1
2021-12-01,42,0,0
2021-12-02,50,6,7
2021-12-03,20,3,10
2021-12-04,6,1,4
2021-12-05,0,0,5
2021-12-06,21,3,1
2021-12-07,16,4,1
2021-12-08,24,2,9
2021-12-09,75,3,7
2021-12-10,41,11,2
2021-12-11,1,0,3
2021-12-12,3,0,3
2021-12-13,26,0,3
2021-12-14,33,8,6
2021-12-15,19,7,6
2021-12-16,10,7,6
2021-12-17,21,3,8
2021-12-18,2,0,2
2021-12-19,2,0,3
2021-12-20,20,2,2
2021-12-21,3,1,8
2021-12-22,3,4,2
2021-12-23,1,0,23
2021-12-24,0,0,6
2021-12-25,4,0,0
2021-12-26,0,2,0
2021-12-27,3,1,1
2021-12-28,3,1,6
2021-12-29,3,0,4
2021-12-30,1,4,7
2021-12-31,1,0,1
2022-01-01,0,3,2
2022-01-02,0,0,0
2022-01-03,15,1,10
2022-01-04,10,4,16
2022-01-05,22,4,3
2022-01-06,39,5,8
2022-01-07,19,0,3
2022-01-08,3,1,3
2022-01-09,1,0,0
2022-01-10,38,0,6
2022-01-11,33,5,11
2022-01-12,36,1,7
2022-01-13,12,1,16
2022-01-14,23,1,9
2022-01-15,0,2,2
2022-01-16,0,0,0
2022-01-17,13,3,3
2022-01-18,10,4,13
2022-01-19,3,5,19
2022-01-20,25,0,12
2022-01-21,15,2,6
2022-01-22,1,2,2
2022-01-23,2,0,1
2022-01-24,32,0,9
2022-01-25,31,0,20
2022-01-26,27,8,14
2022-01-27,33,8,19
2022-01-28,11,8,10
2022-01-29,1,3,2
2022-01-30,0,1,3
2022-01-31,7,8,21
2022-02-01,16,4,3
2022-02-02,10,0,16
2022-02-03,37,2,3
2022-02-04,6,4,10
2022-02-05,5,2,3
2022-02-06,0,1,10
2022-02-07,20,2,4
2022-02-08,27,2,2
2022-02-09,11,3,5
2022-02-10,15,3,7
2022-02-11,4,3,13
2022-02-12,0,4,0
2022-02-13,1,0,2
2022-02-14,15,1,15
2022-02-15,7,3,4
2022-02-16,6,2,1
2022-02-17,18,0,10
2022-02-18,19,1,7
2022-02-19,3,0,1
2022-02-20,3,0,0
2022-02-21,25,2,3
2022-02-22,34,1,10
2022-02-23,27,2,19
2022-02-24,17,6,11
2022-02-25,13,7,3
2022-02-26,3,0,3
2022-02-27,2,0,0
2022-02-28,13,2,7
2022-03-01,7,5,15
2022-03-02,11,8,5
2022-03-03,18,2,12
2022-03-04,14,2,3
2022-03-05,1,0,3
2022-03-06,0,0,0
2022-03-07,23,2,3
2022-03-08,28,2,4
2022-03-09,27,2,13
2022-03-10,8,5,5
2022-03-11,9,0,1
2022-03-12,0,1,4
2022-03-13,3,0,6
2022-03-14,30,4,3
2022-03-15,11,7,8
2022-03-16,72,2,4
2022-03-17,25,2,0
2022-03-18,37,2,1
2022-03-19,8,0,2
2022-03-20,3,0,0
2022-03-21,41,0,5
2022-03-22,31,4,11
2022-03-23,40,2,7
2022-03-24,29,1,5
2022-03-25,30,0,0
2022-03-26,1,1,3
2022-03-27,0,0,0
2022-03-28,33,3,2
2022-03-29,16,3,0
2022-03-30,19,0,4
2022-03-31,40,0,17
2022-04-01,37,3,5
2022-04-02,0,2,3
2022-04-03,0,1,0
2022-04-04,6,7,3
2022-04-05,7,2,10
2022-04-06,8,5,8
2022-04-07,7,3,5
2022-04-08,8,2,8
2022-04-09,5,0,0
2022-04-10,0,1,0
2022-04-11,13,1,5
2022-04-12,16,2,2
2022-04-13,6,0,4
2022-04-14,7,0,1
2022-04-15,1,0,3
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,4,0,0
2022-04-19,4,1,1
2022-04-20,8,2,7
2022-04-21,6,0,2
2022-04-22,5,2,2
2022-04-23,0,1,2
2022-04-24,1,0,0
2022-04-25,15,0,2
2022-04-26,5,1,4
2022-04-27,3,4,4
2022-04-28,11,0,2
2022-04-29,4,0,6
2022-04-30,4,0,6
2022-05-01,2,2,2
2022-05-02,2,0,2
2022-05-03,11,0,0
2022-05-04,2,0,0
2022-05-05,19,0,6
2022-05-06,13,0,6
2022-05-07,0,0,3
2022-05-08,0,0,1
2022-05-09,14,0,5
2022-05-10,9,2,4
2022-05-11,10,3,5
2022-05-12,15,1,2
2022-05-13,9,4,0
2022-05-14,2,0,2
2022-05-15,0,2,3
2022-05-16,14,1,2
2022-05-17,14,3,6
2022-05-18,2,2,0
2022-05-19,11,2,2
2022-05-20,8,1,8
2022-05-21,4,0,3
2022-05-22,0,0,1
2022-05-23,13,3,8
2022-05-24,15,1,3
2022-05-25,9,1,17
2022-05-26,8,4,18
2022-05-27,8,0,2
2022-05-28,0,0,1
2022-05-29,0,0,0
2022-05-30,22,4,6
2022-05-31,11,15,3
2022-06-01,18,4,3
2022-06-02,4,0,2
2022-06-03,1,0,6
2022-06-04,0,0,1
2022-06-05,0,0,0
2022-06-06,2,3,0
2022-06-07,6,2,5
2022-06-08,4,1,3
2022-06-09,4,3,6
2022-06-10,1,4,0
2022-06-11,3,0,0
2022-06-12,2,0,0
2022-06-13,10,0,10
2022-06-14,15,2,4
2022-06-15,5,0,3
2022-06-16,8,2,0
2022-06-17,5,2,7
2022-06-18,4,0,0
2022-06-19,0,0,0
2022-06-20,7,2,5
2022-06-21,12,8,3
2022-06-22,4,8,1
2022-06-23,11,4,0
2022-06-24,3,4,1
2022-06-25,0,0,1
2022-06-26,0,2,0
2022-06-27,3,2,0
2022-06-28,11,4,15
2022-06-29,7,5,5
2022-06-30,23,5,4
2022-07-01,0,2,0
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,1,4,8
2022-07-05,2,1,2
2022-07-06,4,1,0
2022-07-07,9,2,8
2022-07-08,2,7,3
2022-07-09,0,0,0
2022-07-10,2,0,0
2022-07-11,3,8,0
2022-07-12,10,3,7
2022-07-13,5,1,1
2022-07-14,9,5,0
2022-07-15,6,7,2
2022-07-16,3,0,0
2022-07-17,0,1,1
2022-07-18,14,2,6
2022-07-19,9,5,5
2022-07-20,8,1,1
2022-07-21,12,0,1
2022-07-22,6,4,2
2022-07-23,0,0,1
2022-07-24,0,0,0
2022-07-25,9,4,2
2022-07-26,13,3,1
2022-07-27,4,0,4
2022-07-28,9,2,15
