,grafana/grafana,cacti/cacti,netdata/netdata
2021-09-17,22,0,4
2021-09-18,0,0,0
2021-09-19,1,2,2
2021-09-20,23,0,11
2021-09-21,15,0,10
2021-09-22,14,0,4
2021-09-23,24,0,8
2021-09-24,2,0,5
2021-09-25,2,8,2
2021-09-26,0,0,1
2021-09-27,17,0,5
2021-09-28,18,0,10
2021-09-29,26,0,5
2021-09-30,21,3,4
2021-10-01,21,0,4
2021-10-02,0,3,1
2021-10-03,0,1,0
2021-10-04,14,0,4
2021-10-05,12,0,7
2021-10-06,22,2,6
2021-10-07,19,0,6
2021-10-08,15,1,5
2021-10-09,0,0,1
2021-10-10,0,26,0
2021-10-11,18,5,3
2021-10-12,27,0,8
2021-10-13,15,0,3
2021-10-14,23,0,2
2021-10-15,15,2,5
2021-10-16,1,11,2
2021-10-17,0,0,1
2021-10-18,21,0,4
2021-10-19,22,51,7
2021-10-20,27,2,5
2021-10-21,22,6,8
2021-10-22,18,4,10
2021-10-23,0,2,1
2021-10-24,0,1,1
2021-10-25,15,4,3
2021-10-26,26,5,7
2021-10-27,24,3,8
2021-10-28,18,0,2
2021-10-29,21,0,3
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,16,2,6
2021-11-02,36,0,3
2021-11-03,21,0,7
2021-11-04,17,0,5
2021-11-05,20,0,3
2021-11-06,2,0,2
2021-11-07,1,3,0
2021-11-08,16,0,5
2021-11-09,28,0,6
2021-11-10,25,0,2
2021-11-11,27,0,8
2021-11-12,20,0,2
2021-11-13,1,0,0
2021-11-14,2,4,0
2021-11-15,26,1,7
2021-11-16,23,0,5
2021-11-17,36,1,7
2021-11-18,31,2,4
2021-11-19,36,0,3
2021-11-20,2,1,0
2021-11-21,0,0,0
2021-11-22,17,1,5
2021-11-23,25,0,0
2021-11-24,36,0,2
2021-11-25,16,1,3
2021-11-26,20,0,3
2021-11-27,0,6,0
2021-11-28,0,7,0
2021-11-29,31,3,4
2021-11-30,16,2,5
2021-12-01,25,0,5
2021-12-02,21,0,2
2021-12-03,14,0,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,14,1,3
2021-12-07,10,0,5
2021-12-08,10,0,2
2021-12-09,10,27,4
2021-12-10,4,26,3
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,18,0,5
2021-12-14,27,3,4
2021-12-15,20,1,3
2021-12-16,18,1,0
2021-12-17,17,0,3
2021-12-18,2,0,0
2021-12-19,1,23,0
2021-12-20,23,0,6
2021-12-21,20,6,4
2021-12-22,11,0,7
2021-12-23,9,1,6
2021-12-24,2,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,4,0,0
2021-12-28,6,0,0
2021-12-29,1,3,0
2021-12-30,4,1,0
2021-12-31,0,1,2
2022-01-01,0,0,0
2022-01-02,0,3,0
2022-01-03,8,3,0
2022-01-04,24,1,4
