,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2022-04-05,3,0,3
2022-04-06,0,0,12
2022-04-07,0,0,9
2022-04-08,2,0,12
2022-04-09,2,2,8
2022-04-10,0,0,1
2022-04-11,7,3,1
2022-04-12,3,0,7
2022-04-13,3,3,7
2022-04-14,4,1,7
2022-04-15,0,3,0
2022-04-16,8,0,1
2022-04-17,7,0,2
2022-04-18,3,0,0
2022-04-19,0,1,9
2022-04-20,0,0,9
2022-04-21,0,1,3
2022-04-22,0,0,6
2022-04-23,0,0,8
2022-04-24,1,4,4
2022-04-25,0,7,3
2022-04-26,0,2,6
2022-04-27,90,1,8
2022-04-28,7,0,1
2022-04-29,10,0,12
2022-04-30,11,5,1
2022-05-01,3,0,1
2022-05-02,0,0,10
2022-05-03,1,6,3
2022-05-04,0,3,8
2022-05-05,1,0,6
2022-05-06,0,1,7
2022-05-07,0,0,1
2022-05-08,0,2,0
2022-05-09,6,3,4
2022-05-10,23,0,5
2022-05-11,6,0,2
2022-05-12,0,3,12
2022-05-13,0,0,8
2022-05-14,1,0,5
2022-05-15,3,0,0
2022-05-16,12,0,7
2022-05-17,3,1,4
2022-05-18,0,2,6
2022-05-19,1,0,8
2022-05-20,0,0,5
2022-05-21,0,0,2
2022-05-22,0,0,0
2022-05-23,1,0,5
2022-05-24,2,0,6
2022-05-25,4,0,10
2022-05-26,0,0,2
2022-05-27,5,0,1
2022-05-28,9,0,1
2022-05-29,3,0,0
2022-05-30,0,10,7
2022-05-31,1,1,5
2022-06-01,0,16,8
2022-06-02,0,0,3
2022-06-03,2,0,4
2022-06-04,2,1,2
2022-06-05,3,1,1
2022-06-06,0,1,4
2022-06-07,2,0,7
2022-06-08,1,1,1
2022-06-09,9,0,7
2022-06-10,9,0,0
2022-06-11,7,1,0
2022-06-12,0,1,0
2022-06-13,7,0,3
2022-06-14,2,5,6
2022-06-15,1,1,6
2022-06-16,4,0,10
2022-06-17,3,0,8
2022-06-18,2,0,0
2022-06-19,1,3,0
2022-06-20,13,4,14
2022-06-21,7,24,9
2022-06-22,1,2,11
2022-06-23,9,0,7
2022-06-24,4,0,15
2022-06-25,1,0,0
2022-06-26,2,0,0
2022-06-27,12,0,7
2022-06-28,3,0,17
2022-06-29,0,3,16
2022-06-30,1,0,11
2022-07-01,1,2,1
2022-07-02,1,0,0
2022-07-03,3,0,0
2022-07-04,1,0,3
2022-07-05,0,0,0
2022-07-06,0,1,11
2022-07-07,3,4,9
2022-07-08,6,1,2
2022-07-09,9,0,0
2022-07-10,0,0,0
2022-07-11,4,0,0
2022-07-12,8,0,2
2022-07-13,1,3,0
2022-07-14,0,0,0
2022-07-15,0,1,1
2022-07-16,0,0,11
2022-07-17,0,0,3
2022-07-18,0,0,1
2022-07-19,1,1,17
2022-07-20,4,2,9
2022-07-21,0,1,13
2022-07-22,9,2,7
2022-07-23,2,0,1
2022-07-24,1,0,0
2022-07-25,0,0,12
2022-07-26,3,0,7
2022-07-27,0,0,11
2022-07-28,0,0,9
2022-07-29,3,0,5
2022-07-30,13,0,0
2022-07-31,18,0,1
2022-08-01,4,3,4
2022-08-02,7,2,2
2022-08-03,0,0,4
2022-08-04,0,0,2
2022-08-05,0,0,12
2022-08-06,1,0,0
2022-08-07,0,0,1
2022-08-08,0,0,2
2022-08-09,0,0,2
2022-08-10,3,3,5
2022-08-11,2,9,4
2022-08-12,6,0,4
2022-08-13,2,0,2
2022-08-14,2,2,0
2022-08-15,14,1,1
2022-08-16,4,4,3
2022-08-17,4,0,2
2022-08-18,14,0,1
2022-08-19,2,0,1
2022-08-20,5,0,0
2022-08-21,0,0,0
2022-08-22,0,2,2
2022-08-23,0,1,1
2022-08-24,0,0,8
2022-08-25,0,0,6
2022-08-26,3,1,5
2022-08-27,0,1,0
2022-08-28,0,0,0
2022-08-29,1,0,11
2022-08-30,0,0,12
2022-08-31,1,0,11
2022-09-01,2,0,4
2022-09-02,9,0,21
2022-09-03,2,0,6
2022-09-04,4,0,3
2022-09-05,0,0,14
2022-09-06,0,0,7
2022-09-07,0,0,10
2022-09-08,1,1,4
2022-09-09,2,2,12
2022-09-10,5,0,3
2022-09-11,3,0,0
2022-09-12,0,1,8
2022-09-13,0,0,3
2022-09-14,0,0,1
2022-09-15,7,0,4
2022-09-16,0,0,10
2022-09-17,0,0,1
2022-09-18,0,0,1
2022-09-19,0,2,6
2022-09-20,0,0,6
2022-09-21,6,0,4
2022-09-22,5,1,4
2022-09-23,1,0,4
2022-09-24,1,0,2
2022-09-25,0,0,6
2022-09-26,1,3,10
2022-09-27,0,0,7
2022-09-28,2,0,5
2022-09-29,0,0,1
2022-09-30,1,0,6
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,0,0,4
2022-10-04,0,0,1
2022-10-05,1,0,0
2022-10-06,1,1,6
2022-10-07,1,0,9
2022-10-08,0,1,0
2022-10-09,1,1,0
2022-10-10,0,8,5
2022-10-11,0,10,2
2022-10-12,0,0,5
2022-10-13,0,0,16
2022-10-14,0,0,8
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,2,0,3
2022-10-18,2,0,4
2022-10-19,3,0,3
2022-10-20,4,1,2
2022-10-21,1,0,0
2022-10-22,1,0,0
2022-10-23,1,1,4
2022-10-24,2,5,5
2022-10-25,6,5,5
2022-10-26,1,5,5
2022-10-27,1,2,2
2022-10-28,0,0,9
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,1,4,2
2022-11-01,1,3,3
2022-11-02,0,9,4
2022-11-03,5,0,19
2022-11-04,3,1,8
2022-11-05,0,0,1
2022-11-06,0,1,0
2022-11-07,2,0,2
2022-11-08,0,1,1
2022-11-09,0,2,0
2022-11-10,0,1,5
2022-11-11,6,1,1
2022-11-12,0,1,5
2022-11-13,0,1,4
2022-11-14,6,0,3
2022-11-15,0,0,17
2022-11-16,4,0,9
2022-11-17,2,0,10
2022-11-18,3,0,11
2022-11-19,2,0,0
2022-11-20,0,0,1
2022-11-21,4,1,2
2022-11-22,0,0,9
2022-11-23,1,0,4
2022-11-24,0,0,8
2022-11-25,0,0,14
2022-11-26,0,3,0
2022-11-27,0,2,0
2022-11-28,1,2,9
2022-11-29,0,5,6
2022-11-30,0,8,8
2022-12-01,8,3,5
2022-12-02,6,0,8
2022-12-03,4,1,1
2022-12-04,0,1,0
2022-12-05,2,8,2
2022-12-06,4,7,6
2022-12-07,1,2,5
2022-12-08,1,12,3
2022-12-09,0,6,5
2022-12-10,0,1,0
2022-12-11,0,0,0
2022-12-12,0,0,2
2022-12-13,0,0,6
2022-12-14,0,0,3
2022-12-15,0,0,5
2022-12-16,0,0,1
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,0,1,4
2022-12-20,0,0,0
2022-12-21,0,0,0
2022-12-22,0,0,5
2022-12-23,1,2,0
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,3,7
2022-12-28,0,0,12
2022-12-29,5,0,3
