,seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress
2023-07-20,2.0,1,2
2023-07-21,15.6,1,2
2023-07-22,-2.3599999999999994,0,0
2023-07-23,1.4239999999999988,0,0
2023-07-24,25.4848,2,1
2023-07-25,4.723328,0,5
2023-07-26,1.012966399999998,0,3
2023-07-27,5.1369497599999985,1,3
2023-07-28,-1.111839744000001,0,0
2023-07-29,-0.0004272128000000208,2,0
2023-07-30,1.4292489215999993,0,0
2023-07-31,10.6230132736,1,3
2023-08-01,18.8707330048,0,2
2023-08-02,-1.7897648127999979,3,0
2023-08-03,-1.112124006400001,2,0
2023-08-04,0.040683929599999225,0,5
2023-08-05,5.5273493504,0,0
2023-08-06,-2.1531804672000003,0,1
2023-08-07,6.002651340799999,4,5
2023-08-08,10.030215782400001,1,3
2023-08-09,5.727653068800001,0,1
2023-08-10,-0.13268817920000053,0,4
2023-08-11,7.1619435519999985,0,9
2023-08-12,-1.6775017472,0,0
2023-08-13,-2.3928348672000004,0,0
2023-08-14,18.4551093248,4,9
2023-08-15,3.913949593600001,0,13
2023-08-16,7.7396625407999995,3,5
2023-08-17,-4.7090455551999995,4,2
2023-08-18,-1.456369152000001,6,4
2023-08-19,-0.8167279616,0,0
2023-08-20,-1.475068928,1,1
2023-08-21,1.0182356991999995,3,7
2023-08-22,2.833159680000001,6,9
2023-08-23,9.398866944000002,2,1
2023-08-24,0.05315850240000142,0,4
2023-08-25,0.07381227519999967,3,12
2023-08-26,6.615213568,0,2
2023-08-27,4.5565413376,0,1
2023-08-28,7.3542660096,0,28
2023-08-29,7.5909928959999995,1,23
2023-08-30,2.0141581312,2,3
2023-08-31,13.700732006399999,4,6
2023-09-01,1.6996381696,0,0
2023-09-02,-1.017558835200001,0,0
2023-09-03,-2.921311436800001,0,0
2023-09-04,10.1051312128,0,0
2023-09-05,4.246758707200001,1,1
2023-09-06,-0.5713602560000002,1,2
2023-09-07,-0.5468529664000004,0,6
2023-09-08,1.0736193536000005,0,1
2023-09-09,-0.8427051007999995,0,0
2023-09-10,-0.21668218880000012,0,0
2023-09-11,6.0282329088,4,2
2023-09-12,-1.0492247039999993,5,3
2023-09-13,2.7254203392000003,2,0
2023-09-14,-0.5131937791999999,1,1
2023-09-15,2.0338715648,0,4
2023-09-16,11.8101906432,0,0
2023-09-17,13.7403399168,0,0
2023-09-18,1.114483097599999,0,0
2023-09-19,0.47783874559999884,1,2
2023-09-20,0.200783155199999,0,4
2023-09-21,-1.2594013184000001,0,3
2023-09-22,1.3516683263999993,1,1
2023-09-23,4.265414553599999,0,0
2023-09-24,3.6742806528000007,0,0
2023-09-25,13.4758238208,0,3
2023-09-26,11.478365491200002,0,0
2023-09-27,2.7502160895999994,0,3
2023-09-28,-4.174069657600001,0,1
2023-09-29,-1.3239647232000014,0,1
2023-09-30,2.1900583935999993,0,0
2023-10-01,-2.1095314432,0,0
2023-10-02,0.6688813055999998,0,2
