,gohugoio/hugo,vercel/next.js,gatsbyjs/gatsby
2020-12-05,1,0,0.0
2020-12-06,0,0,0.0
2020-12-07,0,5,5.0
2020-12-08,0,5,6.5
2020-12-09,1,5,16.075
2020-12-10,0,3,7.842499999999998
2020-12-11,0,1,2.9321874999999986
2020-12-12,0,4,-1.6597212500000005
2020-12-13,0,0,-1.0398898124999985
2020-12-14,0,5,2.229287681250002
2020-12-15,0,0,13.086268348671876
2020-12-16,4,6,10.955230834960938
2020-12-17,3,5,13.586299685982812
2020-12-18,1,4,3.0600803954828115
2020-12-19,2,0,-1.1599553404374996
2020-12-20,0,0,-1.4017273001796862
2020-12-21,0,3,2.0263329862500026
2020-12-22,1,11,3.934534150953127
2020-12-23,1,0,-0.2663261910765611
2020-12-24,0,0,0.07494003029375118
2020-12-25,0,1,-0.6914897812171866
2020-12-26,0,0,-0.428047964918749
2020-12-27,0,2,-0.22919371573124941
2020-12-28,1,19,-0.14426925378593705
2020-12-29,0,13,6.886547817203125
2020-12-30,2,19,0.2027061685640621
2020-12-31,8,13,-0.4776562719453127
2021-01-01,1,7,-0.26246716555156263
2021-01-02,1,2,-0.18153635253593697
2021-01-03,1,4,-0.13347974999999956
2021-01-04,0,36,15.8917491625
2021-01-05,0,11,8.30918211375
2021-01-06,0,19,0.20192811264062382
2021-01-07,0,7,2.8256397192328118
2021-01-08,3,0,10.886001147464063
2021-01-09,0,0,-0.9014929999999997
2021-01-10,0,1,-1.1670846999999993
2021-01-11,0,20,12.188997235
2021-01-12,0,2,7.068729004250001
2021-01-13,0,7,-0.003963713231249777
2021-01-14,0,6,10.702939163609376
2021-01-15,0,10,4.983530175365625
2021-01-16,0,1,-1.8519891125812493
2021-01-17,0,5,-1.124836455946874
2021-01-18,1,4,9.249241483714064
2021-01-19,1,11,5.411406139546876
2021-01-20,2,5,5.361751307392188
2021-01-21,1,3,1.3800152586453125
2021-01-22,4,8,3.769601664990626
2021-01-23,1,4,-1.3080694215406243
2021-01-24,0,3,-0.7583668427515613
2021-01-25,0,14,9.479624200000002
2021-01-26,0,16,4.58286415859375
2021-01-27,0,2,6.60130762228125
2021-01-28,0,2,7.420138689889062
2021-01-29,0,9,0.2194096119515625
2021-01-30,0,2,-1.191180622685937
2021-01-31,0,0,-0.7821148876796864
2021-02-01,4,5,-0.5618055374999983
2021-02-02,0,4,3.5460828423437514
2021-02-03,0,7,3.2191604140468755
2021-02-04,3,5,4.166893089409375
2021-02-05,0,6,5.030506970071875
2021-02-06,3,1,-0.1163762988546877
2021-02-07,0,5,-0.6764147050718747
2021-02-08,2,0,7.563572450000001
2021-02-09,3,5,13.869918415
2021-02-10,0,0,7.874178900437499
2021-02-11,0,5,7.874574031543749
2021-02-12,0,4,7.796038834778124
2021-02-13,0,0,-2.284369337023437
2021-02-14,1,0,-0.3486337782312485
2021-02-15,2,2,6.952628889964064
2021-02-16,4,6,3.4126354271250015
2021-02-17,0,3,9.497059896978126
2021-02-18,18,7,5.9621144943046875
2021-02-19,5,6,20.090474631984375
2021-02-20,1,1,-1.2985801680156261
2021-02-21,0,1,2.0737504283906256
2021-02-22,1,5,18.376287804484377
2021-02-23,4,3,11.894295024589063
2021-02-24,1,10,7.747747355884375
2021-02-25,1,6,12.014556949148439
2021-02-26,0,2,12.660463775479688
2021-02-27,0,3,1.426698350868751
2021-02-28,1,0,-0.6280651668218735
2021-03-01,0,7,21.157403180365627
2021-03-02,0,9,17.358999498293752
2021-03-03,3,8,3.815856907796876
2021-03-04,1,5,0.8693593750390627
2021-03-05,0,4,9.654807724370315
2021-03-06,0,0,-2.77346605253906
