,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2019-03-30,0,3,8
2019-03-31,0,2,3
2019-04-01,0,18,6
2019-04-02,2,10,14
2019-04-03,6,18,11
2019-04-04,0,19,19
2019-04-05,1,6,17
2019-04-06,0,2,3
2019-04-07,0,3,2
2019-04-08,0,10,9
2019-04-09,0,7,13
2019-04-10,3,23,16
2019-04-11,0,9,17
2019-04-12,3,7,2
2019-04-13,0,0,2
2019-04-14,0,2,0
2019-04-15,3,18,12
2019-04-16,0,11,16
2019-04-17,1,12,13
2019-04-18,0,7,18
2019-04-19,0,2,13
2019-04-20,0,4,1
2019-04-21,0,1,0
2019-04-22,0,4,19
2019-04-23,1,18,15
2019-04-24,0,12,17
2019-04-25,0,16,29
2019-04-26,0,11,17
2019-04-27,0,3,6
2019-04-28,0,0,1
2019-04-29,0,16,21
2019-04-30,0,28,17
2019-05-01,2,11,23
2019-05-02,0,5,22
2019-05-03,6,23,17
2019-05-04,0,2,9
2019-05-05,0,0,0
2019-05-06,3,6,16
2019-05-07,11,23,8
2019-05-08,9,20,9
2019-05-09,10,25,13
2019-05-10,6,11,20
2019-05-11,1,1,2
2019-05-12,0,1,3
2019-05-13,2,15,13
2019-05-14,2,11,19
2019-05-15,4,15,14
2019-05-16,1,21,13
2019-05-17,2,5,10
2019-05-18,0,4,3
2019-05-19,0,0,2
2019-05-20,1,27,20
2019-05-21,6,13,22
2019-05-22,9,27,8
2019-05-23,1,11,8
2019-05-24,0,27,9
2019-05-25,0,2,3
2019-05-26,0,1,2
2019-05-27,0,1,2
2019-05-28,0,12,13
2019-05-29,0,8,15
2019-05-30,0,20,31
2019-05-31,3,29,14
2019-06-01,0,6,8
2019-06-02,0,3,1
2019-06-03,5,11,25
2019-06-04,2,15,23
2019-06-05,3,10,14
2019-06-06,4,18,23
2019-06-07,2,20,19
2019-06-08,0,1,13
2019-06-09,0,3,6
2019-06-10,1,15,19
2019-06-11,0,15,18
2019-06-12,1,14,15
2019-06-13,1,18,16
2019-06-14,0,8,16
2019-06-15,0,3,7
2019-06-16,0,0,4
2019-06-17,2,6,5
2019-06-18,2,12,16
2019-06-19,0,12,23
2019-06-20,1,12,19
2019-06-21,5,31,11
2019-06-22,0,2,7
2019-06-23,0,3,4
2019-06-24,3,24,9
2019-06-25,8,7,13
2019-06-26,8,24,14
2019-06-27,6,18,17
2019-06-28,9,13,26
2019-06-29,0,3,0
2019-06-30,0,0,0
2019-07-01,1,16,8
2019-07-02,0,17,5
2019-07-03,5,5,13
2019-07-04,2,17,2
2019-07-05,0,4,1
2019-07-06,0,1,0
2019-07-07,0,1,0
2019-07-08,2,16,17
2019-07-09,5,7,16
2019-07-10,11,14,13
2019-07-11,1,18,15
2019-07-12,0,9,16
2019-07-13,0,8,5
2019-07-14,0,0,0
2019-07-15,1,14,7
2019-07-16,13,6,13
2019-07-17,11,29,27
2019-07-18,4,23,14
2019-07-19,5,16,23
2019-07-20,1,4,3
2019-07-21,0,0,6
2019-07-22,4,8,19
2019-07-23,0,9,16
2019-07-24,1,25,17
2019-07-25,4,14,11
2019-07-26,4,9,15
2019-07-27,0,1,9
2019-07-28,2,0,2
2019-07-29,1,13,11
2019-07-30,2,6,16
2019-07-31,3,14,15
2019-08-01,4,10,19
2019-08-02,9,25,19
2019-08-03,0,1,5
2019-08-04,0,0,3
2019-08-05,2,9,8
2019-08-06,0,5,25
2019-08-07,6,7,19
2019-08-08,2,19,18
2019-08-09,0,8,22
2019-08-10,0,0,5
2019-08-11,0,1,0
2019-08-12,2,16,13
2019-08-13,2,9,6
