,pytorch/vision,huggingface/transformers,tensorflow/models
2019-10-05,0,0,1
2019-10-06,0,2,0
2019-10-07,4,20,4
2019-10-08,4,17,2
2019-10-09,0,22,4
2019-10-10,0,26,9
2019-10-11,1,15,10
2019-10-12,1,2,3
2019-10-13,0,3,2
2019-10-14,0,13,1
2019-10-15,3,30,6
2019-10-16,9,8,5
2019-10-17,2,13,9
2019-10-18,10,3,6
2019-10-19,0,1,4
2019-10-20,0,2,1
2019-10-21,5,5,8
2019-10-22,3,11,6
2019-10-23,1,3,5
2019-10-24,1,7,6
2019-10-25,1,0,1
2019-10-26,3,0,0
2019-10-27,0,3,0
2019-10-28,2,9,7
2019-10-29,3,2,3
2019-10-30,3,22,1
2019-10-31,2,7,2
2019-11-01,0,2,7
2019-11-02,0,0,1
2019-11-03,0,1,0
2019-11-04,2,13,1
2019-11-05,2,18,3
2019-11-06,2,11,3
2019-11-07,1,2,6
2019-11-08,0,9,1
2019-11-09,0,2,0
2019-11-10,0,0,2
2019-11-11,0,5,5
2019-11-12,0,12,9
2019-11-13,1,0,5
2019-11-14,1,15,7
2019-11-15,5,2,2
2019-11-16,0,12,0
2019-11-17,0,0,0
2019-11-18,2,7,3
2019-11-19,0,9,3
2019-11-20,0,2,2
2019-11-21,1,6,10
2019-11-22,0,7,6
2019-11-23,0,3,3
2019-11-24,0,0,1
2019-11-25,3,7,4
2019-11-26,3,49,1
2019-11-27,0,31,8
2019-11-28,0,7,1
2019-11-29,0,8,1
2019-11-30,1,2,2
2019-12-01,0,2,0
2019-12-02,1,4,3
2019-12-03,0,41,3
2019-12-04,3,17,6
2019-12-05,5,23,6
2019-12-06,1,10,6
2019-12-07,0,1,0
2019-12-08,0,0,1
2019-12-09,0,14,1
2019-12-10,2,58,3
2019-12-11,1,29,1
2019-12-12,1,15,4
2019-12-13,0,25,3
2019-12-14,0,11,5
2019-12-15,0,2,2
2019-12-16,4,28,3
2019-12-17,1,18,6
2019-12-18,0,33,7
2019-12-19,6,26,7
2019-12-20,0,39,3
2019-12-21,0,45,0
2019-12-22,0,51,3
2019-12-23,0,28,0
2019-12-24,0,15,0
2019-12-25,0,25,0
2019-12-26,0,7,1
2019-12-27,0,7,0
2019-12-28,0,6,1
2019-12-29,0,2,0
2019-12-30,0,0,1
2019-12-31,0,0,1
2020-01-01,0,2,0
2020-01-02,3,0,2
2020-01-03,1,0,1
2020-01-04,0,1,1
2020-01-05,0,4,0
2020-01-06,0,8,1
2020-01-07,0,12,4
2020-01-08,0,5,3
2020-01-09,0,1,1
2020-01-10,2,14,1
2020-01-11,0,8,0
2020-01-12,0,0,0
2020-01-13,2,9,3
2020-01-14,2,17,4
2020-01-15,0,6,0
2020-01-16,2,15,1
2020-01-17,4,3,3
2020-01-18,0,0,1
2020-01-19,0,0,0
2020-01-20,1,4,0
2020-01-21,1,10,6
2020-01-22,5,1,4
2020-01-23,0,33,4
2020-01-24,0,8,4
2020-01-25,0,0,1
2020-01-26,0,0,0
2020-01-27,8,9,4
2020-01-28,1,15,6
2020-01-29,6,14,4
2020-01-30,1,11,6
2020-01-31,0,18,4
2020-02-01,0,2,2
2020-02-02,0,0,0
2020-02-03,1,5,1
2020-02-04,1,13,2
2020-02-05,0,4,3
2020-02-06,0,7,1
2020-02-07,0,13,3
2020-02-08,0,0,1
2020-02-09,0,0,0
2020-02-10,4,15,0
2020-02-11,0,8,1
2020-02-12,0,6,5
2020-02-13,2,5,5
2020-02-14,4,14,4
2020-02-15,0,0,2
2020-02-16,0,1,0
2020-02-17,0,5,0
2020-02-18,0,2,4
2020-02-19,0,9,4
2020-02-20,0,11,14
2020-02-21,0,7,9
2020-02-22,0,6,3
2020-02-23,0,6,3
2020-02-24,4,13,5
2020-02-25,3,10,8
2020-02-26,0,8,13
2020-02-27,1,6,1
2020-02-28,1,0,11
2020-02-29,0,2,0
2020-03-01,0,3,2
2020-03-02,0,11,4
2020-03-03,0,14,7
2020-03-04,5,22,7
2020-03-05,0,33,7
2020-03-06,0,13,3
2020-03-07,0,0,1
2020-03-08,0,6,1
2020-03-09,0,14,5
2020-03-10,4,8,6
2020-03-11,4,47,9
2020-03-12,3,7,8
2020-03-13,4,6,5
2020-03-14,0,1,5
2020-03-15,0,0,4
2020-03-16,4,7,3
2020-03-17,4,11,11
2020-03-18,0,8,3
2020-03-19,1,23,6
2020-03-20,2,5,4
2020-03-21,0,0,1
2020-03-22,0,0,1
2020-03-23,3,9,0
2020-03-24,3,13,2
2020-03-25,0,5,7
2020-03-26,0,15,4
2020-03-27,0,10,5
2020-03-28,0,0,1
2020-03-29,0,2,1
2020-03-30,5,11,7
2020-03-31,5,16,7
2020-04-01,4,7,7
2020-04-02,5,5,9
2020-04-03,5,10,8
2020-04-04,0,7,5
2020-04-05,0,2,2
2020-04-06,3,19,3
2020-04-07,5,8,1
2020-04-08,2,6,6
2020-04-09,2,5,4
2020-04-10,2,7,7
2020-04-11,0,2,2
2020-04-12,0,0,2
2020-04-13,0,2,7
2020-04-14,4,2,4
2020-04-15,1,2,7
2020-04-16,1,12,9
2020-04-17,0,8,12
2020-04-18,0,6,1
2020-04-19,0,0,2
2020-04-20,0,10,9
2020-04-21,1,4,6
2020-04-22,0,6,8
2020-04-23,1,9,5
2020-04-24,2,6,34
2020-04-25,0,1,21
2020-04-26,1,0,8
2020-04-27,2,9,6
2020-04-28,2,14,3
2020-04-29,3,5,2
2020-04-30,0,4,1
2020-05-01,0,16,13
2020-05-02,0,11,2
2020-05-03,0,1,0
2020-05-04,5,2,5
2020-05-05,6,4,3
2020-05-06,0,7,10
2020-05-07,3,17,5
2020-05-08,0,9,5
2020-05-09,0,0,2
2020-05-10,0,3,2
2020-05-11,5,17,4
2020-05-12,3,12,9
2020-05-13,0,7,5
2020-05-14,4,14,12
2020-05-15,1,10,3
2020-05-16,0,0,0
2020-05-17,0,1,1
2020-05-18,6,19,6
2020-05-19,3,13,12
2020-05-20,5,13,8
2020-05-21,3,4,11
2020-05-22,0,15,4
2020-05-23,0,1,2
2020-05-24,0,0,4
2020-05-25,0,11,2
2020-05-26,3,11,7
2020-05-27,0,10,4
2020-05-28,0,7,4
2020-05-29,4,8,11
2020-05-30,1,0,2
2020-05-31,1,0,0
2020-06-01,3,25,4
2020-06-02,0,11,8
2020-06-03,1,7,11
2020-06-04,3,14,10
2020-06-05,1,13,3
2020-06-06,0,3,1
2020-06-07,0,1,0
2020-06-08,0,9,6
2020-06-09,1,9,7
2020-06-10,1,14,8
2020-06-11,3,6,4
2020-06-12,0,7,12
2020-06-13,0,1,0
2020-06-14,0,2,1
2020-06-15,0,14,3
2020-06-16,0,13,6
2020-06-17,1,14,11
2020-06-18,0,10,12
2020-06-19,1,5,17
2020-06-20,0,7,2
2020-06-21,0,1,4
2020-06-22,2,30,7
2020-06-23,3,11,14
2020-06-24,0,24,8
2020-06-25,0,11,10
2020-06-26,4,12,9
2020-06-27,0,2,1
2020-06-28,0,4,14
2020-06-29,4,21,28
2020-06-30,7,18,31
2020-07-01,2,17,30
2020-07-02,3,11,0
2020-07-03,3,10,4
2020-07-04,0,0,3
2020-07-05,0,0,2
2020-07-06,5,13,8
2020-07-07,2,22,6
2020-07-08,2,9,17
2020-07-09,2,10,14
2020-07-10,2,20,24
2020-07-11,0,1,7
2020-07-12,2,1,3
2020-07-13,2,7,16
2020-07-14,0,14,15
2020-07-15,2,14,4
2020-07-16,2,10,22
2020-07-17,1,11,30
2020-07-18,0,8,5
2020-07-19,0,0,3
2020-07-20,1,17,14
2020-07-21,0,24,11
2020-07-22,0,7,11
2020-07-23,0,8,25
2020-07-24,0,13,27
2020-07-25,0,0,0
2020-07-26,0,3,4
2020-07-27,0,16,8
2020-07-28,0,21,28
2020-07-29,2,9,15
2020-07-30,4,10,23
2020-07-31,9,10,15
2020-08-01,0,2,4
2020-08-02,0,1,4
2020-08-03,14,11,33
2020-08-04,2,19,11
2020-08-05,1,10,38
2020-08-06,1,8,6
2020-08-07,2,19,25
2020-08-08,1,5,12
2020-08-09,0,2,7
2020-08-10,0,12,9
2020-08-11,1,28,17
2020-08-12,0,12,11
2020-08-13,0,11,22
2020-08-14,1,7,24
2020-08-15,0,0,5
2020-08-16,0,2,2
2020-08-17,0,28,12
2020-08-18,0,13,25
2020-08-19,0,7,14
2020-08-20,4,16,4
2020-08-21,3,8,7
2020-08-22,0,2,2
2020-08-23,0,3,4
2020-08-24,3,13,12
2020-08-25,3,20,11
2020-08-26,1,19,12
2020-08-27,2,12,11
2020-08-28,2,9,7
2020-08-29,0,3,1
2020-08-30,0,6,0
2020-08-31,1,15,4
2020-09-01,3,22,2
2020-09-02,3,12,6
2020-09-03,1,12,6
2020-09-04,0,8,3
2020-09-05,0,1,0
2020-09-06,0,1,1
2020-09-07,1,18,1
2020-09-08,0,9,6
2020-09-09,2,6,13
2020-09-10,0,24,7
2020-09-11,0,9,7
2020-09-12,0,1,0
2020-09-13,0,2,1
2020-09-14,9,14,7
2020-09-15,0,15,14
2020-09-16,0,11,10
2020-09-17,0,16,4
2020-09-18,4,27,8
2020-09-19,0,4,4
2020-09-20,0,3,1
2020-09-21,1,16,6
2020-09-22,7,24,6
2020-09-23,1,8,2
2020-09-24,3,15,5
2020-09-25,1,19,5
2020-09-26,0,0,3
2020-09-27,0,2,2
2020-09-28,4,14,7
2020-09-29,6,11,3
2020-09-30,2,16,6
2020-10-01,3,27,5
2020-10-02,1,1,11
2020-10-03,1,0,2
2020-10-04,0,2,0
2020-10-05,6,19,3
2020-10-06,5,16,7
2020-10-07,9,13,4
2020-10-08,1,8,9
2020-10-09,2,14,5
2020-10-10,0,2,0
2020-10-11,1,3,0
2020-10-12,4,11,2
2020-10-13,3,10,10
2020-10-14,7,12,3
2020-10-15,1,13,3
2020-10-16,5,12,3
2020-10-17,0,3,2
2020-10-18,0,1,0
2020-10-19,0,17,4
2020-10-20,2,14,5
2020-10-21,7,24,10
2020-10-22,7,22,15
2020-10-23,6,11,9
2020-10-24,0,2,3
2020-10-25,0,1,3
2020-10-26,6,26,9
2020-10-27,7,21,8
2020-10-28,1,11,9
2020-10-29,0,21,3
2020-10-30,10,10,5
2020-10-31,0,0,0
2020-11-01,0,2,15
2020-11-02,2,15,2
2020-11-03,2,14,5
2020-11-04,2,13,1
2020-11-05,2,10,4
2020-11-06,6,19,6
2020-11-07,0,2,8
2020-11-08,0,7,2
2020-11-09,7,19,3
2020-11-10,3,22,8
2020-11-11,0,11,4
2020-11-12,2,9,5
2020-11-13,0,11,7
2020-11-14,0,0,3
2020-11-15,0,1,0
2020-11-16,6,10,5
2020-11-17,0,14,6
2020-11-18,4,26,6
2020-11-19,4,19,5
2020-11-20,3,6,5
2020-11-21,0,0,0
2020-11-22,0,1,0
2020-11-23,0,17,3
2020-11-24,0,10,4
2020-11-25,0,5,5
2020-11-26,2,6,3
2020-11-27,5,12,1
2020-11-28,0,1,0
2020-11-29,0,3,0
2020-11-30,3,15,5
2020-12-01,6,11,3
2020-12-02,6,7,3
2020-12-03,4,7,6
2020-12-04,4,5,10
2020-12-05,1,2,2
2020-12-06,0,1,1
2020-12-07,2,11,2
2020-12-08,3,9,4
2020-12-09,3,10,4
2020-12-10,3,7,2
2020-12-11,2,15,5
2020-12-12,2,0,1
2020-12-13,0,0,0
2020-12-14,2,10,11
2020-12-15,2,19,4
2020-12-16,1,10,2
2020-12-17,1,12,2
2020-12-18,0,9,2
2020-12-19,0,3,3
2020-12-20,1,1,0
2020-12-21,0,9,4
2020-12-22,2,10,2
2020-12-23,2,6,2
2020-12-24,0,8,2
2020-12-25,0,2,0
2020-12-26,0,0,0
2020-12-27,0,1,0
2020-12-28,0,3,2
2020-12-29,0,3,2
2020-12-30,0,1,1
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,3,1
2021-01-03,0,1,0
2021-01-04,4,12,2
2021-01-05,1,13,6
2021-01-06,0,15,3
2021-01-07,2,9,3
2021-01-08,2,7,6
2021-01-09,0,0,2
2021-01-10,0,2,0
2021-01-11,1,16,2
2021-01-12,0,13,7
2021-01-13,0,14,5
2021-01-14,3,11,7
2021-01-15,2,5,4
2021-01-16,0,0,3
2021-01-17,0,0,0
2021-01-18,1,3,0
2021-01-19,2,13,6
2021-01-20,5,17,10
2021-01-21,1,11,3
2021-01-22,3,5,6
2021-01-23,0,2,2
2021-01-24,0,0,2
2021-01-25,4,7,8
2021-01-26,3,13,2
2021-01-27,5,21,3
2021-01-28,6,11,2
2021-01-29,4,6,4
2021-01-30,0,1,1
2021-01-31,0,2,1
2021-02-01,3,11,3
2021-02-02,5,9,7
2021-02-03,1,11,4
2021-02-04,6,14,2
2021-02-05,1,7,4
2021-02-06,0,0,1
2021-02-07,0,0,2
2021-02-08,1,25,4
2021-02-09,3,16,5
2021-02-10,2,9,2
2021-02-11,6,8,4
2021-02-12,5,4,8
2021-02-13,0,6,0
2021-02-14,0,0,0
2021-02-15,4,12,2
2021-02-16,4,5,4
2021-02-17,0,8,4
2021-02-18,1,6,4
2021-02-19,1,15,4
2021-02-20,0,3,0
2021-02-21,0,1,0
2021-02-22,9,9,7
2021-02-23,5,3,3
2021-02-24,1,6,9
2021-02-25,4,11,7
2021-02-26,2,4,7
2021-02-27,0,5,2
2021-02-28,0,3,3
2021-03-01,17,5,5
2021-03-02,3,1,10
2021-03-03,3,9,8
2021-03-04,3,6,2
2021-03-05,0,11,5
2021-03-06,0,3,1
2021-03-07,0,0,0
2021-03-08,2,20,3
2021-03-09,3,9,2
2021-03-10,7,8,7
2021-03-11,5,17,11
2021-03-12,6,7,5
2021-03-13,0,0,1
2021-03-14,0,0,2
2021-03-15,4,16,1
2021-03-16,3,14,5
2021-03-17,3,11,3
2021-03-18,1,14,6
2021-03-19,1,9,8
2021-03-20,4,0,2
2021-03-21,0,5,0
2021-03-22,3,10,11
2021-03-23,0,12,9
2021-03-24,4,6,8
2021-03-25,1,7,6
2021-03-26,0,3,6
2021-03-27,0,0,0
2021-03-28,0,1,0
2021-03-29,1,11,7
2021-03-30,11,11,8
2021-03-31,3,13,3
2021-04-01,0,7,6
2021-04-02,0,1,9
2021-04-03,0,0,1
2021-04-04,0,0,1
2021-04-05,0,15,12
2021-04-06,2,12,7
2021-04-07,7,11,1
2021-04-08,4,14,2
2021-04-09,2,13,3
2021-04-10,1,0,1
2021-04-11,0,0,0
2021-04-12,3,9,7
2021-04-13,1,15,11
2021-04-14,2,10,5
2021-04-15,0,3,3
2021-04-16,1,5,5
2021-04-17,1,0,2
2021-04-18,1,0,0
2021-04-19,5,4,4
2021-04-20,4,6,5
2021-04-21,6,13,6
2021-04-22,3,7,3
2021-04-23,6,19,3
2021-04-24,0,2,2
2021-04-25,0,2,0
2021-04-26,7,20,5
2021-04-27,6,3,7
2021-04-28,4,3,5
2021-04-29,1,4,2
2021-04-30,2,19,7
2021-05-01,0,0,0
2021-05-02,0,1,0
2021-05-03,2,12,3
2021-05-04,2,8,10
2021-05-05,2,5,6
2021-05-06,1,8,5
2021-05-07,4,7,7
2021-05-08,0,0,2
2021-05-09,0,1,0
2021-05-10,4,10,7
2021-05-11,9,8,11
2021-05-12,1,9,3
2021-05-13,3,8,4
2021-05-14,1,4,5
2021-05-15,1,0,0
2021-05-16,0,0,0
2021-05-17,9,7,8
2021-05-18,2,10,3
2021-05-19,3,3,3
2021-05-20,4,6,7
2021-05-21,21,7,3
2021-05-22,3,1,2
2021-05-23,0,0,0
2021-05-24,6,7,8
2021-05-25,6,9,5
2021-05-26,5,7,3
2021-05-27,5,3,6
2021-05-28,0,3,6
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,4,0
2021-06-01,7,15,2
2021-06-02,1,7,6
2021-06-03,4,2,11
2021-06-04,9,2,6
2021-06-05,6,0,0
2021-06-06,1,0,2
2021-06-07,7,7,2
2021-06-08,4,11,4
2021-06-09,13,8,5
2021-06-10,9,10,1
2021-06-11,9,3,6
2021-06-12,0,0,2
2021-06-13,0,1,1
2021-06-14,3,19,6
2021-06-15,5,14,18
2021-06-16,4,6,9
2021-06-17,3,9,3
2021-06-18,2,4,3
2021-06-19,0,0,2
2021-06-20,0,0,2
2021-06-21,4,10,4
2021-06-22,1,10,3
2021-06-23,3,21,3
2021-06-24,2,5,12
2021-06-25,2,10,6
2021-06-26,0,2,0
2021-06-27,0,0,0
2021-06-28,4,13,3
2021-06-29,1,11,2
2021-06-30,1,10,5
2021-07-01,2,12,11
2021-07-02,0,7,3
2021-07-03,0,0,1
2021-07-04,0,1,1
2021-07-05,1,12,2
2021-07-06,0,9,0
2021-07-07,0,12,4
2021-07-08,1,9,5
2021-07-09,1,11,7
2021-07-10,0,3,2
2021-07-11,0,0,0
2021-07-12,3,19,3
2021-07-13,0,13,8
2021-07-14,2,11,2
2021-07-15,1,19,2
2021-07-16,3,5,3
2021-07-17,0,4,2
2021-07-18,0,0,0
2021-07-19,0,3,7
2021-07-20,2,9,2
2021-07-21,0,9,2
2021-07-22,3,4,6
2021-07-23,2,3,1
2021-07-24,0,2,3
2021-07-25,1,0,0
2021-07-26,1,10,5
2021-07-27,1,3,4
2021-07-28,2,12,2
2021-07-29,1,3,4
2021-07-30,1,6,2
2021-07-31,0,0,0
2021-08-01,0,1,2
2021-08-02,1,3,3
2021-08-03,1,3,12
2021-08-04,3,10,3
2021-08-05,0,4,5
2021-08-06,4,6,2
2021-08-07,0,0,1
2021-08-08,0,2,1
2021-08-09,1,6,6
2021-08-10,0,12,1
2021-08-11,0,3,10
2021-08-12,2,13,3
2021-08-13,1,7,2
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,4,7,1
2021-08-17,3,2,4
2021-08-18,2,2,4
2021-08-19,2,1,4
2021-08-20,1,1,5
2021-08-21,0,0,1
2021-08-22,0,0,0
2021-08-23,4,9,5
2021-08-24,0,5,2
2021-08-25,0,8,12
2021-08-26,5,13,3
2021-08-27,2,8,4
2021-08-28,0,1,2
2021-08-29,0,0,0
2021-08-30,0,22,3
2021-08-31,5,21,5
2021-09-01,4,26,5
2021-09-02,5,11,7
2021-09-03,0,0,8
2021-09-04,3,0,0
2021-09-05,1,0,0
2021-09-06,7,11,5
2021-09-07,2,5,12
2021-09-08,2,13,3
2021-09-09,1,7,5
2021-09-10,2,7,18
2021-09-11,0,0,4
2021-09-12,0,0,3
2021-09-13,3,10,2
2021-09-14,6,8,3
2021-09-15,2,4,2
2021-09-16,3,11,6
2021-09-17,3,9,8
2021-09-18,0,0,1
2021-09-19,0,0,1
2021-09-20,2,10,10
2021-09-21,7,12,19
2021-09-22,1,11,9
2021-09-23,1,6,6
2021-09-24,6,10,10
2021-09-25,0,2,0
2021-09-26,1,4,0
2021-09-27,3,9,3
2021-09-28,2,2,5
2021-09-29,9,10,4
2021-09-30,5,8,1
2021-10-01,4,5,17
2021-10-02,0,0,7
2021-10-03,0,0,3
2021-10-04,4,6,8
2021-10-05,7,10,2
2021-10-06,5,12,1
2021-10-07,10,8,3
2021-10-08,5,11,3
2021-10-09,0,1,8
2021-10-10,0,0,0
2021-10-11,3,10,4
2021-10-12,2,7,3
2021-10-13,4,1,6
2021-10-14,2,10,4
2021-10-15,5,4,4
2021-10-16,0,3,2
2021-10-17,1,1,0
2021-10-18,7,10,6
2021-10-19,7,3,8
2021-10-20,12,10,10
2021-10-21,9,12,3
2021-10-22,6,9,9
2021-10-23,0,0,10
2021-10-24,1,0,8
2021-10-25,9,11,12
2021-10-26,9,14,11
2021-10-27,10,8,3
2021-10-28,5,11,8
2021-10-29,11,11,9
2021-10-30,0,0,0
2021-10-31,2,0,1
2021-11-01,9,9,4
2021-11-02,8,7,3
2021-11-03,11,11,3
2021-11-04,7,4,6
2021-11-05,8,3,2
2021-11-06,3,4,1
2021-11-07,0,0,1
2021-11-08,5,8,5
2021-11-09,6,10,3
2021-11-10,3,6,6
2021-11-11,6,7,4
2021-11-12,8,4,5
2021-11-13,0,2,4
2021-11-14,1,1,0
2021-11-15,2,8,4
2021-11-16,6,5,12
2021-11-17,5,6,9
2021-11-18,4,7,4
2021-11-19,1,5,8
2021-11-20,0,0,2
2021-11-21,3,2,0
2021-11-22,9,6,3
2021-11-23,1,1,7
2021-11-24,1,3,0
2021-11-25,2,2,1
2021-11-26,3,4,0
2021-11-27,1,0,0
2021-11-28,0,1,0
2021-11-29,5,6,2
2021-11-30,5,6,2
2021-12-01,3,6,3
2021-12-02,3,8,1
2021-12-03,1,6,9
2021-12-04,0,0,4
