,tanstack/router,vercel/next.js,remix-run/react-router
2019-03-14,0,4,0
2019-03-15,0,8,2
2019-03-16,0,6,2
2019-03-17,0,3,0
2019-03-18,0,7,2
2019-03-19,0,9,1
2019-03-20,0,12,0
2019-03-21,0,0,3
2019-03-22,0,3,2
2019-03-23,0,6,0
2019-03-24,0,4,1
2019-03-25,0,10,0
2019-03-26,0,5,3
2019-03-27,0,14,0
2019-03-28,0,3,0
2019-03-29,0,5,2
2019-03-30,0,8,0
2019-03-31,0,2,0
2019-04-01,0,4,1
2019-04-02,0,10,1
2019-04-03,0,20,1
2019-04-04,0,12,0
2019-04-05,0,16,0
2019-04-06,0,6,1
2019-04-07,0,9,1
2019-04-08,0,7,0
2019-04-09,0,19,2
2019-04-10,0,17,0
2019-04-11,0,12,0
2019-04-12,0,0,0
2019-04-13,0,6,0
2019-04-14,0,0,1
2019-04-15,0,8,0
2019-04-16,0,7,1
2019-04-17,0,6,0
2019-04-18,0,3,0
2019-04-19,0,4,0
2019-04-20,0,2,2
2019-04-21,0,7,0
2019-04-22,0,9,0
2019-04-23,0,8,0
2019-04-24,0,23,0
2019-04-25,1,13,0
2019-04-26,0,10,0
2019-04-27,0,0,0
2019-04-28,0,9,0
2019-04-29,2,1,0
2019-04-30,0,4,0
2019-05-01,0,9,0
2019-05-02,0,4,0
2019-05-03,0,4,0
2019-05-04,0,2,0
2019-05-05,0,4,0
2019-05-06,0,7,0
2019-05-07,0,4,0
2019-05-08,0,5,0
2019-05-09,0,6,0
2019-05-10,2,4,0
2019-05-11,0,5,2
2019-05-12,0,1,0
2019-05-13,0,2,0
2019-05-14,0,4,0
2019-05-15,0,4,2
2019-05-16,0,7,1
2019-05-17,0,7,0
2019-05-18,0,3,0
2019-05-19,0,2,0
2019-05-20,0,1,0
2019-05-21,0,1,0
2019-05-22,0,5,0
2019-05-23,0,10,0
2019-05-24,0,2,0
2019-05-25,0,0,0
2019-05-26,0,1,0
2019-05-27,0,9,0
2019-05-28,0,7,0
2019-05-29,0,6,2
2019-05-30,0,11,0
2019-05-31,0,4,1
2019-06-01,0,1,0
2019-06-02,0,2,1
2019-06-03,0,0,0
2019-06-04,0,3,2
2019-06-05,0,8,0
2019-06-06,0,8,0
2019-06-07,0,2,0
2019-06-08,0,2,0
2019-06-09,0,2,0
2019-06-10,0,12,0
2019-06-11,0,2,2
2019-06-12,0,0,1
2019-06-13,0,3,1
2019-06-14,0,2,1
2019-06-15,0,0,1
2019-06-16,0,0,1
2019-06-17,0,1,0
2019-06-18,0,5,1
2019-06-19,0,7,0
2019-06-20,0,2,0
2019-06-21,0,4,0
2019-06-22,0,1,0
2019-06-23,0,1,0
2019-06-24,0,9,1
2019-06-25,0,5,1
2019-06-26,0,8,0
2019-06-27,0,4,0
2019-06-28,0,11,0
2019-06-29,0,4,0
2019-06-30,0,0,0
2019-07-01,0,9,0
2019-07-02,2,2,0
2019-07-03,2,11,1
2019-07-04,0,3,0
2019-07-05,0,7,0
2019-07-06,0,0,0
2019-07-07,0,2,0
2019-07-08,0,20,0
2019-07-09,0,15,0
2019-07-10,0,14,1
2019-07-11,0,9,0
2019-07-12,0,4,0
2019-07-13,0,1,0
2019-07-14,0,1,0
2019-07-15,0,11,0
2019-07-16,0,16,0
2019-07-17,0,5,0
2019-07-18,0,6,0
2019-07-19,0,3,0
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,0,5,0
2019-07-23,0,1,1
2019-07-24,4,1,0
2019-07-25,2,16,1
2019-07-26,0,4,0
2019-07-27,0,6,0
2019-07-28,0,1,0
2019-07-29,0,11,0
2019-07-30,0,7,0
2019-07-31,0,5,0
2019-08-01,0,6,3
2019-08-02,0,1,1
2019-08-03,0,4,0
2019-08-04,0,2,1
2019-08-05,0,4,0
2019-08-06,0,5,0
2019-08-07,0,3,0
2019-08-08,0,6,1
2019-08-09,0,4,0
2019-08-10,0,1,0
2019-08-11,0,9,0
2019-08-12,0,13,0
2019-08-13,0,8,0
2019-08-14,0,11,0
2019-08-15,0,6,0
2019-08-16,0,6,0
2019-08-17,0,0,0
2019-08-18,0,5,0
2019-08-19,0,9,0
2019-08-20,0,16,0
2019-08-21,0,5,0
2019-08-22,0,6,2
2019-08-23,0,12,0
