,gitbucket/gitbucket,gitlabhq/gitlabhq,gogs/gogs
2014-12-11,0,10,4
2014-12-12,1,10,1
2014-12-13,0,2,2
2014-12-14,0,7,3
2014-12-15,0,24,2
2014-12-16,0,9,1
2014-12-17,0,14,6
2014-12-18,0,6,8
2014-12-19,1,2,6
2014-12-20,0,17,1
2014-12-21,2,2,7
2014-12-22,2,16,9
2014-12-23,0,25,0
2014-12-24,0,18,2
2014-12-25,0,17,0
2014-12-26,1,22,0
2014-12-27,2,9,6
2014-12-28,4,13,3
2014-12-29,3,45,6
2014-12-30,5,25,0
2014-12-31,1,2,7
2015-01-01,3,6,0
2015-01-02,3,1,11
2015-01-03,1,4,2
2015-01-04,4,1,0
2015-01-05,1,8,3
2015-01-06,2,21,1
2015-01-07,6,15,0
2015-01-08,1,11,1
2015-01-09,3,2,2
2015-01-10,2,8,0
2015-01-11,0,20,0
2015-01-12,1,12,0
2015-01-13,0,30,0
2015-01-14,1,8,0
2015-01-15,0,49,1
2015-01-16,0,12,0
2015-01-17,7,17,5
2015-01-18,2,22,5
2015-01-19,0,25,0
2015-01-20,4,14,3
2015-01-21,1,21,0
2015-01-22,1,31,8
2015-01-23,0,24,1
2015-01-24,2,19,0
2015-01-25,2,14,0
2015-01-26,0,21,1
2015-01-27,2,36,1
2015-01-28,0,26,0
2015-01-29,6,26,0
2015-01-30,2,25,2
2015-01-31,2,1,8
2015-02-01,3,1,12
2015-02-02,0,12,3
2015-02-03,0,56,11
2015-02-04,1,29,6
2015-02-05,0,25,17
2015-02-06,2,23,2
2015-02-07,5,17,13
2015-02-08,4,12,5
2015-02-09,1,18,13
2015-02-10,0,6,0
2015-02-11,1,17,8
2015-02-12,0,34,10
2015-02-13,0,36,13
2015-02-14,4,6,4
2015-02-15,1,10,0
2015-02-16,1,20,7
2015-02-17,0,24,2
2015-02-18,0,36,9
2015-02-19,0,24,4
2015-02-20,4,55,3
2015-02-21,0,9,3
2015-02-22,1,12,13
2015-02-23,1,21,9
2015-02-24,0,75,2
2015-02-25,1,41,0
2015-02-26,2,26,0
2015-02-27,13,15,2
2015-02-28,3,10,2
2015-03-01,16,5,9
2015-03-02,6,23,0
2015-03-03,10,45,0
2015-03-04,5,36,2
2015-03-05,0,17,0
2015-03-06,0,16,2
2015-03-07,0,19,1
2015-03-08,4,15,0
2015-03-09,3,27,2
2015-03-10,2,56,4
2015-03-11,0,19,1
2015-03-12,1,38,6
2015-03-13,1,29,7
2015-03-14,0,24,5
2015-03-15,5,14,3
2015-03-16,4,29,7
2015-03-17,0,23,1
2015-03-18,0,53,12
2015-03-19,0,50,6
2015-03-20,0,39,3
2015-03-21,0,24,3
2015-03-22,3,22,4
2015-03-23,15,38,5
2015-03-24,8,36,7
2015-03-25,6,24,10
2015-03-26,0,33,6
2015-03-27,5,30,1
2015-03-28,9,8,1
2015-03-29,0,14,0
2015-03-30,1,20,0
2015-03-31,1,24,3
2015-04-01,0,12,0
2015-04-02,3,21,1
2015-04-03,6,27,0
2015-04-04,1,4,0
2015-04-05,5,0,1
2015-04-06,2,11,0
2015-04-07,1,14,0
2015-04-08,3,18,2
2015-04-09,2,12,0
2015-04-10,0,17,0
2015-04-11,2,14,0
2015-04-12,0,12,0
2015-04-13,1,32,0
2015-04-14,0,71,0
2015-04-15,4,39,0
2015-04-16,0,17,6
2015-04-17,0,27,0
2015-04-18,0,15,5
2015-04-19,2,2,0
2015-04-20,3,61,2
2015-04-21,2,34,0
2015-04-22,1,34,1
2015-04-23,2,39,0
2015-04-24,2,49,9
2015-04-25,1,38,0
2015-04-26,0,16,0
2015-04-27,1,31,0
2015-04-28,2,16,1
2015-04-29,5,16,0
2015-04-30,2,54,0
2015-05-01,0,6,0
2015-05-02,5,10,0
2015-05-03,0,22,0
2015-05-04,0,16,0
2015-05-05,1,21,0
2015-05-06,4,56,0
2015-05-07,8,38,0
2015-05-08,1,34,1
2015-05-09,0,43,1
2015-05-10,3,2,0
2015-05-11,0,31,0
2015-05-12,0,27,0
2015-05-13,1,26,0
2015-05-14,0,29,1
2015-05-15,1,25,0
2015-05-16,2,10,0
2015-05-17,0,2,0
2015-05-18,2,15,0
2015-05-19,0,5,0
2015-05-20,1,10,0
2015-05-21,1,18,0
2015-05-22,0,20,0
2015-05-23,0,3,0
2015-05-24,5,0,0
2015-05-25,6,21,0
2015-05-26,0,54,0
2015-05-27,1,37,0
2015-05-28,1,37,0
2015-05-29,0,35,0
2015-05-30,0,1,0
2015-05-31,15,2,0
2015-06-01,2,18,0
2015-06-02,1,31,0
2015-06-03,0,35,1
2015-06-04,2,19,1
2015-06-05,1,36,0
2015-06-06,0,2,0
2015-06-07,2,0,0
2015-06-08,2,29,1
2015-06-09,1,24,1
2015-06-10,2,23,0
2015-06-11,0,27,0
2015-06-12,0,28,0
2015-06-13,0,30,0
2015-06-14,0,8,0
2015-06-15,0,24,0
2015-06-16,0,24,0
2015-06-17,0,24,0
2015-06-18,0,10,1
2015-06-19,0,37,0
2015-06-20,0,8,0
2015-06-21,0,1,0
2015-06-22,0,64,0
2015-06-23,2,42,0
2015-06-24,0,29,0
2015-06-25,0,25,0
2015-06-26,3,19,0
2015-06-27,15,6,0
2015-06-28,0,2,0
2015-06-29,0,13,1
2015-06-30,0,24,0
2015-07-01,0,33,0
2015-07-02,0,19,0
2015-07-03,3,10,3
2015-07-04,11,0,1
2015-07-05,8,3,2
2015-07-06,0,24,2
2015-07-07,0,35,2
2015-07-08,0,28,1
2015-07-09,0,31,7
2015-07-10,0,41,2
2015-07-11,0,9,1
2015-07-12,0,5,0
2015-07-13,3,28,1
2015-07-14,0,23,9
2015-07-15,0,13,7
2015-07-16,1,14,0
2015-07-17,0,26,0
2015-07-18,11,13,0
2015-07-19,1,6,2
2015-07-20,0,16,2
2015-07-21,2,13,1
2015-07-22,2,26,0
2015-07-23,0,17,2
2015-07-24,0,18,28
2015-07-25,2,6,4
2015-07-26,0,4,5
2015-07-27,3,8,3
2015-07-28,4,31,10
2015-07-29,2,27,2
2015-07-30,0,28,4
2015-07-31,3,19,11
2015-08-01,0,2,4
2015-08-02,5,7,6
2015-08-03,2,9,4
2015-08-04,2,14,3
2015-08-05,6,25,16
2015-08-06,0,28,8
2015-08-07,0,24,5
2015-08-08,5,7,6
2015-08-09,0,14,10
2015-08-10,0,28,22
2015-08-11,0,48,12
2015-08-12,1,13,12
2015-08-13,1,15,16
2015-08-14,1,21,9
2015-08-15,9,4,19
2015-08-16,5,3,5
2015-08-17,1,16,17
2015-08-18,3,17,12
2015-08-19,1,36,17
2015-08-20,3,42,10
2015-08-21,0,23,4
2015-08-22,3,4,0
2015-08-23,5,6,0
2015-08-24,0,13,9
2015-08-25,0,31,7
2015-08-26,3,43,6
2015-08-27,1,21,7
2015-08-28,0,3,16
2015-08-29,2,5,13
2015-08-30,0,1,0
2015-08-31,0,12,5
2015-09-01,2,28,15
2015-09-02,1,20,12
2015-09-03,5,32,12
2015-09-04,1,24,2
2015-09-05,0,0,14
2015-09-06,3,5,12
2015-09-07,0,21,13
2015-09-08,0,27,3
2015-09-09,0,50,5
2015-09-10,0,45,8
2015-09-11,0,17,4
2015-09-12,0,3,9
2015-09-13,1,0,10
2015-09-14,0,46,3
2015-09-15,2,80,2
2015-09-16,0,47,4
2015-09-17,0,44,8
2015-09-18,0,43,2
2015-09-19,2,3,1
2015-09-20,2,26,0
2015-09-21,6,50,4
2015-09-22,3,46,0
2015-09-23,6,46,1
2015-09-24,2,54,7
2015-09-25,0,27,16
2015-09-26,0,9,4
2015-09-27,0,1,1
2015-09-28,3,13,1
2015-09-29,4,36,0
2015-09-30,0,33,0
2015-10-01,9,56,5
2015-10-02,6,31,14
2015-10-03,4,9,4
2015-10-04,2,4,1
2015-10-05,4,49,3
2015-10-06,0,31,0
2015-10-07,0,44,0
2015-10-08,0,38,1
2015-10-09,0,18,7
2015-10-10,0,9,7
2015-10-11,0,3,0
2015-10-12,10,36,8
2015-10-13,6,40,7
2015-10-14,2,67,0
2015-10-15,1,59,0
2015-10-16,1,51,1
2015-10-17,1,22,1
2015-10-18,4,32,4
2015-10-19,0,28,2
2015-10-20,0,19,2
2015-10-21,0,30,7
2015-10-22,0,44,3
2015-10-23,0,32,3
2015-10-24,2,4,7
2015-10-25,3,2,4
2015-10-26,1,16,1
2015-10-27,2,6,1
2015-10-28,5,12,2
2015-10-29,0,30,5
2015-10-30,2,13,9
2015-10-31,4,5,9
2015-11-01,3,4,5
2015-11-02,0,21,3
2015-11-03,1,44,12
2015-11-04,1,22,8
2015-11-05,0,26,3
2015-11-06,4,19,4
2015-11-07,2,8,1
2015-11-08,6,7,5
2015-11-09,3,29,3
2015-11-10,3,44,1
2015-11-11,2,18,5
2015-11-12,1,28,9
2015-11-13,0,19,8
2015-11-14,5,3,5
2015-11-15,1,1,9
2015-11-16,6,41,16
2015-11-17,6,53,7
2015-11-18,0,71,13
2015-11-19,0,60,13
2015-11-20,0,26,10
2015-11-21,0,22,7
2015-11-22,0,5,10
2015-11-23,0,21,2
2015-11-24,0,21,5
2015-11-25,1,34,7
2015-11-26,0,16,3
2015-11-27,6,7,3
2015-11-28,0,3,4
2015-11-29,1,3,0
2015-11-30,4,26,4
2015-12-01,0,29,15
2015-12-02,0,123,20
2015-12-03,1,82,24
2015-12-04,5,31,5
2015-12-05,7,11,12
2015-12-06,1,5,3
2015-12-07,9,60,10
2015-12-08,3,129,6
2015-12-09,5,66,21
2015-12-10,6,36,9
2015-12-11,0,72,13
2015-12-12,1,10,7
2015-12-13,4,1,8
2015-12-14,1,48,8
2015-12-15,6,37,3
2015-12-16,2,61,5
2015-12-17,4,43,3
2015-12-18,0,25,6
2015-12-19,1,4,1
2015-12-20,0,1,8
2015-12-21,5,35,1
2015-12-22,1,47,1
2015-12-23,7,47,1
2015-12-24,2,73,3
2015-12-25,2,22,4
2015-12-26,4,5,0
2015-12-27,1,4,4
2015-12-28,1,53,0
2015-12-29,2,23,0
2015-12-30,2,28,1
2015-12-31,0,29,1
2016-01-01,11,8,1
2016-01-02,21,9,2
2016-01-03,3,11,0
2016-01-04,4,45,1
2016-01-05,0,61,6
2016-01-06,4,34,8
2016-01-07,3,68,6
2016-01-08,0,54,2
2016-01-09,1,12,9
2016-01-10,0,7,4
2016-01-11,0,56,7
2016-01-12,0,59,3
2016-01-13,4,89,3
2016-01-14,1,168,11
2016-01-15,0,41,2
2016-01-16,14,7,1
2016-01-17,5,9,0
2016-01-18,2,57,2
2016-01-19,7,53,0
2016-01-20,1,93,3
2016-01-21,5,48,0
2016-01-22,5,52,0
2016-01-23,2,9,0
2016-01-24,5,22,1
2016-01-25,2,42,8
2016-01-26,15,48,11
2016-01-27,1,40,11
2016-01-28,2,38,12
2016-01-29,1,29,6
2016-01-30,14,23,5
2016-01-31,3,3,16
2016-02-01,1,29,14
2016-02-02,2,59,9
2016-02-03,13,52,1
2016-02-04,0,52,9
2016-02-05,1,55,15
2016-02-06,4,5,2
2016-02-07,2,7,19
2016-02-08,1,30,2
2016-02-09,3,46,0
2016-02-10,0,27,4
2016-02-11,2,34,3
2016-02-12,1,31,15
2016-02-13,5,10,1
2016-02-14,3,2,6
2016-02-15,6,15,13
2016-02-16,3,31,5
2016-02-17,1,46,6
2016-02-18,0,52,7
2016-02-19,2,179,9
2016-02-20,5,63,15
2016-02-21,8,3,4
2016-02-22,1,50,3
2016-02-23,1,45,5
2016-02-24,0,41,4
2016-02-25,2,13,6
2016-02-26,5,29,5
2016-02-27,0,11,4
2016-02-28,0,1,2
2016-02-29,0,59,5
2016-03-01,3,74,2
2016-03-02,1,66,3
2016-03-03,2,70,8
2016-03-04,4,67,16
2016-03-05,10,26,8
2016-03-06,7,7,13
2016-03-07,0,42,3
2016-03-08,1,33,1
2016-03-09,5,46,0
2016-03-10,3,112,14
2016-03-11,1,103,16
2016-03-12,2,30,3
2016-03-13,0,18,3
2016-03-14,1,52,6
2016-03-15,5,89,17
2016-03-16,6,32,3
2016-03-17,2,119,1
2016-03-18,0,134,2
2016-03-19,1,31,1
2016-03-20,1,26,1
2016-03-21,2,58,4
2016-03-22,2,57,0
2016-03-23,0,69,4
2016-03-24,5,51,0
2016-03-25,0,61,3
2016-03-26,0,10,2
2016-03-27,5,15,6
2016-03-28,1,29,0
2016-03-29,1,39,0
2016-03-30,0,69,1
2016-03-31,4,47,0
2016-04-01,6,39,0
2016-04-02,6,12,0
2016-04-03,2,5,1
2016-04-04,4,62,3
2016-04-05,0,55,1
2016-04-06,0,109,0
2016-04-07,0,83,0
2016-04-08,1,31,0
2016-04-09,2,17,0
2016-04-10,0,16,0
2016-04-11,6,82,1
2016-04-12,6,104,1
2016-04-13,4,119,0
2016-04-14,6,83,0
2016-04-15,9,46,0
2016-04-16,5,42,0
2016-04-17,2,13,0
2016-04-18,0,132,0
2016-04-19,2,79,2
2016-04-20,0,107,1
2016-04-21,0,84,0
2016-04-22,0,69,2
2016-04-23,0,4,0
2016-04-24,2,6,0
2016-04-25,0,55,1
2016-04-26,0,72,2
2016-04-27,0,24,1
2016-04-28,0,74,0
2016-04-29,6,37,0
2016-04-30,4,6,0
2016-05-01,0,4,0
2016-05-02,6,22,0
2016-05-03,0,43,0
2016-05-04,0,78,0
2016-05-05,8,56,0
2016-05-06,0,41,4
2016-05-07,0,9,1
2016-05-08,0,19,0
2016-05-09,0,66,0
2016-05-10,0,53,0
2016-05-11,0,52,4
2016-05-12,0,106,2
2016-05-13,5,71,0
2016-05-14,2,30,0
2016-05-15,0,15,0
2016-05-16,0,120,0
2016-05-17,1,21,0
2016-05-18,1,72,0
2016-05-19,3,93,0
2016-05-20,0,43,0
2016-05-21,0,22,0
2016-05-22,1,31,0
2016-05-23,2,71,1
2016-05-24,1,41,1
2016-05-25,6,91,0
2016-05-26,3,37,0
2016-05-27,2,19,1
2016-05-28,4,6,1
2016-05-29,2,19,0
2016-05-30,2,52,4
2016-05-31,2,41,0
2016-06-01,3,54,2
2016-06-02,0,68,0
2016-06-03,0,170,0
2016-06-04,2,4,0
2016-06-05,0,6,0
2016-06-06,0,124,0
2016-06-07,0,99,0
2016-06-08,4,100,0
2016-06-09,3,105,0
2016-06-10,1,109,0
2016-06-11,3,5,0
2016-06-12,1,5,2
2016-06-13,0,128,0
2016-06-14,0,156,0
2016-06-15,2,163,0
2016-06-16,0,68,0
2016-06-17,0,151,0
2016-06-18,0,35,0
2016-06-19,3,0,0
2016-06-20,0,102,0
2016-06-21,1,103,0
2016-06-22,0,66,0
2016-06-23,0,80,0
2016-06-24,0,39,1
2016-06-25,10,3,0
2016-06-26,0,7,2
2016-06-27,0,69,11
2016-06-28,0,58,0
2016-06-29,0,85,5
2016-06-30,2,72,1
2016-07-01,3,66,5
2016-07-02,7,3,3
2016-07-03,2,5,0
2016-07-04,3,56,1
2016-07-05,2,94,0
2016-07-06,0,110,1
2016-07-07,4,80,2
2016-07-08,3,109,1
2016-07-09,11,20,5
2016-07-10,3,17,3
2016-07-11,5,69,4
2016-07-12,6,224,0
2016-07-13,3,69,0
2016-07-14,1,98,0
2016-07-15,0,69,12
2016-07-16,2,13,6
2016-07-17,0,7,7
2016-07-18,0,149,0
2016-07-19,1,131,0
2016-07-20,2,145,0
2016-07-21,0,105,5
2016-07-22,0,46,3
2016-07-23,0,11,17
2016-07-24,0,31,2
2016-07-25,3,38,3
2016-07-26,3,86,5
2016-07-27,2,58,1
2016-07-28,3,38,4
2016-07-29,0,72,1
2016-07-30,3,4,4
2016-07-31,4,5,0
2016-08-01,0,64,0
2016-08-02,1,79,0
2016-08-03,2,60,5
2016-08-04,5,93,1
2016-08-05,0,51,3
2016-08-06,3,10,5
2016-08-07,3,4,6
2016-08-08,1,53,2
2016-08-09,0,51,9
2016-08-10,1,47,15
2016-08-11,4,73,24
2016-08-12,5,153,6
2016-08-13,10,33,3
2016-08-14,1,1,3
2016-08-15,1,94,14
2016-08-16,0,71,8
2016-08-17,0,293,3
2016-08-18,1,110,1
2016-08-19,0,111,0
2016-08-20,0,17,0
2016-08-21,0,10,0
2016-08-22,2,47,0
2016-08-23,0,42,3
2016-08-24,0,47,3
2016-08-25,0,78,2
2016-08-26,1,52,4
2016-08-27,0,2,8
2016-08-28,2,6,6
2016-08-29,0,47,2
2016-08-30,3,128,20
2016-08-31,0,82,6
2016-09-01,0,64,7
2016-09-02,0,61,1
2016-09-03,4,6,2
2016-09-04,0,4,0
2016-09-05,2,42,0
2016-09-06,0,57,0
2016-09-07,0,106,0
2016-09-08,0,47,0
2016-09-09,0,48,1
2016-09-10,1,3,0
2016-09-11,0,1,0
2016-09-12,2,32,0
2016-09-13,0,112,0
2016-09-14,0,50,0
2016-09-15,0,67,0
2016-09-16,0,65,1
2016-09-17,0,8,0
2016-09-18,1,16,0
2016-09-19,1,83,0
2016-09-20,2,110,0
2016-09-21,1,50,0
2016-09-22,3,72,1
2016-09-23,2,41,0
2016-09-24,0,5,0
2016-09-25,2,10,0
2016-09-26,0,43,0
2016-09-27,0,61,0
2016-09-28,5,52,0
2016-09-29,3,45,0
2016-09-30,1,82,0
2016-10-01,1,15,0
2016-10-02,1,14,0
2016-10-03,3,96,0
2016-10-04,1,77,0
2016-10-05,2,95,0
2016-10-06,0,119,0
2016-10-07,0,65,0
2016-10-08,0,16,0
2016-10-09,1,5,0
2016-10-10,2,79,0
2016-10-11,1,112,0
2016-10-12,2,56,0
2016-10-13,2,102,0
2016-10-14,0,94,0
2016-10-15,0,47,0
2016-10-16,5,21,0
2016-10-17,2,111,2
2016-10-18,1,80,0
2016-10-19,0,156,0
2016-10-20,0,126,0
2016-10-21,0,45,0
2016-10-22,0,17,0
2016-10-23,0,4,0
2016-10-24,0,92,0
2016-10-25,0,61,0
2016-10-26,2,66,0
2016-10-27,0,50,0
2016-10-28,0,59,0
2016-10-29,2,3,0
2016-10-30,0,10,0
2016-10-31,3,45,0
2016-11-01,7,88,0
2016-11-02,1,49,0
2016-11-03,1,67,0
2016-11-04,1,101,0
2016-11-05,0,11,0
2016-11-06,2,16,0
2016-11-07,1,57,0
2016-11-08,4,65,0
2016-11-09,1,42,0
2016-11-10,0,105,0
2016-11-11,2,56,0
2016-11-12,1,31,0
2016-11-13,0,5,0
2016-11-14,1,61,0
2016-11-15,0,66,0
2016-11-16,1,188,0
2016-11-17,0,240,0
2016-11-18,0,138,0
2016-11-19,3,24,0
2016-11-20,0,10,2
2016-11-21,0,163,0
2016-11-22,0,166,0
2016-11-23,0,80,0
2016-11-24,1,53,4
2016-11-25,2,56,0
2016-11-26,7,6,0
2016-11-27,7,4,0
2016-11-28,1,55,0
2016-11-29,1,51,0
2016-11-30,3,112,0
2016-12-01,2,72,0
2016-12-02,0,75,0
2016-12-03,1,15,0
2016-12-04,2,12,0
2016-12-05,0,52,0
2016-12-06,1,74,0
2016-12-07,0,71,0
2016-12-08,4,83,1
2016-12-09,2,70,0
2016-12-10,4,31,0
2016-12-11,5,9,0
2016-12-12,7,85,0
2016-12-13,0,83,0
2016-12-14,3,70,0
2016-12-15,0,116,0
2016-12-16,0,180,0
2016-12-17,2,25,0
2016-12-18,4,15,0
2016-12-19,5,113,0
2016-12-20,0,87,0
2016-12-21,0,176,26
2016-12-22,2,67,16
2016-12-23,1,46,5
2016-12-24,0,12,7
2016-12-25,0,0,0
2016-12-26,1,31,0
2016-12-27,9,60,6
2016-12-28,6,64,0
2016-12-29,2,33,0
2016-12-30,2,15,0
2016-12-31,0,56,0
2017-01-01,0,0,1
2017-01-02,1,28,0
2017-01-03,9,71,3
2017-01-04,6,69,0
2017-01-05,6,57,0
2017-01-06,4,53,0
2017-01-07,1,3,0
2017-01-08,5,4,0
2017-01-09,0,230,0
2017-01-10,2,53,0
2017-01-11,5,28,0
2017-01-12,3,47,0
2017-01-13,6,50,0
2017-01-14,3,8,0
2017-01-15,2,40,0
2017-01-16,6,45,0
2017-01-17,2,68,0
2017-01-18,0,69,0
2017-01-19,1,74,0
2017-01-20,0,53,0
2017-01-21,2,44,0
2017-01-22,1,33,2
2017-01-23,1,50,4
2017-01-24,1,78,1
2017-01-25,2,101,5
2017-01-26,1,76,3
2017-01-27,0,82,3
2017-01-28,5,10,11
2017-01-29,1,2,3
2017-01-30,0,68,7
2017-01-31,3,214,3
2017-02-01,0,46,4
2017-02-02,0,78,3
2017-02-03,0,144,1
2017-02-04,1,15,0
2017-02-05,0,14,0
2017-02-06,3,132,1
2017-02-07,2,131,7
2017-02-08,2,79,3
2017-02-09,1,98,7
2017-02-10,0,101,17
2017-02-11,4,15,7
2017-02-12,5,11,4
2017-02-13,0,92,7
2017-02-14,4,102,17
2017-02-15,4,102,15
2017-02-16,1,132,6
2017-02-17,0,95,13
2017-02-18,3,7,16
2017-02-19,0,4,11
2017-02-20,12,93,8
2017-02-21,2,79,10
2017-02-22,0,106,5
2017-02-23,1,129,12
2017-02-24,3,93,8
2017-02-25,0,16,1
2017-02-26,3,7,3
2017-02-27,0,68,2
2017-02-28,2,74,22
2017-03-01,0,94,4
2017-03-02,5,108,3
2017-03-03,4,67,2
2017-03-04,0,13,2
2017-03-05,0,26,4
2017-03-06,2,181,1
2017-03-07,3,111,7
2017-03-08,1,102,3
2017-03-09,3,82,6
2017-03-10,2,45,9
2017-03-11,7,9,9
2017-03-12,0,0,8
2017-03-13,11,95,7
2017-03-14,9,73,1
2017-03-15,0,52,2
2017-03-16,1,115,4
2017-03-17,6,71,9
