,wasmerio/wasmer,bytecodealliance/wasmtime,bytecodealliance/lucet
2019-03-22,9,0,23
2019-03-23,6,0,1
2019-03-24,4,0,0
2019-03-25,20,1,2
2019-03-26,11,15,4
2019-03-27,27,23,19
2019-03-28,31,12,25
2019-03-29,51,2,10
2019-03-30,3,0,3
2019-03-31,2,2,0
2019-04-01,21,5,4
2019-04-02,24,6,7
2019-04-03,12,3,5
2019-04-04,17,1,5
2019-04-05,14,6,1
2019-04-06,8,1,0
2019-04-07,2,2,0
2019-04-08,9,1,4
2019-04-09,13,9,7
2019-04-10,34,1,4
2019-04-11,36,0,12
2019-04-12,29,0,2
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,0,0,4
2019-04-16,4,4,10
2019-04-17,5,18,5
2019-04-18,11,1,11
2019-04-19,16,1,4
2019-04-20,4,0,3
2019-04-21,2,0,0
2019-04-22,21,0,10
2019-04-23,17,1,6
2019-04-24,6,9,3
2019-04-25,7,10,8
2019-04-26,2,2,20
2019-04-27,7,1,1
2019-04-28,7,3,0
2019-04-29,17,2,17
2019-04-30,12,14,19
2019-05-01,12,3,4
2019-05-02,5,6,0
2019-05-03,5,4,1
2019-05-04,9,1,0
2019-05-05,16,1,0
2019-05-06,13,2,4
2019-05-07,10,10,8
2019-05-08,4,4,0
2019-05-09,2,7,0
2019-05-10,4,4,1
2019-05-11,1,2,0
2019-05-12,3,2,0
2019-05-13,12,3,0
2019-05-14,31,6,1
2019-05-15,17,14,0
2019-05-16,13,1,1
2019-05-17,12,1,1
2019-05-18,9,5,0
2019-05-19,11,2,0
2019-05-20,18,8,0
2019-05-21,11,2,0
2019-05-22,8,5,6
2019-05-23,6,3,3
2019-05-24,13,6,4
2019-05-25,2,0,0
2019-05-26,5,0,0
2019-05-27,9,5,0
2019-05-28,8,1,0
2019-05-29,9,5,0
2019-05-30,4,0,2
2019-05-31,3,5,7
2019-06-01,6,1,0
2019-06-02,13,1,0
2019-06-03,6,8,2
2019-06-04,8,0,0
2019-06-05,3,2,0
2019-06-06,7,0,0
2019-06-07,4,1,1
2019-06-08,7,0,0
2019-06-09,1,5,0
2019-06-10,5,0,2
2019-06-11,7,0,0
2019-06-12,9,0,4
2019-06-13,9,1,0
2019-06-14,5,0,2
2019-06-15,0,0,0
2019-06-16,0,0,0
2019-06-17,8,1,2
2019-06-18,2,2,1
2019-06-19,0,6,1
2019-06-20,0,2,0
2019-06-21,0,1,1
