,filamentphp/filament,thedevdojo/wave,thedevdojo/voyager
2021-05-25,0,0,0
2021-05-26,1,0,0
2021-05-27,0,0,1
2021-05-28,0,4,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,0,0
2021-06-01,0,0,0
2021-06-02,0,0,0
2021-06-03,19,0,0
2021-06-04,0,0,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,0,0,0
2021-06-08,0,0,0
2021-06-09,0,0,0
2021-06-10,0,0,0
2021-06-11,0,2,0
2021-06-12,0,0,2
2021-06-13,0,0,0
2021-06-14,0,0,0
2021-06-15,0,0,0
2021-06-16,0,0,0
2021-06-17,0,0,0
2021-06-18,0,0,0
2021-06-19,0,0,0
2021-06-20,0,0,0
2021-06-21,0,0,0
2021-06-22,0,0,0
2021-06-23,0,0,1
2021-06-24,0,0,0
2021-06-25,0,0,0
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,0,0,0
2021-06-29,0,0,0
2021-06-30,0,0,0
2021-07-01,0,0,0
2021-07-02,0,0,0
2021-07-03,0,0,0
2021-07-04,0,8,0
2021-07-05,1,1,0
2021-07-06,0,0,0
2021-07-07,0,0,0
2021-07-08,2,0,1
2021-07-09,0,0,1
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,0,0,0
2021-07-13,0,1,0
2021-07-14,0,0,1
2021-07-15,0,0,0
2021-07-16,0,1,0
2021-07-17,0,1,0
2021-07-18,0,0,0
2021-07-19,13,0,0
2021-07-20,0,0,0
2021-07-21,0,0,0
2021-07-22,0,0,0
2021-07-23,0,0,0
2021-07-24,2,0,0
2021-07-25,0,0,0
2021-07-26,0,0,0
2021-07-27,0,0,0
2021-07-28,0,0,0
2021-07-29,0,0,0
2021-07-30,0,0,1
2021-07-31,0,0,0
2021-08-01,0,0,0
2021-08-02,0,0,0
2021-08-03,0,2,0
2021-08-04,0,0,0
2021-08-05,3,0,0
2021-08-06,2,0,0
2021-08-07,0,0,0
2021-08-08,0,0,0
2021-08-09,0,0,1
2021-08-10,0,0,0
2021-08-11,0,0,0
2021-08-12,0,0,0
2021-08-13,0,0,0
2021-08-14,0,0,0
2021-08-15,7,0,0
2021-08-16,1,0,0
2021-08-17,1,0,0
2021-08-18,0,0,0
2021-08-19,2,0,0
2021-08-20,0,0,0
2021-08-21,2,0,0
2021-08-22,0,0,0
2021-08-23,0,0,0
2021-08-24,0,0,0
2021-08-25,3,0,0
2021-08-26,0,0,0
2021-08-27,0,0,0
2021-08-28,0,0,3
2021-08-29,18,0,0
2021-08-30,4,0,0
2021-08-31,0,0,3
2021-09-01,3,0,2
2021-09-02,14,0,0
2021-09-03,12,0,0
2021-09-04,0,0,0
2021-09-05,11,0,0
2021-09-06,4,0,0
2021-09-07,0,0,0
2021-09-08,35,0,0
2021-09-09,17,0,0
2021-09-10,12,0,0
2021-09-11,6,0,0
2021-09-12,2,0,0
2021-09-13,0,0,0
2021-09-14,25,0,0
2021-09-15,8,0,0
2021-09-16,15,0,0
2021-09-17,9,0,0
2021-09-18,4,0,0
2021-09-19,4,0,0
2021-09-20,0,0,0
2021-09-21,0,0,0
2021-09-22,0,0,0
2021-09-23,0,2,0
2021-09-24,0,0,0
2021-09-25,1,2,0
2021-09-26,0,0,0
2021-09-27,5,0,0
2021-09-28,0,0,0
2021-09-29,0,0,0
2021-09-30,6,0,0
2021-10-01,5,1,0
2021-10-02,0,0,0
2021-10-03,0,0,0
2021-10-04,7,2,0
2021-10-05,0,0,0
2021-10-06,7,0,0
2021-10-07,0,1,0
2021-10-08,0,1,1
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,3,3,0
2021-10-12,5,0,0
2021-10-13,12,1,0
2021-10-14,0,0,0
2021-10-15,0,0,0
2021-10-16,1,0,0
2021-10-17,12,0,0
2021-10-18,1,0,2
2021-10-19,6,0,0
2021-10-20,0,0,0
2021-10-21,2,1,0
2021-10-22,1,0,0
2021-10-23,4,0,0
2021-10-24,13,0,0
2021-10-25,2,0,0
2021-10-26,0,0,0
2021-10-27,9,0,0
2021-10-28,2,2,0
2021-10-29,2,2,0
2021-10-30,1,0,0
2021-10-31,0,0,0
2021-11-01,1,1,0
2021-11-02,17,0,0
2021-11-03,11,2,0
2021-11-04,4,0,0
2021-11-05,13,0,0
2021-11-06,0,0,0
2021-11-07,3,0,0
2021-11-08,6,0,0
2021-11-09,10,1,3
2021-11-10,22,0,3
2021-11-11,11,0,0
2021-11-12,14,0,0
2021-11-13,0,1,0
2021-11-14,4,7,0
2021-11-15,14,0,0
2021-11-16,26,0,0
2021-11-17,11,0,0
2021-11-18,11,0,0
2021-11-19,0,0,0
2021-11-20,8,0,0
2021-11-21,2,0,0
2021-11-22,5,0,0
2021-11-23,1,0,0
2021-11-24,9,0,0
2021-11-25,49,0,0
2021-11-26,13,0,0
2021-11-27,8,0,0
2021-11-28,2,0,0
2021-11-29,9,0,0
2021-11-30,20,0,0
2021-12-01,14,0,0
2021-12-02,6,0,0
2021-12-03,4,0,0
2021-12-04,0,0,0
2021-12-05,9,0,0
2021-12-06,26,0,0
2021-12-07,34,0,0
2021-12-08,15,0,0
2021-12-09,21,2,0
2021-12-10,33,0,0
2021-12-11,28,0,0
2021-12-12,13,1,0
