,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system,bitcoin/bitcoin
2019-05-19,7,0.0,3
2019-05-20,1,0.0,9
2019-05-21,1,0.0,3
2019-05-22,0,0.0,8
2019-05-23,0,0.0,10
2019-05-24,3,1.0,4
2019-05-25,2,0.7,5
2019-05-26,0,-0.40499999999999997,1
2019-05-27,0,-0.1644999999999999,1
2019-05-28,0,-0.09966249999999996,16
2019-05-29,0,-0.06988275,20
2019-05-30,1,-0.05300111249999999,2
2019-05-31,0,-0.04223813625,1
2019-06-01,1,-0.03483399051562505,0
2019-06-02,0,-0.02946012999843757,5
2019-06-03,0,1.9864165867671875,8
2019-06-04,1,1.4,3
2019-06-05,0,-0.8099999999999999,9
2019-06-06,0,-0.3289999999999998,15
2019-06-07,0,-0.19932499999999992,14
2019-06-08,0,-0.1397655,3
2019-06-09,0,-0.10600222499999998,0
2019-06-10,0,-0.0844762725,1
2019-06-11,0,-0.0696679810312501,5
2019-06-12,1,-0.05892025999687514,2
2019-06-13,0,-0.027166826465625047,11
2019-06-14,0,0.0,10
2019-06-15,0,0.0,0
2019-06-16,0,3.0,4
2019-06-17,1,-0.9000000000000001,8
2019-06-18,0,-0.3149999999999998,14
2019-06-19,1,-0.1784999999999999,12
2019-06-20,1,-0.1204875,13
2019-06-21,0,-0.08916074999999998,9
2019-06-22,0,-0.06984258749999998,1
2019-06-23,4,-0.05687182125000001,2
2019-06-24,0,-0.04763015029687513,4
2019-06-25,0,-0.04075023969843757,8
2019-06-26,0,0.0,10
2019-06-27,0,0.0,4
2019-06-28,0,0.0,3
2019-06-29,0,0.0,8
2019-06-30,0,0.0,3
2019-07-01,0,0.0,5
2019-07-02,0,0.0,15
2019-07-03,1,0.0,15
2019-07-04,0,0.0,4
2019-07-05,4,0.0,7
2019-07-06,0,0.0,2
2019-07-07,1,0.0,4
2019-07-08,0,0.0,28
2019-07-09,0,0.0,19
2019-07-10,1,0.0,10
2019-07-11,0,0.0,4
2019-07-12,0,0.0,9
2019-07-13,0,0.0,0
2019-07-14,0,0.0,0
2019-07-15,3,0.0,5
2019-07-16,0,0.0,8
2019-07-17,0,0.0,8
2019-07-18,0,0.0,12
2019-07-19,0,2.0,11
2019-07-20,3,-0.6000000000000001,0
2019-07-21,0,-0.20999999999999985,1
2019-07-22,0,-0.11899999999999994,7
2019-07-23,0,-0.080325,8
2019-07-24,0,-0.05944049999999999,25
2019-07-25,0,0.953438275,7
2019-07-26,4,0.6620854525,6
2019-07-27,0,-0.43675343353125007,18
2019-07-28,0,-0.19166682646562494,4
2019-07-29,0,-0.09966249999999996,15
2019-07-30,0,6.93011725,16
2019-07-31,0,-2.1530011125000006,15
2019-08-01,0,-0.7772381362499994,12
2019-08-02,0,-0.45133399051562484,11
2019-08-03,0,-0.31059762999843754,1
2019-08-04,0,-0.2216251632328125,1
2019-08-05,0,0.8370339625000001,6
2019-08-06,0,-0.43270091625000007,8
2019-08-07,0,-0.21613701735937524,3
2019-08-08,1,-0.15458389262968764,2
2019-08-09,2,1.9598375,8
2019-08-10,0,-0.6297202500000001,1
