,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2019-01-30,0,6,22
2019-01-31,1,7,3
2019-02-01,0,13,13
2019-02-02,0,4,0
2019-02-03,0,0,1
2019-02-04,2,16,10
2019-02-05,0,15,21
2019-02-06,5,13,18
2019-02-07,1,11,6
2019-02-08,11,5,17
2019-02-09,0,5,4
2019-02-10,2,1,0
2019-02-11,1,21,8
2019-02-12,0,20,23
2019-02-13,2,15,19
2019-02-14,3,18,6
2019-02-15,2,27,19
2019-02-16,0,2,5
2019-02-17,0,8,0
2019-02-18,0,6,0
2019-02-19,3,15,0
2019-02-20,4,21,13
2019-02-21,11,26,15
2019-02-22,7,25,17
2019-02-23,0,2,13
2019-02-24,3,4,5
2019-02-25,1,22,12
2019-02-26,2,13,18
2019-02-27,0,9,12
2019-02-28,3,21,10
2019-03-01,5,11,20
2019-03-02,0,9,3
2019-03-03,0,19,1
2019-03-04,2,20,8
2019-03-05,2,21,0
2019-03-06,0,7,16
2019-03-07,0,5,9
2019-03-08,1,6,14
2019-03-09,0,0,15
2019-03-10,0,0,6
2019-03-11,0,3,9
2019-03-12,3,9,14
2019-03-13,1,24,8
2019-03-14,5,10,10
2019-03-15,6,23,24
2019-03-16,0,5,6
2019-03-17,0,1,2
2019-03-18,2,19,11
2019-03-19,0,29,13
2019-03-20,6,15,15
2019-03-21,7,15,21
2019-03-22,6,12,7
2019-03-23,0,7,4
2019-03-24,0,3,2
2019-03-25,4,11,6
2019-03-26,3,15,12
2019-03-27,0,10,17
2019-03-28,4,5,11
2019-03-29,5,13,17
2019-03-30,0,3,8
2019-03-31,0,2,3
2019-04-01,0,18,6
2019-04-02,2,10,14
2019-04-03,6,18,11
2019-04-04,0,19,19
2019-04-05,1,6,17
2019-04-06,0,2,3
2019-04-07,0,3,2
2019-04-08,0,10,9
2019-04-09,0,7,13
2019-04-10,3,23,16
2019-04-11,0,9,17
2019-04-12,3,7,2
2019-04-13,0,0,2
2019-04-14,0,2,0
2019-04-15,3,18,12
2019-04-16,0,11,16
2019-04-17,1,12,13
2019-04-18,0,7,18
2019-04-19,0,2,13
2019-04-20,0,4,1
2019-04-21,0,1,0
2019-04-22,0,4,19
2019-04-23,1,18,15
2019-04-24,0,12,17
2019-04-25,0,16,29
2019-04-26,0,11,17
2019-04-27,0,3,6
2019-04-28,0,0,1
2019-04-29,0,16,21
2019-04-30,0,28,17
2019-05-01,2,11,23
2019-05-02,0,5,22
2019-05-03,6,23,17
2019-05-04,0,2,9
2019-05-05,0,0,0
2019-05-06,3,6,16
2019-05-07,11,23,8
2019-05-08,9,20,9
2019-05-09,10,25,13
2019-05-10,6,11,20
2019-05-11,1,1,2
2019-05-12,0,1,3
2019-05-13,2,15,13
2019-05-14,2,11,19
2019-05-15,4,15,14
2019-05-16,1,21,13
2019-05-17,2,5,10
2019-05-18,0,4,3
2019-05-19,0,0,2
2019-05-20,1,27,20
2019-05-21,6,13,22
2019-05-22,9,27,8
2019-05-23,1,11,8
2019-05-24,0,27,9
2019-05-25,0,2,3
2019-05-26,0,1,2
2019-05-27,0,1,2
2019-05-28,0,12,13
2019-05-29,0,8,15
2019-05-30,0,20,31
2019-05-31,3,29,14
2019-06-01,0,6,8
2019-06-02,0,3,1
2019-06-03,5,11,25
2019-06-04,2,15,23
2019-06-05,3,10,14
2019-06-06,4,18,23
2019-06-07,2,20,19
2019-06-08,0,1,13
2019-06-09,0,3,6
2019-06-10,1,15,19
2019-06-11,0,15,18
2019-06-12,1,14,15
2019-06-13,1,18,16
2019-06-14,0,8,16
2019-06-15,0,3,7
2019-06-16,0,0,4
2019-06-17,2,6,5
2019-06-18,2,12,16
2019-06-19,0,12,23
2019-06-20,1,12,19
2019-06-21,5,31,11
2019-06-22,0,2,7
2019-06-23,0,3,4
2019-06-24,3,24,9
2019-06-25,8,7,13
2019-06-26,8,24,14
2019-06-27,6,18,17
2019-06-28,9,13,26
2019-06-29,0,3,0
2019-06-30,0,0,0
2019-07-01,1,16,8
2019-07-02,0,17,5
2019-07-03,5,5,13
2019-07-04,2,17,2
2019-07-05,0,4,1
2019-07-06,0,1,0
2019-07-07,0,1,0
2019-07-08,2,16,17
2019-07-09,5,7,16
2019-07-10,11,14,13
2019-07-11,1,18,15
2019-07-12,0,9,16
2019-07-13,0,8,5
2019-07-14,0,0,0
2019-07-15,1,14,7
2019-07-16,13,6,13
2019-07-17,11,29,27
2019-07-18,4,23,14
2019-07-19,5,16,23
2019-07-20,1,4,3
2019-07-21,0,0,6
2019-07-22,4,8,19
2019-07-23,0,9,16
2019-07-24,1,25,17
2019-07-25,4,14,11
2019-07-26,4,9,15
2019-07-27,0,1,9
2019-07-28,2,0,2
2019-07-29,1,13,11
2019-07-30,2,6,16
2019-07-31,3,14,15
2019-08-01,4,10,19
2019-08-02,9,25,19
2019-08-03,0,1,5
2019-08-04,0,0,3
2019-08-05,2,9,8
2019-08-06,0,5,25
2019-08-07,6,7,19
2019-08-08,2,19,18
2019-08-09,0,8,22
2019-08-10,0,0,5
2019-08-11,0,1,0
2019-08-12,2,16,13
2019-08-13,2,9,6
2019-08-14,5,20,23
2019-08-15,5,18,30
2019-08-16,1,4,28
2019-08-17,0,0,5
2019-08-18,2,0,3
2019-08-19,5,16,14
2019-08-20,4,3,32
2019-08-21,2,10,20
2019-08-22,4,10,19
2019-08-23,3,10,16
2019-08-24,0,1,3
2019-08-25,0,0,2
2019-08-26,1,2,14
2019-08-27,0,6,17
2019-08-28,4,6,31
2019-08-29,3,7,15
2019-08-30,2,8,15
2019-08-31,0,19,10
2019-09-01,0,0,0
2019-09-02,0,5,13
2019-09-03,0,13,25
2019-09-04,1,14,5
2019-09-05,0,12,21
2019-09-06,0,20,17
2019-09-07,0,7,5
2019-09-08,0,1,0
2019-09-09,0,9,2
2019-09-10,5,13,21
2019-09-11,1,12,21
2019-09-12,3,12,19
2019-09-13,3,7,16
2019-09-14,0,6,10
2019-09-15,0,0,0
2019-09-16,0,0,27
2019-09-17,2,11,12
2019-09-18,1,12,20
2019-09-19,3,14,20
2019-09-20,0,14,13
2019-09-21,0,4,0
2019-09-22,0,1,0
2019-09-23,0,23,4
2019-09-24,1,4,25
2019-09-25,1,15,21
2019-09-26,0,10,27
2019-09-27,1,5,23
2019-09-28,1,3,7
2019-09-29,0,0,4
2019-09-30,1,26,18
2019-10-01,2,12,14
2019-10-02,6,9,23
2019-10-03,1,15,9
2019-10-04,3,6,28
2019-10-05,0,2,5
2019-10-06,0,0,2
2019-10-07,2,10,13
2019-10-08,5,15,14
2019-10-09,3,21,23
2019-10-10,6,13,35
2019-10-11,0,33,19
2019-10-12,0,7,0
2019-10-13,0,0,1
2019-10-14,2,9,16
2019-10-15,6,18,26
2019-10-16,6,19,11
2019-10-17,2,6,15
2019-10-18,0,8,24
2019-10-19,0,8,0
2019-10-20,0,0,0
2019-10-21,2,19,13
2019-10-22,4,29,11
2019-10-23,3,13,12
2019-10-24,2,4,28
2019-10-25,1,19,12
2019-10-26,0,1,9
2019-10-27,0,0,0
2019-10-28,2,16,29
2019-10-29,4,6,24
2019-10-30,0,10,20
2019-10-31,1,19,19
2019-11-01,1,30,19
2019-11-02,0,6,2
2019-11-03,0,9,0
2019-11-04,0,25,5
2019-11-05,0,25,30
2019-11-06,4,27,23
2019-11-07,5,14,19
2019-11-08,1,12,18
2019-11-09,0,8,12
2019-11-10,0,1,2
2019-11-11,1,13,10
2019-11-12,2,13,9
2019-11-13,0,18,12
2019-11-14,4,9,20
2019-11-15,0,17,17
2019-11-16,0,13,7
2019-11-17,0,2,3
2019-11-18,1,10,13
2019-11-19,2,16,24
2019-11-20,4,9,21
2019-11-21,7,16,22
2019-11-22,1,17,23
2019-11-23,0,10,9
2019-11-24,0,0,1
2019-11-25,0,0,13
2019-11-26,4,0,20
2019-11-27,1,25,21
2019-11-28,1,1,7
2019-11-29,2,0,1
2019-11-30,0,2,1
2019-12-01,0,1,0
2019-12-02,1,12,8
2019-12-03,5,8,23
2019-12-04,3,11,27
2019-12-05,3,16,19
2019-12-06,2,12,15
2019-12-07,0,6,1
2019-12-08,0,2,0
2019-12-09,2,7,13
2019-12-10,1,11,20
2019-12-11,0,13,6
2019-12-12,1,18,12
2019-12-13,5,3,16
2019-12-14,0,8,0
2019-12-15,0,0,0
2019-12-16,2,7,12
2019-12-17,2,10,16
2019-12-18,0,19,21
2019-12-19,0,16,19
2019-12-20,2,11,7
2019-12-21,0,2,7
2019-12-22,0,0,0
2019-12-23,0,5,5
2019-12-24,0,7,2
2019-12-25,0,0,0
2019-12-26,0,0,8
2019-12-27,0,4,5
2019-12-28,0,1,3
2019-12-29,0,0,1
2019-12-30,0,1,3
2019-12-31,0,1,1
2020-01-01,0,0,0
2020-01-02,0,4,6
2020-01-03,1,5,14
2020-01-04,0,0,1
2020-01-05,0,1,0
2020-01-06,1,6,14
2020-01-07,0,11,13
2020-01-08,2,3,28
2020-01-09,1,1,11
2020-01-10,2,0,18
2020-01-11,0,0,6
2020-01-12,0,0,0
2020-01-13,0,4,11
2020-01-14,2,24,18
2020-01-15,1,9,12
2020-01-16,3,6,26
2020-01-17,0,2,22
2020-01-18,0,7,2
2020-01-19,0,2,0
2020-01-20,0,13,0
2020-01-21,1,6,9
2020-01-22,1,8,26
2020-01-23,1,14,5
2020-01-24,0,5,18
2020-01-25,0,2,15
2020-01-26,0,0,3
2020-01-27,2,12,12
2020-01-28,1,18,28
2020-01-29,0,17,24
2020-01-30,3,11,19
2020-01-31,3,11,23
2020-02-01,0,7,5
2020-02-02,0,0,0
2020-02-03,1,12,8
2020-02-04,0,10,21
2020-02-05,7,10,17
2020-02-06,2,10,27
2020-02-07,0,7,24
2020-02-08,0,3,5
2020-02-09,0,0,0
2020-02-10,1,13,18
2020-02-11,0,7,14
2020-02-12,0,9,22
2020-02-13,2,16,27
2020-02-14,0,9,13
2020-02-15,0,1,4
2020-02-16,0,0,0
2020-02-17,3,2,1
2020-02-18,0,15,13
2020-02-19,0,14,10
2020-02-20,0,12,18
2020-02-21,6,16,10
2020-02-22,0,3,0
2020-02-23,1,0,5
2020-02-24,1,7,11
2020-02-25,4,12,15
2020-02-26,2,10,21
2020-02-27,7,35,22
2020-02-28,0,11,27
2020-02-29,0,4,6
2020-03-01,0,2,0
2020-03-02,0,9,7
2020-03-03,0,9,15
2020-03-04,0,19,17
2020-03-05,1,10,22
2020-03-06,4,8,25
2020-03-07,2,3,3
2020-03-08,0,0,6
2020-03-09,6,20,10
2020-03-10,7,14,23
2020-03-11,1,9,15
2020-03-12,0,10,16
2020-03-13,2,0,23
2020-03-14,0,9,10
2020-03-15,0,0,7
2020-03-16,3,13,13
2020-03-17,1,8,12
2020-03-18,1,5,25
2020-03-19,2,3,22
2020-03-20,2,9,22
2020-03-21,0,1,0
2020-03-22,0,1,0
2020-03-23,1,8,7
2020-03-24,1,10,16
2020-03-25,0,10,31
2020-03-26,4,13,11
2020-03-27,0,2,16
2020-03-28,0,8,5
2020-03-29,1,0,3
2020-03-30,1,14,12
2020-03-31,0,11,19
2020-04-01,2,13,17
2020-04-02,3,11,17
2020-04-03,4,18,21
2020-04-04,0,8,5
2020-04-05,0,0,9
2020-04-06,1,5,16
2020-04-07,1,9,21
2020-04-08,0,8,20
2020-04-09,0,10,19
2020-04-10,2,4,27
2020-04-11,0,2,9
2020-04-12,0,0,4
2020-04-13,0,0,15
2020-04-14,2,8,9
2020-04-15,0,7,12
2020-04-16,0,14,26
2020-04-17,0,9,12
2020-04-18,0,7,7
2020-04-19,0,3,1
2020-04-20,1,13,21
2020-04-21,0,8,11
2020-04-22,0,12,30
2020-04-23,0,14,17
2020-04-24,0,5,8
2020-04-25,0,3,7
2020-04-26,0,1,1
2020-04-27,0,13,22
2020-04-28,0,9,17
2020-04-29,0,13,20
2020-04-30,0,7,3
2020-05-01,0,11,11
2020-05-02,0,4,8
2020-05-03,0,3,6
2020-05-04,0,9,12
2020-05-05,0,9,21
2020-05-06,0,13,13
2020-05-07,0,9,7
2020-05-08,1,16,33
2020-05-09,0,1,1
2020-05-10,0,7,5
2020-05-11,0,14,17
2020-05-12,0,11,7
2020-05-13,0,13,12
2020-05-14,0,16,35
2020-05-15,0,11,4
2020-05-16,0,6,10
2020-05-17,0,1,0
2020-05-18,0,12,31
2020-05-19,0,10,5
2020-05-20,0,19,14
2020-05-21,0,20,7
2020-05-22,0,9,2
2020-05-23,0,1,1
2020-05-24,0,1,0
2020-05-25,0,0,0
2020-05-26,0,7,2
2020-05-27,0,10,28
2020-05-28,0,9,18
2020-05-29,0,9,17
2020-05-30,0,3,1
2020-05-31,0,0,5
2020-06-01,0,1,12
2020-06-02,0,3,12
2020-06-03,2,6,30
2020-06-04,3,6,31
2020-06-05,1,4,15
2020-06-06,4,6,5
2020-06-07,0,3,6
2020-06-08,1,6,25
2020-06-09,0,9,20
2020-06-10,2,5,15
2020-06-11,0,12,14
2020-06-12,0,7,12
2020-06-13,1,1,1
2020-06-14,0,3,0
2020-06-15,0,1,14
2020-06-16,3,10,25
2020-06-17,2,8,10
2020-06-18,2,7,25
2020-06-19,1,7,16
2020-06-20,1,6,0
2020-06-21,0,2,0
2020-06-22,0,3,4
2020-06-23,0,7,40
2020-06-24,2,5,28
2020-06-25,0,3,13
2020-06-26,0,0,17
2020-06-27,0,2,1
2020-06-28,0,2,0
2020-06-29,0,12,17
2020-06-30,3,14,17
2020-07-01,0,8,5
2020-07-02,0,18,9
2020-07-03,0,2,0
2020-07-04,0,1,0
2020-07-05,0,0,4
2020-07-06,2,6,8
2020-07-07,3,9,13
2020-07-08,0,3,24
2020-07-09,0,6,32
2020-07-10,0,6,16
2020-07-11,2,7,5
2020-07-12,0,1,0
2020-07-13,0,2,18
2020-07-14,0,11,21
2020-07-15,0,7,29
2020-07-16,0,13,23
2020-07-17,0,4,17
2020-07-18,0,0,0
2020-07-19,0,1,0
2020-07-20,2,7,14
2020-07-21,2,2,14
2020-07-22,3,5,1
2020-07-23,0,3,32
2020-07-24,0,5,17
2020-07-25,0,6,4
2020-07-26,0,0,0
2020-07-27,0,14,2
2020-07-28,0,10,45
2020-07-29,0,6,26
2020-07-30,0,5,19
2020-07-31,0,18,11
2020-08-01,0,11,1
2020-08-02,0,5,0
2020-08-03,0,7,17
2020-08-04,0,14,26
2020-08-05,0,14,30
2020-08-06,0,28,29
2020-08-07,2,11,2
2020-08-08,0,6,15
2020-08-09,0,2,9
2020-08-10,0,12,10
2020-08-11,0,6,39
2020-08-12,2,7,18
2020-08-13,0,6,23
2020-08-14,0,6,19
2020-08-15,0,1,4
2020-08-16,0,4,1
2020-08-17,0,10,20
2020-08-18,0,5,13
2020-08-19,1,9,37
2020-08-20,0,5,22
2020-08-21,0,13,22
2020-08-22,0,9,2
2020-08-23,0,2,0
2020-08-24,0,24,18
2020-08-25,0,20,20
2020-08-26,4,6,12
2020-08-27,3,16,16
2020-08-28,2,14,21
2020-08-29,1,1,7
2020-08-30,1,0,3
2020-08-31,0,4,22
2020-09-01,1,2,10
2020-09-02,0,10,18
2020-09-03,3,7,25
2020-09-04,0,3,2
2020-09-05,0,1,3
2020-09-06,2,0,0
2020-09-07,1,1,1
2020-09-08,0,6,17
2020-09-09,4,8,15
2020-09-10,6,4,14
2020-09-11,0,21,13
2020-09-12,3,2,8
2020-09-13,0,4,6
2020-09-14,0,6,1
2020-09-15,1,2,34
2020-09-16,1,4,20
2020-09-17,0,22,33
2020-09-18,0,11,14
2020-09-19,0,4,6
2020-09-20,1,5,0
2020-09-21,0,8,12
2020-09-22,0,9,20
2020-09-23,6,5,33
2020-09-24,1,10,18
2020-09-25,5,3,24
2020-09-26,2,8,4
2020-09-27,1,3,4
2020-09-28,0,6,17
2020-09-29,3,40,21
2020-09-30,3,11,23
2020-10-01,1,14,17
2020-10-02,0,16,16
2020-10-03,2,2,8
2020-10-04,0,1,4
2020-10-05,0,7,24
2020-10-06,3,6,26
2020-10-07,0,7,33
2020-10-08,0,4,34
2020-10-09,0,5,31
2020-10-10,3,5,5
2020-10-11,0,0,0
2020-10-12,0,5,36
2020-10-13,0,11,24
2020-10-14,0,5,25
2020-10-15,0,11,28
2020-10-16,0,13,22
2020-10-17,3,4,2
2020-10-18,1,0,3
2020-10-19,1,9,26
2020-10-20,0,16,13
2020-10-21,1,5,15
2020-10-22,0,4,31
2020-10-23,0,13,21
2020-10-24,0,12,5
2020-10-25,0,0,3
2020-10-26,2,7,20
2020-10-27,1,19,28
2020-10-28,2,5,18
2020-10-29,0,8,37
2020-10-30,0,8,17
2020-10-31,0,7,4
2020-11-01,0,0,4
2020-11-02,0,1,18
2020-11-03,0,3,23
2020-11-04,0,9,17
2020-11-05,0,3,29
2020-11-06,0,17,26
2020-11-07,1,2,13
2020-11-08,0,4,0
2020-11-09,0,6,24
2020-11-10,1,3,17
2020-11-11,3,3,18
2020-11-12,4,8,20
2020-11-13,6,4,17
2020-11-14,6,9,8
2020-11-15,0,0,1
2020-11-16,1,4,15
2020-11-17,6,4,12
2020-11-18,3,8,22
2020-11-19,5,23,13
2020-11-20,4,8,23
2020-11-21,1,5,6
2020-11-22,13,1,1
2020-11-23,6,0,12
2020-11-24,1,1,6
2020-11-25,4,0,11
2020-11-26,0,1,1
2020-11-27,0,1,0
2020-11-28,2,0,0
2020-11-29,1,1,0
2020-11-30,1,3,1
2020-12-01,3,5,26
2020-12-02,0,6,14
2020-12-03,1,4,20
2020-12-04,0,17,19
2020-12-05,0,3,11
2020-12-06,0,2,1
2020-12-07,2,5,13
2020-12-08,1,7,16
2020-12-09,0,6,19
2020-12-10,0,10,8
2020-12-11,0,13,19
2020-12-12,0,3,1
2020-12-13,0,11,1
2020-12-14,0,6,8
