,alacritty/alacritty,gnome-terminator/terminator,eugeny/tabby
2016-12-23,0,1.0,1
2016-12-24,1,0.8,0
2016-12-25,1,-0.28,2
2016-12-26,1,-0.1280000000000001,1
2016-12-27,2,0.9184,1
2016-12-28,2,0.740864,1
2016-12-29,6,-0.32596480000000005,0
2016-12-30,5,0.8346444799999999,1
2016-12-31,1,-0.31291443199999996,0
2017-01-01,2,-0.1659930624,0
2017-01-02,5,-0.10643415040000004,0
2017-01-03,7,-0.07095552000000002,0
2017-01-04,3,-0.056850431999999965,0
2017-01-05,8,0.9527141376000001,0
2017-01-06,23,-0.22939607039999993,0
2017-01-07,33,-0.09438771200000001,0
2017-01-08,7,-0.060469350399999997,0
2017-01-09,8,-0.03360000000000001,0
2017-01-10,4,-0.025536000000000014,0
2017-01-11,2,-0.02042880000000001,0
2017-01-12,3,2.98307328,0
2017-01-13,2,0.38561228800000025,2
2017-01-14,0,-0.45246935040000014,0
2017-01-15,0,-0.22400000000000017,0
2017-01-16,1,1.8512,0
2017-01-17,0,0.489792,0
2017-01-18,0,0.5531775999999998,5
2017-01-19,5,-0.44720896000000016,0
2017-01-20,0,-0.255289856,0
2017-01-21,3,-0.1844677631999999,0
2017-01-22,0,-0.11246295040000001,0
2017-01-23,8,0.92018176,0
2017-01-24,2,0.7338690560000001,0
2017-01-25,1,0.6637468672000001,0
2017-01-26,3,-0.3548570624,0
2017-01-27,0,-0.17406935040000007,0
2017-01-28,1,-0.10713600000000006,0
2017-01-29,1,-0.07956480000000005,0
2017-01-30,5,0.93710848,0
2017-01-31,0,-0.25174323199999993,0
2017-02-01,0,10.8762162176,0
2017-02-02,2,-0.2748570623999993,0
2017-02-03,3,-1.3260693504000005,0
2017-02-04,1,0.2864639999999995,0
2017-02-05,0,-0.6860288000000002,0
2017-02-06,3,6.55497728,0
2017-02-07,4,-0.7381765119999999,0
2017-02-08,2,-1.0331208704000006,0
2017-02-09,0,0.3663457280000003,0
2017-02-10,2,0.3304329216000004,0
2017-02-11,4,0.4657825791999999,0
2017-02-12,1,0.48907468799999987,0
2017-02-13,1,6.4870148096,0
2017-02-14,1,-1.7047767039999995,0
2017-02-15,1,-0.7892379648000003,0
2017-02-16,0,0.5550391295999997,0
2017-02-17,2,0.487520768,0
2017-02-18,1,1.4770354176,0
2017-02-19,0,0.2852146176,0
2017-02-20,0,-0.5869441024000002,0
2017-02-21,0,1.6516806656000003,0
2017-02-22,4,0.3515497472000002,0
2017-02-23,2,-0.48202752000000015,0
