,apache/groovy,scala/scala,jetbrains/kotlin
2024-08-14,0,17,50
2024-08-15,0,11,12
2024-08-16,0,5,17
2024-08-17,0,0,0
2024-08-18,0,0,0
2024-08-19,0,0,25
2024-08-20,0,0,34
2024-08-21,0,1,93
2024-08-22,0,0,38
2024-08-23,0,0,27
2024-08-24,6,0,3
2024-08-25,0,0,0
2024-08-26,0,0,28
2024-08-27,0,0,51
2024-08-28,0,0,33
2024-08-29,1,1,55
2024-08-30,1,0,22
2024-08-31,1,1,4
2024-09-01,0,0,0
2024-09-02,1,3,55
2024-09-03,9,0,104
2024-09-04,3,2,33
2024-09-05,4,0,58
2024-09-06,2,0,76
2024-09-07,1,0,1
2024-09-08,3,0,0
2024-09-09,3,0,39
2024-09-10,2,1,27
2024-09-11,4,1,22
2024-09-12,2,3,31
2024-09-13,3,0,20
2024-09-14,1,0,14
2024-09-15,0,0,5
2024-09-16,0,3,23
2024-09-17,1,1,43
2024-09-18,4,1,33
2024-09-19,2,0,49
2024-09-20,1,0,35
2024-09-21,0,0,102
2024-09-22,0,0,1
2024-09-23,4,1,60
2024-09-24,3,1,40
2024-09-25,1,2,38
2024-09-26,2,1,56
2024-09-27,1,0,59
2024-09-28,1,4,7
2024-09-29,1,2,7
2024-09-30,1,1,27
2024-10-01,1,0,25
2024-10-02,0,0,32
2024-10-03,0,0,18
2024-10-04,0,0,17
2024-10-05,2,0,5
2024-10-06,2,0,0
2024-10-07,1,0,67
2024-10-08,1,0,36
2024-10-09,2,2,73
2024-10-10,1,11,38
2024-10-11,1,1,30
2024-10-12,3,2,0
2024-10-13,1,0,1
2024-10-14,2,2,40
2024-10-15,1,14,40
2024-10-16,1,1,54
2024-10-17,0,0,49
2024-10-18,7,2,22
2024-10-19,0,0,1
2024-10-20,11,1,0
2024-10-21,0,5,14
2024-10-22,0,3,26
2024-10-23,2,7,19
2024-10-24,0,0,14
2024-10-25,0,5,21
2024-10-26,8,1,1
2024-10-27,4,1,0
2024-10-28,1,5,25
2024-10-29,0,2,24
2024-10-30,0,3,53
2024-10-31,0,0,20
2024-11-01,3,2,3
2024-11-02,0,0,1
2024-11-03,5,1,0
2024-11-04,2,4,26
2024-11-05,0,6,26
2024-11-06,0,11,53
2024-11-07,0,2,45
2024-11-08,0,0,38
2024-11-09,4,1,5
2024-11-10,0,1,0
2024-11-11,0,3,47
2024-11-12,1,4,39
2024-11-13,1,8,53
2024-11-14,0,2,53
2024-11-15,0,2,18
2024-11-16,0,0,7
2024-11-17,0,0,0
2024-11-18,1,1,44
2024-11-19,0,0,53
2024-11-20,0,0,24
2024-11-21,0,2,30
2024-11-22,2,5,29
2024-11-23,2,2,0
2024-11-24,3,1,1
2024-11-25,2,5,41
2024-11-26,3,0,39
2024-11-27,0,3,75
2024-11-28,0,2,45
2024-11-29,0,0,33
2024-11-30,0,0,0
2024-12-01,0,0,4
2024-12-02,5,0,53
2024-12-03,3,1,55
2024-12-04,19,0,28
2024-12-05,0,0,54
2024-12-06,0,0,35
2024-12-07,0,0,0
2024-12-08,4,0,0
2024-12-09,1,4,59
2024-12-10,3,0,28
2024-12-11,2,4,30
2024-12-12,0,9,61
2024-12-13,2,4,24
2024-12-14,0,0,10
2024-12-15,0,0,3
2024-12-16,0,3,35
2024-12-17,0,1,15
2024-12-18,0,1,16
2024-12-19,0,8,63
2024-12-20,1,2,30
2024-12-21,0,0,0
2024-12-22,8,3,0
2024-12-23,0,0,7
2024-12-24,0,0,17
2024-12-25,0,2,1
2024-12-26,0,0,0
2024-12-27,5,0,0
2024-12-28,3,2,0
2024-12-29,1,0,0
2024-12-30,0,0,0
2024-12-31,2,0,2
2025-01-01,1,0,0
2025-01-02,4,1,17
2025-01-03,3,1,236
2025-01-04,7,0,0
2025-01-05,7,0,0
2025-01-06,7,9,18
2025-01-07,0,5,69
2025-01-08,0,0,52
2025-01-09,1,0,32
2025-01-10,3,1,50
2025-01-11,10,1,10
2025-01-12,1,0,1
2025-01-13,0,0,59
2025-01-14,3,3,52
2025-01-15,0,1,34
2025-01-16,2,3,36
2025-01-17,1,0,64
2025-01-18,9,0,1
2025-01-19,3,2,0
2025-01-20,3,1,31
2025-01-21,1,2,25
2025-01-22,0,0,37
2025-01-23,0,3,58
2025-01-24,3,0,21
2025-01-25,0,0,0
2025-01-26,0,0,2
2025-01-27,1,0,58
2025-01-28,0,1,63
2025-01-29,0,0,39
2025-01-30,1,11,15
2025-01-31,0,15,61
2025-02-01,0,0,0
2025-02-02,0,0,0
2025-02-03,1,4,47
2025-02-04,0,1,45
2025-02-05,0,0,50
2025-02-06,0,8,59
2025-02-07,0,6,78
2025-02-08,2,0,0
2025-02-09,2,1,0
2025-02-10,1,3,46
2025-02-11,0,1,24
2025-02-12,0,3,75
2025-02-13,0,4,47
2025-02-14,1,1,40
2025-02-15,0,1,9
2025-02-16,4,0,0
2025-02-17,0,4,50
2025-02-18,2,0,53
2025-02-19,0,1,94
2025-02-20,1,1,49
2025-02-21,0,0,44
2025-02-22,1,0,0
2025-02-23,2,0,0
2025-02-24,3,1,27
2025-02-25,0,2,99
2025-02-26,0,2,50
2025-02-27,0,2,44
2025-02-28,1,1,27
2025-03-01,1,1,0
2025-03-02,0,0,0
2025-03-03,0,2,37
2025-03-04,0,1,55
2025-03-05,0,1,15
2025-03-06,0,1,41
2025-03-07,0,0,41
2025-03-08,0,2,0
2025-03-09,1,3,0
2025-03-10,1,3,61
2025-03-11,0,2,66
2025-03-12,0,3,52
2025-03-13,2,1,51
2025-03-14,0,1,40
2025-03-15,2,0,12
2025-03-16,3,0,0
2025-03-17,0,2,79
2025-03-18,0,6,80
2025-03-19,0,0,44
2025-03-20,3,2,49
2025-03-21,1,0,56
2025-03-22,18,0,1
2025-03-23,4,0,0
2025-03-24,0,2,34
2025-03-25,0,2,48
2025-03-26,0,0,43
2025-03-27,0,0,86
2025-03-28,0,1,40
2025-03-29,18,1,1
2025-03-30,7,1,0
2025-03-31,0,1,30
2025-04-01,0,1,55
2025-04-02,1,2,74
2025-04-03,8,4,61
2025-04-04,3,2,47
2025-04-05,0,0,2
2025-04-06,3,0,0
2025-04-07,5,1,35
2025-04-08,2,3,68
2025-04-09,3,0,70
2025-04-10,2,0,38
2025-04-11,2,0,42
2025-04-12,10,0,11
2025-04-13,4,0,4
2025-04-14,7,7,84
2025-04-15,4,14,32
2025-04-16,6,19,53
2025-04-17,2,1,40
2025-04-18,0,0,7
2025-04-19,6,0,0
2025-04-20,0,0,0
2025-04-21,3,0,1
2025-04-22,0,4,111
2025-04-23,0,0,67
2025-04-24,2,0,56
2025-04-25,0,0,32
2025-04-26,2,1,0
2025-04-27,0,0,0
2025-04-28,2,1,45
2025-04-29,0,2,60
2025-04-30,8,0,39
2025-05-01,8,0,13
2025-05-02,1,0,7
2025-05-03,1,0,0
2025-05-04,1,0,0
2025-05-05,3,0,55
2025-05-06,8,6,70
2025-05-07,4,1,78
2025-05-08,1,0,43
2025-05-09,1,0,46
2025-05-10,1,0,0
2025-05-11,0,0,1
2025-05-12,2,0,44
2025-05-13,1,1,78
2025-05-14,3,3,35
2025-05-15,3,4,63
2025-05-16,1,0,25
2025-05-17,1,0,0
2025-05-18,4,0,0
2025-05-19,5,5,67
2025-05-20,0,3,43
2025-05-21,3,1,34
2025-05-22,1,1,14
2025-05-23,2,2,11
2025-05-24,2,1,1
2025-05-25,1,0,0
2025-05-26,4,1,18
2025-05-27,2,0,47
2025-05-28,1,1,7
2025-05-29,1,0,11
2025-05-30,1,0,18
2025-05-31,13,0,0
2025-06-01,2,0,0
2025-06-02,0,2,30
2025-06-03,1,1,46
2025-06-04,5,0,39
2025-06-05,0,3,33
2025-06-06,0,0,23
2025-06-07,2,0,1
2025-06-08,5,0,0
2025-06-09,0,0,2
2025-06-10,1,3,35
2025-06-11,1,0,31
2025-06-12,0,1,68
2025-06-13,0,0,20
2025-06-14,6,0,0
2025-06-15,0,1,0
2025-06-16,0,4,43
2025-06-17,1,2,27
2025-06-18,1,0,25
2025-06-19,1,1,38
2025-06-20,0,0,27
2025-06-21,5,1,0
2025-06-22,1,0,0
2025-06-23,1,0,23
2025-06-24,0,1,35
2025-06-25,0,2,14
2025-06-26,0,0,55
2025-06-27,0,1,33
2025-06-28,3,0,7
2025-06-29,0,0,10
2025-06-30,0,3,93
2025-07-01,0,1,30
2025-07-02,0,0,33
2025-07-03,1,0,38
2025-07-04,9,1,23
2025-07-05,0,1,0
2025-07-06,0,0,0
2025-07-07,0,0,84
2025-07-08,1,0,71
2025-07-09,0,2,63
2025-07-10,2,0,48
2025-07-11,1,0,55
2025-07-12,0,0,2
2025-07-13,0,0,2
2025-07-14,0,6,43
2025-07-15,4,6,72
2025-07-16,9,3,64
2025-07-17,2,1,113
2025-07-18,5,0,46
2025-07-19,5,0,2
2025-07-20,5,0,0
2025-07-21,3,1,36
