,bitcoinj/bitcoinj,bitcoin/bitcoin,libbitcoin/libbitcoin-system
2023-05-19,0,10,0.0
2023-05-20,0,14,0.0
2023-05-21,0,1,0.0
2023-05-22,0,13,0.0
2023-05-23,4,6,0.0
2023-05-24,3,7,0.0
2023-05-25,0,13,0.0
2023-05-26,0,15,0.0
2023-05-27,0,3,0.0
2023-05-28,0,1,0.0
2023-05-29,0,17,0.0
2023-05-30,0,18,0.0
2023-05-31,0,11,0.0
2023-06-01,3,7,0.0
2023-06-02,0,10,0.0
2023-06-03,0,1,0.0
2023-06-04,1,4,0.0
2023-06-05,0,7,0.0
2023-06-06,0,1,0.0
2023-06-07,0,4,0.0
2023-06-08,0,12,0.0
2023-06-09,5,4,0.0
2023-06-10,0,2,0.0
2023-06-11,0,0,0.0
2023-06-12,0,17,0.0
2023-06-13,6,10,0.0
2023-06-14,0,20,0.0
2023-06-15,0,14,0.0
2023-06-16,0,5,0.0
2023-06-17,0,2,0.0
2023-06-18,0,1,0.0
2023-06-19,0,10,0.0
2023-06-20,0,13,0.0
2023-06-21,0,19,0.0
2023-06-22,0,10,0.0
2023-06-23,0,34,0.0
2023-06-24,0,0,0.0
2023-06-25,0,0,0.0
2023-06-26,0,7,0.0
2023-06-27,0,21,0.0
2023-06-28,0,24,0.0
2023-06-29,0,22,0.0
2023-06-30,0,16,0.0
2023-07-01,0,3,0.0
2023-07-02,0,0,0.0
2023-07-03,0,7,0.0
2023-07-04,0,5,0.0
2023-07-05,1,0,0.0
2023-07-06,0,13,0.0
2023-07-07,1,18,0.0
2023-07-08,0,1,0.0
2023-07-09,0,1,0.0
2023-07-10,1,12,0.0
2023-07-11,0,8,0.0
2023-07-12,0,10,0.0
2023-07-13,0,9,0.0
2023-07-14,1,10,0.0
2023-07-15,0,0,0.0
2023-07-16,7,3,0.0
2023-07-17,0,12,0.0
2023-07-18,2,10,0.0
2023-07-19,0,21,0.0
2023-07-20,1,16,0.0
2023-07-21,0,11,0.0
2023-07-22,0,6,0.0
2023-07-23,0,1,0.0
2023-07-24,0,19,0.0
2023-07-25,0,26,0.0
2023-07-26,0,17,0.0
2023-07-27,4,10,0.0
2023-07-28,2,3,0.0
2023-07-29,0,0,0.0
2023-07-30,0,3,0.0
2023-07-31,1,7,0.0
2023-08-01,4,14,0.0
2023-08-02,0,7,0.0
2023-08-03,0,25,0.0
2023-08-04,0,6,0.0
2023-08-05,0,15,0.0
2023-08-06,0,1,0.0
2023-08-07,0,14,0.0
2023-08-08,25,7,0.0
2023-08-09,11,8,0.0
2023-08-10,10,7,0.0
2023-08-11,1,3,0.0
2023-08-12,0,0,0.0
2023-08-13,0,1,0.0
2023-08-14,0,15,0.0
2023-08-15,0,9,0.0
2023-08-16,0,6,0.0
2023-08-17,0,26,4.0
2023-08-18,0,14,-1.5999999999999996
2023-08-19,0,0,-0.48
2023-08-20,0,0,0.744
2023-08-21,0,5,-0.5664000000000001
2023-08-22,0,17,-0.23980800000000008
2023-08-23,15,30,-0.1558528
2023-08-24,0,30,-0.11508224000000003
2023-08-25,10,11,-0.09057484799999999
2023-08-26,0,2,-0.0741558272
2023-08-27,0,8,-0.018370559999999994
2023-08-28,0,8,-0.015155711999999993
2023-08-29,0,9,-0.012798156799999997
2023-08-30,0,10,0.0
2023-08-31,0,7,0.0
2023-09-01,9,8,0.0
2023-09-02,5,1,0.0
2023-09-03,0,1,0.0
2023-09-04,0,5,0.0
2023-09-05,3,14,0.0
2023-09-06,1,9,0.0
2023-09-07,6,19,0.0
2023-09-08,0,7,0.0
2023-09-09,0,2,0.0
2023-09-10,0,5,0.0
2023-09-11,0,3,0.0
2023-09-12,23,23,0.0
2023-09-13,0,28,0.0
