,sickchill/sickchill,Sonarr/Sonarr,midgetspy/sick-beard
2014-10-11,0,1.0,1
2014-10-12,4,5.0,0
2014-10-13,16,6.0,0
2014-10-14,8,5.0,1
2014-10-15,2,0.0,1
2014-10-16,7,4.0,2
2014-10-17,2,4.0,0
2014-10-18,3,5.0,0
2014-10-19,0,0.0,0
2014-10-20,0,3.0,0
2014-10-21,3,3.0,0
2014-10-22,6,0.0,1
2014-10-23,2,1.0,1
2014-10-24,2,4.0,0
2014-10-25,0,2.0,0
2014-10-26,0,3.0,0
2014-10-27,8,2.0,1
2014-10-28,5,3.0,1
2014-10-29,11,4.0,0
2014-10-30,12,0.0,0
2014-10-31,3,3.0,1
2014-11-01,3,1.0,0
2014-11-02,5,3.0,0
2014-11-03,9,2.0,0
2014-11-04,1,3.0,0
2014-11-05,7,9.0,0
2014-11-06,4,4.0,0
2014-11-07,8,3.0,0
2014-11-08,4,1.0,0
2014-11-09,10,0.0,0
2014-11-10,10,0.0,3
2014-11-11,8,1.0,3
2014-11-12,4,0.0,0
2014-11-13,9,2.0,0
2014-11-14,0,12.0,0
2014-11-15,4,1.0,0
2014-11-16,16,6.0,4
2014-11-17,10,4.0,3
2014-11-18,1,0.0,4
2014-11-19,4,20.0,0
2014-11-20,5,7.0,0
2014-11-21,2,7.0,0
2014-11-22,11,7.0,0
2014-11-23,16,4.0,0
2014-11-24,7,4.0,0
2014-11-25,11,5.0,3
2014-11-26,11,4.0,0
2014-11-27,11,2.0,0
2014-11-28,7,1.0,0
2014-11-29,11,8.0,0
2014-11-30,6,6.0,0
2014-12-01,3,0.0,0
2014-12-02,10,10.0,1
2014-12-03,4,4.0,0
2014-12-04,0,8.0,1
2014-12-05,1,13.0,0
2014-12-06,6,4.0,2
2014-12-07,9,5.0,0
2014-12-08,24,1.0,0
2014-12-09,1,3.0,0
2014-12-10,8,13.0,0
2014-12-11,11,1.0,0
2014-12-12,9,5.0,0
2014-12-13,26,5.0,0
2014-12-14,11,8.0,0
2014-12-15,11,10.0,0
2014-12-16,7,6.0,0
2014-12-17,13,8.0,0
2014-12-18,16,0.0,0
2014-12-19,23,2.0,0
2014-12-20,20,6.0,0
2014-12-21,19,8.0,0
2014-12-22,11,4.0,0
2014-12-23,1,6.0,1
2014-12-24,5,6.0,0
2014-12-25,0,2.0,0
2014-12-26,1,4.0,0
2014-12-27,1,3.0,0
2014-12-28,0,0.0,0
2014-12-29,0,0.0,2
2014-12-30,5,5.0,1
2014-12-31,1,6.0,0
2015-01-01,0,6.0,1
2015-01-02,0,3.0,0
2015-01-03,2,0.0,0
2015-01-04,0,4.0,0
2015-01-05,0,2.0,0
2015-01-06,3,2.0,0
2015-01-07,0,0.0,0
2015-01-08,3,0.0,0
2015-01-09,1,9.0,0
2015-01-10,1,9.0,1
2015-01-11,0,6.0,0
2015-01-12,1,0.0,0
2015-01-13,2,0.0,1
2015-01-14,23,1.0,0
2015-01-15,5,4.0,0
2015-01-16,0,9.0,2
2015-01-17,2,0.0,1
2015-01-18,14,9.0,0
2015-01-19,10,1.0,0
2015-01-20,9,7.0,0
2015-01-21,4,10.0,0
2015-01-22,5,6.0,0
2015-01-23,4,5.0,0
2015-01-24,4,4.0,0
2015-01-25,4,2.0,0
2015-01-26,11,0.0,0
2015-01-27,4,2.0,0
2015-01-28,3,2.0,0
2015-01-29,33,4.0,0
2015-01-30,3,4.0,0
2015-01-31,9,2.0,1
2015-02-01,4,4.0,6
2015-02-02,4,6.0,6
2015-02-03,2,10.0,2
2015-02-04,2,10.0,0
2015-02-05,4,3.0,0
2015-02-06,3,4.0,3
2015-02-07,0,28.0,0
2015-02-08,0,5.0,0
2015-02-09,6,5.0,0
2015-02-10,3,8.0,0
2015-02-11,2,5.0,0
2015-02-12,6,1.0,0
2015-02-13,6,1.0,0
2015-02-14,4,21.0,0
2015-02-15,43,0.0,0
2015-02-16,33,0.0,0
2015-02-17,12,2.0,0
2015-02-18,19,4.0,0
2015-02-19,25,2.0,2
2015-02-20,17,0.0,0
2015-02-21,14,7.0,0
2015-02-22,16,5.0,0
2015-02-23,17,4.0,0
2015-02-24,19,3.0,1
2015-02-25,7,1.0,0
2015-02-26,14,2.0,1
2015-02-27,13,2.0,0
2015-02-28,3,1.0,0
2015-03-01,19,6.0,0
2015-03-02,10,0.0,0
2015-03-03,31,1.0,0
2015-03-04,48,5.0,0
2015-03-05,26,4.0,0
2015-03-06,12,0.0,1
2015-03-07,5,1.0,0
2015-03-08,8,4.0,2
2015-03-09,14,6.0,0
