,rescript-lang/rescript-compiler,microsoft/typescript,google/closure-compiler
2022-07-08,1,1,4
2022-07-09,12,1,2
2022-07-10,6,0,0
2022-07-11,6,1,1
2022-07-12,3,2,3
2022-07-13,1,2,4
2022-07-14,15,5,6
2022-07-15,14,2,4
2022-07-16,2,2,0
2022-07-17,3,0,0
2022-07-18,74,4,2
2022-07-19,1,8,2
2022-07-20,4,4,4
2022-07-21,16,1,4
2022-07-22,2,3,2
2022-07-23,9,1,0
2022-07-24,4,2,0
2022-07-25,0,6,10
2022-07-26,0,4,2
2022-07-27,0,9,6
2022-07-28,0,3,8
2022-07-29,0,7,4
2022-07-30,0,2,0
2022-07-31,0,2,0
2022-08-01,0,5,1
2022-08-02,0,2,9
2022-08-03,0,8,2
2022-08-04,0,3,9
2022-08-05,0,3,6
2022-08-06,0,1,0
2022-08-07,0,2,1
2022-08-08,0,2,0
2022-08-09,0,12,2
2022-08-10,0,10,11
2022-08-11,0,4,3
2022-08-12,0,2,5
2022-08-13,0,1,1
2022-08-14,0,2,2
2022-08-15,0,7,5
2022-08-16,1,7,5
2022-08-17,0,3,7
2022-08-18,0,6,6
2022-08-19,0,6,4
2022-08-20,0,1,1
2022-08-21,0,2,0
2022-08-22,1,4,3
2022-08-23,2,5,3
2022-08-24,2,4,2
2022-08-25,0,6,3
2022-08-26,0,10,1
2022-08-27,0,3,0
2022-08-28,0,1,0
2022-08-29,0,3,2
2022-08-30,2,3,7
2022-08-31,16,5,1
2022-09-01,6,7,5
2022-09-02,0,5,3
2022-09-03,0,1,0
2022-09-04,0,0,0
2022-09-05,2,0,0
2022-09-06,1,5,3
2022-09-07,10,3,6
2022-09-08,0,4,2
2022-09-09,6,3,3
2022-09-10,4,1,0
2022-09-11,6,0,1
2022-09-12,0,8,1
2022-09-13,5,4,3
2022-09-14,1,3,2
2022-09-15,8,6,11
2022-09-16,2,8,5
2022-09-17,3,2,1
2022-09-18,2,1,0
2022-09-19,15,6,13
