,sinatra/sinatra,rails/rails,django/django
2019-12-23,0,10,6.0
2019-12-24,0,5,0.0
2019-12-25,0,10,0.0
2019-12-26,0,4,0.0
2019-12-27,0,22,5.0
2019-12-28,0,7,0.0
2019-12-29,0,5,0.0
2019-12-30,2,1,6.0
2019-12-31,0,9,6.0
2020-01-01,7,1,0.0
2020-01-02,0,14,4.0
2020-01-03,0,10,5.0
2020-01-04,0,11,1.0
2020-01-05,0,6,0.0
2020-01-06,0,11,3.0
2020-01-07,0,19,4.0
2020-01-08,0,14,5.0
2020-01-09,0,12,10.0
2020-01-10,0,14,4.0
2020-01-11,0,6,2.0
2020-01-12,0,3,0.0
2020-01-13,0,8,2.0
2020-01-14,0,10,2.0
2020-01-15,0,13,7.0
2020-01-16,0,6,6.0
2020-01-17,0,8,6.0
2020-01-18,0,0,1.0
2020-01-19,0,10,0.0
2020-01-20,0,8,6.0
2020-01-21,0,12,5.0
2020-01-22,0,3,5.0
2020-01-23,0,16,3.0
2020-01-24,0,9,4.0
2020-01-25,0,2,0.0
2020-01-26,0,6,0.0
2020-01-27,0,17,6.0
2020-01-28,0,5,3.0
2020-01-29,0,11,13.0
2020-01-30,0,7,2.0
2020-01-31,0,0,7.0
2020-02-01,0,3,0.0
2020-02-02,0,4,0.0
2020-02-03,0,2,7.0
2020-02-04,0,5,7.0
2020-02-05,0,12,5.0
2020-02-06,0,8,5.0
2020-02-07,0,13,5.0
2020-02-08,0,4,1.0
2020-02-09,0,14,0.0
2020-02-10,0,23,5.0
2020-02-11,0,8,4.0
2020-02-12,0,11,3.0
2020-02-13,0,14,5.0
2020-02-14,1,6,4.0
2020-02-15,0,1,0.0
2020-02-16,0,12,0.0
2020-02-17,0,2,1.0
2020-02-18,1,3,6.0
2020-02-19,0,2,7.0
2020-02-20,0,13,3.0
2020-02-21,0,6,0.0
2020-02-22,0,4,0.0
2020-02-23,0,0,0.0
2020-02-24,0,22,5.0
2020-02-25,0,26,1.0
2020-02-26,0,12,8.0
2020-02-27,0,31,5.0
2020-02-28,0,12,7.0
2020-02-29,0,3,1.0
2020-03-01,0,0,0.0
2020-03-02,0,3,2.0
2020-03-03,0,8,5.0
2020-03-04,0,21,7.0
2020-03-05,0,14,6.0
2020-03-06,0,7,6.0
2020-03-07,0,4,2.0
2020-03-08,0,0,0.0
2020-03-09,0,6,7.0
2020-03-10,4,9,10.0
2020-03-11,1,5,3.0
2020-03-12,0,14,4.0
2020-03-13,11,8,4.0
2020-03-14,0,4,2.0
2020-03-15,1,0,0.0
2020-03-16,1,11,5.0
2020-03-17,0,5,9.0
2020-03-18,5,8,7.0
2020-03-19,4,10,6.0
2020-03-20,2,7,2.0
2020-03-21,0,9,2.0
2020-03-22,0,3,0.0
2020-03-23,0,6,5.0
2020-03-24,0,8,8.0
2020-03-25,1,3,11.0
2020-03-26,0,4,4.0
2020-03-27,0,5,2.0
2020-03-28,0,5,0.0
2020-03-29,0,9,0.0
2020-03-30,0,6,1.0
2020-03-31,0,12,7.0
2020-04-01,0,3,7.0
2020-04-02,0,3,5.0
2020-04-03,0,3,0.0
2020-04-04,0,5,2.0
2020-04-05,0,6,0.0
2020-04-06,0,5,4.0
2020-04-07,0,8,15.0
2020-04-08,0,13,5.0
2020-04-09,0,3,9.0
2020-04-10,0,9,6.0
2020-04-11,0,8,0.0
2020-04-12,0,4,0.0
2020-04-13,0,14,0.0
2020-04-14,0,14,10.0
2020-04-15,0,6,9.0
2020-04-16,0,6,5.0
2020-04-17,0,4,6.0
2020-04-18,0,5,1.0
2020-04-19,0,4,0.0
2020-04-20,0,8,12.0
2020-04-21,0,5,7.0
2020-04-22,0,6,11.0
2020-04-23,0,8,4.0
2020-04-24,0,10,5.0
2020-04-25,0,10,2.0
2020-04-26,0,4,0.0
2020-04-27,0,9,5.0
2020-04-28,0,8,9.0
2020-04-29,0,8,7.0
2020-04-30,0,5,5.0
2020-05-01,0,22,7.0
2020-05-02,0,11,2.0
2020-05-03,0,8,0.0
2020-05-04,0,16,9.0
2020-05-05,0,35,7.0
2020-05-06,0,24,6.0
2020-05-07,0,19,3.0
2020-05-08,0,13,11.0
2020-05-09,0,15,0.0
2020-05-10,0,11,0.0
2020-05-11,0,11,9.0
2020-05-12,0,23,7.0
2020-05-13,0,17,17.0
2020-05-14,0,17,12.0
2020-05-15,0,13,6.0
2020-05-16,0,12,0.0
2020-05-17,0,21,0.0
2020-05-18,0,20,7.0
2020-05-19,0,21,6.0
2020-05-20,0,21,5.0
2020-05-21,0,9,7.0
2020-05-22,0,4,0.0
2020-05-23,0,15,2.0
2020-05-24,0,16,0.0
2020-05-25,0,9,6.0
2020-05-26,0,16,4.0
2020-05-27,0,12,11.0
2020-05-28,0,16,6.0
2020-05-29,0,12,6.0
2020-05-30,0,1,0.0
2020-05-31,0,12,0.0
2020-06-01,0,21,9.0
2020-06-02,0,13,4.0
2020-06-03,0,14,14.0
2020-06-04,0,19,11.0
2020-06-05,0,11,4.0
2020-06-06,0,2,0.0
2020-06-07,0,7,0.0
2020-06-08,0,4,5.0
2020-06-09,0,5,0.0
2020-06-10,0,12,7.0
2020-06-11,0,7,2.0
2020-06-12,0,3,6.0
2020-06-13,0,12,0.0
2020-06-14,0,13,0.0
2020-06-15,0,11,4.0
2020-06-16,0,5,5.0
2020-06-17,0,9,10.0
2020-06-18,0,5,3.0
2020-06-19,0,16,0.0
2020-06-20,0,20,0.0
2020-06-21,0,4,0.0
2020-06-22,0,9,7.0
2020-06-23,0,6,7.0
2020-06-24,0,6,10.0
2020-06-25,0,7,5.0
2020-06-26,0,0,5.0
2020-06-27,0,4,0.0
2020-06-28,0,2,0.0
2020-06-29,0,10,2.0
2020-06-30,0,8,6.0
2020-07-01,0,4,7.0
2020-07-02,0,8,2.0
2020-07-03,0,2,4.0
2020-07-04,0,2,2.0
2020-07-05,1,3,0.0
2020-07-06,0,13,4.0
2020-07-07,0,12,2.0
2020-07-08,0,8,7.0
2020-07-09,0,7,3.0
2020-07-10,0,3,6.0
2020-07-11,0,1,0.0
2020-07-12,6,1,0.0
2020-07-13,0,7,4.0
2020-07-14,0,6,5.0
2020-07-15,0,4,3.0
2020-07-16,0,4,6.0
2020-07-17,0,4,3.0
2020-07-18,2,5,0.0
2020-07-19,0,4,0.0
2020-07-20,1,6,7.0
2020-07-21,0,2,3.0
2020-07-22,0,7,8.0
2020-07-23,0,7,2.0
2020-07-24,0,4,2.0
2020-07-25,0,10,0.0
2020-07-26,1,6,0.0
2020-07-27,0,9,4.0
2020-07-28,3,7,6.0
2020-07-29,0,6,7.0
2020-07-30,0,10,4.0
2020-07-31,0,12,4.0
2020-08-01,1,4,2.0
2020-08-02,0,2,0.0
2020-08-03,0,7,2.0
2020-08-04,0,6,3.0
2020-08-05,0,3,7.0
2020-08-06,0,6,3.0
2020-08-07,0,6,4.0
2020-08-08,5,3,3.0
2020-08-09,1,0,0.0
2020-08-10,0,8,2.0
2020-08-11,1,4,6.0
2020-08-12,2,8,2.0
2020-08-13,0,2,5.0
2020-08-14,1,16,5.0
2020-08-15,1,5,0.0
2020-08-16,0,0,0.0
2020-08-17,0,11,2.0
2020-08-18,0,4,5.0
2020-08-19,0,8,2.0
2020-08-20,0,5,4.0
2020-08-21,0,3,2.0
2020-08-22,0,4,0.0
2020-08-23,0,12,0.0
2020-08-24,0,8,7.0
2020-08-25,0,11,2.0
2020-08-26,0,31,4.0
2020-08-27,0,2,2.0
2020-08-28,0,0,9.0
2020-08-29,1,2,0.0
2020-08-30,1,4,0.0
2020-08-31,2,6,6.0
2020-09-01,0,9,7.0
2020-09-02,0,11,7.0
2020-09-03,5,10,4.0
2020-09-04,7,7,3.0
2020-09-05,0,7,1.0
2020-09-06,0,6,0.0
2020-09-07,0,5,4.0
