,shakacode/shakapacker,rails/importmap-rails,rails/webpacker
2021-07-29,0,2.0,0
2021-07-30,0,2.6,0
2021-07-31,0,3.24,0
2021-08-01,0,-1.1360000000000001,0
2021-08-02,0,2.4687999999999994,0
2021-08-03,0,-0.943872,0
2021-08-04,0,-0.49186560000000035,0
2021-08-05,0,-0.34128384000000017,0
2021-08-06,0,-0.262070784,0
2021-08-07,0,-0.21241671679999982,0
2021-08-08,0,-0.1562452991999997,0
2021-08-09,0,3.8993424384,0
2021-08-10,0,10.156836864,0
2021-08-11,0,-1.5574080511999995,0
2021-08-12,0,0.7279999999999991,0
2021-08-13,0,6.8576,0
2021-08-14,0,8.720256,0
2021-08-15,0,19.6677888,0
2021-08-16,0,4.75084032,0
2021-08-17,10,0.847954431999999,10
2021-08-18,9,-4.023814553600001,9
2021-08-19,0,-2.410530406400001,0
2021-08-20,3,7.353696665599999,3
2021-08-21,0,-0.07859271679999935,0
2021-08-22,0,-1.3452669951999998,0
2021-08-23,0,0.35115304960000104,0
2021-08-24,0,1.5269797888000012,0
2021-08-25,18,3.6378868736000007,18
2021-08-26,0,-0.7048833024000001,0
2021-08-27,0,-1.0503628800000007,0
2021-08-28,1,-0.6725703679999998,1
2021-08-29,0,-0.5057796095999997,0
2021-08-30,0,14.6917843968,0
2021-08-31,0,12.7802950656,0
2021-09-01,0,8.4268357632,0
2021-09-02,0,-4.726273331200001,0
2021-09-03,2,-1.3887344640000014,2
2021-09-04,1,-1.7571093504000006,1
2021-09-05,0,-0.23180800000000046,0
2021-09-06,0,-0.16072960000000047,0
2021-09-07,0,-1.0658175999999995,0
2021-09-08,0,0.20917299200000128,0
2021-09-09,4,0.31142133760000124,4
2021-09-10,0,-0.5181642751999995,0
2021-09-11,0,1.811647488,0
2021-09-12,0,2.4685751296,0
2021-09-13,0,-0.8504504319999999,0
2021-09-14,0,-0.4088218624000002,0
2021-09-15,1,2.7389751296,1
2021-09-16,1,4.216813568,1
2021-09-17,1,6.6156773376,1
2021-09-18,1,-1.2516091904,1
2021-09-19,0,4.739644415999999,0
2021-09-20,0,9.0232901632,0
2021-09-21,0,0.7768255488000002,0
2021-09-22,5,-2.358812160000001,5
2021-09-23,7,-1.3663631360000008,7
2021-09-24,1,1.0199948287999998,1
2021-09-25,0,-1.1322439679999996,0
2021-09-26,0,1.2974363648,0
2021-09-27,0,0.13729525760000028,0
2021-09-28,0,2.272012185600001,0
2021-09-29,3,1.9782142976000006,3
2021-09-30,0,-1.0459350016,0
2021-10-01,0,-0.5025254400000003,0
2021-10-02,0,-0.33996902400000006,0
2021-10-03,0,-0.2566289408,0
2021-10-04,2,-0.18359654399999997,2
2021-10-05,0,-0.15139297279999991,0
2021-10-06,0,0.8935873536000002,0
2021-10-07,0,1.7194288128000004,0
2021-10-08,0,1.4825919488000001,0
2021-10-09,0,9.392,0
2021-10-10,2,-1.2895999999999996,2
2021-10-11,4,5.8112639999999995,4
2021-10-12,0,0.9012991999999995,0
2021-10-13,1,0.3471436799999994,1
2021-10-14,0,-0.3540587520000005,0
2021-10-15,0,-1.0441222144000002,0
2021-10-16,0,-0.6989621248000002,0
2021-10-17,0,-0.5205521407999995,0
2021-10-18,0,0.5964733440000003,0
2021-10-19,0,-0.4303570943999996,0
2021-10-20,2,-0.26473082879999965,2
2021-10-21,2,-0.1311101951999998,2
2021-10-22,1,-0.07292641279999988,1
2021-10-23,0,-0.03800535039999998,0
2021-10-24,1,-0.02042880000000001,1
2021-10-25,0,-0.01692672000000001,0
