,pqrs-org/karabiner-elements,hammerspoon/hammerspoon,tekezo/karabiner
2016-07-11,21,0,0
2016-07-12,9,0,0
2016-07-13,3,0,0
2016-07-14,0,0,4
2016-07-15,0,0,0
2016-07-16,4,6,1
2016-07-17,0,1,0
2016-07-18,3,0,0
2016-07-19,2,0,2
2016-07-20,2,0,0
2016-07-21,12,0,0
2016-07-22,0,0,0
2016-07-23,5,0,0
2016-07-24,1,3,0
2016-07-25,1,0,2
2016-07-26,2,0,0
2016-07-27,0,3,0
2016-07-28,4,2,0
2016-07-29,7,0,7
2016-07-30,8,0,0
2016-07-31,0,0,0
2016-08-01,1,0,0
2016-08-02,5,1,0
2016-08-03,7,0,0
2016-08-04,14,0,0
2016-08-05,4,0,4
2016-08-06,0,0,0
2016-08-07,5,0,0
2016-08-08,2,1,1
2016-08-09,2,1,0
2016-08-10,0,0,1
2016-08-11,6,0,0
2016-08-12,8,0,0
2016-08-13,7,0,0
2016-08-14,14,0,0
2016-08-15,14,0,0
2016-08-16,2,0,2
2016-08-17,2,0,0
2016-08-18,1,0,1
2016-08-19,8,0,0
2016-08-20,17,2,0
2016-08-21,14,0,0
2016-08-22,2,0,2
2016-08-23,2,6,2
2016-08-24,4,1,0
2016-08-25,2,2,5
2016-08-26,6,9,0
2016-08-27,6,15,0
2016-08-28,0,6,0
2016-08-29,4,6,0
2016-08-30,13,4,0
2016-08-31,11,1,0
2016-09-01,3,0,0
2016-09-02,5,1,0
2016-09-03,3,0,0
2016-09-04,7,0,0
2016-09-05,18,0,0
2016-09-06,6,2,0
2016-09-07,28,0,0
2016-09-08,22,0,0
2016-09-09,3,1,1
2016-09-10,13,0,0
2016-09-11,3,0,0
2016-09-12,51,0,1
2016-09-13,1,3,0
2016-09-14,14,0,0
2016-09-15,15,0,0
2016-09-16,15,1,0
2016-09-17,8,1,0
2016-09-18,29,0,0
2016-09-19,26,0,0
2016-09-20,7,0,0
2016-09-21,35,0,0
2016-09-22,10,0,0
2016-09-23,14,1,0
2016-09-24,9,1,0
2016-09-25,14,0,0
2016-09-26,7,0,0
2016-09-27,13,10,0
2016-09-28,10,1,0
2016-09-29,7,0,0
2016-09-30,0,0,0
2016-10-01,0,0,0
2016-10-02,8,0,0
2016-10-03,4,0,0
2016-10-04,0,1,0
2016-10-05,0,0,0
2016-10-06,1,0,0
2016-10-07,2,1,0
2016-10-08,19,3,0
2016-10-09,4,1,1
2016-10-10,17,0,0
2016-10-11,3,1,0
2016-10-12,9,1,0
2016-10-13,2,6,0
2016-10-14,11,1,0
2016-10-15,5,1,1
2016-10-16,3,0,0
2016-10-17,6,0,0
2016-10-18,8,0,0
2016-10-19,7,0,0
2016-10-20,3,0,0
2016-10-21,15,0,0
2016-10-22,10,0,0
2016-10-23,4,0,0
2016-10-24,3,0,0
2016-10-25,18,0,0
2016-10-26,3,9,0
2016-10-27,13,7,0
2016-10-28,28,0,0
2016-10-29,0,0,0
2016-10-30,0,0,16
2016-10-31,0,0,3
2016-11-01,1,8,0
2016-11-02,0,6,0
2016-11-03,1,1,0
2016-11-04,3,0,0
2016-11-05,8,0,0
2016-11-06,12,2,0
2016-11-07,5,2,0
2016-11-08,0,4,0
2016-11-09,0,0,0
2016-11-10,1,2,0
2016-11-11,0,0,0
2016-11-12,0,6,0
2016-11-13,0,1,0
2016-11-14,0,8,0
2016-11-15,0,6,0
2016-11-16,0,2,0
2016-11-17,0,3,0
2016-11-18,0,3,0
