,typesense/typesense,meilisearch/meilisearch,elastic/elasticsearch
2022-04-22,0,0.0,5
2022-04-23,0,0.0,0
2022-04-24,0,0.0,2
2022-04-25,1,11.0,24
2022-04-26,1,6.0,22
2022-04-27,3,2.0,15
2022-04-28,1,1.0,20
2022-04-29,0,2.0,22
2022-04-30,4,0.0,1
2022-05-01,0,0.0,3
2022-05-02,0,2.0,18
2022-05-03,0,2.0,22
2022-05-04,0,8.0,23
2022-05-05,1,0.0,23
2022-05-06,0,0.0,27
2022-05-07,2,0.0,0
2022-05-08,3,0.0,1
2022-05-09,0,1.0,25
2022-05-10,3,0.0,25
2022-05-11,2,0.0,18
2022-05-12,2,0.0,31
2022-05-13,2,0.0,7
2022-05-14,0,0.0,0
2022-05-15,0,0.0,1
2022-05-16,0,4.0,23
2022-05-17,0,2.0,28
2022-05-18,1,4.0,12
2022-05-19,3,2.0,10
2022-05-20,0,1.0,36
2022-05-21,1,0.0,1
2022-05-22,0,0.0,1
2022-05-23,1,1.0,29
2022-05-24,1,7.0,33
2022-05-25,1,29.0,18
2022-05-26,1,3.0,16
2022-05-27,4,0.0,2
2022-05-28,2,0.0,0
2022-05-29,1,0.0,0
2022-05-30,2,4.0,9
2022-05-31,0,16.0,17
2022-06-01,1,28.0,11
2022-06-02,3,22.0,12
2022-06-03,0,0.0,18
2022-06-04,1,0.0,5
2022-06-05,2,5.0,1
2022-06-06,0,6.0,10
2022-06-07,1,12.0,29
2022-06-08,1,22.0,25
2022-06-09,0,23.0,22
2022-06-10,0,0.0,0
2022-06-11,0,2.0,1
2022-06-12,0,0.0,0
2022-06-13,4,3.0,17
2022-06-14,1,1.0,20
2022-06-15,0,7.0,12
2022-06-16,1,5.0,28
2022-06-17,3,0.0,26
2022-06-18,1,0.0,2
2022-06-19,2,0.0,1
2022-06-20,0,4.0,23
2022-06-21,0,5.0,21
2022-06-22,0,9.0,20
2022-06-23,1,2.0,31
2022-06-24,2,1.0,15
2022-06-25,1,0.0,2
2022-06-26,2,0.0,0
2022-06-27,3,2.0,23
2022-06-28,2,5.0,29
2022-06-29,0,1.0,25
2022-06-30,1,0.0,18
2022-07-01,1,0.0,2
2022-07-02,1,0.0,0
2022-07-03,0,0.0,0
2022-07-04,1,1.0,13
2022-07-05,0,22.0,23
2022-07-06,0,6.0,13
2022-07-07,5,4.0,18
2022-07-08,1,0.0,15
2022-07-09,0,0.0,1
2022-07-10,0,0.0,0
2022-07-11,0,3.0,11
2022-07-12,1,32.0,28
2022-07-13,0,0.0,16
2022-07-14,3,0.0,20
2022-07-15,1,0.0,4
2022-07-16,0,0.0,0
2022-07-17,0,0.0,0
2022-07-18,1,11.0,23
2022-07-19,2,19.0,13
2022-07-20,4,2.0,13
2022-07-21,1,6.0,20
2022-07-22,2,0.0,28
2022-07-23,0,0.0,1
2022-07-24,1,0.0,0
2022-07-25,1,0.0,29
2022-07-26,2,0.0,30
2022-07-27,1,0.0,26
2022-07-28,1,5.0,17
2022-07-29,0,0.0,17
2022-07-30,0,0.0,1
2022-07-31,0,0.0,1
2022-08-01,1,0.0,27
2022-08-02,4,2.0,24
2022-08-03,1,1.0,31
2022-08-04,4,2.0,25
2022-08-05,3,0.0,3
2022-08-06,0,0.0,0
2022-08-07,2,0.0,1
2022-08-08,2,1.0,20
2022-08-09,1,0.0,17
2022-08-10,2,18.0,10
2022-08-11,0,3.0,16
2022-08-12,0,3.0,13
2022-08-13,1,0.0,2
2022-08-14,0,0.0,0
2022-08-15,0,0.0,15
2022-08-16,3,3.0,16
2022-08-17,2,52.0,32
2022-08-18,2,16.0,15
2022-08-19,1,1.0,0
2022-08-20,0,0.0,0
2022-08-21,0,0.0,0
2022-08-22,0,20.0,20
2022-08-23,0,13.0,16
2022-08-24,1,8.0,14
2022-08-25,2,0.0,11
2022-08-26,0,0.0,21
2022-08-27,2,1.0,1
2022-08-28,0,0.0,0
2022-08-29,2,3.0,15
2022-08-30,2,1.0,19
2022-08-31,2,5.0,12
2022-09-01,2,8.0,22
2022-09-02,2,3.0,3
2022-09-03,2,2.0,0
2022-09-04,0,3.0,0
2022-09-05,1,2.0,7
2022-09-06,2,2.0,17
2022-09-07,1,15.0,37
2022-09-08,2,3.0,34
2022-09-09,2,1.0,23
2022-09-10,1,0.0,1
2022-09-11,3,0.0,0
2022-09-12,1,1.0,25
2022-09-13,1,4.0,22
2022-09-14,1,4.0,16
2022-09-15,3,0.0,22
2022-09-16,1,0.0,1
2022-09-17,2,0.0,0
2022-09-18,0,0.0,0
2022-09-19,0,1.0,18
2022-09-20,2,0.0,28
2022-09-21,3,6.0,18
2022-09-22,2,4.0,15
2022-09-23,0,0.0,13
2022-09-24,0,0.0,1
2022-09-25,1,0.0,1
2022-09-26,0,0.0,33
2022-09-27,0,0.0,28
2022-09-28,0,1.0,18
2022-09-29,2,3.0,23
2022-09-30,0,1.0,17
2022-10-01,0,1.0,1
2022-10-02,0,2.0,0
2022-10-03,0,7.0,15
2022-10-04,0,8.0,21
2022-10-05,1,6.0,23
2022-10-06,1,12.0,15
2022-10-07,3,2.0,3
2022-10-08,0,0.0,0
2022-10-09,0,3.0,1
2022-10-10,0,5.0,25
2022-10-11,2,2.0,28
2022-10-12,0,11.0,31
2022-10-13,0,8.0,19
2022-10-14,0,4.0,38
2022-10-15,2,0.0,1
2022-10-16,0,0.0,0
2022-10-17,1,11.0,15
2022-10-18,3,15.0,21
2022-10-19,1,12.0,13
2022-10-20,1,3.0,19
2022-10-21,1,0.0,4
2022-10-22,0,0.0,0
2022-10-23,0,0.0,0
2022-10-24,1,7.0,15
2022-10-25,1,9.0,15
2022-10-26,0,80.0,13
2022-10-27,0,376.0,6
2022-10-28,0,6.0,7
2022-10-29,0,1.0,0
