,elastic/kibana,grafana/grafana,getsentry/sentry
2021-05-22,2,1,0
2021-05-23,0,0,0
2021-05-24,15,19,7
2021-05-25,18,18,27
2021-05-26,40,29,17
2021-05-27,37,35,20
2021-05-28,30,39,6
2021-05-29,3,4,0
2021-05-30,0,0,0
2021-05-31,11,25,15
2021-06-01,31,27,16
2021-06-02,30,30,27
2021-06-03,31,34,14
2021-06-04,33,39,16
2021-06-05,1,1,0
2021-06-06,0,0,0
2021-06-07,24,13,13
2021-06-08,38,11,33
2021-06-09,43,17,30
2021-06-10,41,17,25
2021-06-11,7,18,25
2021-06-12,3,0,2
2021-06-13,0,0,0
2021-06-14,34,18,22
2021-06-15,44,27,36
2021-06-16,50,14,26
2021-06-17,51,24,26
2021-06-18,21,10,16
2021-06-19,0,1,0
2021-06-20,0,0,0
2021-06-21,46,11,34
2021-06-22,60,10,33
2021-06-23,62,15,34
2021-06-24,69,13,25
2021-06-25,10,6,14
2021-06-26,1,1,0
2021-06-27,1,2,0
2021-06-28,59,13,21
2021-06-29,81,12,31
2021-06-30,86,12,48
2021-07-01,48,17,30
2021-07-02,3,13,20
2021-07-03,1,0,0
2021-07-04,0,1,0
2021-07-05,17,14,13
2021-07-06,46,13,38
2021-07-07,42,24,34
2021-07-08,51,15,28
2021-07-09,41,14,35
2021-07-10,4,2,2
2021-07-11,0,2,0
2021-07-12,33,19,42
2021-07-13,43,20,34
2021-07-14,39,19,46
2021-07-15,36,17,38
2021-07-16,35,18,22
2021-07-17,1,2,0
2021-07-18,2,0,0
2021-07-19,31,17,34
2021-07-20,38,16,35
2021-07-21,34,27,40
2021-07-22,43,23,40
2021-07-23,4,11,31
2021-07-24,0,1,1
2021-07-25,2,0,0
2021-07-26,41,18,15
2021-07-27,38,10,28
2021-07-28,48,5,28
2021-07-29,41,22,33
2021-07-30,33,13,23
2021-07-31,1,0,0
2021-08-01,0,0,0
2021-08-02,40,9,18
2021-08-03,46,13,24
2021-08-04,26,26,23
2021-08-05,29,15,25
2021-08-06,5,10,33
2021-08-07,1,0,2
2021-08-08,0,0,0
2021-08-09,32,15,4
2021-08-10,56,16,1
2021-08-11,46,11,2
2021-08-12,45,12,1
2021-08-13,47,18,0
2021-08-14,9,2,1
2021-08-15,4,2,3
2021-08-16,61,11,0
2021-08-17,78,20,15
2021-08-18,44,23,17
2021-08-19,44,20,15
2021-08-20,36,11,9
2021-08-21,2,0,0
2021-08-22,4,0,0
2021-08-23,48,21,16
2021-08-24,47,19,17
2021-08-25,47,15,23
2021-08-26,55,15,32
2021-08-27,15,23,20
2021-08-28,0,1,0
